class,parameter,min,max,value,calibration
parDormancyInduction,limitingPhotoperiod,12.7,13.5,13,
parDormancyInduction,notLimitingPhotoperiod,12,12.7,12,
parDormancyInduction,limitingTemperature,14,27,20,
parDormancyInduction,notLimitingTemperature,2,8,5,
parDormancyInduction,photoThermalThreshold,10,40,26,
parEndodormancy,limitingLowerTemperature,-10,-3,-6,
parEndodormancy,notLimitingLowerTemperature,-4,-1,-2.5,
parEndodormancy,notLimitingUpperTemperature,2,6,4,
parEndodormancy,limitingUpperTemperature,6,9,7.5,
parEndodormancy,chillingThreshold,60,120,70,
parEcodormancy,notLimitingTemperature,18,24,20,
parEcodormancy,notLimitingPhotoperiod,9.5,12.5,11.5,
parEcodormancy,photoThermalThreshold,3,25,40,
parGrowth,minimumTemperature,-2,8,0,
parGrowth,optimumTemperature,14,22,22,
parGrowth,maximumTemperature,32,38,35,
parGrowth,thermalThreshold,25,45,25,
parGreendown,thermalThreshold,50,130,50,
parSenescence,limitingPhotoperiod,12.7,13.5,13,
parSenescence,notLimitingPhotoperiod,12,12.7,12,
parSenescence,limitingTemperature,14,22,20,
parSenescence,notLimitingTemperature,2,8,5,
parSenescence,photoThermalThreshold,60,90,40,
parVegetationIndex,nVIGrowth,1,4.5,1,
parVegetationIndex,nVISenescence,.1,.8,1,
parVegetationIndex,nVIGreendown,.03,.2,1,
parVegetationIndex,nVIEcodormancy,.45,1.2,2,
parVegetationIndex,nVIEndodormancy,.2,.8,.5,
parVegetationIndex,minimumVI,.05,.3,1,
parVegetationIndex,maximumVI,.53,.8,1,
parPhotosynthesis,minimumTemperature,-10,3,-1.5,
parPhotosynthesis,optimumTemperature,12,30,18,
parPhotosynthesis,maximumTemperature,42,50,47,
parPhotosynthesis,halfSaturationTree,300,1000,300,
parPhotosynthesis,halfSaturationUnder,20,500,200,
parPhotosynthesis,waterStressDays,30,90,60,
parPhotosynthesis,waterStressThreshold,.25,1,.6,
parPhotosynthesis,waterStressSensitivity,0.3,1,.5,
parPhotosynthesis,maximumQuantumYieldOver,.06,.26,.2,
parPhotosynthesis,maximumQuantumYieldUnder,.04,.24,.2,
parPhotosynthesis,vpdSensitivity,2,8,6,
parPhotosynthesis,vpdMin,.3,3,2.5,
parPhotosynthesis,vpdMax,2,6.5,6,
parPhotosynthesis,declineSteepness,1,5,3,
parPhotosynthesis,declineStartSteep,0,1,0.5,
parPhotosynthesis,circadianActivationPhoto,0,0.3,0.08,
parPhotosynthesis,circadianDayShiftHours,-2,2,-1,
parRespiration,activationEnergyParameter,70,350,150,x
parRespiration,referenceRespiration,1,6,8,x
parRespiration,fractionGppToFastPool,0.15,0.3,0.21,
parRespiration,fastPoolTurnover,0.001,0.54,0.1,
parRespiration,slowPoolTurnover,0.00001,0.1,0.06,
parRespiration,carbonUseEfficiencyOver,0.4,.9,0.6,x
parRespiration,carbonUseEfficiencyUnder,0.3,.9,0.6,x
parRespiration,Tref,10,20,15,
parRespiration,respirationYoungBoost,1.3,3,2.3,
parRespiration,respirationYoungPow,1,6,4,
parRespiration,respirationSenescenceBoost,1.3,2,1.67,
parRespiration,respirationSenescencePow,3,4,3.5,
parRespiration,circadianActivationReco,0,0.2,0.07,x
