site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,reco,gpp,calibration
BE-Vie,2022,1,0,5.998099,50.304962,10.125,89.765,0,1.2685,8.085,4.52759,2.74513,0,x
BE-Vie,2022,1,1,5.998099,50.304962,9.92,91.435,0,1.047,8.075,5.095,2.70909,0,x
BE-Vie,2022,1,2,5.998099,50.304962,9.695,92.27,0,0.931,8.045,4.35084,2.66981,0,
BE-Vie,2022,1,3,5.998099,50.304962,9.495,92.55,0,0.8845,8.005,2.67327,2.635065,0,x
BE-Vie,2022,1,4,5.998099,50.304962,9.41,90.335,0,1.141,7.98,0.54,2.62037,0,
BE-Vie,2022,1,5,5.998099,50.304962,9.01,93.66,0,0.729,7.945,3.77,2.551745,0,
BE-Vie,2022,1,6,5.998099,50.304962,8.76,94.365,0,0.637,7.9,5.66,2.509255,0,x
BE-Vie,2022,1,7,5.998099,50.304962,8.455,95.21,0,0.5305,7.83,10.41673,2.457875,0,
BE-Vie,2022,1,8,5.998099,50.304962,8.3,96.935,1.8,0.3355,7.785,-6.91,2.431955,0,x
BE-Vie,2022,1,9,5.998099,50.304962,8.135,98.045,34.07,0.2115,7.76,0.217238,2.404495,2.133375,
BE-Vie,2022,1,10,5.998099,50.304962,8.555,97.355,91.4,0.2955,7.82,-1.232209,2.474725,6.139695,
BE-Vie,2022,1,11,5.998099,50.304962,9.025,95.13,133.28,0.5605,7.955,-2.890845,2.55432,5.50684,
BE-Vie,2022,1,12,5.998099,50.304962,9.74,91.755,206.58,0.9965,8.065,-6.28,2.67771,8.87023,
BE-Vie,2022,1,13,5.998099,50.304962,10.06,91.185,150.03,1.0875,8.11,-3.895,2.733685,6.53406,
BE-Vie,2022,1,14,5.998099,50.304962,9.89,92.525,93.815,0.912,8.23,-1.024545,2.703885,3.786425,x
BE-Vie,2022,1,15,5.998099,50.304962,9.665,94.57,55.22,0.652,8.3,3.82,2.66456,2.705535,x
BE-Vie,2022,1,16,5.998099,50.304962,9.44,95.205,9.66,0.5675,8.285,3.968825,2.625585,0,
BE-Vie,2022,1,17,5.998099,50.304962,9.09,96.325,0,0.425,8.22,2.585,2.5654,0,x
BE-Vie,2022,1,18,5.998099,50.304962,8.895,97.36,0,0.301,8.14,2.04434,2.53216,0,
BE-Vie,2022,1,19,5.998099,50.304962,8.555,98.22,0,0.1985,8.07,-1.795,2.474675,0,
BE-Vie,2022,1,20,5.998099,50.304962,8.22,98.34,0,0.1805,7.995,4.49,2.418645,0,
BE-Vie,2022,1,21,5.998099,50.304962,7.94,97.54,0,0.2625,7.86,2.303435,2.372235,0,x
BE-Vie,2022,1,22,5.998099,50.304962,8.09,95.725,0,0.4615,7.72,2.60442,2.39703,0,
