site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,reco,gpp,calibration
CA-Cbo,1996,1,0,-79.9341,44.3184,-1.7925,94.83015,0,0.277,0.7075,1.04979,1.30986,0,""
CA-Cbo,1996,1,1,-79.9341,44.3184,-1.804,94.71465,0,0.283,0.7045,1.04979,1.30941,0,""
CA-Cbo,1996,1,2,-79.9341,44.3184,-1.681,94.1508,0,0.316,0.705,1.04979,1.314175,0,""
CA-Cbo,1996,1,3,-79.9341,44.3184,-1.744,90.8923,0,0.4895,0.7055,1.04979,1.311735,0,x
CA-Cbo,1996,1,4,-79.9341,44.3184,-2.1765,89.8446,0,0.5285,0.7055,1.04979,1.294915,0,""
CA-Cbo,1996,1,5,-79.9341,44.3184,-2.5565,87.8381,0,0.6155,0.706,1.04979,1.280045,0,x
CA-Cbo,1996,1,6,-79.9341,44.3184,-3.212,85.62745,0,0.6925,0.7055,1.04979,1.25418,0,x
CA-Cbo,1996,1,7,-79.9341,44.3184,-3.603,84.7796,0,0.713,0.706,-3.0825,1.23864,0,""
CA-Cbo,1996,1,9,-79.9341,44.3184,-4.862,83.90965,29.788,0.6845,0.706,0.0343976,1.18796,3.52042,x
CA-Cbo,1996,1,10,-79.9341,44.3184,-5.278,82.8354,41.349,0.708,0.705,0.0343976,1.17102,3.7708,x
CA-Cbo,1996,1,14,-79.9341,44.3184,-7.412,78.08,51.983,0.767,0.709,-0.0363565,1.08251,2.84826,""
CA-Cbo,1996,1,15,-79.9341,44.3184,-7.5725,77.83945,32.0125,0.766,0.705,0.0343976,1.075755,2.82871,""
CA-Cbo,1996,1,18,-79.9341,44.3184,-7.8065,85.53,0,0.491,0.7055,1.573385,1.065875,0,""
CA-Cbo,1996,1,19,-79.9341,44.3184,-7.829,86.2624,0,0.466,0.706,1.38975,1.064925,0,x
CA-Cbo,1996,1,20,-79.9341,44.3184,-7.947,85.44575,0,0.489,0.706,1.38975,1.05993,0,x
