site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,reco,gpp,calibration
CA-Oas,1996,1,0,-106.1978,53.6289,-10.6565,-9999,0,0.6025,-9999,1.569905,0.4695335,0,""
CA-Oas,1996,1,1,-106.1978,53.6289,-10.6455,-9999,0,0.6005,-9999,1.78288,0.4700495,0,""
CA-Oas,1996,1,2,-106.1978,53.6289,-10.6355,-9999,0,0.5985,-9999,1.84147,0.4705195,0,""
CA-Oas,1996,1,3,-106.1978,53.6289,-10.6325,-9999,0,0.5985,-9999,2.096315,0.4706605,0,x
CA-Oas,1996,1,4,-106.1978,53.6289,-10.6545,-9999,0,0.6045,-9999,2.42466,0.469627,0,""
CA-Oas,1996,1,5,-106.1978,53.6289,-10.6755,-9999,0,0.6105,-9999,2.589885,0.468642,0,x
CA-Oas,1996,1,6,-106.1978,53.6289,-10.751,-9999,0,0.6175,-9999,2.2634,0.4651095,0,""
CA-Oas,1996,1,7,-106.1978,53.6289,-10.988,-9999,0,0.628,-9999,2.00613,0.454086,0,""
CA-Oas,1996,1,8,-106.1978,53.6289,-11.225,-9999,0,0.6385,-9999,1.728805,0.443179,0,x
CA-Oas,1996,1,9,-106.1978,53.6289,-11.377,-9999,5.866,0.6555,-9999,1.39405,0.4362425,0,x
CA-Oas,1996,1,10,-106.1978,53.6289,-11.274,-9999,40.4025,0.6925,-9999,1.16509,0.4409355,0,x
CA-Oas,1996,1,11,-106.1978,53.6289,-11.171,-9999,69.2445,0.7295,-9999,0.994791,0.445651,0,""
CA-Oas,1996,1,12,-106.1978,53.6289,-11.07,-9999,97.29,0.765,-9999,1.041369,0.4502955,0,x
CA-Oas,1996,1,13,-106.1978,53.6289,-10.975,-9999,99.496,0.798,-9999,1.25476,0.4546845,0,x
CA-Oas,1996,1,14,-106.1978,53.6289,-10.8805,-9999,85.564,0.831,-9999,1.286095,0.4590685,0,""
CA-Oas,1996,1,15,-106.1978,53.6289,-10.939,-9999,34.16,0.8355,-9999,1.196525,0.456369,0,x
CA-Oas,1996,1,16,-106.1978,53.6289,-11.4575,-9999,7.911,0.7535,-9999,1.658195,0.432608,0,x
CA-Oas,1996,1,17,-106.1978,53.6289,-11.976,-9999,0,0.6725,-9999,1.426375,0.409416,0,x
CA-Oas,1996,1,18,-106.1978,53.6289,-12.649,-9999,0,0.603,-9999,1.2633,0.380257,0,x
CA-Oas,1996,1,19,-106.1978,53.6289,-13.786,-9999,0,0.571,-9999,1.043745,0.333192,0,x
CA-Oas,1996,1,20,-106.1978,53.6289,-14.923,-9999,0,0.539,-9999,0.988927,0.2891465,0,x
CA-Oas,1996,1,21,-106.1978,53.6289,-15.7525,-9999,0,0.5175,-9999,1.042615,0.2588875,0,x
CA-Oas,1996,1,22,-106.1978,53.6289,-15.658,-9999,0,0.526,-9999,1.139225,0.2622385,0,""
CA-Oas,1996,1,23,-106.1978,53.6289,-15.5635,-9999,0,0.534,-9999,1.12754,0.2656105,0,x
CA-Oas,1996,2,0,-106.1978,53.6289,-15.407,-9999,0,0.54,-9999,1.20204,0.2712535,0,x
CA-Oas,1996,2,1,-106.1978,53.6289,-15.0615,-9999,0,0.54,-9999,1.360105,0.2839045,0,x
CA-Oas,1996,2,2,-106.1978,53.6289,-14.7165,-9999,0,0.539,-9999,1.399885,0.2968275,0,x
CA-Oas,1996,2,3,-106.1978,53.6289,-14.4,-9999,0,0.54,-9999,1.480105,0.3089315,0,x
CA-Oas,1996,2,4,-106.1978,53.6289,-14.1705,-9999,0,0.5445,-9999,1.66128,0.317861,0,""
CA-Oas,1996,2,5,-106.1978,53.6289,-13.9405,-9999,0,0.549,-9999,1.780445,0.326936,0,x
CA-Oas,1996,2,6,-106.1978,53.6289,-13.8625,-9999,0,0.553,-9999,1.71825,0.3300485,0,""
CA-Oas,1996,2,7,-106.1978,53.6289,-14.2395,-9999,0,0.5555,-9999,1.53897,0.31517,0,x
CA-Oas,1996,2,8,-106.1978,53.6289,-14.6165,-9999,0,0.558,-9999,1.409765,0.3006295,0,x
CA-Oas,1996,2,9,-106.1978,53.6289,-14.7955,-9999,4.5595,0.568,-9999,1.11617,0.2938465,0,""
CA-Oas,1996,2,10,-106.1978,53.6289,-14.3815,-9999,31.116,0.601,-9999,0.973894,0.3096555,0,x
CA-Oas,1996,2,11,-106.1978,53.6289,-13.9685,-9999,53.269,0.633,-9999,0.9243925,0.325833,0,x
CA-Oas,1996,2,12,-106.1978,53.6289,-13.5585,-9999,72.5965,0.662,-9999,1.080535,0.3422895,0,""
CA-Oas,1996,2,13,-106.1978,53.6289,-13.1605,-9999,74.3255,0.678,-9999,1.256555,0.3586375,0,""
CA-Oas,1996,2,14,-106.1978,53.6289,-12.7635,-9999,64.07,0.695,-9999,1.12687,0.375305,0,""
CA-Oas,1996,2,15,-106.1978,53.6289,-12.4295,-9999,26.008,0.705,-9999,0.933073,0.389592,0,x
CA-Oas,1996,2,16,-106.1978,53.6289,-12.286,-9999,6.141,0.697,-9999,0.941222,0.395811,0,x
CA-Oas,1996,2,17,-106.1978,53.6289,-12.143,-9999,0,0.689,-9999,0.941222,0.402053,0,x
CA-Oas,1996,2,18,-106.1978,53.6289,-12.1375,-9999,0,0.6795,-9999,1.05105,0.4023035,0,x
CA-Oas,1996,2,19,-106.1978,53.6289,-12.544,-9999,0,0.6645,-9999,0.9619275,0.384673,0,""
CA-Oas,1996,2,20,-106.1978,53.6289,-12.951,-9999,0,0.6505,-9999,1.005477,0.367389,0,x
CA-Oas,1996,2,21,-106.1978,53.6289,-13.2475,-9999,0,0.6395,-9999,0.995686,0.3550215,0,""
CA-Oas,1996,2,22,-106.1978,53.6289,-13.213,-9999,0,0.639,-9999,0.995686,0.3564495,0,x
CA-Oas,1996,2,23,-106.1978,53.6289,-13.1785,-9999,0,0.639,-9999,1.062985,0.3578795,0,""
CA-Oas,1996,3,0,-106.1978,53.6289,-13.1925,-9999,0,0.6385,-9999,1.173655,0.3573005,0,x
CA-Oas,1996,3,1,-106.1978,53.6289,-13.3515,-9999,0,0.6365,-9999,1.3235,0.350737,0,x
CA-Oas,1996,3,2,-106.1978,53.6289,-13.5105,-9999,0,0.6345,-9999,1.34191,0.344232,0,x
CA-Oas,1996,3,3,-106.1978,53.6289,-13.727,-9999,0,0.6335,-9999,1.440805,0.335478,0,""
CA-Oas,1996,3,4,-106.1978,53.6289,-14.116,-9999,0,0.6365,-9999,1.58499,0.3200075,0,x
CA-Oas,1996,3,5,-106.1978,53.6289,-14.504,-9999,0,0.6385,-9999,1.667205,0.3049335,0,""
CA-Oas,1996,3,6,-106.1978,53.6289,-14.993,-9999,0,0.6405,-9999,1.561855,0.2864855,0,x
CA-Oas,1996,3,7,-106.1978,53.6289,-15.782,-9999,0,0.6435,-9999,1.345615,0.257894,0,x
CA-Oas,1996,3,8,-106.1978,53.6289,-16.571,-9999,0,0.6455,-9999,1.280225,0.230852,0,x
CA-Oas,1996,3,9,-106.1978,53.6289,-17.2475,-9999,5.959,0.648,-9999,0.9523275,0.208882,0,""
CA-Oas,1996,3,10,-106.1978,53.6289,-17.5865,-9999,40.1935,0.653,-9999,0.7772145,0.198335,0,x
CA-Oas,1996,3,11,-106.1978,53.6289,-17.9255,-9999,68.702,0.6575,-9999,0.6986545,0.188085,0,""
CA-Oas,1996,3,12,-106.1978,53.6289,-18.229,-9999,134.9515,0.6645,-9999,0.9089565,0.1791555,0,x
CA-Oas,1996,3,13,-106.1978,53.6289,-18.425,-9999,138.3135,0.6775,-9999,1.24479,0.1735205,0,x
CA-Oas,1996,3,14,-106.1978,53.6289,-18.621,-9999,119.516,0.6915,-9999,1.286095,0.167986,0,""
CA-Oas,1996,3,15,-106.1978,53.6289,-18.9725,-9999,70.089,0.693,-9999,1.196525,0.158364,0,x
CA-Oas,1996,3,16,-106.1978,53.6289,-19.7905,-9999,16.873,0.661,-9999,1.658195,0.137108,0,x
CA-Oas,1996,3,17,-106.1978,53.6289,-20.6085,-9999,0,0.6285,-9999,1.426375,0.1176095,0,x
