site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,reco,gpp,calibration
CZ-Lnz,2023,1,0,16.946331,48.68155,6.83,89.425,0,1.0475,4.26,1.48891,1.292075,0,""
CZ-Lnz,2023,1,1,16.946331,48.68155,6.795,89.175,0,1.07,4.175,-3.26644,1.289955,0,x
CZ-Lnz,2023,1,2,16.946331,48.68155,6.59,89.55,0,1.0185,4.095,1.45964,1.27756,0,x
CZ-Lnz,2023,1,3,16.946331,48.68155,6.475,89.285,0,1.036,4.04,1.446985,1.27062,0,""
CZ-Lnz,2023,1,4,16.946331,48.68155,5.97,90.705,0,0.869,3.945,1.38163,1.24022,0,""
CZ-Lnz,2023,1,5,16.946331,48.68155,5.49,92.775,0,0.653,3.835,1.295565,1.21146,0,""
CZ-Lnz,2023,1,6,16.946331,48.68155,5.02,94.575,0,0.4745,3.74,1.34032,1.183455,0,""
CZ-Lnz,2023,1,7,16.946331,48.68155,5.505,91.895,0.4455,0.7345,3.665,1.34932,1.212455,0,""
CZ-Lnz,2023,1,8,16.946331,48.68155,4.6,93.04,33.275,0.5915,3.625,0.6903055,1.15855,0.46168725,x
CZ-Lnz,2023,1,9,16.946331,48.68155,4.745,92.76,98.595,0.6205,3.63,0.617468,1.16712,0.5433305,x
CZ-Lnz,2023,1,10,16.946331,48.68155,5.615,90.96,88.06,0.8235,3.675,-1.14729,1.218935,2.36137,""
CZ-Lnz,2023,1,11,16.946331,48.68155,5.98,89.01,165.53,1.0275,3.77,0.94209,1.24082,0.2945215,""
CZ-Lnz,2023,1,12,16.946331,48.68155,7.805,83.06,270.125,1.7995,3.935,0.395,1.351415,1.99567,""
CZ-Lnz,2023,1,13,16.946331,48.68155,8.955,79.005,195.55,2.4055,4.22,0.628,1.42189,0.795483,""
CZ-Lnz,2023,1,14,16.946331,48.68155,9.49,77.505,103.785,2.6705,4.425,0.6257895,1.45488,0.8318285,x
CZ-Lnz,2023,1,15,16.946331,48.68155,9.355,78.58,34.195,2.5205,4.48,1.1296,1.446545,0.3193905,""
CZ-Lnz,2023,1,16,16.946331,48.68155,8.85,81.56,0,2.0965,4.425,1.17514,1.415415,0,""
CZ-Lnz,2023,1,17,16.946331,48.68155,8.51,84.12,0,1.775,4.325,1.105595,1.394585,0,""
CZ-Lnz,2023,1,18,16.946331,48.68155,6.64,93.11,0,0.678,4.22,1.457735,1.280625,0,""
CZ-Lnz,2023,1,19,16.946331,48.68155,5.935,95.41,0,0.4275,4.115,1.489975,1.238125,0,""
CZ-Lnz,2023,1,20,16.946331,48.68155,3.58,96.48,0,0.279,4.05,1.7185,1.09867,0,""
CZ-Lnz,2023,1,21,16.946331,48.68155,2.985,97.035,0,0.224,4.055,1.527655,1.063925,0,""
CZ-Lnz,2023,1,22,16.946331,48.68155,3.435,97.26,0,0.214,4.075,1.379285,1.090075,0,x
CZ-Lnz,2023,1,23,16.946331,48.68155,3,97.28,0,0.2065,4.08,1.649245,1.0648,0,""
CZ-Lnz,2023,2,0,16.946331,48.68155,1.785,97.31,0,0.187,4.02,1.64965,0.9949295,0,""
CZ-Lnz,2023,2,1,16.946331,48.68155,1.235,97.39,0,0.1745,3.97,1.520915,0.9637145,0,x
CZ-Lnz,2023,2,2,16.946331,48.68155,1.175,97.435,0,0.1705,3.93,1.592125,0.9603345,0,x
CZ-Lnz,2023,2,3,16.946331,48.68155,2.11,97.51,0,0.1775,3.925,1.637965,1.01348,0,x
CZ-Lnz,2023,2,4,16.946331,48.68155,2.01,97.5,0,0.1765,3.93,1.6517,1.0077725,0,x
CZ-Lnz,2023,2,5,16.946331,48.68155,2.61,97.535,0,0.1815,3.94,1.87625,1.042225,0,x
CZ-Lnz,2023,2,6,16.946331,48.68155,3.065,97.515,0,0.1895,3.925,1.77979,1.068585,0,x
CZ-Lnz,2023,2,7,16.946331,48.68155,3.585,97.57,0,0.192,3.915,1.508225,1.09883,0,""
CZ-Lnz,2023,2,8,16.946331,48.68155,3.415,97.615,14.495,0.1865,3.955,1.63074,1.088985,0,""
CZ-Lnz,2023,2,9,16.946331,48.68155,4.985,97.66,23.255,0.204,4.05,1.5048,1.18136,0,""
CZ-Lnz,2023,2,10,16.946331,48.68155,4.68,97.625,38.885,0.2025,4.18,0.6743135,1.163275,0.482531,""
CZ-Lnz,2023,2,11,16.946331,48.68155,5.2,97.68,55.34,0.2055,4.355,0.2168843,1.19417,0.971722,x
CZ-Lnz,2023,2,12,16.946331,48.68155,5.995,97.67,69.865,0.218,4.565,-0.22610135,1.24173,1.463645,""
CZ-Lnz,2023,2,13,16.946331,48.68155,6.575,97.69,49.595,0.225,4.78,2.835278,1.276655,0.274131,x
CZ-Lnz,2023,2,14,16.946331,48.68155,6.67,97.52,23.92,0.243,4.94,1.44275,1.282395,0.0448708,""
CZ-Lnz,2023,2,15,16.946331,48.68155,6.695,97.135,4.71,0.281,5.015,1.244855,1.28391,0.03735755,x
CZ-Lnz,2023,2,16,16.946331,48.68155,6.945,96.555,0,0.344,5.04,1.16066,1.299045,0,x
CZ-Lnz,2023,2,17,16.946331,48.68155,7,96.4,0,0.361,5.045,1.14308,1.302375,0,x
CZ-Lnz,2023,2,18,16.946331,48.68155,7.345,95.48,0,0.4655,5.06,1.043438,1.323345,0,""
CZ-Lnz,2023,2,19,16.946331,48.68155,7.23,94.665,0,0.5455,5.075,1.027911,1.31637,0,x
CZ-Lnz,2023,2,20,16.946331,48.68155,6.86,95.64,0,0.433,5.105,1.109515,1.293895,0,""
CZ-Lnz,2023,2,21,16.946331,48.68155,6.73,95.25,0,0.467,5.125,1.22941,1.286025,0,x
CZ-Lnz,2023,2,22,16.946331,48.68155,6.195,95.24,0,0.452,5.145,-0.70743,1.25376,0,""
CZ-Lnz,2023,2,23,16.946331,48.68155,5.805,95.85,0,0.383,5.155,1.31404,1.230315,0,x
CZ-Lnz,2023,3,0,16.946331,48.68155,5.53,96.165,0,0.3475,5.16,1.316585,1.213855,0,""
CZ-Lnz,2023,3,1,16.946331,48.68155,5.29,96.755,0,0.289,5.16,1.383035,1.19952,0,""
CZ-Lnz,2023,3,2,16.946331,48.68155,5.27,97.155,0,0.2525,5.16,1.442,1.198325,0,""
CZ-Lnz,2023,3,3,16.946331,48.68155,5.02,97.315,0,0.2345,5.16,1.42337,1.18345,0,""
CZ-Lnz,2023,3,4,16.946331,48.68155,4.005,97.385,0,0.2125,5.145,2.33222,1.123455,0,x
CZ-Lnz,2023,3,5,16.946331,48.68155,3.855,97.5,0,0.201,5.105,3.21022,1.114635,0,x
CZ-Lnz,2023,3,6,16.946331,48.68155,3.78,97.475,0,0.202,5.07,1.41049,1.11024,0,""
CZ-Lnz,2023,3,7,16.946331,48.68155,3.56,97.54,0,0.194,5.04,1.37013,1.09737,0,""
CZ-Lnz,2023,3,8,16.946331,48.68155,3.425,97.57,20.41,0.19,5.02,0.3904515,1.089485,0.893265,""
CZ-Lnz,2023,3,9,16.946331,48.68155,3.615,97.675,54.305,0.184,5.05,-1.0053115,1.100585,2.0978,""
CZ-Lnz,2023,3,10,16.946331,48.68155,3.95,97.65,90.9,0.191,5.145,-0.459722,1.120215,1.57236,x
CZ-Lnz,2023,3,11,16.946331,48.68155,4.55,97.675,122.385,0.197,5.295,0.94,1.15558,0.218418,x
CZ-Lnz,2023,3,12,16.946331,48.68155,5.33,96.54,148.155,0.31,5.48,0.777731,1.201925,0.4188505,x
CZ-Lnz,2023,3,13,16.946331,48.68155,6.09,92.355,98.265,0.7205,5.625,-0.526111,1.24743,1.76953,""
CZ-Lnz,2023,3,14,16.946331,48.68155,6.425,91.12,59.775,0.8555,5.685,0.534375,1.2676,0.729818,""
CZ-Lnz,2023,3,15,16.946331,48.68155,6.525,90.115,11.895,0.9585,5.69,1.228615,1.273635,0.04999,x
CZ-Lnz,2023,3,16,16.946331,48.68155,6.26,91.185,0,0.84,5.62,1.17917,1.257655,0,x
CZ-Lnz,2023,3,17,16.946331,48.68155,5.945,92.625,0,0.688,5.53,1.20209,1.238715,0,""
CZ-Lnz,2023,3,18,16.946331,48.68155,5.675,93.105,0,0.6305,5.465,1.21992,1.222525,0,x
CZ-Lnz,2023,3,19,16.946331,48.68155,5.555,93.375,0,0.6005,5.385,1.193965,1.215345,0,x
CZ-Lnz,2023,3,20,16.946331,48.68155,5.345,94.765,0,0.4685,5.305,1.3543,1.202805,0,""
CZ-Lnz,2023,3,21,16.946331,48.68155,4.925,96.375,0,0.315,5.14,1.42413,1.1778,0,x
CZ-Lnz,2023,3,22,16.946331,48.68155,4.755,96.305,0,0.317,4.96,1.476085,1.16778,0,x
CZ-Lnz,2023,3,23,16.946331,48.68155,2.375,96.97,0,0.22,4.825,1.607465,1.028715,0,""
CZ-Lnz,2023,4,0,16.946331,48.68155,1.785,97.275,0,0.1895,4.71,1.54119,0.994911,0,""
CZ-Lnz,2023,4,1,16.946331,48.68155,0.395,97.31,0,0.169,4.565,1.074995,0.9165965,0,""
CZ-Lnz,2023,4,2,16.946331,48.68155,-0.09,97.415,0,0.1565,4.415,0.991973,0.88979,0,""
CZ-Lnz,2023,4,3,16.946331,48.68155,-0.985,97.455,0,0.145,4.26,0.811278,0.8407245,0,x
CZ-Lnz,2023,4,4,16.946331,48.68155,-1.395,97.45,0,0.141,4.155,0.9844565,0.818565,0,""
CZ-Lnz,2023,4,5,16.946331,48.68155,-1.6,97.41,0,0.141,4.06,0.9216665,0.807578,0,x
CZ-Lnz,2023,4,6,16.946331,48.68155,-1.84,97.41,0,0.1385,3.97,0.888571,0.794734,0,x
CZ-Lnz,2023,4,7,16.946331,48.68155,-1.87,97.215,0.927,0.1485,3.89,0.888571,0.7931365,0,""
CZ-Lnz,2023,4,8,16.946331,48.68155,-1.74,97.2,12.11,0.151,3.84,0.914,0.800069,0,""
CZ-Lnz,2023,4,9,16.946331,48.68155,-0.985,97.22,76.03,0.158,3.815,0.3475,0.8407215,0.479616,""
CZ-Lnz,2023,4,11,16.946331,48.68155,1.18,97.52,155.45,0.1655,4.065,0.63675,0.9607115,0.312619,x
CZ-Lnz,2023,4,12,16.946331,48.68155,2.75,97.59,146.85,0.179,4.305,0.767222,1.05033,0.2737725,""
CZ-Lnz,2023,4,13,16.946331,48.68155,4.355,97.68,202.77,0.1935,4.49,0.137143,1.144195,1.000122,x
CZ-Lnz,2023,4,14,16.946331,48.68155,7.225,90.12,158.245,1.019,4.64,-1.597,1.316085,2.911195,x
CZ-Lnz,2023,4,15,16.946331,48.68155,7.89,83.485,29.98,1.759,4.81,0.387645,1.35655,0.9683045,x
CZ-Lnz,2023,4,16,16.946331,48.68155,7.4,88.245,0,1.213,4.885,1.58245,1.32668,0,x
CZ-Lnz,2023,4,17,16.946331,48.68155,7.285,91.55,0,0.864,4.945,0.63139,1.319685,0,x
CZ-Lnz,2023,4,18,16.946331,48.68155,7.44,88.005,0,1.239,5.005,0.45,1.32911,0,""
CZ-Lnz,2023,4,19,16.946331,48.68155,7.45,85.715,0,1.4765,5.045,1.585,1.32972,0,x
CZ-Lnz,2023,4,20,16.946331,48.68155,7.76,81.215,0,1.9835,5.055,1.19475,1.34861,0,x
CZ-Lnz,2023,4,21,16.946331,48.68155,7.65,83.015,0,1.7795,5.075,2.840985,1.3419,0,""
CZ-Lnz,2023,4,22,16.946331,48.68155,7.415,86.825,0,1.359,5.145,2.675,1.32759,0,x
CZ-Lnz,2023,4,23,16.946331,48.68155,7.54,86.935,0,1.359,5.19,1.47,1.335195,0,x
CZ-Lnz,2023,5,0,16.946331,48.68155,8.15,82.735,0,1.872,5.23,0.197235,1.37245,0,x
CZ-Lnz,2023,5,1,16.946331,48.68155,8.665,81.695,0,2.055,5.28,-1.455,1.40404,0,x
CZ-Lnz,2023,5,2,16.946331,48.68155,8.965,81.285,0,2.1445,5.335,1.04,1.422495,0,""
