site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,reco,gpp,calibration
DE-HoH,2020,1,0,11.22235,52.08656,2.565,86.805,1.3,0.9705,3.745,3.22722,1.434455,0,""
DE-HoH,2020,1,1,11.22235,52.08656,2.5,86.6,1.3,0.98,3.675,1.584785,1.426275,0,x
DE-HoH,2020,1,2,11.22235,52.08656,2.365,87.01,1.3,0.942,3.605,1.33216,1.409565,0,""
DE-HoH,2020,1,3,11.22235,52.08656,1.145,95.045,1.23,0.331,3.545,1.75813,1.262455,0,x
DE-HoH,2020,1,4,11.22235,52.08656,1.62,95.475,1.185,0.311,3.475,1.5033,1.318625,0,x
DE-HoH,2020,1,5,11.22235,52.08656,1.615,95.09,1.275,0.337,3.405,1.477865,1.318,0,""
DE-HoH,2020,1,6,11.22235,52.08656,1.6,95.22,1.195,0.3285,3.345,1.5033,1.31628,0,""
DE-HoH,2020,1,7,11.22235,52.08656,1.795,93.07,1.29,0.482,3.285,1.462385,1.33965,0,""
DE-HoH,2020,1,8,11.22235,52.08656,1.45,92.205,9.265,0.529,3.225,1.647985,1.298395,0,x
DE-HoH,2020,1,9,11.22235,52.08656,1.76,85.34,51.725,1.019,3.17,0.5888895,1.335505,0.752025,""
DE-HoH,2020,1,10,11.22235,52.08656,2.96,80.935,137.5,1.443,3.145,-0.378068,1.48463,1.696755,""
DE-HoH,2020,1,11,11.22235,52.08656,3.735,77.78,205.9,1.774,3.145,-0.5633335,1.58496,2.14831,x
DE-HoH,2020,1,12,11.22235,52.08656,3.93,78.295,236.145,1.758,3.19,-0.356667,1.610845,1.96751,""
DE-HoH,2020,1,13,11.22235,52.08656,4.065,77.19,222.505,1.8655,3.27,-0.2183335,1.62894,1.84725,x
DE-HoH,2020,1,14,11.22235,52.08656,4.515,72.155,160.955,2.352,3.32,-0.380625,1.68976,2.01801,x
DE-HoH,2020,1,15,11.22235,52.08656,4.035,71.935,65.335,2.2975,3.34,0.7148563,1.62543,0.7721205,""
DE-HoH,2020,1,16,11.22235,52.08656,2.92,82.305,6.015,1.336,3.31,1.518855,1.47934,0,""
DE-HoH,2020,1,17,11.22235,52.08656,3.29,80.65,1.17,1.5115,3.25,1.521175,1.52732,0,""
DE-HoH,2020,1,18,11.22235,52.08656,4.02,70.97,1.49,2.3675,3.18,1.47551,1.62291,0,x
DE-HoH,2020,1,19,11.22235,52.08656,4.375,63.48,1.76,3.0715,3.115,1.442715,1.671275,0,""
DE-HoH,2020,1,20,11.22235,52.08656,5.295,49.615,1.015,4.4935,3.05,1.42179,1.797925,0,""
