site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,reco,gpp,calibration
DE-Lnf,2002,120,0,10.3678,51.3282,4.285,95.365,0,0.385,7.534,3.05,3.547165,0,x
DE-Lnf,2002,120,1,10.3678,51.3282,4.785,92.35,0,0.6575,7.6045,3.47058,3.622315,0,""
DE-Lnf,2002,120,2,10.3678,51.3282,4.875,89.03,0,0.949,7.6015,2.86,3.640245,0,x
DE-Lnf,2002,120,3,10.3678,51.3282,4.545,83.935,0,1.3575,7.5025,1.73,3.5993,0,x
DE-Lnf,2002,120,4,10.3678,51.3282,4.495,82.85,1.22,1.4445,7.4865,3.775,3.59755,0,""
DE-Lnf,2002,120,5,10.3678,51.3282,4.685,84.6,44.43,1.3145,7.8725,1.795,3.62955,1.834548,x
DE-Lnf,2002,120,6,10.3678,51.3282,4.92,83.85,118.845,1.4025,8.1025,-0.935,3.66796,4.602955,""
DE-Lnf,2002,120,7,10.3678,51.3282,5.5,81.015,263.47,1.715,9.906,-3.485,3.7551,7.2401,""
DE-Lnf,2002,120,8,10.3678,51.3282,6.005,79.035,290.745,1.963,9.4505,-4.165805,3.83185,7.997655,""
DE-Lnf,2002,120,9,10.3678,51.3282,6.685,77.615,380.63,2.1955,9.2225,-6.70375,3.93344,10.6372,x
DE-Lnf,2002,120,10,10.3678,51.3282,7.35,76.065,505.83,2.457,8.807,-5.473335,4.03306,9.506415,x
DE-Lnf,2002,120,11,10.3678,51.3282,7.32,75.73,298.515,2.4875,8.525,-5.545,4.03467,9.579685,""
DE-Lnf,2002,120,12,10.3678,51.3282,8.005,72.045,237.9915,3.008,9.676,-4.248335,4.13735,8.385685,x
DE-Lnf,2002,120,13,10.3678,51.3282,9.185,65.4,265.94,4.0315,9.757,-4.059,4.30996,8.36896,x
DE-Lnf,2002,120,14,10.3678,51.3282,10.81,52.945,360.405,6.1075,9.43,-4.14,4.54482,8.68482,""
DE-Lnf,2002,120,15,10.3678,51.3282,11.965,50.17,334.585,6.975,10.2975,-2.995,4.71317,7.70817,""
DE-Lnf,2002,120,16,10.3678,51.3282,12.7,49.73,310.705,7.3875,11.224,-4.535,4.82259,9.357595,""
DE-Lnf,2002,120,17,10.3678,51.3282,12.995,49.75,182.87,7.5265,11.0415,-2.4820835,4.87067,7.352765,""
DE-Lnf,2002,120,18,10.3678,51.3282,12.795,53.135,91.635,6.929,10.1285,-0.335,4.849735,5.184735,x
DE-Lnf,2002,120,19,10.3678,51.3282,12.455,53.78,8.135,6.6815,9.529,3.76,4.809085,0.58833,x
DE-Lnf,2002,120,20,10.3678,51.3282,12.24,53.705,0,6.5995,9.7455,5.245,4.785775,0,x
DE-Lnf,2002,120,21,10.3678,51.3282,11.985,55.855,0,6.1875,9.711,4.24,4.756715,0,x
DE-Lnf,2002,120,22,10.3678,51.3282,11.76,57.05,0,5.9315,9.65,3.735,4.73175,0,x
DE-Lnf,2002,120,23,10.3678,51.3282,11.765,58.465,0,5.7375,9.654,3.12,4.7392,0,x
DE-Lnf,2002,121,0,10.3678,51.3282,11.825,59.34,0,5.64,9.658,4.56,4.754445,0,x
DE-Lnf,2002,121,1,10.3678,51.3282,12.005,58.215,0,5.8645,9.721,6.111365,4.78672,0,x
DE-Lnf,2002,121,2,10.3678,51.3282,11.82,58.73,0,5.7215,9.658,3.677825,4.76725,0,""
DE-Lnf,2002,121,3,10.3678,51.3282,11.73,58.795,0,5.679,9.658,3.41,4.761215,0,x
DE-Lnf,2002,121,4,10.3678,51.3282,11.695,58.885,0,5.6535,9.658,4.35,4.76296,0,x
DE-Lnf,2002,121,5,10.3678,51.3282,11.635,60.24,20.985,5.4465,9.9895,3.12,4.76112,1.64112,x
DE-Lnf,2002,121,6,10.3678,51.3282,11.34,62.605,70.72,5.024,10.161,2.58,4.72565,2.14565,""
DE-Lnf,2002,121,7,10.3678,51.3282,11.18,66.185,105.8,4.4995,10.0985,1.611905,4.70935,3.097445,""
DE-Lnf,2002,121,8,10.3678,51.3282,9.555,81.665,70.855,2.203,8.8405,1.8152855,4.48171,2.6664265,""
DE-Lnf,2002,121,9,10.3678,51.3282,9.915,81.015,290.48,2.3415,9.768,-2.657855,4.54013,7.19801,x
