site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,reco,gpp,calibration
DK-Sor,1997,1,0,11.6446,55.4859,-7.855,89.105,0.1,0.3695,0.465,1.387535,0.4944255,0,""
DK-Sor,1997,1,1,11.6446,55.4859,-8.815,91.505,0.1,0.2665,0.46,1.407875,0.461688,0,x
DK-Sor,1997,1,2,11.6446,55.4859,-8.5,92.66,0.1,0.236,0.455,1.42041,0.472357,0,""
DK-Sor,1997,1,3,11.6446,55.4859,-8.695,93.95,0.1,0.1915,0.45,1.392395,0.465775,0,x
DK-Sor,1997,1,4,11.6446,55.4859,-6.62,94.315,0.1,0.2115,0.44,1.223435,0.5372635,0,x
DK-Sor,1997,1,5,11.6446,55.4859,-6.72,93.745,0.1,0.231,0.435,1.2358,0.5337645,0,""
DK-Sor,1997,1,6,11.6446,55.4859,-7.155,92.95,0.1,0.252,0.425,1.260025,0.518591,0,""
DK-Sor,1997,1,7,11.6446,55.4859,-7.065,93.22,0.1,0.244,0.415,1.24633,0.5217245,0,x
DK-Sor,1997,1,8,11.6446,55.4859,-7.14,93.25,2.375,0.2415,0.405,1.262975,0.519114,0,""
DK-Sor,1997,1,9,11.6446,55.4859,-6.18,89.79,49.075,0.395,0.4,1.58251,0.552748,0,""
DK-Sor,1997,1,10,11.6446,55.4859,-6.055,87.455,117.725,0.489,0.39,1.197265,0.557172,0,""
DK-Sor,1997,1,11,11.6446,55.4859,-6.455,82.71,172.55,0.6515,0.39,0.42660715,0.543053,0.2921765,x
DK-Sor,1997,1,12,11.6446,55.4859,-6.21,82.96,177.45,0.655,0.395,0.3742855,0.551676,0.333195,""
DK-Sor,1997,1,13,11.6446,55.4859,-6.095,85.485,75.275,0.5625,0.4,1.566785,0.5557355,0,x
DK-Sor,1997,1,14,11.6446,55.4859,-5.475,82.91,79.175,0.6945,0.4,1.620125,0.5776985,0,""
DK-Sor,1997,1,15,11.6446,55.4859,-5.73,87.395,13.275,0.5025,0.4,1.29465,0.568641,0,x
DK-Sor,1997,1,16,11.6446,55.4859,-5.835,91.46,0.15,0.338,0.39,1.27433,0.564925,0,x
DK-Sor,1997,1,17,11.6446,55.4859,-6.24,94.185,0.1,0.223,0.38,1.222505,0.550614,0,""
DK-Sor,1997,1,18,11.6446,55.4859,-6.605,93.925,0.1,0.2265,0.375,1.21736,0.5377975,0,""
DK-Sor,1997,1,19,11.6446,55.4859,-4.859,-9999,0,0.5095,0.489,1.29981,0.5996955,0,x
DK-Sor,1997,1,20,11.6446,55.4859,-4.8285,-9999,0,0.5045,0.484,1.28953,0.6007885,0,""
DK-Sor,1997,1,21,11.6446,55.4859,-4.7965,-9999,0,0.4995,0.4795,1.28905,0.601936,0,x
DK-Sor,1997,1,22,11.6446,55.4859,-4.765,-9999,0,0.4945,0.475,1.287235,0.603066,0,x
DK-Sor,1997,1,23,11.6446,55.4859,-4.734,-9999,0,0.489,0.471,1.28437,0.604178,0,x
DK-Sor,1997,2,0,11.6446,55.4859,-4.701,-9999,0,0.4835,0.466,1.286625,0.605362,0,x
DK-Sor,1997,2,1,11.6446,55.4859,-4.664,-9999,0,0.479,0.462,1.2842,0.606691,0,x
DK-Sor,1997,2,2,11.6446,55.4859,-4.6225,-9999,0,0.475,0.458,1.28015,0.6081815,0,""
DK-Sor,1997,2,3,11.6446,55.4859,-4.5805,-9999,0,0.471,0.454,1.26055,0.609691,0,""
DK-Sor,1997,2,4,11.6446,55.4859,-4.54,-9999,0,0.4675,0.45,1.253465,0.611147,0,""
DK-Sor,1997,2,5,11.6446,55.4859,-4.5065,-9999,0,0.464,0.446,1.259,0.612352,0,x
DK-Sor,1997,2,6,11.6446,55.4859,-4.4795,-9999,0,0.4615,0.443,1.263675,0.613323,0,""
DK-Sor,1997,2,7,11.6446,55.4859,-4.126,-9999,0,0,0.415,1.76333,0.626067,0,""
DK-Sor,1997,2,8,11.6446,55.4859,-4.243,-9999,0,0,0.406,1.6,0.621844,0,x
DK-Sor,1997,2,9,11.6446,55.4859,-4.359,-9999,9.581,0,0.398,1.941665,0.617662,0,x
DK-Sor,1997,2,10,11.6446,55.4859,-4.446,-9999,34.719,0,0.393,1.807085,0.614529,0,""
DK-Sor,1997,2,11,11.6446,55.4859,-4.4465,-9999,45.5475,0,0.391,1.684,0.614511,0,""
DK-Sor,1997,2,12,11.6446,55.4859,-4.447,-9999,47.991,0,0.395,1.251,0.614493,0,x
DK-Sor,1997,2,13,11.6446,55.4859,-4.542,-9999,51.1005,0,0.399,1.162,0.611077,0,""
DK-Sor,1997,2,14,11.6446,55.4859,-4.922,-9999,33.724,0,0.4,1.383,0.59744,0,x
DK-Sor,1997,2,15,11.6446,55.4859,-5.302,-9999,7.6065,0,0.397,1.869,0.583862,0,""
DK-Sor,1997,2,16,11.6446,55.4859,-5.6155,-9999,0,0,0.39,1.995,0.5727045,0,""
DK-Sor,1997,2,17,11.6446,55.4859,-5.7295,-9999,0,0,0.382,2.075,0.5686585,0,x
DK-Sor,1997,2,18,11.6446,55.4859,-5.8445,-9999,0,0.016,0.3775,1.643,0.564583,0,x
DK-Sor,1997,2,19,11.6446,55.4859,-5.949,-9999,0,0.0275,0.4225,1.247,0.560885,0,""
DK-Sor,1997,2,20,11.6446,55.4859,-6.025,-9999,0,0,0.487,1.13125,0.5581985,0,""
DK-Sor,1997,2,21,11.6446,55.4859,-6.1015,-9999,0,0,0.483,1.0825,0.555497,0,""
DK-Sor,1997,2,22,11.6446,55.4859,-6.134,-9999,0,0,0.477,1.693335,0.5543505,0,x
DK-Sor,1997,2,23,11.6446,55.4859,-6.0355,-9999,0,0,0.472,1.81,0.5578275,0,x
DK-Sor,1997,3,0,11.6446,55.4859,-5.937,-9999,0,0.03,0.465,1.551,0.5613095,0,""
