site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,reco,gpp,calibration
FR-Hes,2023,13,9,7.06465,48.6741,6.98,93.23,39.37,0.678,7.54,0.65,2.17371,0.846636,x
FR-Hes,2023,13,10,7.06465,48.6741,6.63,82.79,88.27,1.681,7.56,0.31,2.14427,1.8909,x
FR-Hes,2023,13,12,7.06465,48.6741,6.9,80.32,50.91,1.959,7.76,0.566667,2.16698,1.03867,x
FR-Hes,2023,13,13,7.06465,48.6741,6.085,85.615,112.33,1.355,7.655,0.5916665,2.098465,1.72968,x
FR-Hes,2023,13,14,7.06465,48.6741,7.545,77.97,143.255,2.2925,7.67,0.6466665,2.22126,1.65159,x
FR-Hes,2023,13,15,7.06465,48.6741,7.16,77.2,41.555,2.31,7.545,0.566667,2.188855,1.3213825,
FR-Hes,2023,13,17,7.06465,48.6741,5.77,78.73,0,1.9605,7.205,1.116665,2.072,0,x
FR-Hes,2023,13,18,7.06465,48.6741,5.335,83.625,0,1.4625,6.94,1.581,2.03548,0,
FR-Hes,2023,13,19,7.06465,48.6741,5.555,84.375,0,1.4175,6.755,2.1,2.053945,0,x
FR-Hes,2023,13,20,7.06465,48.6741,5.745,83.51,0,1.5155,6.705,2.16132,2.0699,0,x
FR-Hes,2023,13,21,7.06465,48.6741,5.75,81.455,0,1.705,6.615,2.127365,2.07032,0,
FR-Hes,2023,13,22,7.06465,48.6741,5.45,83.465,0,1.4895,6.515,1.88917,2.04513,0,x
FR-Hes,2023,13,23,7.06465,48.6741,5.415,83.845,0,1.451,6.375,1.707585,2.04219,0,
FR-Hes,2023,14,0,7.06465,48.6741,5.385,82.87,0,1.5355,6.295,1.500335,2.039675,0,x
FR-Hes,2023,14,1,7.06465,48.6741,5.28,83.275,0,1.4885,6.25,1.45118,2.030865,0,x
FR-Hes,2023,14,2,7.06465,48.6741,5.41,83.08,0,1.519,6.25,1.45118,2.041775,0,x
FR-Hes,2023,14,3,7.06465,48.6741,5.675,81.745,0,1.6695,6.26,1.45118,2.06402,0,x
FR-Hes,2023,14,4,7.06465,48.6741,5.67,81.81,0,1.6635,6.24,1.45118,2.0636,0,x
FR-Hes,2023,14,5,7.06465,48.6741,5.87,79.27,0,1.9215,6.215,1.45118,2.080395,0,
