site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,reco,gpp,calibration
IT-Col,2005,1,0,13.5881,41.8494,-4.247,99.02415,0,0.0435,0.864,1.55557,0.7652615,0,x
IT-Col,2005,1,1,13.5881,41.8494,-3.991,98.66085,0,0.061,0.863,1.407825,0.770961,0,""
IT-Col,2005,1,2,13.5881,41.8494,-3.1735,99.1314,0,0.042,0.8625,1.29727,0.788959,0,x
IT-Col,2005,1,3,13.5881,41.8494,-3.8295,99.1092,0,0.0415,0.861,1.40744,0.7745335,0,""
IT-Col,2005,1,4,13.5881,41.8494,-3.327,99.1191,0,0.042,0.86,1.39405,0.7856025,0,x
IT-Col,2005,1,5,13.5881,41.8494,-4.051,98.44525,0,0.07,0.8595,1.555185,0.7695855,0,x
IT-Col,2005,1,6,13.5881,41.8494,-4.7535,97.5545,0,0.105,0.859,2.12831,0.753911,0,""
IT-Col,2005,1,7,13.5881,41.8494,-5.0345,97.45875,2.6425,0.1065,0.858,2.344655,0.747568,0,""
IT-Col,2005,1,8,13.5881,41.8494,-3.9965,98.86195,27.5455,0.052,0.8575,1.09307,0.7708395,0,""
IT-Col,2005,1,9,13.5881,41.8494,-1.769,99.19815,233.9765,0.043,0.8555,0.6734065,0.819206,0.1457995,x
IT-Col,2005,1,10,13.5881,41.8494,-1.0955,99.34595,325.828,0.0365,0.8535,0.6602395,0.833467,0.218687,""
IT-Col,2005,1,11,13.5881,41.8494,-0.099,99.52335,436.468,0.029,0.853,1.069261,0.854147,0,""
IT-Col,2005,1,12,13.5881,41.8494,0.685,99.6325,449.3355,0.024,0.8515,1.535355,0.870206,0,x
IT-Col,2005,1,13,13.5881,41.8494,0.8525,99.6044,297.7075,0.0255,0.8505,0.6747915,0.8736005,0.198809,x
IT-Col,2005,1,14,13.5881,41.8494,1.4225,99.5473,322.2855,0.0305,0.849,0.8060885,0.8850485,0.07896,""
IT-Col,2005,1,15,13.5881,41.8494,0.194,99.5348,121.6285,0.029,0.8485,0.7283035,0.860181,0.1318775,""
IT-Col,2005,1,16,13.5881,41.8494,-1.4495,99.45785,13.25,0.03,0.848,1.88858,0.825996,0,x
IT-Col,2005,1,17,13.5881,41.8494,-2.3735,99.3422,0,0.0335,0.8475,-0.49929,0.806306,0,x
IT-Col,2005,1,18,13.5881,41.8494,-3.1865,99.2686,0,0.0355,0.847,1.30456,0.7886775,0,x
IT-Col,2005,1,19,13.5881,41.8494,-1.834,99.32745,0,0.036,0.846,2.196495,0.8178455,0,""
IT-Col,2005,1,20,13.5881,41.8494,-1.421,99.48,0,0.0285,0.8455,1.13954,0.826611,0,x
IT-Col,2005,1,21,13.5881,41.8494,-1.4975,99.4638,0,0.0295,0.8445,1.222475,0.8249945,0,x
IT-Col,2005,1,22,13.5881,41.8494,-1.3875,99.4487,0,0.0305,0.844,1.447606,0.8273175,0,x
IT-Col,2005,1,23,13.5881,41.8494,-1.6305,99.3401,0,0.0355,0.843,0.6814305,0.822179,0,x
IT-Col,2005,2,0,13.5881,41.8494,-1.83,99.42195,0,0.031,0.8425,4.401365,0.817938,0,""
IT-Col,2005,2,1,13.5881,41.8494,-1.7225,99.39675,0,0.0325,0.842,1.183615,0.820221,0,x
IT-Col,2005,2,2,13.5881,41.8494,-1.983,99.26055,0,0.039,0.841,0.038625,0.814655,0,""
IT-Col,2005,2,3,13.5881,41.8494,-2.2795,99.2561,0,0.0385,0.841,1.231165,0.808299,0,x
IT-Col,2005,2,4,13.5881,41.8494,-2.894,99.1997,0,0.0395,0.84,1.28998,0.795051,0,x
IT-Col,2005,2,5,13.5881,41.8494,-3.7255,99.13,0,0.0405,0.8395,1.40744,0.7768335,0,""
IT-Col,2005,2,6,13.5881,41.8494,-3.827,99.08895,0,0.042,0.839,1.35993,0.7745945,0,""
IT-Col,2005,2,7,13.5881,41.8494,-3.9935,99.0703,3.686,0.0425,0.8385,1.447715,0.7709075,0,""
IT-Col,2005,2,8,13.5881,41.8494,-3.566,99.097,31.951,0.0425,0.838,0.776809,0.7803375,0.0052885,""
IT-Col,2005,2,9,13.5881,41.8494,-0.9125,99.2273,237.2245,0.044,0.837,0.326676,0.837197,0.510521,""
IT-Col,2005,2,10,13.5881,41.8494,1.153,99.4096,318.8905,0.039,0.836,0.876025,0.879643,0.066799,""
IT-Col,2005,2,11,13.5881,41.8494,2.368,99.6129,430.3515,0.028,0.836,1.200755,0.9037805,0,""
IT-Col,2005,2,12,13.5881,41.8494,3.1115,99.6984,429.989,0.023,0.8355,0.965719,0.918254,0,""
IT-Col,2005,2,13,13.5881,41.8494,3.3385,99.77685,418.7715,0.0175,0.835,0.997244,0.922646,0,""
IT-Col,2005,2,14,13.5881,41.8494,2.364,99.67665,232.4465,0.0235,0.8335,0.937307,0.9037045,0,x
IT-Col,2005,2,15,13.5881,41.8494,2.5175,99.6326,172.8275,0.027,0.8325,0.9039175,0.9067125,0.0176765,""
IT-Col,2005,2,16,13.5881,41.8494,1.1735,99.5858,31.8615,0.0275,0.832,0.564083,0.8799035,0.3158205,""
IT-Col,2005,2,17,13.5881,41.8494,-0.3265,99.54455,0,0.027,0.831,0.7791615,0.849492,0,""
IT-Col,2005,2,18,13.5881,41.8494,-0.8535,99.50125,0,0.0285,0.831,0.8094355,0.8385365,0,""
IT-Col,2005,2,19,13.5881,41.8494,-0.911,99.45095,0,0.0315,0.83,0.842509,0.837334,0,x
IT-Col,2005,2,20,13.5881,41.8494,-1.1105,99.40555,0,0.0335,0.83,0.8493135,0.8331515,0,""
IT-Col,2005,2,21,13.5881,41.8494,-1.18,99.3752,0,0.035,0.829,0.857457,0.831693,0,x
IT-Col,2005,2,22,13.5881,41.8494,-1.286,99.34075,0,0.037,0.829,1.0480185,0.8294605,0,x
IT-Col,2005,2,23,13.5881,41.8494,-1.529,99.30345,0,0.038,0.8285,1.18215,0.82433,0,""
IT-Col,2005,3,0,13.5881,41.8494,-1.645,99.2615,0,0.04,0.828,1.236375,0.8218635,0,""
IT-Col,2005,3,1,13.5881,41.8494,-1.029,99.28205,0,0.0405,0.828,0.946651,0.834853,0,x
IT-Col,2005,3,2,13.5881,41.8494,-0.731,99.3242,0,0.039,0.8275,-0.431167,0.841093,0,""
IT-Col,2005,3,3,13.5881,41.8494,-0.873,99.3193,0,0.039,0.827,1.2142965,0.838129,0,""
IT-Col,2005,3,4,13.5881,41.8494,-1.339,99.2535,0,0.041,0.8265,1.126678,0.828342,0,x
IT-Col,2005,3,5,13.5881,41.8494,-2.018,99.28365,0,0.0375,0.826,-2.832155,0.8139265,0,x
IT-Col,2005,3,6,13.5881,41.8494,-2.198,99.325,0,0.035,0.826,1.21128,0.8100745,0,x
IT-Col,2005,3,7,13.5881,41.8494,-2.384,99.34745,3.072,0.0335,0.825,1.336285,0.8060795,0,x
IT-Col,2005,3,8,13.5881,41.8494,-1.953,99.36475,32.299,0.0335,0.8245,3.819815,0.815303,0,""
IT-Col,2005,3,9,13.5881,41.8494,-1.3135,99.46825,236.423,0.0295,0.824,0.250073,0.8288805,0.5788075,""
IT-Col,2005,3,10,13.5881,41.8494,-1.0455,99.4724,131.8535,0.03,0.8235,0.5479325,0.8345125,0.28658,x
IT-Col,2005,3,11,13.5881,41.8494,-2.0935,99.3978,89.6335,0.032,0.823,0.736769,0.8123005,0.129431,x
IT-Col,2005,3,12,13.5881,41.8494,-2.275,99.4225,291.043,0.0295,0.823,0.721466,0.8084135,0.340085,""
IT-Col,2005,3,13,13.5881,41.8494,-1.755,99.3559,449.0035,0.0345,0.822,1.0603825,0.8195315,0,x
IT-Col,2005,3,14,13.5881,41.8494,-2.2455,98.9586,314.9835,0.054,0.821,0.7831215,0.8090525,0.1424,x
IT-Col,2005,3,15,13.5881,41.8494,-2.387,94.4948,157.963,0.2815,0.821,0.674207,0.8059765,0.272073,x
IT-Col,2005,3,16,13.5881,41.8494,-3.403,93.33855,17.785,0.3165,0.8205,1.1147195,0.783933,0.0876955,""
IT-Col,2005,3,17,13.5881,41.8494,-3.635,91.6766,0,0.389,0.82,1.45495,0.778833,0,""
IT-Col,2005,3,18,13.5881,41.8494,-3.745,92.34155,0,0.355,0.82,3.493715,0.776408,0,""
IT-Col,2005,3,19,13.5881,41.8494,-3.827,89.7325,0,0.4725,0.82,1.35993,0.774595,0,x
IT-Col,2005,3,20,13.5881,41.8494,-3.7675,84.346,0,0.724,0.819,3.4652555,0.7759105,0,""
IT-Col,2005,3,21,13.5881,41.8494,-3.8425,83.3182,0,0.767,0.819,1.35993,0.7742525,0,x
IT-Col,2005,3,22,13.5881,41.8494,-3.882,82.8302,0,0.787,0.8185,2.25352,0.7733775,0,x
IT-Col,2005,3,23,13.5881,41.8494,-3.8865,82.31145,0,0.811,0.818,1.35993,0.7732785,0,x
IT-Col,2005,4,0,13.5881,41.8494,-3.589,79.22575,0,0.974,0.818,1.45495,0.7798475,0,""
IT-Col,2005,4,1,13.5881,41.8494,-3.7215,77.767,0,1.033,0.817,0.0264949999999999,0.776912,0,x
IT-Col,2005,4,2,13.5881,41.8494,-3.908,79.19655,0,0.9525,0.817,1.833485,0.772802,0,x
IT-Col,2005,4,3,13.5881,41.8494,-3.0235,68.86435,0,1.526,0.8165,1.29727,0.7922205,0,x
IT-Col,2005,4,4,13.5881,41.8494,-2.736,63.4583,0,1.8265,0.816,1.952275,0.7984755,0,x
