site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,reco,gpp,calibration
IT-Ro1,2002,1,0,11.93,42.4081,4.946,-9999,0,2.211,5.135,0.9832015,0.7918945,0,x
IT-Ro1,2002,1,1,11.93,42.4081,4.6225,-9999,0,2.231,4.9685,0.484803075,0.7818115,0,""
IT-Ro1,2002,1,2,11.93,42.4081,4.3145,-9999,0,2.2505,4.81,1.22522,0.772213,0,""
IT-Ro1,2002,1,3,11.93,42.4081,4.3615,-9999,0,2.275,4.649,0.873047,0.7736775,0,x
IT-Ro1,2002,1,4,11.93,42.4081,4.057,-9999,0,2.2985,4.498,0.979527,0.764189,0,x
IT-Ro1,2002,1,5,11.93,42.4081,4.126,-9999,0,2.3165,4.349,1.124085,0.766339,0,x
IT-Ro1,2002,1,6,11.93,42.4081,5.425,-9999,0,2.333,4.2105,1.10222,0.806823,0,x
IT-Ro1,2002,1,7,11.93,42.4081,6.1725,-9999,2.606,2.3485,4.077,1.103005,0.830119,0,""
IT-Ro1,2002,1,8,11.93,42.4081,9.339,-9999,84.085,4.771,3.9195,0.869578,0.928523,0.1296505,""
IT-Ro1,2002,1,9,11.93,42.4081,8.7095,-9999,223.25,4.909,3.709,0.60261,0.9090265,0.3068405,x
IT-Ro1,2002,1,10,11.93,42.4081,6.033,-9999,343.8,3.518,3.565,0.389547,0.8257725,0.4242195,""
IT-Ro1,2002,1,11,11.93,42.4081,6.735,-9999,418.65,3.5855,3.417,0.3668285,0.84764,0.483618,x
IT-Ro1,2002,1,12,11.93,42.4081,6.9515,-9999,438.15,3.6355,3.301,0.4478155,0.854381,0.4065655,""
IT-Ro1,2002,1,13,11.93,42.4081,6.944,-9999,402.15,3.538,3.3445,0.324011,0.8541475,0.538118,""
IT-Ro1,2002,1,14,11.93,42.4081,6.815,-9999,315.8,3.251,3.473,0.432976,0.850131,0.4012555,x
IT-Ro1,2002,1,15,11.93,42.4081,6.454,-9999,186.65,4.784,3.63,0.5646315,0.838888,0.2724095,x
IT-Ro1,2002,1,16,11.93,42.4081,7.07,-9999,49.615,3.395,3.781,1.029842,0.8580125,0,""
IT-Ro1,2002,1,17,11.93,42.4081,4.8925,-9999,0,2.312,3.8175,1.10222,0.790227,0,""
IT-Ro1,2002,1,18,11.93,42.4081,4.199,-9999,0,2.2955,3.7635,0.713197,0.7686135,0,x
IT-Ro1,2002,1,19,11.93,42.4081,3.1435,-9999,0,2.2795,3.6875,1.0078505,0.7357435,0,x
IT-Ro1,2002,1,20,11.93,42.4081,2.6915,-9999,0,2.2615,3.5835,0.860809,0.721684,0,x
IT-Ro1,2002,1,21,11.93,42.4081,2.1485,-9999,0,2.2365,3.494,0.284999,0.704806,0,""
IT-Ro1,2002,1,22,11.93,42.4081,2.645,-9999,0,2.215,3.3765,0.7278775,0.7202385,0,x
IT-Ro1,2002,1,23,11.93,42.4081,2.886,-9999,0,2.1915,3.245,0.669271,0.7277305,0,""
IT-Ro1,2002,2,0,11.93,42.4081,1.351,-9999,0,2.1615,3.1415,1.091185,0.6800675,0,""
IT-Ro1,2002,2,1,11.93,42.4081,0.923,-9999,0,2.1285,3.037,0.58093965,0.6668135,0,""
IT-Ro1,2002,2,2,11.93,42.4081,0.9875,-9999,0,2.093,2.9535,0.1295707,0.6688095,0,""
IT-Ro1,2002,2,3,11.93,42.4081,0.9095,-9999,0,2.0515,2.859,1.083555,0.666396,0,x
IT-Ro1,2002,2,4,11.93,42.4081,1.876,-9999,0,1.993,2.7655,1.074975,0.696346,0,x
IT-Ro1,2002,2,5,11.93,42.4081,1.0475,-9999,0,1.9335,2.6685,1.071785,0.670668,0,""
IT-Ro1,2002,2,6,11.93,42.4081,0.4055,-9999,0,1.8765,2.5905,1.067785,0.6508195,0,x
IT-Ro1,2002,2,7,11.93,42.4081,0.21,-9999,2.247,1.8105,2.514,1.063215,0.6447885,0,""
IT-Ro1,2002,2,8,11.93,42.4081,0.361,-9999,83.53,4.739,2.393,0.839015,0.6494515,0,""
IT-Ro1,2002,2,9,11.93,42.4081,2.2705,-9999,219.95,4.958,2.171,0.6227955,0.7086115,0.093897,x
IT-Ro1,2002,2,10,11.93,42.4081,5.0925,-9999,339.55,3.2875,2.0065,0.4193195,0.796461,0.3636885,""
IT-Ro1,2002,2,11,11.93,42.4081,7.3145,-9999,411.2,3.538,1.843,0.3573965,0.8656765,0.5155685,""
IT-Ro1,2002,2,12,11.93,42.4081,8.2535,-9999,429.15,3.565,1.7165,0.3507605,0.8948705,0.54411,""
IT-Ro1,2002,2,13,11.93,42.4081,8.922,-9999,390.15,3.4665,1.7135,0.420273,0.915619,0.6109075,""
IT-Ro1,2002,2,14,11.93,42.4081,9.2675,-9999,272.5,3.1885,1.7545,-0.2949585,0.926329,1.0289995,""
IT-Ro1,2002,2,15,11.93,42.4081,9.2165,-9999,126.9,3.32,1.8785,0.669098,0.9247485,0.2556505,""
IT-Ro1,2002,2,16,11.93,42.4081,8.6475,-9999,32.305,1.7745,2.061,1.0064205,0.907102,0,""
IT-Ro1,2002,2,17,11.93,42.4081,8.03,-9999,0,1.6105,2.2905,1.05579,0.887922,0,""
IT-Ro1,2002,2,18,11.93,42.4081,5.776,-9999,0,1.618,2.411,1.04869,0.81776,0,x
IT-Ro1,2002,2,19,11.93,42.4081,4.2105,-9999,0,1.636,2.461,1.03597,0.768973,0,""
IT-Ro1,2002,2,20,11.93,42.4081,4.2385,-9999,0,1.664,2.4665,1.03384,0.7698445,0,x
IT-Ro1,2002,2,21,11.93,42.4081,3.734,-9999,0,1.669,2.4505,1.03384,0.754127,0,x
IT-Ro1,2002,2,22,11.93,42.4081,4.47,-9999,0,1.6635,2.403,1.03384,0.777059,0,x
IT-Ro1,2002,2,23,11.93,42.4081,4.601,-9999,0,1.653,2.3575,1.03384,0.7811415,0,x
IT-Ro1,2002,3,0,11.93,42.4081,4.557,-9999,0,1.641,2.3355,1.03384,0.7797705,0,""
IT-Ro1,2002,3,1,11.93,42.4081,3.63,-9999,0,1.6455,2.3095,1.03384,0.750888,0,x
IT-Ro1,2002,3,2,11.93,42.4081,3.671,-9999,0,1.668,2.271,1.03384,0.752165,0,""
IT-Ro1,2002,3,3,11.93,42.4081,4.4915,-9999,0,1.6865,2.238,1.030635,0.777729,0,""
IT-Ro1,2002,3,4,11.93,42.4081,4.8245,-9999,0,1.7025,2.2145,1.03082,0.7881075,0,""
IT-Ro1,2002,3,5,11.93,42.4081,5.371,-9999,0,1.7405,2.1915,1.03082,0.8051415,0,""
IT-Ro1,2002,3,6,11.93,42.4081,5.653,-9999,0,1.761,2.177,1.029765,0.8139305,0,""
IT-Ro1,2002,3,7,11.93,42.4081,5.8175,-9999,1.968,1.788,2.1665,1.027905,0.819057,0,x
IT-Ro1,2002,3,8,11.93,42.4081,5.523,-9999,80.445,2.615,2.1595,0.793634,0.809879,0.109582,""
