site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
JP-Kzw,2002,1,0,138.5725,36.406667,-9.22615305094372,42.7364947166225,0,1.94448256506411,-9999,-1.60551159090909,0.131712412774478,0,""
JP-Kzw,2002,1,1,138.5725,36.406667,-8.79726962678664,41.9173828238795,0,2.02508793191935,-9999,-1.34851122727272,0.141303491261432,0,x
JP-Kzw,2002,1,2,138.5725,36.406667,-8.1383253427133,40.2402812658858,0,2.16910656395446,-9999,-1.61862481818182,0.156810274173453,0,x
JP-Kzw,2002,1,3,138.5725,36.406667,-8.1353852678262,38.9797737937457,0,2.21543405795512,-9999,0.381976286922442,0.156913479726607,0,x
JP-Kzw,2002,1,4,138.5725,36.406667,-8.81454256674842,36.722732067518,0,2.20345330528751,-9999,-0.699136363636362,0.140898551188462,0,""
JP-Kzw,2002,1,5,138.5725,36.406667,-9.14787355707442,36.849146607814,0,2.15509679102278,-9999,-0.879910549465241,0.133459783421551,0,""
JP-Kzw,2002,1,6,138.5725,36.406667,-8.49113432916641,37.653541481503,13.5057225708822,2.21394672571278,-9999,-1.57176109090909,0.14835304813174,0,""
JP-Kzw,2002,1,7,138.5725,36.406667,-7.87240519241262,40.8042828718302,91.947359954539,2.18657940016198,-9999,0.311375272727273,0.163574909139723,0,""
JP-Kzw,2002,1,8,138.5725,36.406667,-6.47645759991922,44.7165452014778,241.734782549977,2.23128325415047,-9999,2.08477277272727,0.201017112313698,0,x
JP-Kzw,2002,1,9,138.5725,36.406667,-4.67426305649794,49.1217469926161,377.118968070871,2.33823487971393,-9999,4.21837495454545,0.258594039586926,0,x
JP-Kzw,2002,1,10,138.5725,36.406667,-1.34638124283076,50.1692431459469,471.934262382594,2.86258022848627,-9999,6.27064790909091,0.384586785298144,0,x
JP-Kzw,2002,1,12,138.5725,36.406667,-0.178194520600554,50.3798173120569,469.285478692005,3.08034928224311,-9999,5.05510227272728,0.43693174536992,0,x
JP-Kzw,2002,1,13,138.5725,36.406667,0.607251888896396,50.9870150166709,356.164813786007,3.19990275613426,-9999,4.46655672727273,0.474222419269322,0,""
JP-Kzw,2002,1,14,138.5725,36.406667,0.426429693904289,50.4165708400647,216.728032148556,3.20013248968167,-9999,1.46156840909091,0.465492113628529,0,""
JP-Kzw,2002,1,15,138.5725,36.406667,-0.521756691085528,51.3762379546882,58.1444510621194,2.95204588570616,-9999,1.01694336363636,0.421356861542472,0,""
