site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
JP-MBF,2005,6,18,142.318611,44.384167,-5.182,96.2,0,0.15003459456737,0.8995,0.293059741666666,2.3957716604766,0,""
JP-MBF,2005,6,19,142.318611,44.384167,-4.977,96.3,0,0.148674073341008,0.8785,0.401018075,2.44472020235654,0,""
JP-MBF,2005,6,20,142.318611,44.384167,-4.658,96.5,0,0.144524533402829,0.882,0.401018075,2.52186915637003,0,x
JP-MBF,2005,6,21,142.318611,44.384167,-4.588,96.6,0,0.141188935882392,0.8725,0.401018075,2.53912379100756,0,""
JP-MBF,2005,6,22,142.318611,44.384167,-4.296,96.7,0,0.140535962383625,0.89,0.401018075,2.61086400270031,0,x
JP-MBF,2005,6,23,142.318611,44.384167,-4.027,96.95,0,0.132879719377247,0.882,0.508168054166666,2.67806135678885,0,x
JP-MBF,2005,7,0,142.318611,44.384167,-3.96065848649156,97.1252324298866,0,0.126127404054967,0.908377049180328,0.401018075,2.69536652801963,0,x
JP-MBF,2005,7,1,142.318611,44.384167,-4.00665655053266,97.4184700536419,0,0.113166262286219,0.926510119047619,0.4005330625,2.68317945383678,0,x
JP-MBF,2005,7,2,142.318611,44.384167,-3.56136676390066,97.0178469111622,0,0.135609944448249,0.924699475524476,0.401018075,2.79622153246624,0,x
JP-MBF,2005,7,3,142.318611,44.384167,-3.3237188454286,97.9494061296586,0,0.0952829454056836,0.925143062200956,0.401018075,2.85745676367471,0,""
JP-MBF,2005,7,4,142.318611,44.384167,-3.48575151711411,99.4486689182782,0,0.0252237702236679,0.924874563242488,0.401018075,2.81559244765845,0,""
JP-MBF,2005,7,5,142.318611,44.384167,-3.82341960329327,100.853390010956,0,-0.038260966123921,0.926446795827124,1.4495962675,2.73014060289928,0,""
JP-MBF,2005,7,6,142.318611,44.384167,-4.82522160304753,99.9609312764535,3.50492551924678,0.0017150141987039,0.931659726027398,2.49817446,2.48133762536139,0,""
JP-MBF,2005,7,7,142.318611,44.384167,-4.49995601766407,99.0475520149432,14.0197297102418,0.0399845093649808,0.931283783783784,2.49817446,2.56052960202322,0,""
JP-MBF,2005,7,15,142.318611,44.384167,-8.88003920189323,90.3324286358177,12.3924364471574,0.277687676913503,0.9525,3.8969254,1.60087454477403,0,""
JP-MBF,2005,7,22,142.318611,44.384167,-12.8980493790227,95.4643063573739,0,0.0912183076055548,0.941844444444444,2.49817446,0.932832579908888,0,""
JP-MBF,2005,7,23,142.318611,44.384167,-12.9480594628763,94.159437662602,0,0.11696910623499,0.947375,2.49817446,0.925825669149039,0,""
JP-MBF,2005,8,0,142.318611,44.384167,-13.547780388448,96.03279419329,0,0.0761576130919577,0.95925,2.49817446,0.845665612253811,0,x
JP-MBF,2005,8,4,142.318611,44.384167,-15.636601570843,97.7927441658659,0,0.0347700361321029,0.95525,2.49817446,0.594868023023845,0,""
JP-MBF,2005,8,5,142.318611,44.384167,-15.7938332744786,97.1119583441143,0,0.0449597004005762,0.951424137931035,2.49817446,0.578278598185479,0,""
JP-MBF,2005,8,6,142.318611,44.384167,-15.5301801124027,95.4184747977398,6.4882965015682,0.0728707618260665,0.958666666666667,2.49817446,0.606236117338316,0,""
JP-MBF,2005,8,7,142.318611,44.384167,-15.0516836300919,94.5347261421694,81.1476630858876,0.0908131809048675,0.954681818181818,-1.244615,0.659218632336562,0,""
JP-MBF,2005,8,8,142.318611,44.384167,-14.0158747733172,90.4240652369095,163.129863170714,0.17626511997345,0.964864285714286,-0.24252775,0.784972732739568,1.02750048273957,x
JP-MBF,2005,8,9,142.318611,44.384167,-11.9846652075215,82.9101450385301,261.622831055605,0.377663598672779,0.9555,-1.723487055,1.06895184623259,2.79243890123259,""
JP-MBF,2005,8,10,142.318611,44.384167,-10.001865402896,74.5337987683761,322.087207146261,0.662115966291127,1.0005,-0.94322688,1.39359255651838,2.33681943651838,""
JP-MBF,2005,8,12,142.318611,44.384167,-9.69060264099154,74.7779760328986,233.203614607226,0.673955848159089,1.0225,0.2801565,1.44949833763142,1.16934183763142,x
JP-MBF,2005,8,14,142.318611,44.384167,-10.3079271160797,81.3939308261033,119.97321132435,0.472114522067369,1.002,0.011063,1.34021760727411,1.32915460727411,""
JP-MBF,2005,8,15,142.318611,44.384167,-11.0484764377831,87.112934411869,51.3389885436441,0.305441824664175,0.993,-0.3836625,1.2146979243596,1.5983604243596,x
JP-MBF,2005,8,20,142.318611,44.384167,-15.4605660756785,98.9417414272585,0,0.01693196238453,0.9560625,2.02823938333333,0.613767087490899,0,""
JP-MBF,2005,8,21,142.318611,44.384167,-15.4949730133698,97.5573252234538,0,0.0389693184117403,0.954105263157895,2.02823938333333,0.610035197985912,0,x
JP-MBF,2005,8,22,142.318611,44.384167,-15.8986544102356,97.9726923292943,0,0.0313150591426856,0.952492647058824,2.02823938333333,0.567534670613429,0,""
JP-MBF,2005,8,23,142.318611,44.384167,-16.513178320628,99.0944435290024,0,0.0131723608343869,0.948964285714285,2.02823938333333,0.506040775570167,0,""
JP-MBF,2005,9,0,142.318611,44.384167,-16.5891936480854,98.4241997657247,0,0.0227856797476361,0.951,2.02823938333333,0.49877697219404,0,x
JP-MBF,2005,9,1,142.318611,44.384167,-16.2959345163682,98.5619968988381,0,0.0213677160124551,0.950763888888889,2.02823938333333,0.527272030068429,0,x
JP-MBF,2005,9,2,142.318611,44.384167,-16.0158780467883,98.015632937479,0,0.0301777078963577,0.953038095238095,2.02823938333333,0.555323658508109,0,x
JP-MBF,2005,9,3,142.318611,44.384167,-15.9946737712344,97.2602331129528,0,0.0417554227754719,0.952922268907563,2.02823938333333,0.557899722899509,0,x
JP-MBF,2005,9,7,142.318611,44.384167,-14.240320029652,95.3861714438028,59.6173214512324,0.0823891540471786,0.95525,-0.6419456,0.755494917815357,0,x
JP-MBF,2005,9,8,142.318611,44.384167,-13.8010314530824,92.3646465203384,100.141096248862,0.141689738982779,0.9498,-0.584779285714286,0.811036731196673,1.39581601691096,""
JP-MBF,2005,9,11,142.318611,44.384167,-10.0506752447371,77.0417420690517,277.81231274988,0.595180386671325,1.02775,0.4326005,1.38520826113884,0.952607761138836,x
JP-MBF,2005,9,12,142.318611,44.384167,-9.55897610028901,75.8304118103339,248.721316262125,0.654169802374847,1.027625,0.173392833333333,1.47361150573255,1.30021867239922,x
JP-MBF,2005,9,13,142.318611,44.384167,-10.0570765354704,84.6023551484084,178.05089062915,0.398816544936163,0.998875,1.24010133333334,1.38390106920121,0.143799735867874,""
JP-MBF,2005,9,14,142.318611,44.384167,-10.5623784227266,89.7571035736897,102.799008578567,0.253721442737108,0.988075,0.59475375,1.29616350999909,0.74888990263376,x
JP-MBF,2005,9,15,142.318611,44.384167,-10.976461917034,92.1620178162512,42.2762168323125,0.186959228935172,0.982,0.285998333333333,1.22655784118933,0.940559507855993,""
JP-MBF,2005,9,19,142.318611,44.384167,-15.7170177856795,105.094624332094,0,-0.0796271287720021,0.957592607313196,1.69464131,0.586326102657923,0,""
JP-MBF,2005,9,20,142.318611,44.384167,-16.0746899054001,104.971276433138,0,-0.075581524980244,0.957992831541219,1.69464131,0.549428793198014,0,x
JP-MBF,2005,9,21,142.318611,44.384167,-16.55278630704,100.294725467906,0,-0.00429102844926605,0.959861842105263,1.69464131,0.502242515354383,0,x
JP-MBF,2005,9,22,142.318611,44.384167,-16.5983955035145,95.6132011256887,0,0.0638104942243929,0.960236111111111,1.69464131,0.497921161271914,0,x
JP-MBF,2005,9,23,142.318611,44.384167,-16.4039562974919,85.761398609562,0,0.209481555770475,0.957921739130435,1.69464131,0.516610787722503,0,""
JP-MBF,2005,10,0,142.318611,44.384167,-16.3783511345589,92.7910299408418,0,0.105749368489558,0.95912969924812,1.69464131,0.519277673601512,0,""
JP-MBF,2005,10,1,142.318611,44.384167,-15.7278199637919,98.8003950254155,0,0.0188324153655247,0.957519736842105,1.69464131,0.585242911101342,0,x
JP-MBF,2005,10,21,142.318611,44.384167,-15.529379951061,98.3558916306777,0,0.0261663404040104,0.95728947368421,1.69464131,0.606385181225962,0,""
JP-MBF,2005,10,22,142.318611,44.384167,-15.9274602185353,98.8491923132664,0,0.0176722011794386,0.957758333333333,1.69464131,0.564384570884893,0,x
JP-MBF,2005,10,23,142.318611,44.384167,-16.2047161234194,98.9617336828445,0,0.0155330147702317,0.957840996168583,1.69464131,0.53624031272279,0,x
JP-MBF,2005,11,0,142.318611,44.384167,-16.4655687207995,98.9855747600072,0,0.0149709388898416,0.959511111111111,1.69464131,0.510768465522626,0,x
JP-MBF,2005,11,1,142.318611,44.384167,-16.9316627023145,100.868811947862,0,-0.0121840899308751,0.962910416666666,1.69464131,0.466835491654222,0,x
JP-MBF,2005,11,2,142.318611,44.384167,-16.9452654451227,100.454136215889,0,-0.0063687662831042,0.962910416666666,1.69464131,0.465612331883673,0,""
