site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
JP-Nuf,2000,1,0,136.971889,35.152417,6.1,64.315,-2.86,3.35797762141273,7.42,2.629208108,2.7067390085,0,x
JP-Nuf,2000,1,1,136.971889,35.152417,5.93,65.58,-3.575,3.20126567063422,7.32,2.6292217695,2.679248964,0,""
JP-Nuf,2000,1,2,136.971889,35.152417,5.645,67.43,-2.86,2.96941890265782,7.3,2.582781994,2.6333613235,0,""
JP-Nuf,2000,1,3,136.971889,35.152417,5.645,67.67,-2.86,2.94800422968282,7.475,2.532269881,2.6334062345,0,""
JP-Nuf,2000,1,4,136.971889,35.152417,5.29,68.18,-2.86,2.83092649186338,7.44,2.4749864315,2.5766623475,0,x
JP-Nuf,2000,1,5,136.971889,35.152417,4.79,71.78,-4.285,2.42399489951764,7.18,2.530481122,2.4975016205,0,""
JP-Nuf,2000,1,6,136.971889,35.152417,4.68,73.825,-3.095,2.23112794278186,7.12,3.750393678,2.4802269665,0,x
JP-Nuf,2000,1,7,136.971889,35.152417,4.275,73.39,51.19,2.20461024303949,7.1,0.4997394895,2.4169754975,0,""
JP-Nuf,2000,1,8,136.971889,35.152417,4.78,69.585,211.43,2.61632139814752,7.145,-0.9356686345,2.496321892,3.4319905265,""
JP-Nuf,2000,1,9,136.971889,35.152417,6.95,62.475,350.71,3.74828305990661,7.42,5.8812023575,2.845943959,0,""
JP-Nuf,2000,1,10,136.971889,35.152417,8.965,52.61,455.95,5.43984592443401,7.79,-4.4075411925,3.184939011,7.5924802035,""
JP-Nuf,2000,1,11,136.971889,35.152417,10.24,39.17,514.76,7.58605143235743,8.2,-3.6043904305,3.405383328,7.0097737585,x
JP-Nuf,2000,1,12,136.971889,35.152417,10.565,36.14,544.525,8.13811959264979,8.57,-2.7993851765,3.462380115,6.2617652915,""
JP-Nuf,2000,1,13,136.971889,35.152417,10.535,36.655,426.19,8.05730037314061,8.64,-2.986249709,3.457131332,6.4433810415,x
JP-Nuf,2000,1,14,136.971889,35.152417,9.985,38.3,296.665,7.56390933686971,8.325,-1.67537562,3.3608581825,5.036233802,""
JP-Nuf,2000,1,15,136.971889,35.152417,9.335,39.57,139.525,7.09254353385331,8.165,0.4646350595,3.248223055,2.7835879955,""
JP-Nuf,2000,1,16,136.971889,35.152417,8.465,42.26,19.765,6.3910531464938,8.005,1.3755407505,3.099405106,1.7238643555,""
JP-Nuf,2000,1,17,136.971889,35.152417,7.515,45.94,-7.14,5.6080912998558,7.765,3.3498092515,2.939503864,0,x
JP-Nuf,2000,1,18,136.971889,35.152417,6.785,47.81,-5.715,5.14905215966056,7.62,2.1091230595,2.8185688095,0,x
JP-Nuf,2000,1,19,136.971889,35.152417,6.2,49.335,-4.285,4.80036575409277,7.5,1.2035946715,2.722960835,0,x
JP-Nuf,2000,1,20,136.971889,35.152417,5.67,51.785,-5.715,4.40505068569375,7.38,1.2453654935,2.637427544,0,""
JP-Nuf,2000,1,21,136.971889,35.152417,5.055,55.235,-3.575,3.91738286018416,7.285,2.8169408495,2.5393367945,0,x
JP-Nuf,2000,1,22,136.971889,35.152417,4.77,56.325,-2.86,3.74664986020621,7.225,2.7114801115,2.4943706765,0,""
JP-Nuf,2000,1,23,136.971889,35.152417,4.415,57.945,-2.86,3.51936834963366,7.12,2.1665077415,2.438795748,0,""
JP-Nuf,2000,2,0,136.971889,35.152417,3.81,59.995,-4.29,3.20873479665629,6.99,2.619498536,2.345203322,0,""
JP-Nuf,2000,2,1,136.971889,35.152417,3.085,63.44,-5,2.78675017033889,6.825,3.9730443315,2.234894114,0,""
JP-Nuf,2000,2,2,136.971889,35.152417,2.69,64.595,-2.86,2.62246290256716,6.625,3.214120762,2.17558852,0,x
JP-Nuf,2000,2,3,136.971889,35.152417,2.115,68.085,-2.86,2.26970700523379,6.545,2.0688011215,2.090583955,0,""
JP-Nuf,2000,2,4,136.971889,35.152417,2.075,68.705,-2.86,2.21852536287466,6.67,2.422209621,2.084660754,0,x
JP-Nuf,2000,2,5,136.971889,35.152417,2.205,68.51,-2.86,2.25334373353327,6.695,2.791240803,2.1037616915,0,x
JP-Nuf,2000,2,6,136.971889,35.152417,2.49,66.96,-1.905,2.41288301216114,6.655,3.0678342625,2.1458564985,0,x
JP-Nuf,2000,2,7,136.971889,35.152417,2.8,65.085,20.24,2.60740806785065,6.78,-0.9180944395,2.1920688785,0,""
JP-Nuf,2000,2,8,136.971889,35.152417,3.735,59.43,66.665,3.23698906501839,6.985,1.2996379355,2.333665201,1.7912889835,x
JP-Nuf,2000,2,9,136.971889,35.152417,4.45,58.47,137.855,3.48379290868439,7.23,-1.2356631045,2.44430134,3.6799644445,x
JP-Nuf,2000,2,10,136.971889,35.152417,5.51,55.965,180.235,3.98047116990966,7.525,-3.6309671805,2.6119380365,6.2429052175,x
JP-Nuf,2000,2,11,136.971889,35.152417,6.275,53.895,195,4.39100229563981,7.705,-0.8218671375,2.735172264,3.557039401,x
JP-Nuf,2000,2,12,136.971889,35.152417,7.355,51.445,267.62,4.98353376485085,8.01,-0.773192661,2.91292778,3.6861204405,""
JP-Nuf,2000,2,13,136.971889,35.152417,8.24,50.505,211.665,5.39386585267064,8.165,-4.442154332,3.061277754,7.503432086,x
JP-Nuf,2000,2,14,136.971889,35.152417,9.075,50.175,231.665,5.74689701186974,8.2,-1.475961873,3.203625906,4.6795877785,x
JP-Nuf,2000,2,15,136.971889,35.152417,9.555,50.64,77.855,5.87962094202963,8.335,0.3207092115,3.2861863845,2.965477173,x
JP-Nuf,2000,2,16,136.971889,35.152417,9.23,51.115,2.14,5.69678429875029,8.23,2.4836617495,3.2301125005,0.746450751,""
