site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
JP-Spp,2000,1,0,141.385331,42.986843,-3.1365,90.348,0,0.453950900779989,1.393,-0.634136363636363,0.590783417747432,0,x
JP-Spp,2000,1,1,141.385331,42.986843,-3.285,75.707,0,1.1239229318184,1.3965,-0.570538461538461,0.585162061971364,0,""
JP-Spp,2000,1,2,141.385331,42.986843,-3.717,66.2835,0,1.50831380384661,1.4,-0.225,0.568838694105051,0,""
JP-Spp,2000,1,3,141.385331,42.986843,-4.4135,66.3365,0,1.4245945739825,1.4,0.575464285714285,0.542889287796581,0,""
JP-Spp,2000,1,4,141.385331,42.986843,-4.6415,85.585,0,0.593848675085467,1.405,1.37592857142857,0.534389973798131,0,x
JP-Spp,2000,1,5,141.385331,42.986843,-3.9865,97.325,0,0.117219927345397,1.41,0.435004464285715,0.55876457372181,0,""
JP-Spp,2000,1,6,141.385331,42.986843,-5.105,97.0035,0.117,0.118864280426088,1.41,0.9811875,0.517369279399593,0,""
JP-Spp,2000,1,7,141.385331,42.986843,-5.695,95.3335,21.7605,0.176191145303472,1.41,0.316,0.495934583314133,0,""
JP-Spp,2000,1,8,141.385331,42.986843,-5.905,94.5235,92.548,0.203171845791955,1.4115,0.0969999999999999,0.488373473763319,0.391373473763318,x
JP-Spp,2000,1,9,141.385331,42.986843,-5.2585,87.45,244.8515,0.494628326649735,1.42,-2.7315,0.511803711289496,3.47312280650587,""
JP-Spp,2000,1,10,141.385331,42.986843,-4.15,77.55,371.9735,0.969703407766784,1.42,4.8055,0.552636301097922,0,""
JP-Spp,2000,1,11,141.385331,42.986843,-3.5665,70.45,411.2555,1.34105478882758,1.42,3.6795,0.574523444765533,0,""
JP-Spp,2000,1,12,141.385331,42.986843,-3.41,63.5985,389.2605,1.67120945015733,1.42,-1.2645,0.580415099877738,1.84491509987774,""
JP-Spp,2000,1,13,141.385331,42.986843,-3.482,58.422,262.513,1.89731213271544,1.4285,0.7175,0.577694217328647,0.194441521690366,x
JP-Spp,2000,1,14,141.385331,42.986843,-3.775,67.9785,96.905,1.42809882419115,1.43,2.186,0.56666618813829,0,x
JP-Spp,2000,1,15,141.385331,42.986843,-4.77,90.895,21.0585,0.373237412562179,1.4335,-0.6625,0.529655116328416,1.41548154517817,""
JP-Spp,2000,1,16,141.385331,42.986843,-5.325,94.04,0.7965,0.232422248097848,1.44,0.676411764705882,0.509341629844908,0,""
JP-Spp,2000,1,17,141.385331,42.986843,-5.878,94.1865,0,0.216324788970138,1.44,0.735514705882353,0.489350648176761,0,""
JP-Spp,2000,1,18,141.385331,42.986843,-6.0135,94.9335,0,0.186238677445529,1.44,0.718462418300653,0.484483387073982,0,""
JP-Spp,2000,1,19,141.385331,42.986843,-6.08,94.4085,0,0.20435887501652,1.44,0.680903947368421,0.482104014013648,0,x
JP-Spp,2000,1,20,141.385331,42.986843,-6.198,94.66,0,0.193194821086765,1.44,0.811952380952381,0.477891829690524,0,""
JP-Spp,2000,1,21,141.385331,42.986843,-6.21,94.7115,0,0.191122041270355,1.44,0.98,0.477463892111177,0,""
JP-Spp,2000,1,22,141.385331,42.986843,-6.275,94.6165,0,0.193409016848938,1.4485,1.00311904761905,0.475150038273661,0,""
JP-Spp,2000,1,23,141.385331,42.986843,-6.35,94.8485,0,0.183948697651448,1.45,1.0262380952381,0.47248336203217,0,x
JP-Spp,2000,2,0,141.385331,42.986843,-6.3885,95.1615,0,0.172188085933796,1.4415,1.0262380952381,0.471116574887497,0,x
JP-Spp,2000,2,1,141.385331,42.986843,-6.41,94.4,0,0.198915640198264,1.44,1.0262380952381,0.470353879861872,0,""
JP-Spp,2000,2,2,141.385331,42.986843,-6.3065,91.3215,0,0.311216224477324,1.44,1.00311904761905,0.474031279309093,0,x
JP-Spp,2000,2,3,141.385331,42.986843,-6.532,94.515,0,0.192915792172097,1.44,1.1129,0.466035012202543,0,""
