site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
JP-Toc,2011,1,0,141.565898,42.709727,-1.7050316661526,67.8042105749297,0,1.69727885033007,,4.74284,0.808145252035625,0,x
JP-Toc,2011,1,1,141.565898,42.709727,-1.82317664090956,68.3597168159789,0,1.65152931739558,,3.85233999999999,0.794828824056423,0,x
JP-Toc,2011,1,2,141.565898,42.709727,-1.70797477940279,68.1981187262306,0,1.67601334584736,,4.56458666666668,0.807797408621455,0,""
JP-Toc,2011,1,3,141.565898,42.709727,-1.79416595315786,68.8410034595294,0,1.63041371583892,,4.13828666666666,0.798082877551078,0,x
JP-Toc,2011,1,4,141.565898,42.709727,-1.88245935066304,69.9576910661099,0,1.56033102613241,,4.69986666666668,0.788203731822605,0,""
JP-Toc,2011,1,5,141.565898,42.709727,-1.77860949740691,69.7034255754651,0,1.58725099029154,,3.45387333333333,0.799822843588691,0,""
JP-Toc,2011,1,6,141.565898,42.709727,-1.73446279865433,69.1870455906853,0,1.62030728140485,,3.43636666666666,0.804828531699986,0,""
JP-Toc,2011,1,7,141.565898,42.709727,-1.37763703180567,69.5809714593834,0,1.64845353361451,,2.93984000000001,0.845906426720652,0,x
JP-Toc,2011,1,8,141.565898,42.709727,-0.84284645990525,68.4868530966896,12.5,1.78565139718997,,2.6435,0.909947864291232,0,""
JP-Toc,2011,1,9,141.565898,42.709727,-0.316508807678778,66.3035214415622,86.1,1.99527588680311,,2.22847333333333,0.976159737624563,0,x
JP-Toc,2011,1,10,141.565898,42.709727,0.170291743910951,64.4129908246139,211.4,2.19253726944805,,3.85251333333334,1.03999567592763,0,x
JP-Toc,2011,1,11,141.565898,42.709727,0.22671448127795,65.835212942272,324.9,2.11425362470308,,1.44598666666666,1.04758775467466,0.297601993424207,""
JP-Toc,2011,1,12,141.565898,42.709727,0.197473500598687,64.1447574324105,389.5,2.21257870901179,,3.75237999999999,1.04369100327229,0,x
JP-Toc,2011,1,13,141.565898,42.709727,-0.0772269798669462,62.1365988837407,397.5,2.2855962695852,,3.58528666666668,1.00712797196891,0,x
JP-Toc,2011,1,14,141.565898,42.709727,-0.168244680291061,62.0103303254069,318,2.27605653572212,,5.58413999999999,0.995232912091198,0,x
JP-Toc,2011,1,15,141.565898,42.709727,-0.468479538251198,62.3463872075124,178.3,2.20100939307644,,4.37046000000001,0.956711264404768,0,x
JP-Toc,2011,1,16,141.565898,42.709727,-0.9215088163804,63.8566845889476,69.9,2.03413505854229,,5.44268,0.900247288824814,0,""
JP-Toc,2011,1,17,141.565898,42.709727,-1.11878247476575,66.0462378074098,14.5,1.88017591398487,,6.81430666666667,0.876492662028675,0,""
JP-Toc,2011,1,18,141.565898,42.709727,-1.50879949875513,67.9950079507817,0,1.71515209637112,,3.65978,0.830579179211367,0,""
JP-Toc,2011,1,19,141.565898,42.709727,-1.60640671595207,70.0038289179486,0,1.59429194358494,,2.13702666666666,0.819358524574308,0,x
JP-Toc,2011,1,20,141.565898,42.709727,-1.53021542826668,71.7518142776417,0,1.51100359417888,,2.92582666666668,0.828103019563217,0,""
JP-Toc,2011,1,21,141.565898,42.709727,-1.54174708261906,72.5875028571109,0,1.46498619967362,,2.86196666666667,0.826794819552445,0,x
JP-Toc,2011,1,22,141.565898,42.709727,-1.75467084333979,73.0726181936149,0,1.41360537300243,,2.14878666666665,0.802522482327195,0,x
JP-Toc,2011,1,23,141.565898,42.709727,-1.82715552784048,73.4755347322665,0,1.38400306304832,,3.39837333333334,0.794373328202895,0,""
JP-Toc,2011,2,0,141.565898,42.709727,-1.87575321403978,72.8282696396099,0,1.41200157890699,,1.48569333333334,0.788968357913693,0,x
JP-Toc,2011,2,1,141.565898,42.709727,-2.11256397306183,72.1731538335632,0,1.41765847111728,,1.31794,0.762850849175719,0,""
JP-Toc,2011,2,2,141.565898,42.709727,-2.23858848134141,72.5465710293263,0,1.38390629917299,,0.543013333333342,0.749204603125896,0,x
JP-Toc,2011,2,3,141.565898,42.709727,-2.40909222783734,72.6750108148233,0,1.35791459297995,,1.70173333333334,0.731035443146914,0,""
JP-Toc,2011,2,4,141.565898,42.709727,-2.67143736435396,72.7137973928601,0,1.3263023376606,,0.931213333333327,0.703604543047909,0,""
JP-Toc,2011,2,5,141.565898,42.709727,-2.81599488855698,72.6259518096241,0,1.31452719032603,,0.732119999999996,0.688822582906062,0,""
JP-Toc,2011,2,6,141.565898,42.709727,-2.97496698070048,73.1206251939655,0,1.27351293215903,,0.564480000000012,0.672784193892116,0,x
JP-Toc,2011,2,7,141.565898,42.709727,-2.8065224581961,72.8086444368294,0,1.30743831356935,,1.8597,0.689845602553195,0,""
JP-Toc,2011,2,8,141.565898,42.709727,-2.40703300384581,69.1852919673557,33.2,1.53160032043881,,1.333,0.731226800082303,0.139456910099287,x
JP-Toc,2011,2,9,141.565898,42.709727,-2.16939855522717,65.8795740452805,141.6,1.73116293063804,,1.62568666666666,0.756779888725805,0,""
JP-Toc,2011,2,10,141.565898,42.709727,-1.68053877964595,61.5923182389802,268.1,2.02895784410625,,2.66947333333332,0.810925875646316,0,x
JP-Toc,2011,2,11,141.565898,42.709727,-1.48903094843679,60.3207573668791,358.9,2.12980855107376,,2.32644000000001,0.832856600008391,0,""
JP-Toc,2011,2,12,141.565898,42.709727,-1.3601235265691,59.8075244334005,418.8,2.18087853507343,,0.384966666666659,0.847880986589074,0.626250552967005,x
JP-Toc,2011,2,13,141.565898,42.709727,-1.05947682381064,59.0719598922492,425.8,2.27719436511242,,-0.087520000000004,0.883570804257719,0.971090804257724,x
JP-Toc,2011,2,14,141.565898,42.709727,-0.947455038673254,59.6683324341765,370.1,2.26582052460421,,0.826626666666665,0.897178888831823,0.147877965439241,x
JP-Toc,2011,2,15,141.565898,42.709727,-1.59075661361669,63.8644125386936,253,1.92560995676591,,-0.251833333333333,0.821493488590578,1.07332682192391,x
JP-Toc,2011,2,16,141.565898,42.709727,-2.60348297263457,68.2628465609242,103.7,1.55322964814753,,0.293040000000012,0.710964904022826,0.417924904022814,x
JP-Toc,2011,2,17,141.565898,42.709727,-3.0153277709338,71.0072307776215,14.5,1.37012437080305,,0.868306666666662,0.669382284446193,0,""
JP-Toc,2011,2,18,141.565898,42.709727,-1.97500781042988,72.5825750448849,0,1.41300437707701,,1.74023736434109,0.777932909050606,0,x
JP-Toc,2011,2,19,141.565898,42.709727,-2.14262864333768,74.3333426186789,0,1.30463763545627,,1.77882534883721,0.759670253206155,0,x
JP-Toc,2011,2,20,141.565898,42.709727,-2.64425560766618,74.9490095152872,0,1.22053160451872,,0.204213333333333,0.706456936036891,0,""
