site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
JP-Tom,2003,2,8,141.571488,42.698906,-13.14,79,46.1,0.410270392539168,,0.162485512370149,0.0287592844337407,0,x
JP-Tom,2003,2,14,141.571488,42.698906,-1.19,53,294.6,2.59926741837844,,1.32425436690149,0.156279986507105,0,""
JP-Tom,2003,2,15,141.571488,42.698906,-1.86,59,158.8,2.14429372744576,,0.413231137855014,0.145618044326403,0,""
JP-Tom,2003,2,17,141.571488,42.698906,-5.19,76,1.2,0.946934352330748,,0.266960763726074,0.0990257135495297,0,x
JP-Tom,2003,2,18,141.571488,42.698906,-7.44,83,0,0.552169199398768,,0.0769886582240182,0.0734900514921746,0,""
JP-Tom,2003,2,19,141.571488,42.698906,-9.48,87,0,0.352925416997137,,-0.302955552780093,0.0543263533311667,0,""
JP-Tom,2003,2,20,141.571488,42.698906,-9.98,86,0,0.363570570254307,,-0.302955552780093,0.0501860068866776,0,""
JP-Tom,2003,3,0,141.571488,42.698906,-10.22,88,0,0.305043120148608,,-0.302955552780093,0.0482742636112521,0,""
JP-Tom,2003,3,1,141.571488,42.698906,-10.37,88,0,0.300989906200361,,-0.302955552780093,0.047104073694058,0,x
JP-Tom,2003,3,2,141.571488,42.698906,-10.4,88,0,0.30018518254293,,-0.302955552780093,0.046872299380603,0,x
JP-Tom,2003,3,9,141.571488,42.698906,-11.46,87,94.4,0.295728860129659,,-0.235313838579797,0.0391595436598122,0.27447338223961,x
JP-Tom,2003,3,10,141.571488,42.698906,-7.06,78,249,0.7386144943499,,0.393469071008591,0.0774734453412951,0,""
JP-Tom,2003,3,12,141.571488,42.698906,-2.37,65,214.8,1.75398013962099,,0.772927404054535,0.137792016242955,0,""
JP-Tom,2003,3,13,141.571488,42.698906,-0.62,70,172.1,1.73944478952368,,0.912484246471629,0.16569070057054,0,""
JP-Tom,2003,3,14,141.571488,42.698906,-0.13,68,127.4,1.93206998980171,,0.203922058580025,0.174030138844675,0,""
JP-Tom,2003,3,15,141.571488,42.698906,-0.01,69,66.5,1.89030043790938,,-0.620080806396417,0.176107559426533,0.79618836582295,""
JP-Tom,2003,3,16,141.571488,42.698906,-0.12,73,20.1,1.63152905050119,,0.0720304871171052,0.1742027300575,0.102172242940394,x
JP-Tom,2003,3,17,141.571488,42.698906,-0.14,76,0,1.44785783539984,,-0.0302700665083912,0.173857643502331,0,""
JP-Tom,2003,3,18,141.571488,42.698906,-0.35,80,0,1.18581321704949,,-0.113892935191734,0.170257395821236,0,x
JP-Tom,2003,3,19,141.571488,42.698906,-0.36,76,0,1.42180075523139,,-0.113892935191734,0.170087010820213,0,""
JP-Tom,2003,3,20,141.571488,42.698906,0.07,74,0,1.59497572333175,,-0.0302700665083912,0.177500171803478,0,x
JP-Tom,2003,3,21,141.571488,42.698906,-0.22,83,0,1.01881903053756,,-0.113892935191734,0.172481132681962,0,x
JP-Tom,2003,3,22,141.571488,42.698906,-0.42,87,0,0.766333003862948,,-0.113892935191734,0.169066716466362,0,""
JP-Tom,2003,3,23,141.571488,42.698906,0.1,91,0,0.553312956701201,,-0.0302700665083912,0.178023981753092,0,""
JP-Tom,2003,4,0,141.571488,42.698906,0.45,93,0,0.441432240757913,,-0.262515735927116,0.184198731746902,0,""
JP-Tom,2003,4,1,141.571488,42.698906,0.44,94,0,0.37809623133993,,-0.122010990632237,0.184020684823999,0,""
JP-Tom,2003,4,2,141.571488,42.698906,0.44,94,0,0.37809623133993,,-0.122010990632237,0.184020684823999,0,x
JP-Tom,2003,4,3,141.571488,42.698906,0.33,95,0,0.312575784407616,,-0.0379401084898194,0.182068476347983,0,x
JP-Tom,2003,4,4,141.571488,42.698906,0.22,95,0,0.310088990112177,,-0.0379401084898194,0.180127837637191,0,x
JP-Tom,2003,4,5,141.571488,42.698906,0.16,95,0,0.30873994280439,,-0.0302700665083912,0.179074186779443,0,x
JP-Tom,2003,4,6,141.571488,42.698906,0.46,95,0,0.3155374405511,,-0.262515735927116,0.184376874213421,0,x
JP-Tom,2003,4,7,141.571488,42.698906,0.43,95,0,0.314851788624632,,-0.122010990632237,0.183842733451056,0,""
JP-Tom,2003,4,8,141.571488,42.698906,0.28,95,10.6,0.311443246224806,,-0.0379401084898194,0.181184933092139,0.219125041581959,x
JP-Tom,2003,4,9,141.571488,42.698906,0.38,95,71.7,0.3137119618559,,-0.0940798179029674,0.182954410056137,0.277034227959104,""
JP-Tom,2003,4,10,141.571488,42.698906,0.73,95,142.2,0.321767950927471,,0.294687106436023,0.189222812440538,0,x
JP-Tom,2003,4,11,141.571488,42.698906,1.61,93,325.7,0.479970835384744,,0.153005674616791,0.205498698995762,0.052493024378971,""
JP-Tom,2003,4,12,141.571488,42.698906,2.82,85,376.8,1.12137649129717,,-1.18174807430585,0.229073280421993,1.41082135472785,x
JP-Tom,2003,4,13,141.571488,42.698906,3.48,63,376.4,2.89855182642696,,-1.18174807430585,0.242509693119879,1.42425776742573,x
JP-Tom,2003,4,14,141.571488,42.698906,3.13,56,309.6,3.36256435799458,,1.32425436690149,0.235333863694723,0,""
JP-Tom,2003,4,15,141.571488,42.698906,2.16,52,173.6,3.42349939730931,,0.258130994882374,0.216043675979259,0,""
JP-Tom,2003,4,16,141.571488,42.698906,1.28,54,52,3.080132807162,,-0.0733327368324784,0.199309037883051,0.272641774715529,x
JP-Tom,2003,4,17,141.571488,42.698906,-0.17,60,0,2.40713205344988,,-0.113892935191734,0.173340732746923,0,""
JP-Tom,2003,4,18,141.571488,42.698906,-1.19,64,0,1.9909282353537,,-0.472991946337392,0.156279986507105,0,x
JP-Tom,2003,4,19,141.571488,42.698906,-2.13,67,0,1.68735321600631,,-0.189117985986931,0.141443650244057,0,""
JP-Tom,2003,4,20,141.571488,42.698906,-3.41,82,0,0.826400739334145,,-0.109764752942649,0.122608703316998,0,""
JP-Tom,2003,4,21,141.571488,42.698906,-2.7,70,0,1.46231388568367,,-0.0531970415663729,0.132861564949932,0,""
JP-Tom,2003,4,22,141.571488,42.698906,-2.84,55,0,2.1677839713069,,-0.0035642299892028,0.13080151791364,0,x
JP-Tom,2003,4,23,141.571488,42.698906,-3.76,56,0,1.96110788610047,,0.0247982385815285,0.117732571052946,0,""
JP-Tom,2003,5,0,141.571488,42.698906,-4.04,58,0,1.82800671057847,,-0.0081971540966617,0.113916148883469,0,x
JP-Tom,2003,5,1,141.571488,42.698906,-4.17,58,0,1.80791785303707,,0.00762331098724345,0.112169723874571,0,x
JP-Tom,2003,5,2,141.571488,42.698906,-4.46,56,0,1.84781797111884,,0.14916264503395,0.108331990421295,0,""
JP-Tom,2003,5,3,141.571488,42.698906,-6.09,68,0,1.1685312586008,,0.144693294781201,0.0882453411729771,0,""
JP-Tom,2003,5,4,141.571488,42.698906,-6.24,67,0,1.18953864893558,,0.145568855020681,0.0865224643345733,0,x
