site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
TH-Mae,2008,1,0,99.716667,18.383333,19.415,65.992960505,0,7.66949070867154,21.475,2.28877577777778,2.31876377277141,0,x
TH-Mae,2008,1,1,99.716667,18.383333,19.301666665,65.75782262,0,7.66592718060907,21.439166665,1.74825518777778,2.30117100812693,0,""
TH-Mae,2008,1,2,99.716667,18.383333,19.58666667,64.30846537,0,8.13008296427867,21.231666665,1.71143624836602,2.34546245588581,0,x
TH-Mae,2008,1,3,99.716667,18.383333,18.20333333,72.23916723,0,5.80107779847169,20.90666667,1.97236500285715,2.13453532960789,0,""
TH-Mae,2008,1,4,99.716667,18.383333,18.075,70.85235149,0,6.04066875598395,20.35,1.92155956363636,2.11545445201451,0,x
TH-Mae,2008,1,5,99.716667,18.383333,16.893333335,76.45116456,0,4.52929848123978,19.874166665,1.73173210909091,1.94477112331544,0,""
TH-Mae,2008,1,6,99.716667,18.383333,16.911666665,73.897893605,0.4798465,5.02694329486364,19.4625,2.16108605454545,1.94740469388544,0,""
TH-Mae,2008,1,7,99.716667,18.383333,16.33833333,76.6620466,48.768394165,4.34243285490653,19.425833335,0.411170075,1.86781760394281,1.45664752894282,x
TH-Mae,2008,1,8,99.716667,18.383333,17.59,73.1394442,222.8726807,5.3990877854699,20.22166667,-3.077448,2.04442886757118,5.12187686757118,x
TH-Mae,2008,1,9,99.716667,18.383333,20.14,58.43911507,339.5393475,9.81423729560161,21.926666665,-3.02387933333334,2.43337365117283,5.45725298450617,""
TH-Mae,2008,1,10,99.716667,18.383333,21.321666665,53.453038035,596.28918735,11.8079253080591,24.3875,-5.990385,2.62562413574781,8.61600913574781,""
TH-Mae,2008,1,11,99.716667,18.383333,22.8,46.826210925,659.580934,14.7544564248506,26.219166665,-4.0737713,2.8772272514021,6.9509985514021,""
TH-Mae,2008,1,12,99.716667,18.383333,23.79166667,43.754968365,693.41010885,16.5665308130199,26.280833335,-5.63503,3.05284080090475,8.68787080090473,x
TH-Mae,2008,1,13,99.716667,18.383333,24.551666665,41.08785211,651.11964185,18.1594745452164,26.368333335,-2.779402,3.19099251855292,5.97039451855292,x
TH-Mae,2008,1,14,99.716667,18.383333,24.633333335,40.72858125,423.20857335,18.3610426618209,25.9825,-2.47466325,3.20607760650134,5.68074085650134,x
TH-Mae,2008,1,15,99.716667,18.383333,24.341666665,41.50899301,269.881638,17.8057968861314,25.4425,-1.253797,3.15254822983017,4.40634522983017,""
TH-Mae,2008,1,16,99.716667,18.383333,23.625,44.317521245,109.181062,16.2381875664627,24.725,-1.31103168333333,3.02297301835409,4.33400470168742,""
TH-Mae,2008,1,17,99.716667,18.383333,23.315,45.477035825,37.3960331665,15.6045496934354,24.055,0.368475665,2.9677330047007,2.5992573397007,""
TH-Mae,2008,1,18,99.716667,18.383333,22.573333335,48.3575078,0,14.1314490506874,23.400833335,1.77297584333333,2.83776595893504,0,x
TH-Mae,2008,1,19,99.716667,18.383333,21.496666665,53.701255295,0,11.8766480381143,22.780833335,1.87749708509615,2.65493625777808,0,""
TH-Mae,2008,1,20,99.716667,18.383333,20.556666665,55.62485345,0,10.7374100953005,21.99833333,2.3112875,2.50004347643875,0,x
TH-Mae,2008,1,21,99.716667,18.383333,20.021666665,55.0125701,0,10.5263088616572,21.440833335,1.5492405,2.41401912837377,0,x
TH-Mae,2008,1,22,99.716667,18.383333,18.816666665,59.055780785,0,8.90912488156347,20.89916667,3.50366896190476,2.22733675503859,0,x
TH-Mae,2008,1,23,99.716667,18.383333,17.163333335,68.558731115,0,6.151771346946,20.378333335,2.61218005714286,1.98318057647243,0,""
TH-Mae,2008,2,0,99.716667,18.383333,17.086666665,64.114973655,0,6.98725058145731,19.9625,1.427424,1.97218941355516,0,x
TH-Mae,2008,2,1,99.716667,18.383333,16.293333335,67.14356319,0,6.086075441347,19.540833335,1.87971692777778,1.86128960612991,0,""
TH-Mae,2008,2,2,99.716667,18.383333,15.57166667,71.285819665,0,5.08043818624686,19.1725,1.58131663333333,1.76352641749025,0,""
TH-Mae,2008,2,3,99.716667,18.383333,15.18166667,72.537846495,0,4.73798197089446,18.8275,1.69813621428572,1.71189557855582,0,x
TH-Mae,2008,2,4,99.716667,18.383333,14.68333333,73.62084129,0,4.40986003436057,18.535,1.39068958333334,1.64723892896151,0,""
TH-Mae,2008,2,5,99.716667,18.383333,14.415,74.904017465,0,4.12355664254632,18.258333335,1.91450028461538,1.61308191379756,0,x
TH-Mae,2008,2,6,99.716667,18.383333,13.928333335,77.55766661,0.6557901665,3.56859955436116,17.955,1.87493855555556,1.55186159726198,0,x
TH-Mae,2008,2,7,99.716667,18.383333,15.215,69.74945617,79.25463835,5.23474868717212,17.92333333,-0.8275555,1.71643090422111,2.54398640422111,x
TH-Mae,2008,2,8,99.716667,18.383333,16.551666665,64.19908768,276.6954575,6.74539153650507,19.05333333,-2.23520337666667,1.89724581062808,4.13244918729475,x
TH-Mae,2008,2,9,99.716667,18.383333,18.206666665,58.54251212,484.11708265,8.67049783929815,20.751666665,-2.3899195,2.13543101744207,4.52535051744206,""
TH-Mae,2008,2,10,99.716667,18.383333,19.16,55.322449495,647.8886755,9.91451537954704,23.851666665,-3.553276,2.27941232092033,5.83268832092033,""
TH-Mae,2008,2,11,99.716667,18.383333,20.34,50.96231517,750,11.7097250551288,25.929166665,-3.3982045,2.46515594323396,5.86336044323396,x
TH-Mae,2008,2,12,99.716667,18.383333,21.703333335,45.979097455,804.302623,14.018460968508,25.961666665,-1.956224,2.6891840494363,4.64540804943629,x
TH-Mae,2008,2,13,99.716667,18.383333,22.223333335,43.236849235,752.2392835,15.2076578694402,25.7875,-2.3698397,2.77758221422753,5.14742191422753,""
TH-Mae,2008,2,14,99.716667,18.383333,22.725,42.342247855,531.4619322,15.9209403584029,25.08,-1.91153025,2.86403805597639,4.77556830597639,""
TH-Mae,2008,2,15,99.716667,18.383333,23.14333333,41.97302168,423.06461915,16.4343864207352,24.606666665,-2.91620225,2.93732305120106,5.85352530120107,x
TH-Mae,2008,2,16,99.716667,18.383333,22.895,43.27210676,207.83749215,15.8282304045701,24.03666667,-0.83796983,2.89377206709497,3.73174189709497,""
TH-Mae,2008,2,17,99.716667,18.383333,21.93166667,47.76626572,46.2731925,13.7571683531667,22.9375,-0.139266591666667,2.7281421466908,2.86740873835746,x
TH-Mae,2008,2,18,99.716667,18.383333,20.031666665,56.5618708,0.0799743335,10.1912545768289,21.834166665,1.73832854523809,2.41634648499793,0,""
TH-Mae,2008,2,19,99.716667,18.383333,18.84,62.048307745,0,8.2578150830093,21.059166665,0.877661682608695,2.23037156411029,0,""
TH-Mae,2008,2,20,99.716667,18.383333,18.135,64.119438065,0,7.48431384855921,20.430833335,1.82316191893939,2.12509061634208,0,x
TH-Mae,2008,2,21,99.716667,18.383333,17.28833333,66.63456614,0,6.59486509166343,19.88,1.75123238181818,2.00129390865697,0,""
TH-Mae,2008,2,22,99.716667,18.383333,16.566666665,66.94904864,0,6.23502695231118,19.384166665,2.17380305454545,1.89944958278222,0,""
TH-Mae,2008,2,23,99.716667,18.383333,15.825,68.542903035,0,5.66653697891175,18.9525,2.550449,1.79800834202886,0,""
TH-Mae,2008,3,0,99.716667,18.383333,14.201666665,76.18394874,0,3.85468827284363,18.5525,2.132023,1.58596196613906,0,x
TH-Mae,2008,3,1,99.716667,18.383333,15.72833333,67.169472345,0,5.87209380631643,18.194166665,1.94344564206349,1.78468734941102,0,x
TH-Mae,2008,3,2,99.716667,18.383333,15.39333333,68.203356525,0,5.55990304058154,17.825833335,1.91786134761905,1.73975466399695,0,""
TH-Mae,2008,3,3,99.716667,18.383333,14.578333335,72.27702682,0,4.62988820524367,17.500833335,1.92484349206349,1.63503735126933,0,""
TH-Mae,2008,3,4,99.716667,18.383333,13.371666665,78.508829405,0,3.30629469717247,17.2075,1.80134641071428,1.48427541518569,0,""
TH-Mae,2008,3,5,99.716667,18.383333,12.671666665,81.66676214,0,2.68730799940249,16.91,1.54874118333333,1.40071930873374,0,""
TH-Mae,2008,3,6,99.716667,18.383333,12.931666665,79.831161615,0.543826,3.00703592367995,16.625,1.65912388571429,1.43123760293825,0,x
TH-Mae,2008,3,7,99.716667,18.383333,13.89,74.6297898,78.550863815,4.03337325063626,16.6375,-0.63162975,1.5475670837578,2.17919683375779,x
TH-Mae,2008,3,8,99.716667,18.383333,16.656666665,65.245805185,278.24696115,6.63235345039399,17.88,-1.61534659166667,1.91451792713461,3.52986451880127,""
TH-Mae,2008,3,9,99.716667,18.383333,18.886666665,54.050476185,494.08189365,10.0287405005856,19.786666665,-3.1715748,2.23748917119134,5.40906397119134,x
TH-Mae,2008,3,10,99.716667,18.383333,20.22333333,48.523084565,658.78119015,12.2048822911451,23.46,-3.133739,2.44658360770491,5.58032260770491,x
TH-Mae,2008,3,11,99.716667,18.383333,21.295,45.740166065,758.15738965,13.7376739984063,25.858333335,-2.2272205,2.62112168318656,4.84834218318656,x
TH-Mae,2008,3,12,99.716667,18.383333,22.451666665,38.73998374,784.3889955,16.6472008290508,25.13,-2.300558,2.81696926140391,5.11752726140391,""
TH-Mae,2008,3,13,99.716667,18.383333,23.58333333,35.819067515,740.88291735,18.6718464797895,25.180833335,-3.33030691875,3.0156069632866,6.3459138820366,""
