site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-Ha1,1992,1,0,-72.1715,42.5378,-3.1,46.8,3.12,2.6,0.3,1.0525,1.13276,0,x
US-Ha1,1992,1,1,-72.1715,42.5378,-3.2,43.9,3.12,2.73,0.3,1.065,1.12103,0,""
US-Ha1,1992,1,2,-72.1715,42.5378,-2.6,40,3.12,3.05,0.3,1.09762,1.19245,0,x
US-Ha1,1992,1,3,-72.1715,42.5378,-3.4,43.2,2.08,2.72,0.3,1.06905,1.09776,0,x
US-Ha1,1992,1,4,-72.1715,42.5378,-4.3,49.6,2.6,2.26,0.3,0.93871,0.996405,0,""
US-Ha1,1992,1,5,-72.1715,42.5378,-2.4,39.7,2.6,3.11,0.3,1.09318,1.2168,0,""
US-Ha1,1992,1,6,-72.1715,42.5378,-0.8,30.9,3.12,4.01,0.2,1.12353,1.42116,0,""
US-Ha1,1992,1,7,-72.1715,42.5378,-1.8,34.4,21.84,3.53,0.2,1.06667,1.29144,0,x
US-Ha1,1992,1,8,-72.1715,42.5378,-0.6,33.1,128.96,3.94,0.2,0.825,1.44789,0.622891,x
US-Ha1,1992,1,9,-72.1715,42.5378,1.3,32.8,261.56,4.54,0.2,0.933333,1.71481,0.781477,""
US-Ha1,1992,1,10,-72.1715,42.5378,2.4,33.2,361.4,4.88,0.4,0.983333,1.87984,0.896509,""
US-Ha1,1992,1,11,-72.1715,42.5378,2.7,35.4,410.8,4.82,0.4,1.16667,1.92616,0.759488,""
US-Ha1,1992,1,12,-72.1715,42.5378,4.2,31.6,398.32,5.67,0.5,1.16667,2.16596,0.999289,""
US-Ha1,1992,1,13,-72.1715,42.5378,5.3,24.6,329.68,6.75,0.6,0.7,2.35032,1.65032,""
US-Ha1,1992,1,14,-72.1715,42.5378,6,24.3,217.36,7.11,0.4,0.9,2.47128,1.57128,""
US-Ha1,1992,1,15,-72.1715,42.5378,5.6,30.8,89.44,6.33,0.4,1.03333,2.40181,1.36848,x
US-Ha1,1992,1,16,-72.1715,42.5378,4,37.1,10.92,5.14,0.5,1.85,2.1332,0.283204,""
US-Ha1,1992,1,17,-72.1715,42.5378,2.2,44.6,2.6,3.99,0.5,1.47,1.84927,0,x
US-Ha1,1992,1,18,-72.1715,42.5378,1.5,33.7,3.12,4.54,0.5,1.49091,1.74425,0,""
US-Ha1,1992,1,19,-72.1715,42.5378,1.5,34,3.12,4.52,0.4,1.49091,1.74425,0,""
US-Ha1,1992,1,20,-72.1715,42.5378,0.4,40.7,3.12,3.75,0.3,1.30645,1.58548,0,x
US-Ha1,1992,1,21,-72.1715,42.5378,0.7,43.3,3.12,3.67,0.2,1.43667,1.62801,0,""
US-Ha1,1992,1,22,-72.1715,42.5378,0.9,38.2,3.12,4.05,0.2,1.42414,1.65669,0,x
US-Ha1,1992,1,23,-72.1715,42.5378,0.6,33.8,3.64,4.25,0.2,1.30333,1.61377,0,""
US-Ha1,1992,2,0,-72.1715,42.5378,-0.5,39,3.12,3.62,0.1,1.17879,1.46136,0,x
US-Ha1,1992,2,1,-72.1715,42.5378,-1.1,45.6,3.12,3.09,0.1,1.10426,1.38155,0,x
US-Ha1,1992,2,2,-72.1715,42.5378,-1.3,66.2,3.12,1.89,0.1,1.08085,1.35547,0,""
US-Ha1,1992,2,3,-72.1715,42.5378,-2,80,2.6,1.07,0.1,1.06531,1.26629,0,x
US-Ha1,1992,2,4,-72.1715,42.5378,-3,86,2.08,0.69,0.1,1.03617,1.14457,0,x
US-Ha1,1992,2,5,-72.1715,42.5378,-3.6,91.1,2.08,0.42,0,1.01458,1.07476,0,""
US-Ha1,1992,2,6,-72.1715,42.5378,-4.6,96.9,2.08,0.14,0,0.858974,0.963841,0,""
US-Ha1,1992,2,7,-72.1715,42.5378,-5,99.5,19.24,0.03,0,0.776923,0.921375,0,x
US-Ha1,1992,2,8,-72.1715,42.5378,-4.4,98.3,99.84,0.08,0,1.06,0.985482,0,x
US-Ha1,1992,2,9,-72.1715,42.5378,-3.2,92.1,236.08,0.39,0,1.075,1.12103,0.046029,x
US-Ha1,1992,2,10,-72.1715,42.5378,-1.9,85,339.04,0.81,0,1,1.27883,0.278832,x
US-Ha1,1992,2,11,-72.1715,42.5378,-0.6,79.9,397.28,1.19,0.1,1.3,1.44789,0.147891,""
US-Ha1,1992,2,12,-72.1715,42.5378,0.4,71.2,398.32,1.82,0.1,1.16,1.58548,0.425475,x
US-Ha1,1992,2,13,-72.1715,42.5378,2.312,-9999,88.907,2.286,0.4,1.15,1.86636,0.716361,x
US-Ha1,1992,2,14,-72.1715,42.5378,2.467,-9999,53.854,2.358,0.467,1.2,1.89014,0.690137,""
US-Ha1,1992,2,15,-72.1715,42.5378,2.213,-9999,32.912,2.299,0.433,1.46667,1.85125,0.384583,""
US-Ha1,1992,2,16,-72.1715,42.5378,1.958,-9999,6.508,2.24,0.467,1.46667,1.81262,0.345949,""
US-Ha1,1992,2,17,-72.1715,42.5378,-0.978,-9999,0,1.463,0.399,1.1075,1.39758,0,""
US-Ha1,1992,2,18,-72.1715,42.5378,-0.964,-9999,0,1.463,0.401,1.1075,1.39943,0,x
US-Ha1,1992,2,19,-72.1715,42.5378,-0.952,-9999,0,1.465,0.404,1.10886,1.40101,0,""
US-Ha1,1992,2,20,-72.1715,42.5378,-0.941,-9999,0,1.469,0.406,1.12692,1.40247,0,x
US-Ha1,1992,2,21,-72.1715,42.5378,-0.931,-9999,0,1.473,0.408,1.12692,1.40379,0,x
US-Ha1,1992,2,22,-72.1715,42.5378,-0.92,-9999,0,1.479,0.41,1.13377,1.40524,0,x
US-Ha1,1992,2,23,-72.1715,42.5378,-0.909,-9999,0,1.484,0.412,1.14474,1.4067,0,""
US-Ha1,1992,3,0,-72.1715,42.5378,-0.897,-9999,0,1.49,0.414,1.14933,1.40829,0,x
US-Ha1,1992,3,1,-72.1715,42.5378,-0.884,-9999,0,1.495,0.416,1.15405,1.41001,0,x
