site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-MMS,1999,1,0,-86.4131,39.3232,-13.904,-9999,0,1.171,0.55,0.415254,0.340227,0,""
US-MMS,1999,1,1,-86.4131,39.3232,-14.228,-9999,0,1.167,1.64,0.412394,0.327189,0,""
US-MMS,1999,1,2,-86.4131,39.3232,-14.291,-9999,0,1.174,1.66,0.398728,0.324683,0,x
US-MMS,1999,1,3,-86.4131,39.3232,-14.355,-9999,0,1.18,1.62,0.411277,0.322146,0,x
US-MMS,1999,1,4,-86.4131,39.3232,-14.418,-9999,0,1.187,1.61,0.437356,0.319658,0,""
US-MMS,1999,1,5,-86.4131,39.3232,-13.999,-9999,0,1.218,1.58,0.56287,0.336379,0,x
US-MMS,1999,1,6,-86.4131,39.3232,-13.58,-9999,0,1.248,1.55,0.396192,0.353509,0,x
US-MMS,1999,1,7,-86.4131,39.3232,-13.162,-9999,0,1.279,1.53,0.376811,0.370998,0,""
US-MMS,1999,1,8,-86.4131,39.3232,-12.891,-9999,47.46,1.279,1.53,0.321347,0.382548,0.065627,x
US-MMS,1999,1,9,-86.4131,39.3232,-12.621,-9999,133.6,1.278,1.46,1.12506,0.394217,0,""
US-MMS,1999,1,10,-86.4131,39.3232,-12.35,-9999,113,1.278,1.41,0.783505,0.40609,0,""
US-MMS,1999,1,11,-86.4131,39.3232,-10.81,-9999,181.1,1.388,1.41,1.42487,0.47653,0,""
US-MMS,1999,1,12,-86.4131,39.3232,-9.269,-9999,200.5,1.497,1.4,1.19692,0.551793,0,x
US-MMS,1999,1,13,-86.4131,39.3232,-7.729,-9999,205.9,1.606,1.42,-0.364153,0.631393,1.00052,""
US-MMS,1999,1,14,-86.4131,39.3232,-7.415,-9999,139.8,1.614,1.48,1.67464,0.648126,0,x
US-MMS,1999,1,15,-86.4131,39.3232,-7.102,-9999,98.65,1.622,1.51,-0.0135694,0.664967,0.683521,""
US-MMS,1999,1,16,-86.4131,39.3232,-6.789,-9999,47.36,1.63,1.57,-0.113403,0.681967,0.800355,""
US-MMS,1999,1,17,-86.4131,39.3232,-6.658,-9999,9.72,1.598,1.61,0.362486,0.689129,0,x
US-MMS,1999,1,18,-86.4131,39.3232,-6.528,-9999,0,1.565,1.62,0.0888565,0.696262,0,""
US-MMS,1999,1,19,-86.4131,39.3232,-6.398,-9999,0,1.533,1.63,0.646208,0.703421,0,x
US-MMS,1999,1,20,-86.4131,39.3232,-6.335,-9999,0,1.503,1.64,2.76114,0.7069,0,""
US-MMS,1999,1,21,-86.4131,39.3232,-6.272,-9999,0,1.472,1.65,-0.936509,0.710385,0,""
