site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-Moz,2005,1,0,-92.2,38.7441,10.933,-9999,0,2.667,8.6465,0.367623,1.20567,0,x
US-Moz,2005,1,1,-92.2,38.7441,9.9595,-9999,0,2.6635,8.704,0.753156,1.16334,0,x
US-Moz,2005,1,2,-92.2,38.7441,9.316,-9999,0,2.787,8.547,0.761878,1.135395,0,""
US-Moz,2005,1,3,-92.2,38.7441,8.563,-9999,0,2.77,8.444,0.8685325,1.10274,0,""
US-Moz,2005,1,4,-92.2,38.7441,8.1935,-9999,0,2.553,8.365,1.356355,1.08674,0,x
US-Moz,2005,1,5,-92.2,38.7441,8.04,-9999,0,2.328,8.303,0.711806,1.080095,0,x
US-Moz,2005,1,6,-92.2,38.7441,8.173,-9999,0,2.196,8.252,1.223785,1.08585,0,""
US-Moz,2005,1,7,-92.2,38.7441,8.4845,-9999,3.5,1.9395,8.215,1.0215235,1.09934,0,x
US-Moz,2005,1,8,-92.2,38.7441,8.619,-9999,24.5,1.6535,8.208,0.710899,1.105165,0.3942665,""
US-Moz,2005,1,9,-92.2,38.7441,9.168,-9999,76.5,1.421,8.249,0.7526005,1.12897,0.550285,""
US-Moz,2005,1,10,-92.2,38.7441,10.035,-9999,136.5,1.517,8.386,-0.907025,1.16662,2.073644,""
US-Moz,2005,1,11,-92.2,38.7441,10.9315,-9999,249,1.3025,8.3575,-2.344465,1.20561,3.550075,x
US-Moz,2005,1,12,-92.2,38.7441,12.08,-9999,315.5,0.983,8.342,-2.362245,1.255595,3.61784,""
US-Moz,2005,1,13,-92.2,38.7441,12.6675,-9999,211.5,1.137,8.2075,-0.128025,1.281175,2.240155,x
US-Moz,2005,1,14,-92.2,38.7441,13.8875,-9999,35,1.2525,8.525,0.2356237,1.33428,1.098658,x
US-Moz,2005,1,15,-92.2,38.7441,15.093,-9999,27,1.023,8.7575,0.5386977,1.386715,0.848014,x
US-Moz,2005,1,16,-92.2,38.7441,15.153,-9999,10,1.0525,8.8825,0.734612,1.38932,0.654708,x
US-Moz,2005,1,17,-92.2,38.7441,15.3395,-9999,0,0.955,8.9475,0.8088955,1.397425,0,x
US-Moz,2005,1,18,-92.2,38.7441,14.8715,-9999,1.5,1.199,8.98,0.7037255,1.377085,0,x
US-Moz,2005,1,19,-92.2,38.7441,14.7545,-9999,0.5,1.4615,9.025,0.683998,1.371995,0,""
US-Moz,2005,1,20,-92.2,38.7441,14.743,-9999,0,1.6685,9.0875,0.6606695,1.371495,0,""
US-Moz,2005,1,21,-92.2,38.7441,14.4625,-9999,0,1.623,9,1.5890865,1.3593,0,x
US-Moz,2005,1,22,-92.2,38.7441,14.393,-9999,0,1.383,8.955,1.689205,1.35628,0,""
US-Moz,2005,1,23,-92.2,38.7441,14.446,-9999,0,1.404,9.045,1.3468995,1.35858,0,""
US-Moz,2005,2,0,-92.2,38.7441,14.528,-9999,0,1.382,9.13,1.363275,1.36215,0,""
US-Moz,2005,2,1,-92.2,38.7441,14.463,-9999,0,1.337,9.19,1.626325,1.35932,0,x
US-Moz,2005,2,2,-92.2,38.7441,14.016,-9999,0,1.2525,9.235,1.39329,1.339875,0,""
US-Moz,2005,2,3,-92.2,38.7441,13.7305,-9999,0,1.2125,9.27,1.690155,1.32745,0,x
US-Moz,2005,2,4,-92.2,38.7441,13.595,-9999,0,1.1455,9.3,1.137444,1.321555,0,""
US-Moz,2005,2,5,-92.2,38.7441,14.2415,-9999,0,1.0465,9.325,0.043729,1.349685,0,""
US-Moz,2005,2,6,-92.2,38.7441,14.268,-9999,0,0.99,9.355,0.739241,1.35084,0,""
