site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-Oho,2005,1,0,-83.8438,41.5545,7.772,65.5517894226975,0,3.64,1.632,0.799594,1.038985,0,x
US-Oho,2005,1,1,-83.8438,41.5545,6.048,65.1099952517364,0,3.2815,1.661,-0.218842,0.9109915,0,""
US-Oho,2005,1,2,-83.8438,41.5545,4.3865,69.7379718647474,0,2.533,1.626,-0.0343475,0.795373,0,x
US-Oho,2005,1,3,-83.8438,41.5545,3.6385,71.3735690921345,0,2.2695,1.59,0.295969,0.745922,0,x
US-Oho,2005,1,4,-83.8438,41.5545,2.789,72.4908602294782,0,2.056,1.6,0.6394575,0.6921535,0,""
US-Oho,2005,1,5,-83.8438,41.5545,1.18,77.0059962708258,0,1.53,1.568,0.1587737,0.596105,0,""
US-Oho,2005,1,6,-83.8438,41.5545,0.1,77.1265541538537,0,1.4085,1.331,0.147231,0.535986,0,""
US-Oho,2005,1,7,-83.8438,41.5545,-0.7455,74.986096456004,0,1.447,1.134,0.3599375,0.491437,0,""
US-Oho,2005,1,8,-83.8438,41.5545,-1.1085,75.6814128183434,35.7385,1.3705,1.093,1.11352,0.47298,0,x
US-Oho,2005,1,9,-83.8438,41.5545,-0.529,71.9788881644984,148.7835,1.6485,1.371,0.3371155,0.5026395,0.1779645,""
US-Oho,2005,1,10,-83.8438,41.5545,0.239,68.015169529575,197.1455,1.9895,1.6485,0.5869045,0.5434595,0.1662805,x
US-Oho,2005,1,11,-83.8438,41.5545,1.1685,64.2648027487579,254.464,2.3775,1.658,0.268766,0.5953585,0.4040995,x
US-Oho,2005,1,12,-83.8438,41.5545,1.888,62.8152804097355,215.7565,2.6045,1.702,0.6009035,0.63728,0.0291288,""
US-Oho,2005,1,13,-83.8438,41.5545,2.302,62.7513369232841,198.36,2.687,1.7005,1.8994755,0.6621105,0.01719055,x
US-Oho,2005,1,14,-83.8438,41.5545,1.524,65.2052215272595,98.8965,2.3745,1.692,-4.707215,0.6158875,5.22348,x
US-Oho,2005,1,15,-83.8438,41.5545,0.969,68.7084322670773,67.38,2.0515,1.693,-1.228214,0.5839245,1.820015,x
US-Oho,2005,1,16,-83.8438,41.5545,0.582,70.3911415772471,19.5025,1.8875,1.656,0.452975,0.5622505,0.785375,""
US-Oho,2005,1,17,-83.8438,41.5545,0.3945,67.4640085897445,1.4155,2.046,1.713,0.5149034,0.551906,0,x
US-Oho,2005,1,18,-83.8438,41.5545,0.513,67.2904101612238,0,2.0745,1.742,1.579516,0.558424,0,""
US-Oho,2005,1,19,-83.8438,41.5545,0.423,74.8540710956714,0,1.585,1.7565,2.8125096,0.553472,0,""
US-Oho,2005,1,20,-83.8438,41.5545,0.037,87.0953764019808,0,0.7905,1.783,0.136974,0.532501,0,""
US-Oho,2005,1,21,-83.8438,41.5545,0.059,93.6246273460518,0,0.391,1.82,0.13923,0.533682,0,x
US-Oho,2005,1,22,-83.8438,41.5545,0.1455,95.3887097456536,0,0.2845,1.8365,2.7828495,0.5383465,0,""
US-Oho,2005,1,23,-83.8438,41.5545,0.2685,95.8722388507001,0,0.2575,1.8475,2.2017165,0.54502,0,x
US-Oho,2005,2,0,-83.8438,41.5545,0.453,95.7962365157781,0,0.2655,1.862,0.039419,0.5551185,0,""
US-Oho,2005,2,1,-83.8438,41.5545,0.6055,96.4476625097661,0,0.2265,1.8795,-0.6897113,0.563546,0,x
US-Oho,2005,2,2,-83.8438,41.5545,0.779,97.3871080277978,0,0.1685,1.8555,0.0848406,0.573216,0,x
US-Oho,2005,2,3,-83.8438,41.5545,0.895,98.1459268953291,0,0.1205,1.8685,0.0287908,0.5797335,0,""
US-Oho,2005,2,4,-83.8438,41.5545,0.9555,98.9077341574727,0,0.0715,1.8885,-1.7006252,0.583151,0,""
US-Oho,2005,2,5,-83.8438,41.5545,1.217,99.3505911732759,0,0.043,1.912,-0.00289619999999999,0.5980645,0,""
US-Oho,2005,2,6,-83.8438,41.5545,1.785,99.6011257466465,0,0.0275,1.937,0.1067103,0.6312555,0,x
US-Oho,2005,2,7,-83.8438,41.5545,3.293,99.5439526083088,0,0.0355,1.943,0.193962,0.7238735,0,""
US-Oho,2005,2,8,-83.8438,41.5545,5.0875,99.5479638537333,23.6225,0.0395,1.958,-0.8828845,0.843591,1.59002,""
US-Oho,2005,2,11,-83.8438,41.5545,12.195,97.7811674574409,64.2345,0.316,2.261,3.78712,1.40548,0,x
US-Oho,2005,2,12,-83.8438,41.5545,12.448,97.715347125269,35.596,0.3305,2.2305,1.92287,1.42801,0,x
US-Oho,2005,2,13,-83.8438,41.5545,12.452,97.8945616194771,31.7555,0.304,2.2215,1.54354,1.42836,0,""
US-Oho,2005,2,14,-83.8438,41.5545,12.57,98.4512717717758,34.6845,0.226,2.335,1.54354,1.43894,0,x
US-Oho,2005,2,15,-83.8438,41.5545,12.7725,98.6871914008322,27.414,0.1935,2.447,1.40758,1.457155,0,x
US-Oho,2005,2,16,-83.8438,41.5545,12.874,98.8404357643461,10.7975,0.1725,2.5595,1.7739,1.46632,0,""
US-Oho,2005,2,17,-83.8438,41.5545,12.9135,98.7740854635495,0.9625,0.1825,2.7015,1.7739,1.469895,0,""
US-Oho,2005,2,18,-83.8438,41.5545,12.8615,98.8117809652743,0,0.1765,2.7385,1.7739,1.46519,0,x
US-Oho,2005,2,19,-83.8438,41.5545,12.7535,98.9924278215618,0,0.1485,2.853,1.739045,1.455435,0,x
US-Oho,2005,2,20,-83.8438,41.5545,10.99,98.959426559596,0,0.1365,2.9065,0.6675155,1.300655,0,x
US-Oho,2005,2,21,-83.8438,41.5545,9.8145,98.3640071873088,0,0.1975,3.083,0.5679585,1.201635,0,x
US-Oho,2005,2,22,-83.8438,41.5545,8.456,96.2404364583959,0,0.416,3.1895,1.198955,1.09213,0,x
US-Oho,2005,2,23,-83.8438,41.5545,6.559,96.0885016941348,0,0.3845,3.275,2.98937,0.948257,0,x
US-Oho,2005,3,0,-83.8438,41.5545,4.822,97.9747516792833,0,0.1745,3.291,4.42877,0.8246815,0,""
US-Oho,2005,3,1,-83.8438,41.5545,4.297,97.8844922445977,0,0.1755,3.353,1.028881,0.789227,0,x
US-Oho,2005,3,2,-83.8438,41.5545,3.738,97.6530532751216,0,0.187,3.419,0.358034,0.7524,0,""
US-Oho,2005,3,3,-83.8438,41.5545,3.451,97.5325001119836,0,0.1935,3.5065,0.2403315,0.733839,0,x
US-Oho,2005,3,4,-83.8438,41.5545,2.976,97.7513070497911,0,0.17,3.5045,0.195121,0.703722,0,""
US-Oho,2005,3,5,-83.8438,41.5545,2.6875,97.9399157193817,0,0.153,3.5235,0.2508515,0.6857215,0,""
US-Oho,2005,3,6,-83.8438,41.5545,2.4185,98.3380003208823,0,0.121,3.508,0.245068,0.6692325,0,x
US-Oho,2005,3,7,-83.8438,41.5545,2.012,98.7152635252461,0,0.0905,3.4995,-6.618238,0.6446265,0,x
US-Oho,2005,3,8,-83.8438,41.5545,2.5255,98.8809984940548,3.389,0.082,3.51,0.1965535,0.6757705,0.3699055,""
US-Oho,2005,3,9,-83.8438,41.5545,2.8925,98.8334590605186,18.8895,0.088,3.54,-0.4375823,0.698462,1.0230635,""
US-Oho,2005,3,10,-83.8438,41.5545,2.873,98.6666003164983,44.244,0.1005,3.539,-1.305525,0.6972455,1.889985,x
US-Oho,2005,3,11,-83.8438,41.5545,2.691,98.6342596050877,43.7245,0.101,3.5165,-1.26167,0.6859615,1.83667,""
US-Oho,2005,3,12,-83.8438,41.5545,2.352,98.7176590311121,59.601,0.0925,3.504,-10.094385,0.665132,10.65194,""
US-Oho,2005,3,13,-83.8438,41.5545,2.253,98.6406771543706,28.4075,0.098,3.527,-1.10946235,0.659139,1.661978,""
US-Oho,2005,3,14,-83.8438,41.5545,1.8935,98.7871001416726,25.394,0.085,3.522,-0.819523,0.6375575,1.35395,x
US-Oho,2005,3,15,-83.8438,41.5545,1.994,99.0857154325892,12.6095,0.0645,3.5075,0.0626914,0.642325,0.475732,x
US-Oho,2005,3,16,-83.8438,41.5545,2.1665,98.9867782480993,5.5495,0.0725,3.514,0.13727345,0.6477035,0.405659,x
US-Oho,2005,3,17,-83.8438,41.5545,2.214,98.6183046068857,0.306,0.099,3.5035,0.1873475,0.645574,0,""
US-Oho,2005,3,18,-83.8438,41.5545,2.042,98.0884607168193,0,0.1355,3.475,0.110692,0.6305055,0,""
US-Oho,2005,3,19,-83.8438,41.5545,1.9455,97.9050449575153,0,0.1475,3.51,0.112838,0.620025,0,""
US-Oho,2005,3,20,-83.8438,41.5545,1.945,97.5863150697789,0,0.1695,3.459,0.1173905,0.6151425,0,""
US-Oho,2005,3,21,-83.8438,41.5545,1.9965,98.271078515489,0,0.122,3.457,0.115533,0.6132155,0,x
US-Oho,2005,3,22,-83.8438,41.5545,2.0635,98.714887221572,0,0.091,3.4625,0.115533,0.612137,0,x
US-Oho,2005,3,23,-83.8438,41.5545,1.8575,98.3544163470722,0,0.115,3.455,0.102401,0.595705,0,x
US-Oho,2005,4,0,-83.8438,41.5545,1.7895,97.7726448925999,0,0.155,3.44,-5.5779995,0.58715,0,x
US-Oho,2005,4,1,-83.8438,41.5545,1.708,97.0152807509665,0,0.2065,3.4185,2.701163,0.577928,0,""
US-Oho,2005,4,2,-83.8438,41.5545,1.604,97.5466466017706,0,0.168,3.424,-2.0543855,0.567598,0,x
US-Oho,2005,4,3,-83.8438,41.5545,1.516,97.1792164946624,0,0.192,3.4215,2.07606,0.558233,0,""
US-Oho,2005,4,4,-83.8438,41.5545,1.531,96.7712102361172,0,0.22,3.404,0.1326,0.554354,0,x
US-Oho,2005,4,5,-83.8438,41.5545,1.5705,96.6723685601265,0,0.228,3.398,0.1326,0.551744,0,""
US-Oho,2005,4,6,-83.8438,41.5545,1.589,96.7863074776499,0,0.22,3.385,-0.100552,0.5480195,0,""
US-Oho,2005,4,7,-83.8438,41.5545,1.593,96.9577407901104,0,0.2085,3.369,0.143114,0.5435275,0,""
US-Oho,2005,4,8,-83.8438,41.5545,1.549,96.054340671233,12.765,0.27,3.346,-0.6719705,0.5365955,1.1217665,x
US-Oho,2005,4,9,-83.8438,41.5545,1.573,95.6350392398987,43.224,0.299,3.339,-2.733795,0.533126,3.180685,x
US-Oho,2005,4,10,-83.8438,41.5545,1.9255,93.1466480157616,80.4235,0.4815,3.3305,0.0411716,0.5462035,0.416679,x
US-Oho,2005,4,11,-83.8438,41.5545,2.114,91.0331645358665,94.9195,0.638,3.371,0.720702,0.550912,0.03669385,""
US-Oho,2005,4,12,-83.8438,41.5545,1.922,89.9249129295948,127.8235,0.707,3.37,-0.027823,0.5363445,0.4774095,x
US-Oho,2005,4,13,-83.8438,41.5545,1.697,89.4568051859286,93.4745,0.728,3.3715,0.023943,0.5204475,0.472978,""
US-Oho,2005,4,14,-83.8438,41.5545,1.414,89.8844498742959,65.4565,0.685,3.3745,-0.11809525,0.5020825,0.5389615,""
US-Oho,2005,4,15,-83.8438,41.5545,1.2355,89.3699428134157,62.753,0.7105,3.385,-0.5944425,0.4890425,1.03924,""
US-Oho,2005,4,16,-83.8438,41.5545,1.2965,88.1659021584492,29.169,0.794,3.3945,-0.8692146,0.487349,1.277732,""
US-Oho,2005,4,17,-83.8438,41.5545,1.1955,89.0361480525801,1.0605,0.7305,3.371,-0.87893775,0.478131,0,""
US-Oho,2005,4,18,-83.8438,41.5545,0.9745,90.6310174409535,0,0.6145,3.3565,-0.345187,0.463629,0,""
US-Oho,2005,4,19,-83.8438,41.5545,0.8535,90.6890570151993,0,0.605,3.372,0.211018,0.4538255,0,x
US-Oho,2005,4,20,-83.8438,41.5545,0.8635,88.9287052529492,0,0.72,3.3865,0.0830405,0.449889,0,x
US-Oho,2005,4,21,-83.8438,41.5545,0.8935,89.2227708216004,0,0.7025,3.4055,-0.992525,0.446813,0,x
US-Oho,2005,4,22,-83.8438,41.5545,0.8105,90.5541258618918,0,0.6125,3.3875,2.543206,0.438866,0,x
US-Oho,2005,4,23,-83.8438,41.5545,0.3015,93.9262709208627,0,0.38,3.347,-0.394262,0.4132645,0,""
US-Oho,2005,5,0,-83.8438,41.5545,0.0215,95.3138951324143,0,0.2865,3.3335,-0.3227575,0.397748,0,""
US-Oho,2005,5,1,-83.8438,41.5545,-0.2915,96.0299963085181,0,0.2375,3.344,-0.3455365,0.3813975,0,""
US-Oho,2005,5,2,-83.8438,41.5545,-0.571,95.369252431591,0,0.271,3.343,-0.2216925,0.366796,0,""
