site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-Pfa,1996,1,0,-90.2723,45.9459,-2.3,85.105,0,0.78,,-3.7997e-270,2.48501,0,""
US-Pfa,1996,1,1,-90.2723,45.9459,-2.7,95.579,0,0.23,,-3.7997e-270,2.40211,0,""
US-Pfa,1996,1,2,-90.2723,45.9459,-3,96.011,0,0.2,,-3.7997e-270,2.34079,0,x
US-Pfa,1996,1,3,-90.2723,45.9459,-3.2,96.443,0,0.18,,-3.7997e-270,2.30032,0,""
US-Pfa,1996,1,4,-90.2723,45.9459,-3.4,96.659,0,0.16,,-3.7997e-270,2.26018,0,x
US-Pfa,1996,1,5,-90.2723,45.9459,-3.6,97.199,0,0.14,,-3.7997e-270,2.22037,0,""
US-Pfa,1996,1,6,-90.2723,45.9459,-3.8,97.091,0,0.14,,-3.7997e-270,2.18089,0,x
US-Pfa,1996,1,7,-90.2723,45.9459,-3.9,95.903,0,0.19,,-3.7997e-270,2.16128,0,x
US-Pfa,1996,1,8,-90.2723,45.9459,-4,95.363,12.725,0.22,,-3.82196e-270,2.14175,1.95089,""
US-Pfa,1996,1,9,-90.2723,45.9459,-4,95.147,42.416,0.23,,-3.91101e-270,2.14175,1.95089,x
US-Pfa,1996,1,10,-90.2723,45.9459,-3.8,93.851,98.971,0.29,,-3.91101e-270,2.18089,1.98908,""
US-Pfa,1996,1,11,-90.2723,45.9459,-3.6,92.231,103.683,0.37,,-3.91101e-270,2.22037,2.02765,""
US-Pfa,1996,1,12,-90.2723,45.9459,-3.5,90.071,86.716,0.48,,-3.91101e-270,2.24023,2.04708,""
US-Pfa,1996,1,13,-90.2723,45.9459,-3.5,87.263,74.933,0.61,,-3.91101e-270,2.24023,2.04708,""
US-Pfa,1996,1,14,-90.2723,45.9459,-3.7,85.535,42.415,0.68,,-3.91101e-270,2.20058,2.00832,x
US-Pfa,1996,1,15,-90.2723,45.9459,-3.9,85.859,24.035,0.66,,-3.91101e-270,2.16128,1.96994,""
US-Pfa,1996,1,16,-90.2723,45.9459,-4.3,85.966,4.242,0.63,,-3.82196e-270,2.08367,1.89432,x
US-Pfa,1996,1,17,-90.2723,45.9459,-4.9,86.29,0,0.59,,-3.88486e-270,1.96983,0,x
US-Pfa,1996,1,18,-90.2723,45.9459,-5.4,87.801,0,0.51,,-3.88528e-270,1.87735,0,x
US-Pfa,1996,1,19,-90.2723,45.9459,-5.8,88.881,0,0.45,,-3.88608e-270,1.80494,0,""
US-Pfa,1996,1,20,-90.2723,45.9459,-6.6,86.719,0,0.5,,-3.89014e-270,1.66441,0,""
US-Pfa,1996,1,21,-90.2723,45.9459,-7.4,87.258,0,0.45,,-3.89014e-270,1.52967,0,x
US-Pfa,1996,1,22,-90.2723,45.9459,-8.3,85.528,0,0.48,,-3.88318e-270,1.38515,0,x
US-Pfa,1996,1,23,-90.2723,45.9459,-9,83.798,0,0.51,,-3.88318e-270,1.27797,0,x
US-Pfa,1996,2,0,-90.2723,45.9459,-9.5,81.095,0,0.57,,-3.88318e-270,1.20426,0,x
US-Pfa,1996,2,1,-90.2723,45.9459,-10.2,85.632,0,0.41,,-3.88318e-270,1.10506,0,x
US-Pfa,1996,2,2,-90.2723,45.9459,-11,86.387,0,0.37,,-3.88339e-270,0.997456,0,""
US-Pfa,1996,2,3,-90.2723,45.9459,-11.7,86.818,0,0.34,,-3.88125e-270,0.908365,0,x
US-Pfa,1996,2,4,-90.2723,45.9459,-12,87.683,0,0.31,,-3.88125e-270,0.871634,0,""
US-Pfa,1996,2,5,-90.2723,45.9459,-12.1,88.655,0,0.28,,-3.88125e-270,0.859584,0,""
US-Pfa,1996,2,6,-90.2723,45.9459,-11.9,90.169,0,0.25,,-3.88596e-270,0.88378,0,x
US-Pfa,1996,2,7,-90.2723,45.9459,-11.6,87.575,0,0.32,,-3.8797e-270,0.920802,0,""
US-Pfa,1996,2,8,-90.2723,45.9459,-11.4,87.684,28.744,0.32,,-3.91101e-270,0.945966,0.813431,x
US-Pfa,1996,2,9,-90.2723,45.9459,-11.1,87.468,131.935,0.34,,-3.91101e-270,0.984439,0.848895,x
US-Pfa,1996,2,10,-90.2723,45.9459,-11.1,84.333,136.174,0.42,,-3.91101e-270,0.984439,0.848895,x
US-Pfa,1996,2,11,-90.2723,45.9459,-10.8,69.764,323.705,0.82,,-3.91101e-270,1.02378,0.885262,x
US-Pfa,1996,2,12,-90.2723,45.9459,-10.2,66.373,312.865,0.96,,-3.86926e-270,1.10506,0.960708,x
US-Pfa,1996,2,13,-90.2723,45.9459,-9.8,63.663,272.812,1.07,,-3.86091e-270,1.16117,1.01302,""
US-Pfa,1996,2,14,-90.2723,45.9459,-9.7,58.8,183.758,1.22,,-3.91101e-270,1.17544,1.02635,""
US-Pfa,1996,2,15,-90.2723,45.9459,-10,59.274,48.059,1.18,,-3.91101e-270,1.13293,0.986663,x
US-Pfa,1996,2,16,-90.2723,45.9459,-10.9,62.619,7.068,1.01,,-3.8797e-270,1.01057,0.873039,x
US-Pfa,1996,2,17,-90.2723,45.9459,-11.6,73.739,0,0.67,,-3.86926e-270,0.920802,0,""
US-Pfa,1996,2,18,-90.2723,45.9459,-12.4,85.736,0,0.34,,-3.86926e-270,0.824014,0,""
US-Pfa,1996,2,19,-90.2723,45.9459,-12.5,90.709,0,0.22,,-3.91101e-270,0.812351,0,""
US-Pfa,1996,2,20,-90.2723,45.9459,-13.4,86.598,0,0.3,,-3.90035e-270,0.711735,0,x
US-Pfa,1996,2,21,-90.2723,45.9459,-13,85.302,0,0.34,,-3.90035e-270,0.755488,0,""
US-Pfa,1996,2,22,-90.2723,45.9459,-12,83.791,0,0.4,,-3.86926e-270,0.871634,0,""
US-Pfa,1996,2,23,-90.2723,45.9459,-11.8,82.494,0,0.44,,-3.86926e-270,0.896024,0,""
US-Pfa,1996,3,0,-90.2723,45.9459,-11.5,88.44,0,0.3,,-3.88596e-270,0.933336,0,""
US-Pfa,1996,3,1,-90.2723,45.9459,-11.8,78.71,0,0.54,,-3.86926e-270,0.896024,0,x
US-Pfa,1996,3,2,-90.2723,45.9459,-12,77.737,0,0.55,,-3.86926e-270,0.871634,0,x
US-Pfa,1996,3,3,-90.2723,45.9459,-11.8,77.629,0,0.56,,-3.86926e-270,0.896024,0,""
US-Pfa,1996,3,4,-90.2723,45.9459,-11.9,76.44,0,0.59,,-3.86926e-270,0.88378,0,""
US-Pfa,1996,3,5,-90.2723,45.9459,-12,75.25,0,0.61,,-3.86926e-270,0.871634,0,x
US-Pfa,1996,3,6,-90.2723,45.9459,-12.2,74.709,0,0.62,,-3.86926e-270,0.84763,0,x
US-Pfa,1996,3,7,-90.2723,45.9459,-12.82,74.706,0,0.59,,-3.90212e-270,0.77568,0,x
US-Pfa,1996,3,8,-90.2723,45.9459,-13.02,73.733,51.821,0.6,,-3.91101e-270,0.753264,0.637408,x
