site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-SSH,2016,1,0,-77.9041,40.6658,0.8445,75.290001,0,1.605,6.9,0.243007,0.2859865,0,x
US-SSH,2016,1,1,-77.9041,40.6658,0.666,72.506665335,0,1.763,6.8215,-0.129138,0.2803945,0,x
US-SSH,2016,1,2,-77.9041,40.6658,0.5735,68.659999665,0,1.9965,6.691,-0.1320895,0.2775295,0,x
US-SSH,2016,1,3,-77.9041,40.6658,0.198,72.678332165,0,1.694,6.6035,0.411446,0.2660765,0,""
US-SSH,2016,1,4,-77.9041,40.6658,-0.188,74.346667165,0,1.546,6.6,0.308143,0.2546005,0,""
US-SSH,2016,1,5,-77.9041,40.6658,-0.5025,74.891667835,0,1.479,6.524,-0.128672,0.245491,0,x
US-SSH,2016,1,6,-77.9041,40.6658,-0.6645,73.4566675,0,1.545,6.439,0.728976,0.2408645,0,x
US-SSH,2016,1,7,-77.9041,40.6658,-0.6565,71.381668165,0.1975,1.6665,6.4,0.699428,0.241091,0,""
US-SSH,2016,1,8,-77.9041,40.6658,-0.689,72.39666767,1.4815,1.604,6.3375,0.654246,0.240173,0,""
US-SSH,2016,1,9,-77.9041,40.6658,-0.8555,73.550000335,9.911,1.5185,6.275,0.210776,0.2354965,0.010997255,x
US-SSH,2016,1,10,-77.9041,40.6658,-0.847,78.183333165,47.445,1.2555,6.2015,0.0427545,0.2357655,0.2173745,""
US-SSH,2016,1,11,-77.9041,40.6658,-0.83,75.67166533,96.15,1.4015,6.1815,-0.2162805,0.236248,0.438889,x
US-SSH,2016,1,12,-77.9041,40.6658,-0.1235,67.618331835,78.345,1.961,6.1025,-0.218278,0.2564945,0.463239,""
US-SSH,2016,1,13,-77.9041,40.6658,0.238,63.168334335,67.9665,2.2895,6.0245,-0.3784425,0.267273,0.6354285,x
US-SSH,2016,1,14,-77.9041,40.6658,0.5005,58.1049995,70.6465,2.6545,6,-0.214955,0.275278,0.939115,""
US-SSH,2016,1,15,-77.9041,40.6658,0.5135,57.176667,69.9615,2.716,5.911,0.45745865,0.275675,0.1655625,x
US-SSH,2016,1,16,-77.9041,40.6658,0.179,59.6883335,42.3935,2.4965,5.8835,-0.0924112,0.265512,0.347432,x
US-SSH,2016,1,17,-77.9041,40.6658,0.0405,63.668333165,6.2795,2.226,5.8105,0.3511515,0.2613475,0,x
US-SSH,2016,1,18,-77.9041,40.6658,0.1225,62.771666835,0,2.2955,5.8,0.4937155,0.263798,0,x
US-SSH,2016,1,19,-77.9041,40.6658,0.3455,57.653333,0,2.6535,5.7935,0.4994625,0.2705345,0,""
US-SSH,2016,1,20,-77.9041,40.6658,0.4105,53.2816665,0,2.9405,5.7345,-0.132209,0.2725145,0,""
US-SSH,2016,1,21,-77.9041,40.6658,0.291,54.878334165,0,2.816,5.7035,-0.0384995,0.2688775,0,""
