site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-Slt,2005,1,0,-74.596,39.9138,7.815,82.3,0,1.876,5.76,0.8376585,1.52117,0,x
US-Slt,2005,1,1,-74.596,39.9138,7.137,83.75,0,1.6455,5.6905,0.6885935,1.499585,0,""
US-Slt,2005,1,2,-74.596,39.9138,5.9175,86.5,0,1.258,5.5455,0.7798705,1.460175,0,""
US-Slt,2005,1,3,-74.596,39.9138,5.035,89.05,0,0.958,5.382,0.99685,1.431195,0,""
US-Slt,2005,1,4,-74.596,39.9138,5.078,91,0,0.7895,5.244,1.05273,1.43262,0,x
US-Slt,2005,1,5,-74.596,39.9138,5.3595,91.25,0,0.783,5.1155,0.7395,1.44191,0,""
US-Slt,2005,1,6,-74.596,39.9138,5.644,91.3,0.1,0.794,5.024,0.7899645,1.451255,0,x
US-Slt,2005,1,7,-74.596,39.9138,5.8195,91.25,28.23,0.808,4.9415,0.625942,1.45699,0,x
US-Slt,2005,1,8,-74.596,39.9138,8.505,86.25,160.5,1.559,5.011,0.4799285,1.542665,1.005799,x
US-Slt,2005,1,9,-74.596,39.9138,11.775,71.475,284.6,3.9665,5.369,0.4708125,1.64233,1.108257,x
US-Slt,2005,1,10,-74.596,39.9138,14.795,59.435,382.35,6.8425,5.8625,0.0484165,1.729725,1.61238,""
US-Slt,2005,1,11,-74.596,39.9138,16.43,52.765,432.25,8.8465,6.404,0.2235,1.775205,1.479785,x
US-Slt,2005,1,12,-74.596,39.9138,17.335,44.85,427.45,10.9185,6.923,0.681875,1.799905,1.044471,x
US-Slt,2005,1,13,-74.596,39.9138,17.575,43.31,356.55,11.395,7.2725,0.823,1.806385,0.909388,""
US-Slt,2005,1,14,-74.596,39.9138,17.695,41.315,249.95,11.885,7.4495,1.3235,1.80961,0.4119005,x
US-Slt,2005,1,15,-74.596,39.9138,17.305,42.765,124.35,11.311,7.474,1.308,1.799085,0.4175795,""
US-Slt,2005,1,16,-74.596,39.9138,15.4005,70.8,12.734,5.2815,7.2535,1.61615,1.746635,0.268341,x
US-Slt,2005,1,17,-74.596,39.9138,12.58,73.115,0.0155,3.8325,6.9585,2.065515,1.666095,0,x
US-Slt,2005,1,18,-74.596,39.9138,10.67,55.435,0.0025,5.718,6.6885,1.899575,1.60941,0,x
US-Slt,2005,1,19,-74.596,39.9138,9.25,49.02,0.003,5.958,6.472,1.66,1.56601,0,x
US-Slt,2005,1,20,-74.596,39.9138,7.9,48.505,0.001,5.4915,6.2765,1.4705,1.52383,0,""
US-Slt,2005,1,21,-74.596,39.9138,6.319,51.51,0,4.644,6.079,1.546965,1.4732,0,""
US-Slt,2005,1,22,-74.596,39.9138,4.6455,56.475,0,3.7075,5.834,1.403775,1.41824,0,x
US-Slt,2005,1,23,-74.596,39.9138,3.345,60.855,0,3.044,5.599,1.40351,1.37447,0,x
US-Slt,2005,2,0,-74.596,39.9138,1.9425,66.05,0,2.388,5.371,1.455,1.32627,0,""
US-Slt,2005,2,1,-74.596,39.9138,1,70.16,0,1.962,5.1745,1.2595,1.29328,0,x
US-Slt,2005,2,2,-74.596,39.9138,0.2875,75.1,0,1.554,5.005,1.4195,1.268035,0,x
US-Slt,2005,2,3,-74.596,39.9138,-0.235,78.75,0,1.277,4.8475,1.468,1.249335,0,""
US-Slt,2005,2,4,-74.596,39.9138,-0.7085,82.6,0,1.01,4.7015,1.468,1.232265,0,x
US-Slt,2005,2,5,-74.596,39.9138,-1.211,85.2,0,0.828,4.58,1.468,1.21402,0,""
US-Slt,2005,2,6,-74.596,39.9138,-1.4685,87.1,0.201,0.708,4.452,1.468,1.20462,0,""
US-Slt,2005,2,7,-74.596,39.9138,-1.5205,87.9,22.7075,0.661,4.3595,1.1437265,1.20271,0,x
US-Slt,2005,2,8,-74.596,39.9138,-0.165,83.5,115.9,0.996,4.352,0.272385,1.25185,0.940017,x
US-Slt,2005,2,9,-74.596,39.9138,3.7255,71.5,259.9,2.282,4.5805,0.7588335,1.387285,0.581042,""
US-Slt,2005,2,10,-74.596,39.9138,6.5235,66.07,358.55,3.298,4.8945,0.5868335,1.479745,0.8398825,x
US-Slt,2005,2,11,-74.596,39.9138,8.365,62.525,231.55,4.1225,5.344,0.5981875,1.5385,0.8836365,""
US-Slt,2005,2,12,-74.596,39.9138,8.325,62.71,126.5,4.091,5.6445,0.4585,1.53724,1.0221485,""
US-Slt,2005,2,13,-74.596,39.9138,8.315,64.9355,115.55,3.8445,5.8575,0.869,1.53693,0.611353,x
US-Slt,2005,2,14,-74.596,39.9138,8.015,68.455,65.345,3.388,5.9585,0.794,1.52749,0.677505,""
US-Slt,2005,2,15,-74.596,39.9138,7.885,70.32,36.83,3.1605,6.038,0.873,1.523385,0.5946565,""
US-Slt,2005,2,16,-74.596,39.9138,7.695,73.45,10.352,2.7905,6.073,0.8035,1.51737,0.658518,""
US-Slt,2005,2,17,-74.596,39.9138,7.57,75.75,0,2.527,6.072,1.037,1.51341,0,""
US-Slt,2005,2,18,-74.596,39.9138,7.685,76.65,0,2.452,6.075,1.29308,1.517055,0,""
US-Slt,2005,2,19,-74.596,39.9138,7.665,77.9,0,2.318,6.099,1.29308,1.516425,0,""
US-Slt,2005,2,20,-74.596,39.9138,7.805,80.7,0,2.0435,6.1325,0.90763,1.520855,0,""
US-Slt,2005,2,21,-74.596,39.9138,7.845,82.15,0,1.8955,6.1705,1.38626,1.522125,0,x
US-Slt,2005,2,22,-74.596,39.9138,7.94,83.95,0,1.715,6.2055,1.40095,1.525125,0,x
US-Slt,2005,2,23,-74.596,39.9138,7.99,85.5,0,1.555,6.2345,1.40095,1.526705,0,x
US-Slt,2005,3,0,-74.596,39.9138,7.455,85.25,0,1.5275,6.2015,1.275035,1.509735,0,""
US-Slt,2005,3,1,-74.596,39.9138,7.0825,87.6,0,1.249,6.1125,1.223245,1.497855,0,""
US-Slt,2005,3,2,-74.596,39.9138,7.7,89.65,0,1.088,6.1405,1.2985,1.51753,0,x
US-Slt,2005,3,3,-74.596,39.9138,7.745,89.9,0,1.065,6.168,1.32618,1.51895,0,x
US-Slt,2005,3,4,-74.596,39.9138,7.08,90.95,0,0.912,6.089,1.21253,1.50099,0,x
US-Slt,2005,3,5,-74.596,39.9138,7.425,92.35,0,0.789,6.173,1.23121,1.516345,0,""
US-Slt,2005,3,6,-74.596,39.9138,7.685,92.2,0.0205,0.819,6.2445,0.8265,1.528985,0,""
US-Slt,2005,3,7,-74.596,39.9138,7.66,91.2,23.0825,0.923,6.2805,0.8165,1.532515,0,x
US-Slt,2005,3,8,-74.596,39.9138,8.205,90.8,94.42,1.002,6.37,0.0775,1.554295,1.425975,""
US-Slt,2005,3,9,-74.596,39.9138,8.915,86.95,105.75,1.4905,6.5185,0.0560139,1.581235,1.473285,x
US-Slt,2005,3,10,-74.596,39.9138,9.76,80.8,130.6005,2.3245,6.7445,0.7645,1.61225,0.794458,x
US-Slt,2005,3,11,-74.596,39.9138,12.095,72.01,375.05,4.004,7.059,0.1895,1.68824,1.4414095,x
US-Slt,2005,3,12,-74.596,39.9138,15.035,63.025,303.05,6.3215,7.5025,-0.373,1.779975,2.09062,""
US-Slt,2005,3,13,-74.596,39.9138,15.695,61.295,237.05,6.9055,7.8285,1.0015,1.80388,0.7390885,x
US-Slt,2005,3,14,-74.596,39.9138,15.5,63.12,88,6.497,8.016,0.4765715,1.80331,1.263995,""
US-Slt,2005,3,15,-74.596,39.9138,15.465,64.96,42.385,6.159,8.097,1.096605,1.8073,0.6482255,""
US-Slt,2005,3,16,-74.596,39.9138,14.905,66.915,6.0115,5.613,8.044,1.88665,1.796015,0.0201292,x
US-Slt,2005,3,17,-74.596,39.9138,13.63,73.15,0,4.198,7.896,2.0723,1.76327,0,x
US-Slt,2005,3,18,-74.596,39.9138,13.405,75.75,0,3.7305,7.808,2.0723,1.761405,0,""
US-Slt,2005,3,19,-74.596,39.9138,12.77,77.9,0,3.266,7.8,2.092605,1.746965,0,""
US-Slt,2005,3,20,-74.596,39.9138,12.155,85.3,0,2.0835,7.7885,2.577955,1.732885,0,x
US-Slt,2005,3,21,-74.596,39.9138,12.29,84.9,0,2.1595,7.807,2.394955,1.741785,0,x
US-Slt,2005,3,22,-74.596,39.9138,12.215,88.55,0,1.6295,7.856,2.11291,1.7442,0,x
US-Slt,2005,3,23,-74.596,39.9138,12.435,91.9,0,1.169,7.9335,2.128,1.75576,0,""
US-Slt,2005,4,0,-74.596,39.9138,12.67,92.65,0,1.0775,8.01,2.0723,1.767795,0,x
US-Slt,2005,4,1,-74.596,39.9138,12.89,92.65,0,1.0935,8.0675,2.0723,1.779375,0,""
US-Slt,2005,4,2,-74.596,39.9138,12.97,92.75,0,1.084,8.123,1.968,1.786645,0,x
