site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-UMB,2000,1,0,-84.7138,45.5598,-4.305,-9999,0,0.878,1.089,0.494641,0.438704,0,""
US-UMB,2000,1,1,-84.7138,45.5598,-4.336,-9999,0,0.879,1.09,0.489569,0.43767,0,""
US-UMB,2000,1,2,-84.7138,45.5598,-4.361,-9999,0,0.881,1.09,0.479682,0.436837,0,x
US-UMB,2000,1,3,-84.7138,45.5598,-4.379,-9999,0,0.883,1.091,0.476313,0.436238,0,x
US-UMB,2000,1,4,-84.7138,45.5598,-4.389,-9999,0,0.886,1.092,0.455397,0.435906,0,x
US-UMB,2000,1,5,-84.7138,45.5598,-4.39,-9999,0,0.889,1.093,0.458957,0.435872,0,x
US-UMB,2000,1,6,-84.7138,45.5598,-4.385,-9999,0,0.892,1.094,0.461657,0.436039,0,x
US-UMB,2000,1,7,-84.7138,45.5598,-4.372,-9999,0,0.894,1.095,0.457465,0.436471,0,x
US-UMB,2000,1,8,-84.7138,45.5598,-4.354,-9999,0,0.896,1.096,0.451944,0.437071,0,x
US-UMB,2000,1,9,-84.7138,45.5598,-4.333,-9999,0,0.898,1.097,0.450918,0.43777,0,x
US-UMB,2000,1,10,-84.7138,45.5598,1.436,66.603,289.45,2.27,1.061,-0.267667,0.643842,0.908558,""
US-UMB,2000,1,11,-84.7138,45.5598,1.436,66.405,327.83,2.28,1.058,-0.8215,0.643842,1.46239,""
US-UMB,2000,1,12,-84.7138,45.5598,1.991,63.441,361,2.58,1.132,-2.483,0.664927,3.14442,""
US-UMB,2000,1,13,-84.7138,45.5598,1.741,63.138,220.38,2.56,1.023,1.953,0.655406,0,x
US-UMB,2000,1,14,-84.7138,45.5598,1.502,65.712,90.081,2.34,1.085,1.102,0.64634,0,""
US-UMB,2000,1,15,-84.7138,45.5598,1.471,66.327,74.319,2.29,1.067,0.055,0.645166,0.587181,x
US-UMB,2000,1,16,-84.7138,45.5598,0.678,72.874,16.411,1.75,1.046,0.2785,0.61536,0.334635,""
US-UMB,2000,1,17,-84.7138,45.5598,0.149,75.906,0.093,1.49,0.994,0.286812,0.595707,0,x
US-UMB,2000,1,18,-84.7138,45.5598,-0.534,76.011,0,1.42,0.988,0.40545,0.570622,0,x
US-UMB,2000,1,19,-84.7138,45.5598,-1.037,76.45,0,1.34,0.971,0.398304,0.552364,0,""
