site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-UMd,2008,1,0,-84.6975,45.5625,-2.8775,93.8185,0,0.3055,1.143,0.693757,0.6679475,0,""
US-UMd,2008,1,1,-84.6975,45.5625,-3.03,94.739,0,0.257,1.1385,0.6939825,0.664618,0,x
US-UMd,2008,1,2,-84.6975,45.5625,-2.7875,90.7935,0,0.4595,1.15,0.7060275,0.6699065,0,x
US-UMd,2008,1,3,-84.6975,45.5625,-2.9445,91.088,0,0.4385,1.151,0.693757,0.6664865,0,""
US-UMd,2008,1,4,-84.6975,45.5625,-2.83,93.603,0,0.317,1.137,0.693757,0.6689835,0,x
US-UMd,2008,1,5,-84.6975,45.5625,-2.7215,93.28,0,0.336,1.139,0.7060275,0.671346,0,x
US-UMd,2008,1,6,-84.6975,45.5625,-2.807,93.014,0,0.3475,1.1565,0.693757,0.6694835,0,x
US-UMd,2008,1,7,-84.6975,45.5625,-2.978,93.908,0,0.299,1.1475,0.6939825,0.6657545,0,""
US-UMd,2008,1,8,-84.6975,45.5625,-3.161,94.3545,7.958,0.2735,1.1485,0.6964325,0.6617535,0,x
US-UMd,2008,1,9,-84.6975,45.5625,-3.1175,94.5845,49.139,0.263,1.132,0.786019,0.662704,0,x
US-UMd,2008,1,10,-84.6975,45.5625,-2.766,93.8475,105.583,0.3065,1.154,0.7495655,0.670376,0,""
US-UMd,2008,1,11,-84.6975,45.5625,-2.153,91.233,135.697,0.457,1.1425,0.778366,0.683666,0,x
US-UMd,2008,1,12,-84.6975,45.5625,-1.866,88.8955,122.325,0.5915,1.149,0.9953395,0.689851,0,""
US-UMd,2008,1,13,-84.6975,45.5625,-2.0145,90.5655,67.4705,0.4985,1.148,0.8691255,0.686652,0,""
US-UMd,2008,1,14,-84.6975,45.5625,-2.0465,90.6955,59.498,0.489,1.164,0.8459805,0.6859645,0,x
US-UMd,2008,1,15,-84.6975,45.5625,-2.114,91.2965,69.599,0.4555,1.161,0.9772195,0.6845095,0,""
US-UMd,2008,1,16,-84.6975,45.5625,-2.2965,95.415,12.6255,0.237,1.1515,0.76491,0.6805665,0,x
US-UMd,2008,1,17,-84.6975,45.5625,-2.528,95.3525,0.4595,0.2355,1.1565,0.743172,0.6755495,0,x
US-UMd,2008,1,18,-84.6975,45.5625,-2.6985,95.647,0,0.218,1.1745,0.718298,0.6718465,0,""
US-UMd,2008,1,19,-84.6975,45.5625,-3.398,93.477,0,0.3095,1.169,0.694208,0.65655,0,""
US-UMd,2008,1,20,-84.6975,45.5625,-4.3135,87.5685,0,0.551,1.1625,0.4867775,0.6363255,0,x
US-UMd,2008,1,21,-84.6975,45.5625,-5.111,84.0945,0,0.664,1.1685,-1.052036,0.618508,0,""
US-UMd,2008,1,22,-84.6975,45.5625,-5.6655,79.8055,0,0.809,1.1735,0.6453145,0.606011,0,x
US-UMd,2008,1,23,-84.6975,45.5625,-6.5755,87.0935,0,0.4825,1.1635,1.6571195,0.5853165,0,""
US-UMd,2008,2,0,-84.6975,45.5625,-7.745,83.08,0,0.5765,1.193,0.3193695,0.558399,0,x
US-UMd,2008,2,1,-84.6975,45.5625,-9.2655,79.9885,0,0.608,1.1725,0.0445925,0.5228935,0,x
US-UMd,2008,2,2,-84.6975,45.5625,-10.7905,77.791,0,0.595,1.155,0.539014,0.4867915,0,""
US-UMd,2008,2,3,-84.6975,45.5625,-11.7835,74.974,0,0.62,1.153,0.012,0.463043,0,""
US-UMd,2008,2,4,-84.6975,45.5625,-12.737,74.5295,0,0.585,1.155,0.736764,0.4400865,0,""
US-UMd,2008,2,5,-84.6975,45.5625,-13.3705,74.5805,0,0.5535,1.135,0.7364375,0.424773,0,x
US-UMd,2008,2,6,-84.6975,45.5625,-14.2235,76.7505,0,0.473,1.1465,0.730156,0.4040835,0,""
US-UMd,2008,2,7,-84.6975,45.5625,-14.778,75.683,0,0.472,1.1285,0.722561,0.3906105,0,x
US-UMd,2008,2,8,-84.6975,45.5625,-14.8505,74.836,23.234,0.4855,1.126,0.737567,0.3888475,0,x
US-UMd,2008,2,9,-84.6975,45.5625,-13.906,72.795,135.3985,0.5685,1.1125,0.7196845,0.4117865,0,x
US-UMd,2008,2,10,-84.6975,45.5625,-12.073,70.9865,237.517,0.704,1.1055,0.854736,0.456066,0,""
US-UMd,2008,2,11,-84.6975,45.5625,-10.067,72.13,332.468,0.792,1.109,0.868519,0.503993,0,""
US-UMd,2008,2,13,-84.6975,45.5625,-8.51,67.909,325.521,1.031,1.111,0.069352,0.54062,0,""
