site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-WCr,2000,1,0,-90.0799,45.8059,-0.183,84.8475,0,0.925,0.377,0.5055,0.660258,0,""
US-WCr,2000,1,1,-90.0799,45.8059,-0.772,89.5275,0,0.615,-0.127,0.496,0.6340365,0,""
US-WCr,2000,1,2,-90.0799,45.8059,-1.358,93.971,0,0.34,-0.421,0.9115,0.6083315,0,x
US-WCr,2000,1,3,-90.0799,45.8059,-2.3225,95.6655,0,0.23,0.1535,0.4666605,0.5669345,0,""
US-WCr,2000,1,4,-90.0799,45.8059,-3.5065,96.28,0,0.18,0.2045,0.4439095,0.517667,0,x
US-WCr,2000,1,5,-90.0799,45.8059,-4.489,94.745,0,0.235,0.1105,0.4254175,0.4781155,0,""
US-WCr,2000,1,6,-90.0799,45.8059,-5.24,93.9925,0,0.255,-0.2815,0.4271425,0.448794,0,""
US-WCr,2000,1,7,-90.0799,45.8059,-5.748,96.6275,1.7385,0.14,-0.043,0.427477,0.4293985,0,""
US-WCr,2000,1,8,-90.0799,45.8059,-5.74,99.1985,30.548,0.035,-0.395,0.3511945,0.429715,0.0785205,""
US-WCr,2000,1,9,-90.0799,45.8059,-5.026,99.722,49.371,0.02,0.1305,0.453845,0.4570615,0.0898135,""
US-WCr,2000,1,10,-90.0799,45.8059,-4.5795,99.7565,72.3915,0.015,-0.011,0.57,0.474519,0.093968,x
US-WCr,2000,1,11,-90.0799,45.8059,-4.383,97.9285,79.6915,0.095,0.211,0.0334475,0.482292,0.4488445,""
US-WCr,2000,1,12,-90.0799,45.8059,-4.1105,96.1815,93.7485,0.175,-0.1995,0.2388985,0.493165,0.2542665,x
US-WCr,2000,1,13,-90.0799,45.8059,-3.647,94.686,75.885,0.255,-0.253,0.2347545,0.5118855,0.277131,x
US-WCr,2000,1,14,-90.0799,45.8059,-3.6545,94.6555,55.601,0.255,0.1315,0.259588,0.511572,0.251984,""
US-WCr,2000,1,15,-90.0799,45.8059,-3.8045,93.4975,20.499,0.305,-0.0795,0.3028895,0.5054865,0.202597,""
US-WCr,2000,1,16,-90.0799,45.8059,-3.9285,92.415,1.2235,0.355,-0.644,0.422734,0.500478,0.037732,""
US-WCr,2000,1,17,-90.0799,45.8059,-4.195,92.972,0,0.32,0.105,0.4274685,0.489781,0,""
US-WCr,2000,1,18,-90.0799,45.8059,-4.2595,92.895,0,0.32,0.0505,0.627,0.4872045,0,""
US-WCr,2000,1,19,-90.0799,45.8059,-4.36,94.2505,0,0.26,-0.1345,0.9085,0.4832055,0,""
US-WCr,2000,1,20,-90.0799,45.8059,-4.3215,94.5035,0,0.25,-0.074,0.891904,0.484737,0,x
US-WCr,2000,1,21,-90.0799,45.8059,-4.1755,95.2105,0,0.22,-0.9655,0.425452,0.490561,0,x
US-WCr,2000,1,22,-90.0799,45.8059,-4.0255,96.3695,0,0.17,0.152,0.4203605,0.4965715,0,x
US-WCr,2000,1,23,-90.0799,45.8059,-3.997,97.9055,0,0.1,-0.532,0.4210395,0.497717,0,x
US-WCr,2000,2,0,-90.0799,45.8059,-4.313,98.3355,0,0.08,-0.2995,0.4355645,0.4850925,0,""
US-WCr,2000,2,1,-90.0799,45.8059,-4.8645,98.0805,0,0.085,0.2175,0.3995,0.4633385,0,x
US-WCr,2000,2,2,-90.0799,45.8059,-5.222,98.0605,0,0.085,0.1005,0.3255,0.44947,0,x
US-WCr,2000,2,3,-90.0799,45.8059,-5.392,98.0065,0,0.09,0.146,0.4105,0.442937,0,x
US-WCr,2000,2,4,-90.0799,45.8059,-5.5335,97.9865,0,0.09,0.08,0.528,0.4375305,0,""
US-WCr,2000,2,5,-90.0799,45.8059,-5.5835,97.816,0,0.095,-0.194,0.497,0.435627,0,""
US-WCr,2000,2,6,-90.0799,45.8059,-5.5535,97.753,0,0.095,-0.2025,0.3595,0.4367685,0,""
US-WCr,2000,2,7,-90.0799,45.8059,-5.4575,97.5195,0.7795,0.105,0.37,0.6285,0.4404325,0,""
US-WCr,2000,2,8,-90.0799,45.8059,-5.0565,97.833,15.9655,0.1,-0.0915,0.3544025,0.455872,0.1014695,x
