site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-xBR,2020,1,0,-71.2873,44.0639,-0.7875,96.61,0.4625,0.2245,1.1495,0.6330375,0.8254635,0,""
US-xBR,2020,1,1,-71.2873,44.0639,-0.406,89.995,0.3275,0.5945,1.1505,0.6481345,0.840893,0,x
US-xBR,2020,1,2,-71.2873,44.0639,-0.106,83.915,0.3925,0.975,1.1525,0.672628,0.8530505,0,x
US-xBR,2020,1,3,-71.2873,44.0639,-0.205,76.61,0,1.412,1.1565,0.6638275,0.849038,0,""
US-xBR,2020,1,4,-71.2873,44.0639,-0.4825,70.44,0,1.7435,1.159,0.641242,0.837794,0,x
US-xBR,2020,1,5,-71.2873,44.0639,-0.3125,70.535,0.99,1.7595,1.1605,0.655027,0.8446795,0,x
US-xBR,2020,1,6,-71.2873,44.0639,-0.511,71.525,0.99,1.676,1.164,0.920121,0.83664,0,x
US-xBR,2020,1,7,-71.2873,44.0639,-0.5025,69.18,16.505,1.8155,1.1665,0.619186,0.836985,0,""
US-xBR,2020,1,8,-71.2873,44.0639,-0.2995,70.005,57.13,1.7935,1.168,0.3518575,0.8452065,0.495695,x
US-xBR,2020,1,10,-71.2873,44.0639,0.0765,73.78,126.715,1.611,1.1725,-0.09354785,0.8604545,0.9567165,""
US-xBR,2020,1,11,-71.2873,44.0639,0.126,72.62,116.6375,1.6885,1.1745,0.0397426,0.8624635,0.825483,""
US-xBR,2020,1,12,-71.2873,44.0639,-0.1005,77.425,104.745,1.3715,1.1765,0.1245,0.853276,0.7313165,""
US-xBR,2020,1,13,-71.2873,44.0639,0.161,73.955,86.1125,1.6175,1.1785,0.1422,0.8638915,0.72449,x
US-xBR,2020,1,14,-71.2873,44.0639,0.4685,68.27,49.8775,2.0055,1.1805,0.538,0.8763735,0.341477,""
US-xBR,2020,1,15,-71.2873,44.0639,0.3165,71.35,17.9825,1.7925,1.1825,0.486558,0.8701995,0.3865935,x
US-xBR,2020,1,16,-71.2873,44.0639,0.0265,75.25,2.46,1.5155,1.1845,0.6680655,0.8584255,0.193024,x
US-xBR,2020,1,17,-71.2873,44.0639,0.5335,67.84,0.9125,2.043,1.187,0.651646,0.8790155,0,x
US-xBR,2020,1,18,-71.2873,44.0639,0.3115,70.135,0.78,1.8685,1.19,0.638782,0.869997,0,""
US-xBR,2020,1,19,-71.2873,44.0639,0.2715,72.18,1.0725,1.734,1.1925,0.638782,0.868371,0,""
US-xBR,2020,1,20,-71.2873,44.0639,0.137,75.24,1.3275,1.5325,1.1945,0.3845755,0.862915,0,""
US-xBR,2020,1,21,-71.2873,44.0639,0.315,70.45,1.3875,1.849,1.1965,0.2884205,0.8701385,0,""
US-xBR,2020,1,22,-71.2873,44.0639,0.521,65.055,1.285,2.218,1.1985,0.645245,0.878508,0,""
US-xBR,2020,1,23,-71.2873,44.0639,-0.0405,68.39,1.0275,1.935,1.2015,0.6309975,0.8557195,0,x
US-xBR,2020,2,0,-71.2873,44.0639,-0.43,66.42,0.9175,1.9885,1.2035,0.628022,0.8399205,0,""
US-xBR,2020,2,1,-71.2873,44.0639,-0.6725,66.805,0.6875,1.9315,1.2045,0.2935755,0.8301055,0,""
US-xBR,2020,2,2,-71.2873,44.0639,-0.8,64.935,0.1275,2.0205,1.2075,0.6286135,0.824948,0,""
US-xBR,2020,2,3,-71.2873,44.0639,-1.217,67.07,0,1.841,1.21,0.6107695,0.808107,0,""
US-xBR,2020,2,4,-71.2873,44.0639,-1.0955,64.48,0,2.003,1.211,0.6226515,0.8130095,0,""
US-xBR,2020,2,5,-71.2873,44.0639,-2.044,69.445,0,1.6085,1.2115,0.533081,0.774825,0,""
US-xBR,2020,2,6,-71.2873,44.0639,-2.655,71.595,0,1.431,1.21,0.5248385,0.7503505,0,x
US-xBR,2020,2,7,-71.2873,44.0639,-2.526,68.64,9.2425,1.5915,1.2075,0.511906,0.7554985,0,x
US-xBR,2020,2,8,-71.2873,44.0639,-2.075,66.69,88.6625,1.7475,1.204,0.1848,0.773574,0.589473,""
US-xBR,2020,2,9,-71.2873,44.0639,-2.2125,72.05,128,1.452,1.199,0.13366575,0.768064,0.634978,""
US-xBR,2020,2,10,-71.2873,44.0639,-0.1205,66.91,253.025,2.0045,1.1945,0.572725,0.852482,0.3117185,x
US-xBR,2020,2,11,-71.2873,44.0639,2.617,55.11,315.94,3.311,1.19,0.702,0.963932,0.267291,x
US-xBR,2020,2,12,-71.2873,44.0639,3.019,58.03,152.69,3.186,1.19,-0.0725,0.980352,1.05865,x
US-xBR,2020,2,13,-71.2873,44.0639,3.155,62.295,288.59,2.894,1.1915,0.48825,0.98591,0.5036135,x
US-xBR,2020,2,14,-71.2873,44.0639,2.5745,68.795,129.27,2.2995,1.196,0.1255835,0.962199,0.841932,x
US-xBR,2020,2,15,-71.2873,44.0639,2.1325,72.675,70.335,1.949,1.203,0.3432525,0.944155,0.6057375,x
US-xBR,2020,2,16,-71.2873,44.0639,1.1915,79.18,2.315,1.3875,1.2095,0.6987895,0.90579,0.102286,x
US-xBR,2020,2,17,-71.2873,44.0639,0.238,84.99,0,0.9365,1.2165,0.651384,0.8670155,0,x
US-xBR,2020,2,18,-71.2873,44.0639,-0.2525,87.695,0.17,0.7655,1.2235,0.6379435,0.8471715,0,x
US-xBR,2020,2,19,-71.2873,44.0639,-1.291,95.65,0.91,0.243,1.227,0.59991,0.8051225,0,""
US-xBR,2020,2,20,-71.2873,44.0639,-1.6775,95.055,1.02,0.267,1.228,0.558445,0.7895505,0,""
US-xBR,2020,2,21,-71.2873,44.0639,-1.357,92.405,1.2475,0.42,1.23,0.582852,0.8024605,0,""
US-xBR,2020,2,22,-71.2873,44.0639,-0.999,89.94,0.4275,0.572,1.2315,0.627569,0.816908,0,x
US-xBR,2020,2,23,-71.2873,44.0639,-0.863,88.73,1.0675,0.6465,1.234,0.634076,0.8224015,0,""
US-xBR,2020,3,0,-71.2873,44.0639,-0.362,87.22,1.295,0.7635,1.2355,0.6371365,0.842681,0,x
US-xBR,2020,3,1,-71.2873,44.0639,1.3295,82.28,1.57,1.1945,1.237,0.7004395,0.9114155,0,""
US-xBR,2020,3,2,-71.2873,44.0639,0.6395,85.67,0.1875,0.917,1.2375,0.651646,0.883325,0,x
US-xBR,2020,3,3,-71.2873,44.0639,0.605,87.69,0.09,0.7895,1.239,0.645245,0.8819245,0,x
US-xBR,2020,3,4,-71.2873,44.0639,0.1475,90.37,0,0.597,1.241,0.6380205,0.8633435,0,x
US-xBR,2020,3,5,-71.2873,44.0639,0.499,89.225,0.4925,0.683,1.2425,0.645245,0.877614,0,x
US-xBR,2020,3,6,-71.2873,44.0639,0.4725,90.79,0.4375,0.588,1.243,0.6680725,0.876558,0,x
US-xBR,2020,3,7,-71.2873,44.0639,-0.114,94.545,9.685,0.3315,1.243,0.6374345,0.8527265,0,""
US-xBR,2020,3,8,-71.2873,44.0639,0.678,93.5,63.21,0.417,1.242,0.465632,0.8848905,0.4225735,""
US-xBR,2020,3,9,-71.2873,44.0639,1.7675,90.28,94.125,0.6825,1.2415,0.098791665,0.9292765,0.834936,x
US-xBR,2020,3,10,-71.2873,44.0639,1.9535,89.775,149.9125,0.7215,1.242,0.021875,0.9368575,0.9196285,""
US-xBR,2020,3,11,-71.2873,44.0639,2.448,88.76,133.74,0.819,1.246,0.0556667,0.957031,0.906539,""
US-xBR,2020,3,12,-71.2873,44.0639,2.612,88.285,163.7925,0.867,1.25,-0.1888335,0.9637325,1.157922,""
US-xBR,2020,3,13,-71.2873,44.0639,3.621,86.285,149.5575,1.0885,1.2545,0.0622675,1.004954,0.949165,""
US-xBR,2020,3,14,-71.2873,44.0639,4.732,84.4,108.3625,1.336,1.2615,0.451662,1.05036,0.6064535,x
US-xBR,2020,3,15,-71.2873,44.0639,5.8445,81.335,34.3175,1.731,1.2675,0.9986955,1.0958,0.10618635,""
US-xBR,2020,3,16,-71.2873,44.0639,4.718,83.94,2.36,1.376,1.2725,0.805933,1.049785,0.251594,""
US-xBR,2020,3,17,-71.2873,44.0639,4.1005,85.445,0.895,1.1935,1.276,0.805933,1.02455,0,""
US-xBR,2020,3,18,-71.2873,44.0639,3.4325,88.625,0.625,0.8905,1.2785,0.8291595,0.997249,0,x
US-xBR,2020,3,19,-71.2873,44.0639,3.699,86.33,0.755,1.09,1.2805,0.8155745,1.00814,0,x
US-xBR,2020,3,20,-71.2873,44.0639,2.8235,91.93,0.995,0.6085,1.2815,0.787689,0.972368,0,x
US-xBR,2020,3,21,-71.2873,44.0639,3.5475,89.26,0.8175,0.8465,1.2775,0.817917,1.001947,0,x
US-xBR,2020,3,22,-71.2873,44.0639,4.8185,81.48,0.5825,1.615,1.1605,0.805933,1.05389,0,x
US-xBR,2020,3,23,-71.2873,44.0639,5.774,75.895,0.915,2.2195,1.2245,0.866,1.092925,0,x
US-xBR,2020,4,0,-71.2873,44.0639,5.6315,77.12,1.2975,2.0895,1.2865,1.2429545,1.087105,0,""
US-xBR,2020,4,1,-71.2873,44.0639,5.042,78.965,0.9175,1.841,1.285,1.4484,1.06303,0,x
US-xBR,2020,4,2,-71.2873,44.0639,4.7335,77.85,0.71,1.8985,1.2755,1.134585,1.05042,0,""
US-xBR,2020,4,3,-71.2873,44.0639,4.4435,75.49,0.85,2.057,1.2735,1.18556,1.03857,0,x
US-xBR,2020,4,4,-71.2873,44.0639,4.4925,71.315,0.8,2.416,1.276,1.4567,1.040575,0,x
US-xBR,2020,4,5,-71.2873,44.0639,4.439,70.065,1.14,2.5115,1.2785,1.579665,1.038385,0,x
US-xBR,2020,4,6,-71.2873,44.0639,3.835,73.54,1.16,2.1425,1.2815,1.390775,1.013702,0,""
US-xBR,2020,4,7,-71.2873,44.0639,2.619,82.73,5.805,1.275,1.2845,0.8151335,0.9640145,0,x
US-xBR,2020,4,8,-71.2873,44.0639,2.1375,85.87,34.2825,1.0085,1.287,0.6996825,0.944358,0.2495155,x
US-xBR,2020,4,9,-71.2873,44.0639,1.9595,88.49,34.26,0.81,1.2905,0.6515015,0.9370945,0.290241,x
US-xBR,2020,4,10,-71.2873,44.0639,1.6795,94.13,37.405,0.4065,1.2925,0.6447665,0.9256765,0.285262,x
US-xBR,2020,4,11,-71.2873,44.0639,1.787,96.36,57.5625,0.253,1.2935,0.4533515,0.9300585,0.4811725,""
US-xBR,2020,4,12,-71.2873,44.0639,1.7845,98.035,57.28,0.137,1.2945,0.25325,0.9299565,0.681169,x
US-xBR,2020,4,13,-71.2873,44.0639,1.744,100.095,34.565,0.003,1.2915,0.647126,0.928305,0.285598,x
US-xBR,2020,4,14,-71.2873,44.0639,1.3515,100.355,23.8725,0,1.285,0.648452,0.9123075,0.267863,""
US-xBR,2020,4,15,-71.2873,44.0639,0.696,99.855,10.8425,0.0105,1.2705,0.63907,0.8856235,0.2498875,""
US-xBR,2020,4,16,-71.2873,44.0639,0.273,100.175,1.2,0.0015,1.2525,0.638782,0.8684315,0.2325575,x
