site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-xGR,2020,1,0,-83.5019,35.689,3.7065,52.15,0,3.8135,6.1515,1.93555,1.84536,0,""
US-xGR,2020,1,1,-83.5019,35.689,3.268,53.71,0.26,3.5765,6.118,1.195185,1.820905,0,""
US-xGR,2020,1,2,-83.5019,35.689,2.7945,56.56,0.8875,3.245,6.325,1.15968,1.794385,0,x
US-xGR,2020,1,3,-83.5019,35.689,2.9205,57.53,0.745,3.201,6.4475,1.156615,1.80145,0,""
US-xGR,2020,1,4,-83.5019,35.689,2.961,56.725,0.5025,3.271,6.4875,1.16984,1.803725,0,x
US-xGR,2020,1,5,-83.5019,35.689,2.8705,54.745,0.2075,3.399,6.423,1.17216,1.79865,0,x
US-xGR,2020,1,6,-83.5019,35.689,2.6305,52.67,0,3.4945,6.131,2.11072,1.785165,0,x
US-xGR,2020,1,7,-83.5019,35.689,2.5095,51.31,2.8475,3.5645,5.727,1.156005,1.77835,0,x
US-xGR,2020,1,8,-83.5019,35.689,1.7815,56.765,19.99,3.0045,5.451,0.680603,1.73723,0.8155135,""
US-xGR,2020,1,10,-83.5019,35.689,4.8845,40.71,345.9375,5.1375,6.016,0.30625,1.910505,1.331795,x
US-xGR,2020,1,11,-83.5019,35.689,6.0445,30.47,353.5525,6.5265,6.8885,0.501,1.973875,1.188804,x
US-xGR,2020,1,12,-83.5019,35.689,6.9125,27.49,500.305,7.225,7.5245,0.4980865,2.020785,1.2299735,""
US-xGR,2020,1,13,-83.5019,35.689,7.681,28.14,536.115,7.5455,8.481,0.775072,2.061955,0.986536,""
US-xGR,2020,1,14,-83.5019,35.689,8.3575,28.78,459.035,7.831,8.8375,1.079309,2.097875,0.7115375,x
US-xGR,2020,1,15,-83.5019,35.689,8.9835,30.125,316.0075,8.0155,9.017,1.45012,2.130885,0.36757845,""
US-xGR,2020,1,16,-83.5019,35.689,8.634,31.42,127.4575,7.685,8.7025,3.035,2.11247,0,x
US-xGR,2020,1,17,-83.5019,35.689,6.5295,41.105,6.91,5.75,7.8055,1.223195,1.99996,0,""
US-xGR,2020,1,18,-83.5019,35.689,4.459,46.965,0,4.4555,7.0705,1.34161,1.887065,0,x
US-xGR,2020,1,19,-83.5019,35.689,3.9565,45.88,0,4.3895,6.5445,2.47122,1.859255,0,""
US-xGR,2020,1,20,-83.5019,35.689,3.9105,41.745,0,4.7095,6.1825,1.374955,1.8567,0,x
US-xGR,2020,1,21,-83.5019,35.689,4.155,38.78,0,5.0375,5.998,1.33769,1.87025,0,x
US-xGR,2020,1,22,-83.5019,35.689,4.143,39.29,0,4.9895,5.9395,1.34534,1.8696,0,""
US-xGR,2020,1,23,-83.5019,35.689,3.739,42.09,0,4.6285,5.842,1.362095,1.847155,0,x
US-xGR,2020,2,0,-83.5019,35.689,4.3965,39.83,0.25,5.033,5.8175,1.34534,1.883625,0,""
US-xGR,2020,2,1,-83.5019,35.689,4.2515,42.885,0.045,4.729,5.918,1.34534,1.875605,0,x
US-xGR,2020,2,2,-83.5019,35.689,4.764,39.935,0.3,5.1565,5.958,1.298425,1.90389,0,x
US-xGR,2020,2,3,-83.5019,35.689,5.4955,37.335,0.9,5.6615,6.107,3.75502,1.944,0,""
US-xGR,2020,2,4,-83.5019,35.689,4.994,42.65,0.7975,5.06,6.3335,1.310415,1.916135,0,""
US-xGR,2020,2,5,-83.5019,35.689,5.014,38.895,0.8125,5.337,6.4215,1.178105,1.917635,0,x
US-xGR,2020,2,6,-83.5019,35.689,5.2315,38.89,0.9925,5.419,6.5655,1.14865,1.929565,0,""
US-xGR,2020,2,7,-83.5019,35.689,5.7905,39.03,1.46,5.621,6.7205,1.12801,1.960095,0,""
US-xGR,2020,2,8,-83.5019,35.689,5.133,55.545,7.745,3.9415,6.821,1.26694,1.9241,0.38221,""
US-xGR,2020,2,9,-83.5019,35.689,4.663,66.34,70.44,2.8695,6.8955,0.09697305,1.89832,1.531115,""
US-xGR,2020,2,10,-83.5019,35.689,4.876,71.05,63.66,2.505,7.1055,0.10864675,1.91005,1.52903,""
US-xGR,2020,2,11,-83.5019,35.689,4.4455,77.51,76.23,1.888,7.246,-0.000134250000000002,1.88633,1.61842,""
