site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-xHA,2022,1,0,-72.1727,42.5369,6.474,-9999,0.9475,0.786,4.778,0.783505,1.750775,0,""
US-xHA,2022,1,1,-72.1727,42.5369,6.4065,-9999,0.945,0.79,4.7855,0.782598,1.744475,0,""
US-xHA,2022,1,2,-72.1727,42.5369,6.43,-9999,1.0375,0.794,4.777,0.7748675,1.74667,0,""
US-xHA,2022,1,3,-72.1727,42.5369,6.307,-9999,1.105,0.8,4.7725,0.7651835,1.735195,0,x
US-xHA,2022,1,4,-72.1727,42.5369,6.2125,-9999,1.25,0.8055,4.7735,0.7565405,1.7264,0,x
US-xHA,2022,1,5,-72.1727,42.5369,6.2045,-9999,1.24,0.8085,4.7915,0.7495865,1.725655,0,x
US-xHA,2022,1,6,-72.1727,42.5369,6.278,-9999,1.2625,0.8105,4.8105,0.746656,1.732495,0,""
US-xHA,2022,1,7,-72.1727,42.5369,6.3225,-9999,3.7575,0.8125,4.834,0.7452635,1.73664,0,x
US-xHA,2022,1,8,-72.1727,42.5369,6.462,-9999,13.3875,0.805,4.8765,0.7526035,1.74966,0.996325,x
US-xHA,2022,1,9,-72.1727,42.5369,6.5585,-9999,16.93,0.807,4.9685,0.7470295,1.75868,1.01091,""
US-xHA,2022,1,10,-72.1727,42.5369,6.946,-9999,23.065,0.75,5.0715,0.7557935,1.79503,1.03846,x
US-xHA,2022,1,11,-72.1727,42.5369,7.4645,-9999,47.0475,0.7595,5.2145,0.78903,1.843995,1.05413,x
US-xHA,2022,1,12,-72.1727,42.5369,8.0005,-9999,76.8925,0.7805,5.479,0.901419,1.89501,0.9927005,x
US-xHA,2022,1,13,-72.1727,42.5369,8.5675,-9999,44.8275,0.7615,5.7865,0.7468075,1.949315,1.20155,""
US-xHA,2022,1,14,-72.1727,42.5369,8.6845,-9999,46.08,0.7185,5.9575,0.826004,1.96058,1.133605,""
US-xHA,2022,1,15,-72.1727,42.5369,8.7595,-9999,19.015,0.7575,6.0685,0.7542655,1.967805,1.212565,x
US-xHA,2022,1,16,-72.1727,42.5369,8.666,-9999,2.165,0.819,6.054,0.746656,1.958795,1.211175,x
US-xHA,2022,1,17,-72.1727,42.5369,8.5435,-9999,0.935,0.8235,5.9835,0.746656,1.947005,0,""
US-xHA,2022,1,18,-72.1727,42.5369,8.5475,-9999,0.965,0.8325,5.9175,0.746656,1.947395,0,""
US-xHA,2022,1,19,-72.1727,42.5369,8.676,-9999,1,0.839,5.875,0.746656,1.95976,0,x
US-xHA,2022,1,20,-72.1727,42.5369,8.67,-9999,0.77,0.8445,5.8505,0.746656,1.95918,0,x
US-xHA,2022,1,21,-72.1727,42.5369,8.655,-9999,0.7375,0.85,5.825,0.746656,1.95774,0,""
US-xHA,2022,1,22,-72.1727,42.5369,8.747,-9999,0.925,0.855,5.816,0.746656,1.9666,0,""
US-xHA,2022,1,23,-72.1727,42.5369,8.446,-9999,0.9725,0.861,5.8185,0.746656,1.93764,0,x
US-xHA,2022,2,0,-72.1727,42.5369,8.2065,-9999,1.2075,0.8715,5.8085,0.746656,1.914675,0,x
US-xHA,2022,2,1,-72.1727,42.5369,8.2995,-9999,1.005,0.876,5.7915,0.7431325,1.92359,0,""
US-xHA,2022,2,2,-72.1727,42.5369,8.2845,-9999,1.0525,0.8795,5.803,0.740877,1.92215,0,""
US-xHA,2022,2,3,-72.1727,42.5369,7.802,-9999,1.1925,0.891,5.8585,0.775349,1.87606,0,x
US-xHA,2022,2,4,-72.1727,42.5369,7.5445,-9999,1.2175,0.8995,5.875,0.775349,1.851585,0,x
US-xHA,2022,2,5,-72.1727,42.5369,7.4285,-9999,1.1375,0.905,5.894,0.789746,1.840605,0,x
US-xHA,2022,2,6,-72.1727,42.5369,7.0525,-9999,1.1275,0.9155,5.899,0.785545,1.80506,0,""
US-xHA,2022,2,7,-72.1727,42.5369,6.8535,-9999,3.4125,0.931,5.8755,0.785455,1.78633,0,""
US-xHA,2022,2,8,-72.1727,42.5369,6.6805,-9999,25.12,0.878,5.8725,0.8072105,1.7701,0.9621355,""
US-xHA,2022,2,9,-72.1727,42.5369,6.492,-9999,44.95,0.8535,5.94,0.8612775,1.752535,0.890521,x
US-xHA,2022,2,10,-72.1727,42.5369,5.6415,-9999,71.6275,0.843,5.9965,0.912796,1.673595,0.7601455,x
US-xHA,2022,2,11,-72.1727,42.5369,4.369,-4949.555,89.29,0.4325,5.9545,0.52775,1.55755,1.029267,x
US-xHA,2022,2,12,-72.1727,42.5369,3.5895,-9999,66.3825,0.887,5.8255,0.8620995,1.48769,0.6251245,""
US-xHA,2022,2,13,-72.1727,42.5369,2.857,-9999,70.69,0.862,5.651,0.913578,1.42305,0.5090715,x
US-xHA,2022,2,14,-72.1727,42.5369,2.1535,-9999,41.9125,0.873,5.444,0.826405,1.361885,0.535134,""
US-xHA,2022,2,15,-72.1727,42.5369,1.653,99.675,28.6125,0.0225,5.208,0.842939,1.318955,0.475708,x
US-xHA,2022,2,16,-72.1727,42.5369,1.117,98.34,2.8125,0.1095,4.9505,0.9980065,1.273495,0.275216,x
US-xHA,2022,2,17,-72.1727,42.5369,0.588,93.155,0.9925,0.436,4.652,0.8056335,1.22919,0,""
US-xHA,2022,2,18,-72.1727,42.5369,0.041,91.605,0.66,0.5115,4.3795,0.68604,1.184125,0,""
US-xHA,2022,2,19,-72.1727,42.5369,-1.3855,84.105,0.37,0.875,4.0405,-0.11493,1.06921,0,""
US-xHA,2022,2,20,-72.1727,42.5369,-1.981,81.005,0,1.004,3.7385,0.8972025,1.0226,0,x
US-xHA,2022,2,21,-72.1727,42.5369,-2.5585,81.655,0,0.9285,3.4895,0.78143,0.9782205,0,x
US-xHA,2022,2,22,-72.1727,42.5369,-3.152,82.125,0,0.8655,3.1915,0.7055295,0.933473,0,x
US-xHA,2022,2,23,-72.1727,42.5369,-3.691,81.85,0,0.844,2.8935,0.821972,0.893561,0,""
US-xHA,2022,3,0,-72.1727,42.5369,-4.1395,81.75,0,0.8205,2.649,0.953747,0.860938,0,""
US-xHA,2022,3,1,-72.1727,42.5369,-4.5495,82.11,0,0.78,2.4475,0.868333,0.831564,0,x
US-xHA,2022,3,2,-72.1727,42.5369,-4.8805,79.69,0,0.863,2.298,0.8554875,0.8081825,0,""
US-xHA,2022,3,3,-72.1727,42.5369,-5.35,80.08,0.0225,0.817,2.155,0.6542855,0.77553,0,x
US-xHA,2022,3,4,-72.1727,42.5369,-5.8445,76.695,0.27,0.92,2.019,0.822914,0.741775,0,x
US-xHA,2022,3,5,-72.1727,42.5369,-6.5045,69.155,0.4775,1.158,1.8895,0.679659,0.6978135,0,x
US-xHA,2022,3,6,-72.1727,42.5369,-7.1585,61.78,0.6325,1.3645,1.749,0.4697215,0.6554385,0,""
US-xHA,2022,3,7,-72.1727,42.5369,-7.597,57.63,7.9525,1.4625,1.5955,0.845847,0.6277295,0,x
US-xHA,2022,3,8,-72.1727,42.5369,-7.7345,58.5,40.655,1.4175,1.492,1.394315,0.6191555,0,x
US-xHA,2022,3,9,-72.1727,42.5369,-7.4715,57.4,87.0125,1.485,1.4725,0.8918675,0.6355885,0,x
