site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,reco,gpp,calibration
US-xML,2020,1,0,-80.5248,37.3783,-2.1555,-9999,0.33,2.4795,3.957,1.253,0.9739615,0,x
US-xML,2020,1,1,-80.5248,37.3783,-2.223,-9999,0.365,2.367,3.8805,1.2155,0.972515,0,x
US-xML,2020,1,2,-80.5248,37.3783,-2.283,-9999,0.36,2.295,3.8245,1.278,0.971228,0,x
US-xML,2020,1,3,-80.5248,37.3783,-2.373,-9999,0.3925,2.208,3.7855,0.7755,0.9692935,0,x
US-xML,2020,1,4,-80.5248,37.3783,-2.4375,-9999,0.39,2.1535,3.7455,1.216,0.967904,0,""
US-xML,2020,1,5,-80.5248,37.3783,-2.657,-9999,0.385,2.111,3.6965,1.0335,0.9631615,0,x
US-xML,2020,1,6,-80.5248,37.3783,-2.7835,-9999,0.3325,2.146,3.6465,1.40944,0.9604175,0,""
US-xML,2020,1,7,-80.5248,37.3783,-2.7925,-9999,1.7,2.1685,3.5945,1.78643,0.960222,0,""
US-xML,2020,1,8,-80.5248,37.3783,-2.8225,-9999,30.5375,2.217,3.5465,0.90434,0.9595695,0.1666725,""
US-xML,2020,1,9,-80.5248,37.3783,-2.8325,-9999,58.7075,2.282,3.546,0.696012,0.9593525,0.264063,""
US-xML,2020,1,10,-80.5248,37.3783,-2.799,-9999,111.545,2.4505,3.6155,0.968,0.96008,0.3499165,x
US-xML,2020,1,11,-80.5248,37.3783,-2.634,-9999,151.6425,2.6535,3.7445,0.9185,0.9636595,0.322276,""
US-xML,2020,1,12,-80.5248,37.3783,-2.301,-9999,173.685,2.885,3.8825,0.7727285,0.970839,0.200692,""
US-xML,2020,1,13,-80.5248,37.3783,-1.767,-9999,178.5175,3.1165,4.095,0.4685,0.9822395,0.5142845,""
US-xML,2020,1,14,-80.5248,37.3783,-1.088,-9999,252.145,3.276,4.2595,0.5022325,0.996505,0.494706,""
US-xML,2020,1,15,-80.5248,37.3783,-0.3715,-9999,197.68,3.4715,4.328,1.098755,1.011355,0,""
US-xML,2020,1,16,-80.5248,37.3783,-0.35,-9999,60.8825,3.67,4.114,0.4301085,1.0118,0.582,""
US-xML,2020,1,17,-80.5248,37.3783,-0.687,-9999,2,3.632,3.7685,1.11413,1.004855,0,x
US-xML,2020,1,18,-80.5248,37.3783,-0.19,-9999,0,3.0215,3.485,1.112895,1.015065,0,x
US-xML,2020,1,19,-80.5248,37.3783,0.1525,-9999,0,2.6445,3.3985,0.5372015,1.022045,0,""
US-xML,2020,1,20,-80.5248,37.3783,0.2475,-9999,0,2.429,3.3355,1.10926,1.02397,0,""
US-xML,2020,1,21,-80.5248,37.3783,-0.4835,-9999,0,2.267,3.287,1.10876,1.00905,0,""
US-xML,2020,1,22,-80.5248,37.3783,-0.3545,-9999,0,2.172,3.2585,0.600858,1.0117,0,""
US-xML,2020,1,23,-80.5248,37.3783,0.341,-9999,0,2.097,3.2295,1.1092,1.025845,0,x
US-xML,2020,2,0,-80.5248,37.3783,1.0405,-9999,0,2.0785,3.17,1.110105,1.039865,0,x
US-xML,2020,2,1,-80.5248,37.3783,-0.0595,-9999,0,2.0045,3.1145,1.115555,1.017735,0,x
US-xML,2020,2,2,-80.5248,37.3783,1.3045,-9999,0,1.932,3.104,0.7709225,1.045065,0,""
US-xML,2020,2,3,-80.5248,37.3783,1.745,-9999,0,1.8605,3.1005,1.12348,1.053725,0,""
US-xML,2020,2,4,-80.5248,37.3783,1.992,-9999,0,1.8125,3.077,1.129275,1.058545,0,""
US-xML,2020,2,5,-80.5248,37.3783,2.7105,-9999,0,1.7955,3.116,1.13049,1.07236,0,""
US-xML,2020,2,6,-80.5248,37.3783,2.8705,-9999,0,1.7595,3.2275,1.13049,1.07544,0,""
US-xML,2020,2,7,-80.5248,37.3783,3.3465,-9999,6.0725,1.7775,3.3455,0.8846715,1.084445,0,""
US-xML,2020,2,8,-80.5248,37.3783,4.1815,-9999,91.8975,1.9115,3.4055,0.5935165,1.099975,0.5060225,""
US-xML,2020,2,9,-80.5248,37.3783,5.218,-9999,203.8875,1.998,3.917,0.410659,1.118905,0.7076425,x
US-xML,2020,2,10,-80.5248,37.3783,6.457,-9999,373.0125,2.364,4.9465,0.8950405,1.140935,0.245088,""
US-xML,2020,2,11,-80.5248,37.3783,5.6375,-9999,288.9825,3.25,5.701,1.0149145,1.12643,0.141593,x
US-xML,2020,2,12,-80.5248,37.3783,5.6035,-9999,276.205,4.172,5.995,0.46574,1.12583,0.659424,x
US-xML,2020,2,13,-80.5248,37.3783,5.702,-9999,214.23,4.744,6.2475,0.4281225,1.12759,0.6987835,""
US-xML,2020,2,14,-80.5248,37.3783,5.702,-9999,95.2625,4.8365,6.3205,-0.1432255,1.127595,1.27013,""
US-xML,2020,2,15,-80.5248,37.3783,5.6045,-9999,67.9875,4.61,6.135,0.6664045,1.125835,0.458758,""
US-xML,2020,2,16,-80.5248,37.3783,5.884,-9999,39.74,4.0375,5.9995,1.645675,1.13082,0.0073272,""
US-xML,2020,2,17,-80.5248,37.3783,6.527,-9999,1.345,3.3595,5.9625,1.128275,1.142155,0,""
US-xML,2020,2,18,-80.5248,37.3783,6.7405,-9999,0.47,2.9345,5.9635,1.442675,1.145875,0,""
US-xML,2020,2,19,-80.5248,37.3783,7.347,-9999,0.375,2.623,6.0065,1.125315,1.156355,0,""
US-xML,2020,2,20,-80.5248,37.3783,8.1395,-9999,0.24,2.367,6.1175,1.12264,1.169845,0,""
US-xML,2020,2,21,-80.5248,37.3783,8.8655,-9999,0.485,2.256,6.284,1.12003,1.182,0,x
