site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-xRN,2020,1,0,-84.2826,35.9641,4.279,57.06,0.0375,3.5625,6.5235,1.2205,0.705468,0,x
US-xRN,2020,1,1,-84.2826,35.9641,4.281,57.015,0.0125,3.567,6.8275,0.40447,0.705516,0,x
US-xRN,2020,1,2,-84.2826,35.9641,3.9435,59.71,0,3.266,6.913,1.2736,0.6974245,0,""
US-xRN,2020,1,3,-84.2826,35.9641,3.585,61.92,0,3.0085,6.682,1.293115,0.6888145,0,""
US-xRN,2020,1,4,-84.2826,35.9641,3.2225,63.06,0,2.845,6.147,1.30375,0.6800905,0,""
US-xRN,2020,1,5,-84.2826,35.9641,2.695,63.995,0,2.671,5.71,1.368635,0.667367,0,""
US-xRN,2020,1,6,-84.2826,35.9641,2.354,63.535,0,2.64,5.4075,1.308115,0.6591255,0,""
US-xRN,2020,1,7,-84.2826,35.9641,2.0155,63.025,2.1025,2.614,5.2905,0.329,0.6509295,0,""
US-xRN,2020,1,8,-84.2826,35.9641,1.747,71.645,79.15,1.9645,5.3,1.0764655,0.6444205,0,""
US-xRN,2020,1,9,-84.2826,35.9641,3.015,64.59,202.44,2.696,5.8055,2.13,0.6750785,0,x
US-xRN,2020,1,10,-84.2826,35.9641,3.171,60.01,311.4975,3.0715,6.559,2.34078,0.678849,0,x
US-xRN,2020,1,11,-84.2826,35.9641,4.897,50.665,483.065,4.2835,7.696,3.296555,0.720221,0,""
US-xRN,2020,1,12,-84.2826,35.9641,6.4615,44.77,462.7025,5.337,8.764,2.6414,0.757374,0,x
US-xRN,2020,1,13,-84.2826,35.9641,7.6855,39.53,547.35,6.3525,10.1975,2.228125,0.7861605,0,""
US-xRN,2020,1,14,-84.2826,35.9641,8.3525,38.045,364.685,6.812,10.6745,2.3535,0.8017325,0,""
US-xRN,2020,1,15,-84.2826,35.9641,8.683,35.995,245.66,7.1945,11.048,0.971,0.8094265,0.196695,""
US-xRN,2020,1,16,-84.2826,35.9641,8.8275,33.485,130.4525,7.5505,10.284,0.5575,0.8127815,0.315147,""
US-xRN,2020,1,17,-84.2826,35.9641,8.2515,33.425,10.74,7.268,8.938,1.069681,0.7993835,0,""
US-xRN,2020,1,18,-84.2826,35.9641,7.9635,33.095,0,7.1615,7.8945,0.9853065,0.792665,0,x
US-xRN,2020,1,19,-84.2826,35.9641,7.7005,32.71,0,7.075,7.351,0.9962985,0.786515,0,x
US-xRN,2020,1,20,-84.2826,35.9641,7.403,33.5,0,6.852,7.166,1.03762,0.779542,0,x
US-xRN,2020,1,21,-84.2826,35.9641,7.1385,34.77,0,6.5995,7.046,1.08179,0.773333,0,""
US-xRN,2020,1,22,-84.2826,35.9641,6.93,34.56,0,6.527,6.983,1.073965,0.768429,0,x
US-xRN,2020,1,23,-84.2826,35.9641,6.427,37.265,0,6.046,7.014,1.147545,0.756565,0,x
US-xRN,2020,2,0,-84.2826,35.9641,6.0655,40.01,0,5.637,6.937,1.16041,0.748018,0,""
US-xRN,2020,2,1,-84.2826,35.9641,6.142,42.59,0,5.423,7.009,1.16041,0.749829,0,""
US-xRN,2020,2,2,-84.2826,35.9641,6.365,42.27,0.0925,5.5385,7.152,1.143595,0.755102,0,""
US-xRN,2020,2,3,-84.2826,35.9641,6.105,44.145,0.265,5.263,7.4055,1.16041,0.748953,0,x
US-xRN,2020,2,4,-84.2826,35.9641,6.406,44.505,0.13,5.3395,7.356,1.147545,0.75607,0,x
US-xRN,2020,2,5,-84.2826,35.9641,6.7695,44.055,0.4075,5.5185,7.6235,1.10073,0.7646485,0,""
US-xRN,2020,2,6,-84.2826,35.9641,6.859,44.3,0.51,5.5285,7.911,1.06614,0.7667575,0,""
US-xRN,2020,2,7,-84.2826,35.9641,6.8765,45.66,0.675,5.4,8.0435,1.06558,0.7671695,0,x
US-xRN,2020,2,8,-84.2826,35.9641,6.4175,55.58,6.8325,4.285,7.971,1.147865,0.756339,0,""
US-xRN,2020,2,9,-84.2826,35.9641,5.5875,71.775,27.9525,2.571,7.6965,1.085665,0.736678,0,""
US-xRN,2020,2,10,-84.2826,35.9641,4.9435,90.47,36.22,0.829,7.5855,1.07738,0.72135,0,x
US-xRN,2020,2,11,-84.2826,35.9641,4.828,-9999,57.085,4.205,7.7485,1.09051,0.7185945,0,x
US-xRN,2020,2,12,-84.2826,35.9641,4.846,-9999,65.41,4.4615,7.896,1.130665,0.719024,0,x
US-xRN,2020,2,13,-84.2826,35.9641,5.0025,-9999,62.965,4.3665,8.0105,1.130665,0.7227565,0,x
US-xRN,2020,2,14,-84.2826,35.9641,5.3985,-9999,79.24,4.495,8.236,1.12224,0.7321865,0,x
US-xRN,2020,2,15,-84.2826,35.9641,5.577,-9999,40.235,4.2045,8.3455,1.093965,0.736431,0,x
US-xRN,2020,2,16,-84.2826,35.9641,5.77,-9999,18.38,4.2955,8.309,1.099895,0.7410135,0,x
US-xRN,2020,2,17,-84.2826,35.9641,5.704,-9999,1.185,4.46,8.1785,1.15449,0.7394465,0,""
US-xRN,2020,2,18,-84.2826,35.9641,5.46,-9999,0.4975,4.4755,7.9705,1.129525,0.73365,0,x
US-xRN,2020,2,19,-84.2826,35.9641,5.2735,-9999,0.5125,4.4905,7.7925,1.13568,0.729214,0,""
US-xRN,2020,2,20,-84.2826,35.9641,5.358,-9999,0.405,4.4985,7.586,1.136155,0.7312245,0,""
