site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-xSC,2022,1,0,-78.1395,38.8929,12.697,77.555,0,3.2975,9.11,3.87853,2.787075,0,""
US-xSC,2022,1,1,-78.1395,38.8929,13.3245,77.44,0,3.453,8.844,5.552525,2.81342,0,x
US-xSC,2022,1,2,-78.1395,38.8929,14.238,74.57,0.29,4.132,8.915,5.87236,2.851225,0,""
US-xSC,2022,1,3,-78.1395,38.8929,14.8395,72.405,0.02,4.743,8.992,6.047335,2.875235,0,x
US-xSC,2022,1,4,-78.1395,38.8929,15.55,68.94,0,5.5075,8.9195,6.59364,2.90431,0,x
US-xSC,2022,1,5,-78.1395,38.8929,16.6215,63.92,0.325,6.827,8.985,4.581935,2.9469,0,""
US-xSC,2022,1,6,-78.1395,38.8929,16.83,64.31,0.1725,6.844,9.302,3.80234,2.955065,0,""
US-xSC,2022,1,7,-78.1395,38.8929,15.518,73.25,0.15,4.741,9.61,6.4451,2.903005,0,x
US-xSC,2022,1,8,-78.1395,38.8929,13.91,84.735,10.3475,2.4305,9.758,5.66717,2.83773,0,""
US-xSC,2022,1,9,-78.1395,38.8929,12.618,93.725,26.565,0.92,9.8885,4.522915,2.783725,0,""
US-xSC,2022,1,10,-78.1395,38.8929,12.3015,97.6,58.155,0.3435,10.126,4.3589,2.77031,0,x
US-xSC,2022,1,11,-78.1395,38.8929,12.097,98.89,110.595,0.1565,10.432,4.26633,2.76159,0,""
US-xSC,2022,1,12,-78.1395,38.8929,13.172,98.125,109.8725,0.2845,10.741,4.8785,2.80705,0,x
US-xSC,2022,1,13,-78.1395,38.8929,12.85,99.32,62.815,0.101,10.9365,4.23867,2.793535,0,x
US-xSC,2022,1,14,-78.1395,38.8929,12.8955,99.64,143.2125,0.0535,11.0485,3.280695,2.79545,0.0425464,x
US-xSC,2022,1,15,-78.1395,38.8929,12.93,98.96,93.9775,0.1555,11.293,4.4635,2.796905,0,""
US-xSC,2022,1,16,-78.1395,38.8929,13.01,99.165,39.8425,0.125,11.198,4.816495,2.800265,0,x
US-xSC,2022,1,17,-78.1395,38.8929,13.047,99.86,0.545,0.021,10.9085,4.74696,2.801795,0,x
US-xSC,2022,1,18,-78.1395,38.8929,13.6395,97.48,0.92,0.402,10.5275,4.679415,2.82648,0,""
US-xSC,2022,1,19,-78.1395,38.8929,12.898,99.87,1.36,0.0185,10.557,4.287895,2.79502,0,""
US-xSC,2022,1,20,-78.1395,38.8929,11.8135,-4949.375,1.26,1.527,10.5595,3.080775,2.74943,0,x
US-xSC,2022,1,21,-78.1395,38.8929,11.29,-9999,0.9975,3.0485,10.583,2.33255,2.726845,0,x
US-xSC,2022,1,22,-78.1395,38.8929,11.043,-9999,0.7825,3.038,10.4955,2.30964,2.716105,0,""
US-xSC,2022,1,23,-78.1395,38.8929,12.3,-9999,0.2425,3.032,10.372,2.283155,2.77003,0,""
US-xSC,2022,2,0,-78.1395,38.8929,14.6615,87.695,0.415,2.0665,10.239,7.27861,2.86851,0,x
US-xSC,2022,2,1,-78.1395,38.8929,16.136,71.94,1.6625,5.156,10.358,9.096335,2.92774,0,x
US-xSC,2022,2,2,-78.1395,38.8929,16.09,69.735,0.5325,5.549,10.527,6.098835,2.92587,0,""
US-xSC,2022,2,3,-78.1395,38.8929,15.4985,70.25,0.7075,5.2405,10.553,9.655,2.902365,0,x
US-xSC,2022,2,4,-78.1395,38.8929,16.5665,62.645,0.5775,7.0615,10.515,3.6855,2.94467,0,x
US-xSC,2022,2,5,-78.1395,38.8929,15.7795,67.775,0.8425,5.856,10.5735,8.35042,2.913295,0,x
US-xSC,2022,2,6,-78.1395,38.8929,14.9115,75.02,0.51,4.2435,10.518,8.600585,2.87868,0,x
US-xSC,2022,2,7,-78.1395,38.8929,15.733,68.71,2.7425,5.595,10.447,9.655,2.911735,0,x
US-xSC,2022,2,8,-78.1395,38.8929,15.973,67.11,32.2875,5.972,10.465,5.863155,2.92129,0.207404,x
US-xSC,2022,2,9,-78.1395,38.8929,16.066,66.975,71.1475,6.0325,10.773,1.538565,2.924985,0.948298,x
US-xSC,2022,2,10,-78.1395,38.8929,14.4295,79.99,83.575,3.3195,11.168,3.05094,2.85895,0.4063845,x
US-xSC,2022,2,11,-78.1395,38.8929,15.6395,70.825,190.91,5.186,11.437,3.5355,2.908005,0.3675175,""
US-xSC,2022,2,12,-78.1395,38.8929,16.0815,67.195,207.015,5.999,11.9225,4.211835,2.92559,0,""
