site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-xSE,2020,23,11,-76.56,38.8901,2.23,55.57,410.095,3.188,3.439,0.9285,1.60285,0.674347,""
US-xSE,2020,24,8,-76.56,38.8901,2.129,79.7,89.4325,1.4465,3.0645,0.1098335,1.598205,1.48837,""
US-xSE,2020,24,12,-76.56,38.8901,7.137,77.64,248.8,2.262,5.531,-1.8685,1.82052,3.68902,x
US-xSE,2020,24,14,-76.56,38.8901,9.395,72.005,206.2975,3.3045,6.263,-0.32919035,1.915795,2.244985,""
US-xSE,2020,24,15,-76.56,38.8901,10.325,70.39,116.9525,3.717,6.4725,0.196025,1.954175,1.75815,x
US-xSE,2020,25,9,-76.56,38.8901,7.715,-9999,67.41,3.356,6.654,-0.133667,1.84521,1.97888,x
US-xSE,2020,25,10,-76.56,38.8901,8.017,98.28,122.725,0.185,6.781,0.8615,1.85803,0.996527,x
US-xSE,2020,25,13,-76.56,38.8901,9.125,92.83,189.1825,0.8315,7.5205,-1.115875,1.904585,3.02046,x
US-xSE,2020,25,14,-76.56,38.8901,9.5585,83.91,190.6325,1.921,7.703,0.13625,1.9226,1.786345,x
US-xSE,2020,26,3,-76.56,38.8901,4.843,62.02,0,3.278,4.986,5.98076,1.72056,0,""
US-xSE,2020,26,4,-76.56,38.8901,4.411,63.64,0,3.0455,4.8305,4.11932,1.701375,0,x
US-xSE,2020,26,5,-76.56,38.8901,4.121,64.65,0,2.9,4.715,3.02831,1.68844,0,""
US-xSE,2020,26,6,-76.56,38.8901,3.992,65.685,0,2.79,4.6115,3.50845,1.68267,0,x
US-xSE,2020,26,7,-76.56,38.8901,4.34,63.635,15.6775,3.031,4.538,3.769735,1.698205,0,""
US-xSE,2020,26,8,-76.56,38.8901,3.978,65.855,159.66,2.7765,4.4755,-0.2082,1.68201,1.890209,x
US-xSE,2020,26,9,-76.56,38.8901,5.778,60.085,339.3775,3.6885,4.686,-2.35575,1.76158,4.11733,""
US-xSE,2020,26,13,-76.56,38.8901,7.646,48.63,170.31,5.381,7.461,0.078875,1.84227,1.763395,""
US-xSE,2020,26,14,-76.56,38.8901,7.883,47.85,172.8425,5.5515,7.2965,0.5207,1.852345,1.331645,""
US-xSE,2020,26,15,-76.56,38.8901,7.671,47.685,125.675,5.489,7.1295,0.3787915,1.843335,1.46454,x
US-xSE,2020,26,16,-76.56,38.8901,7.303,48.95,47.885,5.224,6.981,1.11225,1.82763,0.715383,""
US-xSE,2020,26,18,-76.56,38.8901,6.6165,52.49,0.1625,4.637,6.4065,5.98076,1.79812,0,x
US-xSE,2020,26,19,-76.56,38.8901,6.398,52.985,0.205,4.521,6.2475,6.113065,1.788665,0,x
US-xSE,2020,26,20,-76.56,38.8901,5.9945,52.185,0.2375,4.4695,6.1605,3.91961,1.77113,0,""
US-xSE,2020,26,21,-76.56,38.8901,5.5525,50.615,0.12,4.479,6.074,3.02831,1.751815,0,x
US-xSE,2020,26,22,-76.56,38.8901,5.223,52.64,0,4.198,5.899,3.70639,1.737335,0,""
US-xSE,2020,26,23,-76.56,38.8901,4.8625,55.25,0,3.868,5.616,3.42419,1.72142,0,""
US-xSE,2020,27,0,-76.56,38.8901,4.48,57.295,0,3.594,5.27,3.42419,1.704445,0,x
US-xSE,2020,27,1,-76.56,38.8901,4.144,58.62,0.0825,3.4015,4.9355,3.42419,1.689465,0,x
US-xSE,2020,27,2,-76.56,38.8901,3.9255,59.64,0.4,3.2665,4.83,3.42419,1.679695,0,x
US-xSE,2020,27,3,-76.56,38.8901,3.6115,62.525,0,2.967,4.8755,3.42419,1.66559,0,x
US-xSE,2020,27,4,-76.56,38.8901,3.292,65.965,0,2.634,4.6895,3.42419,1.65118,0,x
US-xSE,2020,27,5,-76.56,38.8901,2.43,70.51,0,2.149,4.5005,3.42419,1.61198,0,x
US-xSE,2020,27,6,-76.56,38.8901,2.1385,73.425,0.0425,1.895,4.3925,3.42419,1.598645,0,x
US-xSE,2020,27,7,-76.56,38.8901,2.6175,70.275,9.54,2.1925,4.4585,3.42419,1.620565,0,""
US-xSE,2020,27,8,-76.56,38.8901,3.4115,67.34,159.285,2.562,4.6605,0.7339545,1.65645,0.9224935,""
US-xSE,2020,27,9,-76.56,38.8901,6.124,54.995,290.23,4.2535,5.114,-0.92623585,1.776715,2.702955,""
US-xSE,2020,27,10,-76.56,38.8901,7.15,51.01,428.25,4.964,5.808,-0.182085,1.82105,2.003137,""
US-xSE,2020,27,11,-76.56,38.8901,7.702,47.81,332.4075,5.488,6.445,0.1983005,1.844655,1.646353,x
US-xSE,2020,27,12,-76.56,38.8901,7.9295,47.31,253.0125,5.627,6.834,-0.765125,1.85432,2.619445,""
US-xSE,2020,27,13,-76.56,38.8901,8.032,47.085,110.6675,5.691,7.02,0.378625,1.85866,1.480035,""
US-xSE,2020,27,14,-76.56,38.8901,8.2495,46.335,93.285,5.858,6.916,0.2119585,1.867855,1.655895,x
US-xSE,2020,27,15,-76.56,38.8901,8.202,47.205,52.8375,5.744,6.83,1.130625,1.86585,0.7352265,x
US-xSE,2020,27,19,-76.56,38.8901,6.493,53.795,0.05,4.473,6.274,6.113065,1.79277,0,x
US-xSE,2020,27,20,-76.56,38.8901,5.6105,57.085,0,3.909,6.018,3.9541,1.754345,0,""
US-xSE,2020,27,21,-76.56,38.8901,5.0905,59.4,0,3.565,5.666,3.700705,1.7315,0,""
US-xSE,2020,27,22,-76.56,38.8901,4.925,60.185,0.1925,3.456,5.547,3.42419,1.72419,0,x
US-xSE,2020,27,23,-76.56,38.8901,4.9325,60.575,0.1675,3.424,5.607,3.42419,1.72452,0,x
US-xSE,2020,28,0,-76.56,38.8901,4.7755,61.2,0.28,3.333,5.6505,3.42419,1.717575,0,""
US-xSE,2020,28,1,-76.56,38.8901,4.556,62.685,0.275,3.1565,5.6715,3.42419,1.70783,0,""
US-xSE,2020,28,2,-76.56,38.8901,4.3965,63.005,0.31,3.0945,5.671,3.42419,1.700735,0,x
US-xSE,2020,28,3,-76.56,38.8901,4.287,62.92,0.2925,3.078,5.6625,3.42419,1.695855,0,x
US-xSE,2020,28,4,-76.56,38.8901,4.1635,63.225,0.3375,3.0265,5.638,3.42419,1.69034,0,""
US-xSE,2020,28,5,-76.56,38.8901,4.062,63.57,0.3175,2.9765,5.6145,3.42419,1.685805,0,x
US-xSE,2020,28,6,-76.56,38.8901,3.9335,64.33,0.23,2.8885,5.584,3.42419,1.68005,0,x
US-xSE,2020,28,7,-76.56,38.8901,3.835,64.865,22.935,2.8255,5.5255,3.199495,1.675635,0,""
US-xSE,2020,28,8,-76.56,38.8901,4.1455,64.25,112.63,2.9385,5.394,0.731261,1.689535,0.9582765,x
US-xSE,2020,28,9,-76.56,38.8901,4.5355,63.315,146.0925,3.0995,5.6705,0.697667,1.706915,1.009245,x
US-xSE,2020,28,10,-76.56,38.8901,5.183,59.325,235.1375,3.5965,6.1065,0.080764,1.735565,1.654805,""
US-xSE,2020,28,11,-76.56,38.8901,5.733,53.035,160.55,4.313,6.487,0.6472,1.759715,1.112515,x
US-xSE,2020,28,12,-76.56,38.8901,6.079,50.705,130.475,4.6365,6.6005,0.675322,1.774815,1.09949,x
US-xSE,2020,28,13,-76.56,38.8901,6.115,50.525,105.795,4.665,6.6235,0.7775805,1.77638,0.9988025,x
US-xSE,2020,28,14,-76.56,38.8901,6.353,49.32,105.3025,4.858,6.6355,0.606122,1.786715,1.180595,""
US-xSE,2020,28,15,-76.56,38.8901,6.5905,47.505,87.6475,5.115,6.6425,0.6328165,1.797,1.16418,""
US-xSE,2020,28,16,-76.56,38.8901,6.681,46.98,61.21,5.198,6.62,1.0184,1.80091,0.782505,""
US-xSE,2020,28,17,-76.56,38.8901,6.5035,47.74,2.2275,5.0615,6.454,6.77922,1.793235,0,x
US-xSE,2020,28,18,-76.56,38.8901,6.366,47.335,0.2875,5.0525,6.297,6.113065,1.78728,0,""
US-xSE,2020,28,19,-76.56,38.8901,6.1795,47.875,0.245,4.937,6.1985,4.68326,1.779185,0,""
US-xSE,2020,28,20,-76.56,38.8901,5.9535,49.56,0.1875,4.703,6.1295,3.91961,1.769345,0,""
US-xSE,2020,28,21,-76.56,38.8901,5.725,50.825,0.1025,4.5135,6.0625,3.47396,1.759365,0,""
US-xSE,2020,28,22,-76.56,38.8901,5.471,54.86,0.22,4.0705,5.9765,3.50845,1.74824,0,x
US-xSE,2020,28,23,-76.56,38.8901,5.254,59.07,0.34,3.6355,5.929,3.982905,1.738705,0,""
US-xSE,2020,29,0,-76.56,38.8901,5.0425,60.83,0.325,3.428,5.9165,3.42419,1.72938,0,""
US-xSE,2020,29,1,-76.56,38.8901,4.8045,61.735,0.3475,3.2935,5.902,3.42419,1.718855,0,x
US-xSE,2020,29,2,-76.56,38.8901,4.606,62.095,0.345,3.2175,5.879,3.42419,1.71005,0,x
US-xSE,2020,29,3,-76.56,38.8901,4.4815,61.785,0.3925,3.2155,5.854,3.42419,1.70452,0,""
US-xSE,2020,29,4,-76.56,38.8901,4.266,63.605,0.3925,3.017,5.82,3.42419,1.69492,0,""
US-xSE,2020,29,5,-76.56,38.8901,4.139,62.705,0.4225,3.0635,5.7885,3.42419,1.68925,0,""
US-xSE,2020,29,6,-76.56,38.8901,3.964,60.72,0.3925,3.1875,5.7595,3.42419,1.68142,0,""
US-xSE,2020,29,7,-76.56,38.8901,3.8,58.585,4.285,3.322,5.727,3.42419,1.674065,0,x
US-xSE,2020,29,8,-76.56,38.8901,3.574,52.115,41.725,3.78,5.725,1.8520625,1.6639,0.49657,""
US-xSE,2020,29,9,-76.56,38.8901,3.4845,51,167.5225,3.844,5.8455,0.090497,1.65987,1.5693735,""
US-xSE,2020,29,10,-76.56,38.8901,3.674,48.91,344.01,4.062,6.055,-0.1296,1.6684,1.798,""
US-xSE,2020,29,11,-76.56,38.8901,4.077,46.19,418.565,4.401,6.37,-0.209667,1.68648,1.89614,x
US-xSE,2020,29,14,-76.56,38.8901,5.8025,41.45,445.96,5.4025,7.4785,0.2283,1.762755,1.534455,""
US-xSE,2020,29,15,-76.56,38.8901,6.154,40.12,292.5525,5.6605,7.1495,-0.7553235,1.778075,2.5334,x
US-xSE,2020,29,16,-76.56,38.8901,6.1595,38.75,113.6875,5.793,6.8115,0.677225,1.778315,1.10109,x
US-xSE,2020,29,17,-76.56,38.8901,5.3975,45.875,6.0975,4.882,6.3075,2.376785,1.744925,0,x
US-xSE,2020,29,18,-76.56,38.8901,4.479,54.205,0,3.8535,5.719,2.51523,1.70441,0,x
US-xSE,2020,29,19,-76.56,38.8901,4.494,48.95,0,4.302,5.1805,2.3989,1.70506,0,""
US-xSE,2020,29,20,-76.56,38.8901,3.8895,50.665,0,3.9825,4.7895,2.23314,1.67805,0,x
US-xSE,2020,29,21,-76.56,38.8901,3.2025,51.55,0,3.726,4.4795,2.398485,1.647125,0,""
US-xSE,2020,29,22,-76.56,38.8901,2.9595,49.075,0,3.849,4.254,2.37985,1.63611,0,x
US-xSE,2020,29,23,-76.56,38.8901,2.5665,49.39,0,3.72,4.0685,2.096655,1.61823,0,x
US-xSE,2020,30,0,-76.56,38.8901,1.93,51.89,0,3.3795,3.9115,1.910855,1.589065,0,""
US-xSE,2020,30,1,-76.56,38.8901,1.335,57.755,0,2.844,3.7715,1.537935,1.56159,0,""
US-xSE,2020,30,2,-76.56,38.8901,0.75,62.565,0,2.416,3.64,2.605935,1.534375,0,""
US-xSE,2020,30,3,-76.56,38.8901,0.402,62.38,0,2.367,3.557,1.731,1.5181,0,x
US-xSE,2020,30,7,-76.56,38.8901,-0.961,63.11,67.475,2.101,3.397,0.828476,1.45367,0,""
US-xSE,2020,30,8,-76.56,38.8901,-0.341,61.44,164.49,2.298,3.68,-1.328,1.48311,2.81111,""
US-xSE,2020,30,9,-76.56,38.8901,-0.0775,59.19,287.27,2.4795,3.9615,-0.106,1.49555,1.60155,""
US-xSE,2020,30,10,-76.56,38.8901,0.5955,57.04,444.345,2.7415,4.5375,0.9285,1.52715,0.5986514,x
US-xSE,2020,30,11,-76.56,38.8901,1.118,57.285,314.6375,2.83,5.1125,0.2961665,1.55153,1.25536,""
US-xSE,2020,30,12,-76.56,38.8901,1.8135,57.435,364.475,2.965,5.442,0.7085,1.5837,0.8752005,x
US-xSE,2020,30,13,-76.56,38.8901,2.4355,57.35,366.8,3.106,5.879,-0.01075,1.612245,1.622995,""
US-xSE,2020,30,14,-76.56,38.8901,2.4705,58.12,301.6125,3.057,6.143,1.144625,1.61385,0.855995,x
US-xSE,2020,30,15,-76.56,38.8901,2.514,57.98,136.1625,3.077,6.0965,0.753,1.61584,0.8628385,""
US-xSE,2020,30,16,-76.56,38.8901,2.7705,56.26,80.98,3.2625,5.9,-0.334,1.62753,1.96153,x
US-xSE,2020,30,17,-76.56,38.8901,2.711,53.15,10.1375,3.48,5.6225,1.83564,1.624815,0,x
US-xSE,2020,30,18,-76.56,38.8901,2.3635,56.575,0,3.1485,5.1065,2.04127,1.60895,0,x
US-xSE,2020,30,19,-76.56,38.8901,1.946,62.855,0,2.612,4.678,2.04127,1.589805,0,""
US-xSE,2020,30,20,-76.56,38.8901,1.9965,63.835,0,2.552,4.3735,2.04127,1.59213,0,x
US-xSE,2020,30,21,-76.56,38.8901,2.3265,65.485,0,2.4935,4.0835,2.04127,1.607265,0,x
US-xSE,2020,30,22,-76.56,38.8901,2.316,68.66,0.055,2.2635,3.966,2.04127,1.606785,0,""
US-xSE,2020,30,23,-76.56,38.8901,1.917,69.6,0,2.133,4.064,1.910855,1.58847,0,x
US-xSE,2020,31,0,-76.56,38.8901,1.4695,74.075,0,1.762,3.955,1.53591,1.567825,0,""
US-xSE,2020,31,1,-76.56,38.8901,1.301,73.715,0.58,1.765,3.908,1.55866,1.56002,0,x
US-xSE,2020,31,2,-76.56,38.8901,1.196,74.49,0.64,1.6995,4.0835,1.564465,1.55515,0,""
US-xSE,2020,31,3,-76.56,38.8901,1.275,75.77,0.29,1.6235,4.219,1.57873,1.558815,0,""
US-xSE,2020,31,4,-76.56,38.8901,1.294,76.225,0.1475,1.5955,4.2295,1.57873,1.559695,0,x
US-xSE,2020,31,5,-76.56,38.8901,1.108,77.235,0.3,1.5075,4.198,1.82534,1.551055,0,""
US-xSE,2020,31,6,-76.56,38.8901,1.1195,79.455,0.56,1.3605,4.2155,1.747665,1.551595,0,x
US-xSE,2020,31,7,-76.56,38.8901,1.295,81.7,48.6925,1.228,4.2415,1.2414705,1.55974,0.320561,x
US-xSE,2020,31,8,-76.56,38.8901,2.0975,78.32,165.095,1.5415,4.256,1.0632805,1.596755,0.55453,x
US-xSE,2020,31,9,-76.56,38.8901,3.495,72.94,288.6575,2.129,4.5335,-2.3805,1.660285,4.040785,""
US-xSE,2020,31,10,-76.56,38.8901,4.7565,69.92,291.585,2.5815,5.3345,-0.1002545,1.71672,1.81697,x
US-xSE,2020,31,11,-76.56,38.8901,5.0795,68.81,269.2475,2.7385,5.961,-2.8414825,1.731,4.572485,x
US-xSE,2020,31,12,-76.56,38.8901,5.511,59.805,291.7925,3.634,6.3435,0.146575,1.749995,1.6034185,x
US-xSE,2020,31,13,-76.56,38.8901,5.427,63.775,288.9875,3.257,6.6065,0.307445,1.74631,1.490915,""
US-xSE,2020,31,14,-76.56,38.8901,5.693,68.49,184.86,2.885,6.7405,-1.321,1.757965,3.0789655,""
US-xSE,2020,31,15,-76.56,38.8901,6.0775,68.725,77.5025,2.943,6.677,-0.3244,1.77474,2.09914,""
US-xSE,2020,31,16,-76.56,38.8901,6.4015,63.395,17.8575,3.5205,6.4925,1.450875,1.788815,0.76107,""
US-xSE,2020,31,17,-76.56,38.8901,5.91,61.475,0.33,3.587,6.2555,1.876455,1.76743,0,""
US-xSE,2020,31,18,-76.56,38.8901,4.92,75.225,0.0525,2.152,5.993,1.778235,1.723955,0,""
US-xSE,2020,31,19,-76.56,38.8901,4.695,72.36,0,2.361,5.7945,1.78635,1.714,0,""
US-xSE,2020,31,20,-76.56,38.8901,4.753,69.175,0.025,2.644,5.6235,1.7223,1.716575,0,x
US-xSE,2020,31,21,-76.56,38.8901,4.783,69.095,0.31,2.6565,5.4885,1.743455,1.7179,0,x
US-xSE,2020,31,22,-76.56,38.8901,4.1785,78.28,0.2875,1.8025,5.3585,1.68247,1.690985,0,x
US-xSE,2020,31,23,-76.56,38.8901,3.546,93.525,0.01,0.5105,5.233,1.714855,1.66264,0,x
US-xSE,2020,32,0,-76.56,38.8901,3.58,90.34,0,0.763,5.1025,1.64301,1.66417,0,""
US-xSE,2020,32,1,-76.56,38.8901,2.9515,84.61,0,1.1625,4.856,1.67403,1.635755,0,x
US-xSE,2020,32,2,-76.56,38.8901,3.637,79.41,0,1.6355,4.618,1.569205,1.66673,0,x
US-xSE,2020,32,3,-76.56,38.8901,3.376,78.285,0,1.6905,4.469,1.542415,1.654975,0,x
US-xSE,2020,32,4,-76.56,38.8901,2.763,83.03,0,1.265,4.351,1.56614,1.627185,0,x
US-xSE,2020,32,5,-76.56,38.8901,2.4555,87.35,0,0.925,4.2435,1.541965,1.613155,0,""
US-xSE,2020,32,6,-76.56,38.8901,2.1905,92.77,0,0.5185,4.1345,1.53882,1.60103,0,""
US-xSE,2020,32,7,-76.56,38.8901,1.352,96.435,34.0325,0.24,4.0455,1.0535815,1.562385,0.5088045,x
US-xSE,2020,32,8,-76.56,38.8901,1.236,93.03,168.9575,0.4655,4.0535,0.05179165,1.557005,1.505215,""
US-xSE,2020,32,9,-76.56,38.8901,2.6295,86.23,292.95,1.0185,4.272,-0.248,1.621025,1.869025,x
US-xSE,2020,32,10,-76.56,38.8901,5.141,79.97,434.6425,1.776,4.894,-0.0645,1.73363,1.798132,""
US-xSE,2020,32,12,-76.56,38.8901,7.834,67.96,449.43,3.3995,6.799,-0.16975,1.85026,2.02001,""
US-xSE,2020,32,13,-76.56,38.8901,7.472,72.975,443.1675,2.7975,7.254,-2.604,1.83485,4.43885,x
US-xSE,2020,32,14,-76.56,38.8901,6.5265,77.275,347.095,2.205,7.3415,-3.0491,1.79423,4.84333,x
US-xSE,2020,32,15,-76.56,38.8901,6.6195,75.7,175.365,2.372,7.1275,0.894,1.79825,0.9042495,x
US-xSE,2020,32,16,-76.56,38.8901,6.486,73.045,82.8675,2.6075,6.924,0.723,1.792475,1.172365,""
US-xSE,2020,32,17,-76.56,38.8901,6.0735,71.485,5.6675,2.681,6.671,2.01332,1.77457,0,""
US-xSE,2020,32,18,-76.56,38.8901,5.673,73.125,0.045,2.4575,6.4075,1.73795,1.757095,0,""
US-xSE,2020,32,19,-76.56,38.8901,5.303,80.925,0.2075,1.705,6.252,1.59114,1.74085,0,""
US-xSE,2020,32,20,-76.56,38.8901,4.9275,91.87,0.6375,0.706,6.147,1.69614,1.724295,0,x
US-xSE,2020,32,21,-76.56,38.8901,4.855,95.82,0.5825,0.361,6.091,1.854285,1.72109,0,x
US-xSE,2020,32,22,-76.56,38.8901,4.792,96.195,0.4325,0.327,6.031,1.78694,1.718305,0,""
US-xSE,2020,32,23,-76.56,38.8901,4.7425,94.255,0.265,0.4925,5.933,1.79015,1.716105,0,x
US-xSE,2020,33,0,-76.56,38.8901,4.6495,93.565,0.325,0.5475,5.858,1.78629,1.71198,0,""
US-xSE,2020,33,1,-76.56,38.8901,4.6035,89.485,0,0.892,5.788,1.78629,1.70994,0,""
US-xSE,2020,33,2,-76.56,38.8901,4.2325,89.365,0,0.8805,5.4835,3.99689,1.69342,0,""
US-xSE,2020,33,3,-76.56,38.8901,4.044,84.625,0,1.255,5.122,3.5985,1.68499,0,x
US-xSE,2020,33,4,-76.56,38.8901,3.6865,83.34,0,1.3255,4.8775,0.865,1.668965,0,x
US-xSE,2020,33,5,-76.56,38.8901,3.441,84.065,0,1.2475,4.731,1.66267,1.6579,0,x
US-xSE,2020,33,6,-76.56,38.8901,2.875,89.115,0.3725,0.818,4.65,6.3495,1.63228,0,x
US-xSE,2020,33,7,-76.56,38.8901,2.855,87.325,34.745,0.954,4.6995,1.499,1.63136,1.034565,x
US-xSE,2020,33,8,-76.56,38.8901,4.278,70.76,175.705,2.4405,4.7625,2.859985,1.69538,0,x
US-xSE,2020,33,9,-76.56,38.8901,5.52,57.005,260.2875,3.894,5.1045,2.603105,1.750375,0.062605,x
US-xSE,2020,33,10,-76.56,38.8901,5.7795,53.5,120.185,4.284,5.6765,0.4,1.761755,1.3617535,""
US-xSE,2020,33,11,-76.56,38.8901,4.864,65.805,85.6875,2.963,5.911,0.774222,1.721455,0.9472355,x
US-xSE,2020,33,12,-76.56,38.8901,5.2195,65.645,217.51,3.0455,5.999,-0.01570505,1.73717,1.752875,""
US-xSE,2020,33,13,-76.56,38.8901,6.46,62.4,442.935,3.635,6.4685,1.516,1.79131,0.4048155,""
US-xSE,2020,33,14,-76.56,38.8901,7.0515,64.505,446.73,3.5705,6.9675,0.228375,1.81685,1.588475,""
US-xSE,2020,33,15,-76.56,38.8901,7.384,65.345,289.6425,3.5655,6.9845,0.2305,1.831095,1.600595,""
US-xSE,2020,33,16,-76.56,38.8901,7.2155,67.88,119.625,3.2695,6.7635,0.5995,1.82388,1.22438,x
US-xSE,2020,33,17,-76.56,38.8901,6.7475,72.9,10.19,2.669,6.373,1.0801525,1.80377,0.72362225,x
US-xSE,2020,33,18,-76.56,38.8901,8.012,61.72,0,4.114,5.9335,4.22198665,1.857805,0,x
US-xSE,2020,33,19,-76.56,38.8901,9.681,49.47,0,6.078,5.616,0.6369845,1.927655,0,x
US-xSE,2020,33,20,-76.56,38.8901,10.1045,46.525,0,6.6155,5.3965,1.3099725,1.945125,0,x
US-xSE,2020,33,21,-76.56,38.8901,10.345,45.42,0,6.861,5.2095,1.95975,1.954995,0,""
US-xSE,2020,33,22,-76.56,38.8901,11.254,43.275,0,7.577,5.0435,1.6620105,1.991975,0,""
US-xSE,2020,33,23,-76.56,38.8901,11.7545,42.755,0,7.902,4.925,0.0455,2.012135,0,x
US-xSE,2020,34,0,-76.56,38.8901,11.8635,43.395,0,7.8705,4.871,1.23744,2.016505,0,""
US-xSE,2020,34,1,-76.56,38.8901,12.0275,45.16,0,7.7085,4.8195,1.23744,2.023065,0,""
US-xSE,2020,34,2,-76.56,38.8901,10.3995,52.035,0,6.141,4.739,0.865641,1.95655,0,""
