site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-xST,2020,1,0,-89.5864,45.5089,-12.164,89.895,0,0.243,1.265,0.639121,0.3854565,0,""
US-xST,2020,1,1,-89.5864,45.5089,-12.3025,90.68,0,0.2215,1.266,0.615248,0.3816115,0,x
US-xST,2020,1,2,-89.5864,45.5089,-12.676,90.36,0,0.2225,1.2665,0.579667,0.371249,0,""
US-xST,2020,1,3,-89.5864,45.5089,-12.731,88.775,0,0.2575,1.267,0.579667,0.3697295,0,x
US-xST,2020,1,4,-89.5864,45.5089,-13.321,87.92,0,0.264,1.268,0.550111,0.35351,0,""
US-xST,2020,1,5,-89.5864,45.5089,-13.8445,87.42,0,0.2635,1.2685,0.535118,0.339235,0,""
US-xST,2020,1,6,-89.5864,45.5089,-13.9965,87.08,0,0.2675,1.269,0.520125,0.3351165,0,x
US-xST,2020,1,7,-89.5864,45.5089,-13.743,86.68,0.155,0.282,1.27,0.550111,0.341991,0,""
US-xST,2020,1,12,-89.5864,45.5089,-5.614,82.04,193.2775,0.722,1.273,0.481835,0.5729955,0.0893481,""
US-xST,2020,1,13,-89.5864,45.5089,-4.42,81.365,202.39,0.8205,1.273,0.459578,0.6077065,0.1465535,""
US-xST,2020,1,14,-89.5864,45.5089,-3.9925,82.315,79.975,0.804,1.2735,0.560771,0.6201355,0.05787925,""
US-xST,2020,1,15,-89.5864,45.5089,-3.726,83.93,41.025,0.7455,1.2725,0.5492865,0.627882,0.0771674,""
US-xST,2020,1,16,-89.5864,45.5089,-3.6085,85.545,4.4625,0.6765,1.2705,0.5723505,0.6312965,0.05754355,x
US-xST,2020,1,17,-89.5864,45.5089,-3.3265,86.24,0.4275,0.658,1.268,0.580691,0.63949,0,x
US-xST,2020,1,18,-89.5864,45.5089,-2.811,86.5,0.2975,0.6705,1.2655,0.6115575,0.6544585,0,x
US-xST,2020,1,19,-89.5864,45.5089,-2.4345,85.41,0,0.7455,1.2635,0.6266075,0.6653825,0,x
US-xST,2020,1,20,-89.5864,45.5089,-2.292,85.02,0.025,0.7735,1.2625,0.63499,0.6695145,0,x
US-xST,2020,1,21,-89.5864,45.5089,-2.2255,85.485,0.1675,0.753,1.2615,0.6378,0.671442,0,""
US-xST,2020,1,22,-89.5864,45.5089,-1.966,86.38,0.2225,0.72,1.2605,0.630926,0.6789615,0,""
US-xST,2020,1,23,-89.5864,45.5089,-1.571,87.395,0.525,0.6865,1.259,0.6494955,0.6903975,0,""
US-xST,2020,2,0,-89.5864,45.5089,-1.423,88.76,0.18,0.619,1.258,0.656584,0.6946785,0,""
US-xST,2020,2,1,-89.5864,45.5089,-1.292,89.61,0.6175,0.5775,1.2575,0.660001,0.6984665,0,""
US-xST,2020,2,2,-89.5864,45.5089,-0.8865,90.135,0.7125,0.565,1.257,0.676,0.710179,0,x
US-xST,2020,2,3,-89.5864,45.5089,-0.7775,91.125,0.745,0.5125,1.257,0.660185,0.713326,0,""
US-xST,2020,2,4,-89.5864,45.5089,-0.757,95.46,0.655,0.2625,1.257,0.6565,0.713918,0,x
US-xST,2020,2,5,-89.5864,45.5089,-0.49,94.38,0.2625,0.3315,1.258,0.7915,0.7216175,0,""
US-xST,2020,2,6,-89.5864,45.5089,-0.5975,92.76,0.275,0.4235,1.2585,0.8565,0.7185185,0,x
US-xST,2020,2,7,-89.5864,45.5089,-0.5175,93.14,2.5175,0.4035,1.2605,0.868,0.7208245,0,""
US-xST,2020,2,8,-89.5864,45.5089,-0.5285,93.705,40.9,0.37,1.2625,0.597,0.720508,0.150729,""
US-xST,2020,2,9,-89.5864,45.5089,-0.3,93.465,73.3125,0.3905,1.266,0.4255,0.7270915,0.300975,x
US-xST,2020,2,10,-89.5864,45.5089,0.1135,92.8,113.4825,0.4435,1.269,0.61925,0.73899,0.11922985,x
US-xST,2020,2,11,-89.5864,45.5089,0.4385,92.835,104.585,0.452,1.2735,0.5629,0.748327,0.185002,""
US-xST,2020,2,12,-89.5864,45.5089,0.573,92.915,64.2225,0.4515,1.2775,0.511,0.7521875,0.240797945,""
US-xST,2020,2,13,-89.5864,45.5089,0.499,93.435,56.2175,0.416,1.28,0.538,0.750064,0.211655,x
US-xST,2020,2,14,-89.5864,45.5089,0.2955,94.405,26.5725,0.3495,1.2835,0.487,0.7442205,0.2567579,""
US-xST,2020,2,15,-89.5864,45.5089,0.1635,94.405,13.8775,0.346,1.2855,0.628,0.7404275,0.1537985,""
US-xST,2020,2,16,-89.5864,45.5089,0.0615,93.11,2.2475,0.423,1.2875,1.152,0.737495,0.1046965,x
US-xST,2020,2,17,-89.5864,45.5089,-0.228,87.405,0.685,0.756,1.289,0.7723585,0.729164,0,""
US-xST,2020,2,18,-89.5864,45.5089,-0.5945,85.77,0.77,0.8325,1.2905,0.4864165,0.7186045,0,""
US-xST,2020,2,19,-89.5864,45.5089,-0.756,86.9,0.7725,0.7575,1.292,0.3913705,0.7139465,0,""
US-xST,2020,2,20,-89.5864,45.5089,-1.531,84.795,0.705,0.8295,1.2925,0.21,0.6915525,0,x
US-xST,2020,2,21,-89.5864,45.5089,-2.462,79.08,0.625,1.067,1.2935,0.511,0.6645845,0,""
US-xST,2020,2,22,-89.5864,45.5089,-2.8965,82.875,0.6025,0.845,1.294,0.5335,0.6519775,0,x
US-xST,2020,2,23,-89.5864,45.5089,-2.9755,82.8,0.675,0.844,1.2945,0.4615,0.649684,0,x
US-xST,2020,3,0,-89.5864,45.5089,-2.847,82.325,0.705,0.8755,1.2955,0.55,0.6534145,0,""
US-xST,2020,3,1,-89.5864,45.5089,-2.7625,82.865,0.755,0.8545,1.296,0.3975,0.6558665,0,""
US-xST,2020,3,2,-89.5864,45.5089,-2.8435,84.015,0.715,0.792,1.2965,0.4688825,0.653516,0,""
US-xST,2020,3,3,-89.5864,45.5089,-2.925,83.825,0.6475,0.7965,1.2975,0.444015,0.65115,0,x
US-xST,2020,3,4,-89.5864,45.5089,-2.9275,82.805,0.765,0.847,1.298,0.629,0.6510775,0,x
US-xST,2020,3,5,-89.5864,45.5089,-2.9905,82.195,0.7125,0.8725,1.2985,0.6825,0.649248,0,x
US-xST,2020,3,6,-89.5864,45.5089,-3.0605,82.865,0.675,0.8355,1.299,0.6831895,0.6472155,0,x
US-xST,2020,3,7,-89.5864,45.5089,-3.096,83.25,1.86,0.8145,1.3,0.5806345,0.646185,0,""
US-xST,2020,3,8,-89.5864,45.5089,-3.108,82.15,16.435,0.8675,1.3,0.56053,0.6458365,0.0840146,""
US-xST,2020,3,9,-89.5864,45.5089,-2.993,81.965,42.87,0.884,1.301,0.555059,0.649176,0.09285065,""
US-xST,2020,3,10,-89.5864,45.5089,-2.9135,80.72,77.97,0.9505,1.3015,0.533972,0.651484,0.116264,x
US-xST,2020,3,11,-89.5864,45.5089,-3.0475,81.735,71.1375,0.8915,1.3025,0.7025,0.6475935,0.0259943,""
US-xST,2020,3,12,-89.5864,45.5089,-3.2465,83.385,61.3775,0.7985,1.303,0.6015,0.641814,0.1644555,x
US-xST,2020,3,13,-89.5864,45.5089,-3.3675,82.715,58.335,0.8235,1.3035,0.4285,0.6382995,0.2084495,x
US-xST,2020,3,14,-89.5864,45.5089,-3.3995,83.655,34.9475,0.777,1.304,0.5006775,0.6373695,0.1353355,x
US-xST,2020,3,15,-89.5864,45.5089,-3.5845,84.765,13.235,0.7145,1.305,0.5782035,0.6319945,0.05239325,""
US-xST,2020,3,16,-89.5864,45.5089,-3.995,87.21,1.595,0.5815,1.305,0.596831,0.6200625,0.0217461,x
US-xST,2020,3,17,-89.5864,45.5089,-4.3645,88.52,0.2225,0.5075,1.305,0.5937395,0.6093205,0,x
US-xST,2020,3,18,-89.5864,45.5089,-4.5605,88.61,0.1375,0.4965,1.3045,0.5972385,0.6036215,0,""
US-xST,2020,3,19,-89.5864,45.5089,-4.77,90.81,0.4125,0.394,1.305,0.585723,0.59753,0,""
US-xST,2020,3,20,-89.5864,45.5089,-5.071,93.045,0.2275,0.2915,1.3045,0.58774,0.5887785,0,x
US-xST,2020,3,21,-89.5864,45.5089,-5.2555,95.135,0.615,0.201,1.304,0.5320085,0.5834145,0,x
US-xST,2020,3,22,-89.5864,45.5089,-5.634,93.86,0.665,0.2465,1.3035,0.5350835,0.5724135,0,""
US-xST,2020,3,23,-89.5864,45.5089,-6.125,93.305,0.6575,0.2585,1.3025,0.376508,0.5581515,0,""
US-xST,2020,4,0,-89.5864,45.5089,-6.5695,92.32,0.565,0.2865,1.302,0.596612,0.54525,0,""
US-xST,2020,4,1,-89.5864,45.5089,-6.89,90.29,0.38,0.3545,1.3015,0.6019485,0.535957,0,""
US-xST,2020,4,2,-89.5864,45.5089,-7.0735,92.715,0.405,0.2615,1.3,0.602615,0.53064,0,""
US-xST,2020,4,3,-89.5864,45.5089,-7.217,92.47,0.445,0.268,1.299,0.605716,0.526484,0,""
US-xST,2020,4,4,-89.5864,45.5089,-7.2555,92.545,0.655,0.264,1.297,0.604324,0.5253695,0,""
US-xST,2020,4,5,-89.5864,45.5089,-7.1225,93.33,0.665,0.239,1.296,0.603824,0.529221,0,x
US-xST,2020,4,6,-89.5864,45.5089,-6.945,92.17,0.4625,0.284,1.2935,0.601932,0.534363,0,x
US-xST,2020,4,7,-89.5864,45.5089,-6.9815,92.045,1.9225,0.288,1.2915,0.601932,0.533305,0,""
US-xST,2020,4,8,-89.5864,45.5089,-6.762,91.365,15.08,0.318,1.2905,0.5926165,0.5396675,0,x
US-xST,2020,4,9,-89.5864,45.5089,-6.336,90.315,32.0675,0.3685,1.29,0.5580485,0.552026,0,x
US-xST,2020,4,10,-89.5864,45.5089,-5.8905,88.645,56.8625,0.447,1.2885,0.5288585,0.5649615,0.03423865,""
US-xST,2020,4,11,-89.5864,45.5089,-5.3715,85.66,97.5225,0.5875,1.2875,0.504281,0.5800425,0.073996,""
US-xST,2020,4,12,-89.5864,45.5089,-4.8695,81.985,137.0575,0.767,1.2875,0.522845,0.594637,0.0701251,x
US-xST,2020,4,13,-89.5864,45.5089,-4.782,78.3,127.74,0.9295,1.2885,0.472,0.597181,0.123532,x
US-xST,2020,4,14,-89.5864,45.5089,-4.7445,79.005,97.27,0.902,1.2895,0.478,0.598271,0.1303245,x
US-xST,2020,4,15,-89.5864,45.5089,-4.8985,80.415,50.6225,0.8315,1.2905,0.41,0.5937935,0.182121,""
US-xST,2020,4,16,-89.5864,45.5089,-5.02,81.895,4.25,0.7615,1.291,0.3635,0.590261,0.2250645,x
US-xST,2020,4,17,-89.5864,45.5089,-5.2115,84.2,0.2325,0.655,1.2915,0.655772,0.584694,0,""
US-xST,2020,4,18,-89.5864,45.5089,-5.3015,85.35,0.18,0.6035,1.292,0.590294,0.5820775,0,x
US-xST,2020,4,19,-89.5864,45.5089,-5.5455,85.79,0.1075,0.5745,1.292,0.5933615,0.5749855,0,x
US-xST,2020,4,20,-89.5864,45.5089,-5.859,87.155,0.265,0.507,1.2915,0.5966875,0.5658765,0,x
US-xST,2020,4,21,-89.5864,45.5089,-5.9745,88.62,0.37,0.445,1.2905,0.563,0.562521,0,x
US-xST,2020,4,22,-89.5864,45.5089,-6.071,90.415,0.395,0.372,1.29,0.5913275,0.5597185,0,""
US-xST,2020,4,23,-89.5864,45.5089,-6.231,92.21,0.465,0.299,1.2885,0.8175,0.5550735,0,x
US-xST,2020,5,0,-89.5864,45.5089,-6.317,93.18,0.53,0.26,1.287,0.755844,0.5525765,0,""
US-xST,2020,5,1,-89.5864,45.5089,-6.288,92.95,0.5925,0.269,1.2855,0.5917225,0.5534185,0,""
US-xST,2020,5,2,-89.5864,45.5089,-6.0175,92.61,0.365,0.288,1.2835,0.592855,0.5612725,0,""
US-xST,2020,5,3,-89.5864,45.5089,-5.631,90.09,0.37,0.3985,1.2815,0.507,0.572501,0,""
US-xST,2020,5,4,-89.5864,45.5089,-5.0615,83.965,0.385,0.673,1.2795,0.531424,0.5890545,0,x
US-xST,2020,5,5,-89.5864,45.5089,-4.798,81.965,0.3675,0.772,1.2775,0.5005,0.5967155,0,""
US-xST,2020,5,6,-89.5864,45.5089,-4.9935,82.665,0.285,0.731,1.276,0.407,0.5910315,0,x
US-xST,2020,5,7,-89.5864,45.5089,-5.1085,83.435,1.98,0.6925,1.2735,0.4618315,0.587688,0,""
