site,year,doy,hour,lon,lat,ta_f,rh,sw_in_f,vpd_f,ts_f,nee,nee,gpp,calibration
US-xUK,2020,1,0,-95.1921,39.0404,6.954,-9999,2.8,2.7505,2.956,1.24015,1.62276,0,x
US-xUK,2020,1,1,-95.1921,39.0404,6.876,-9999,2.8,2.7575,2.858,1.24015,1.61581,0,x
US-xUK,2020,1,2,-95.1921,39.0404,6.778,-9999,2.75,2.7265,2.7275,1.228945,1.607095,0,x
US-xUK,2020,1,3,-95.1921,39.0404,6.6405,-9999,2.7,2.6915,2.59,1.20859,1.594895,0,""
US-xUK,2020,1,4,-95.1921,39.0404,6.5365,-9999,2.75,2.6385,2.4555,1.196705,1.585685,0,x
US-xUK,2020,1,5,-95.1921,39.0404,6.3885,-9999,2.7,2.606,2.376,1.19734,1.572605,0,""
US-xUK,2020,1,6,-95.1921,39.0404,6.258,-9999,2.7,2.5675,2.3335,1.19353,1.561105,0,x
US-xUK,2020,1,7,-95.1921,39.0404,6.2425,-9999,7.65,2.487,2.342,1.28195,1.559735,0,""
US-xUK,2020,1,8,-95.1921,39.0404,4.519,-9999,81.25,2.4425,2.4435,1.0406385,1.411795,0.3885195,""
US-xUK,2020,1,9,-95.1921,39.0404,7.427,-9999,228.15,5.583,2.885,0.657,1.66509,1.042188,""
US-xUK,2020,1,10,-95.1921,39.0404,10.0015,-9999,357.65,6.7635,4.176,0.668183,1.901065,1.2846245,""
US-xUK,2020,1,11,-95.1921,39.0404,5.319,-9999,429.2,4.221,5.4275,0.1785,1.48425,1.32834,""
US-xUK,2020,1,12,-95.1921,39.0404,3.4915,-9999,444.2,3.2785,6.8095,0.357,1.324035,0.9788725,""
US-xUK,2020,1,13,-95.1921,39.0404,4.7725,-9999,418.4,4.2185,7.2,0.287,1.43213,1.1635675,x
US-xUK,2020,1,14,-95.1921,39.0404,4.9515,-9999,348.1,4.3185,7.515,0.5108365,1.447605,0.9562125,x
US-xUK,2020,1,15,-95.1921,39.0404,11.838,-9999,313.3565,7.681,7.5875,1.27,2.07456,0.8702755,x
US-xUK,2020,1,16,-95.1921,39.0404,12.203,-9999,145.431,7.6395,7.2515,1.27161,2.109495,0.9065095,x
US-xUK,2020,1,17,-95.1921,39.0404,6.053,-9999,4.8,2.4335,6.758,1.1346305,1.54309,0,""
US-xUK,2020,1,18,-95.1921,39.0404,5.951,-9999,0,2.481,6.3255,1.387845,1.53415,0,""
US-xUK,2020,1,19,-95.1921,39.0404,5.905,-9999,0,2.4975,6.0615,1.363,1.53012,0,x
US-xUK,2020,1,20,-95.1921,39.0404,5.8555,-9999,0,2.5135,5.8695,0.996855,1.525795,0,""
