ID,koppen,year,doy,longitude,latitude,value
CA-Cbo,Dfb,2003,1,-79.9341,44.3184,0.1956
CA-Cbo,Dfb,2003,17,-79.9341,44.3184,0.2029
CA-Cbo,Dfb,2003,33,-79.9341,44.3184,0.1242
CA-Cbo,Dfb,2003,49,-79.9341,44.3184,0.2278
CA-Cbo,Dfb,2003,65,-79.9341,44.3184,0.1993
CA-Cbo,Dfb,2003,81,-79.9341,44.3184,0.322
CA-Cbo,Dfb,2003,97,-79.9341,44.3184,0.2644
CA-Cbo,Dfb,2003,113,-79.9341,44.3184,0.352
CA-Cbo,Dfb,2003,129,-79.9341,44.3184,0.3679
CA-Cbo,Dfb,2003,145,-79.9341,44.3184,0.4637
CA-Cbo,Dfb,2003,161,-79.9341,44.3184,0.6334
CA-Cbo,Dfb,2003,177,-79.9341,44.3184,0.6326
CA-Cbo,Dfb,2003,193,-79.9341,44.3184,0.6969
CA-Cbo,Dfb,2003,209,-79.9341,44.3184,0.5391
CA-Cbo,Dfb,2003,225,-79.9341,44.3184,0.6156
CA-Cbo,Dfb,2003,241,-79.9341,44.3184,0.5659
CA-Cbo,Dfb,2003,257,-79.9341,44.3184,0.5008
CA-Cbo,Dfb,2003,273,-79.9341,44.3184,0.4795
CA-Cbo,Dfb,2003,289,-79.9341,44.3184,0.2437
CA-Cbo,Dfb,2003,305,-79.9341,44.3184,0.3155
CA-Cbo,Dfb,2003,321,-79.9341,44.3184,0.2516
CA-Cbo,Dfb,2003,337,-79.9341,44.3184,0.1879
CA-Cbo,Dfb,2003,353,-79.9341,44.3184,0.3872
CA-Cbo,Dfb,2004,1,-79.9341,44.3184,0.2062
CA-Cbo,Dfb,2004,17,-79.9341,44.3184,0.2097
CA-Cbo,Dfb,2004,33,-79.9341,44.3184,0.2404
CA-Cbo,Dfb,2004,49,-79.9341,44.3184,0.1928
CA-Cbo,Dfb,2004,65,-79.9341,44.3184,0.2558
CA-Cbo,Dfb,2004,81,-79.9341,44.3184,0.2252
CA-Cbo,Dfb,2004,97,-79.9341,44.3184,0.2838
CA-Cbo,Dfb,2004,113,-79.9341,44.3184,0.2546
CA-Cbo,Dfb,2004,129,-79.9341,44.3184,0.3584
CA-Cbo,Dfb,2004,145,-79.9341,44.3184,0.5182
CA-Cbo,Dfb,2004,161,-79.9341,44.3184,0.6214
CA-Cbo,Dfb,2004,177,-79.9341,44.3184,0.6024
CA-Cbo,Dfb,2004,193,-79.9341,44.3184,0.6485
CA-Cbo,Dfb,2004,209,-79.9341,44.3184,0.6209
CA-Cbo,Dfb,2004,225,-79.9341,44.3184,0.5706
CA-Cbo,Dfb,2004,241,-79.9341,44.3184,0.5332
CA-Cbo,Dfb,2004,257,-79.9341,44.3184,0.5319
CA-Cbo,Dfb,2004,273,-79.9341,44.3184,0.4331
CA-Cbo,Dfb,2004,289,-79.9341,44.3184,0.3193
CA-Cbo,Dfb,2004,305,-79.9341,44.3184,0.2318
CA-Cbo,Dfb,2004,321,-79.9341,44.3184,0.2882
CA-Cbo,Dfb,2004,337,-79.9341,44.3184,0.0499
CA-Cbo,Dfb,2004,353,-79.9341,44.3184,0.1621
CA-Cbo,Dfb,2005,1,-79.9341,44.3184,0.1145
CA-Cbo,Dfb,2005,17,-79.9341,44.3184,0.2606
CA-Cbo,Dfb,2005,33,-79.9341,44.3184,0.2068
