"site","LON","LAT","YEAR","MO","DY","HR","T2M","T2MDEW","PRECTOTCORR","ALLSKY_SFC_SW_DWN","WS10M"
"FR-Fon",2.7801,48.4764,2001,1,1,0,3.89371643066409,-6.08177795410154,0.0397026538507817,1095.86777777778,5.11152137331633
"FR-Fon",2.7801,48.4764,2001,1,1,1,4.61536560058596,-6.24312438964841,0.00491179525852203,0,5.1321957169898
"FR-Fon",2.7801,48.4764,2001,1,1,2,5.35018310546877,-5.67560424804685,0.00565499067306519,0,5.3350989590799
"FR-Fon",2.7801,48.4764,2001,1,1,3,5.94263610839846,-4.56667175292966,0.0267922878265381,0,5.54269768293429
"FR-Fon",2.7801,48.4764,2001,1,1,4,6.16327819824221,-1.76276245117185,0.235006213188171,0,5.56651299319149
"FR-Fon",2.7801,48.4764,2001,1,1,5,5.68215332031252,1.72133789062502,0.809960067272186,0,5.27678292528971
"FR-Fon",2.7801,48.4764,2001,1,1,6,5.56446228027346,3.41370544433596,1.38524919748306,0,5.46757613621104
"FR-Fon",2.7801,48.4764,2001,1,1,7,5.92107543945315,4.16164550781252,2.28694379319449,0,5.52275402896102
"FR-Fon",2.7801,48.4764,2001,1,1,8,6.22457275390627,4.2673278808594,2.76405960312331,0.156111111111111,5.22787255162099
"FR-Fon",2.7801,48.4764,2001,1,1,9,6.45827636718752,3.57622680664065,2.98011153927291,9.535,4.73023767513809
"FR-Fon",2.7801,48.4764,2001,1,1,10,6.79781494140627,3.41578063964846,3.17592024794066,42.11,4.79592353651209
"FR-Fon",2.7801,48.4764,2001,1,1,11,7.24521789550784,3.97309265136721,3.45059633252731,84.9044444444445,4.93275127264518
"FR-Fon",2.7801,48.4764,2001,1,1,12,7.57663879394534,4.62717590332034,3.75536297383405,119.267222222222,5.13484188836126
"FR-Fon",2.7801,48.4764,2001,1,1,13,7.57770690917971,5.53370056152346,4.53916639088447,151.110555555556,5.37218738656822
"FR-Fon",2.7801,48.4764,2001,1,1,14,7.61826477050784,5.81121215820315,5.90664148325004,167.998333333333,5.30749969898954
"FR-Fon",2.7801,48.4764,2001,1,1,15,7.6138854980469,5.92527160644534,7.34599342365527,177.191111111111,5.32372222297464
"FR-Fon",2.7801,48.4764,2001,1,1,16,7.60164794921877,6.03629455566409,7.64149427402571,180.8,5.08789116892525
"FR-Fon",2.7801,48.4764,2001,1,1,17,7.79303894042971,5.91986999511721,7.67973363389273,180.8,4.96735118885753
"FR-Fon",2.7801,48.4764,2001,1,1,18,7.87214050292971,6.05625305175784,7.70363807669127,180.8,4.75653930638043
"FR-Fon",2.7801,48.4764,2001,1,1,19,7.80654296875002,6.15035400390627,8.0818891524359,180.8,4.6714320176714
"FR-Fon",2.7801,48.4764,2001,1,1,20,7.98629150390627,6.29021606445315,8.13237428656066,180.8,4.46509330934844
"FR-Fon",2.7801,48.4764,2001,1,1,21,7.88761291503909,6.22519836425784,8.15317630758727,180.8,4.38066360508263
"FR-Fon",2.7801,48.4764,2001,1,1,22,7.76894531250002,6.0576110839844,8.49059820166076,180.8,4.40862205526134
"FR-Fon",2.7801,48.4764,2001,1,1,23,7.90335998535159,6.07476196289065,8.65641832342589,180.8,4.5811472576224
"FR-Fon",2.7801,48.4764,2001,1,2,0,8.10015258789065,6.14844665527346,8.66354107847655,180.8,4.77295530228581
"FR-Fon",2.7801,48.4764,2001,1,2,1,8.11795959472659,6.21543273925784,0.00611878931522369,0,4.96293380794331
"FR-Fon",2.7801,48.4764,2001,1,2,2,8.31214294433596,6.38834533691409,0.0388696789741516,0,5.24097650302997
"FR-Fon",2.7801,48.4764,2001,1,2,3,8.26645812988284,6.39139709472659,0.0906996428966522,0,5.32139293776258
"FR-Fon",2.7801,48.4764,2001,1,2,4,8.28249511718752,6.50446472167971,0.113517045974731,0,5.47627897823786
"FR-Fon",2.7801,48.4764,2001,1,2,5,8.25815734863284,6.51860961914065,0.117368996143341,0,5.55611630330704
"FR-Fon",2.7801,48.4764,2001,1,2,6,8.16153869628909,6.48040161132815,0.117368996143341,0,5.46338705011349
"FR-Fon",2.7801,48.4764,2001,1,2,7,8.09333190917971,5.78434143066409,0.117361545562744,0,5.62787208189779
"FR-Fon",2.7801,48.4764,2001,1,2,8,8.28235778808596,5.7569519042969,0.117361545562744,1.24222222222222,6.02723872934847
"FR-Fon",2.7801,48.4764,2001,1,2,9,8.76203308105471,5.90616760253909,0.117361545562744,54.0133333333333,6.39979380842414
"FR-Fon",2.7801,48.4764,2001,1,2,10,9.60018310546877,6.09600219726565,0.117361545562744,197.585,6.835860188886
"FR-Fon",2.7801,48.4764,2001,1,2,11,10.5295196533203,6.36618957519534,0.117361545562744,426.627777777778,6.32938074084336
"FR-Fon",2.7801,48.4764,2001,1,2,12,11.1898895263672,6.41996154785159,0.117361545562744,695.927222222222,6.96711029861465
"FR-Fon",2.7801,48.4764,2001,1,2,13,11.4424377441406,6.03997192382815,0.128239393234253,948.571666666667,7.6636844568141
"FR-Fon",2.7801,48.4764,2001,1,2,14,11.4300476074219,5.7341247558594,0.143557786941528,1123.09777777778,8.48405148434761
"FR-Fon",2.7801,48.4764,2001,1,2,15,10.9077850341797,5.50518188476565,0.143557786941528,1215.45333333333,7.85254253664006
"FR-Fon",2.7801,48.4764,2001,1,2,16,10.5095611572266,5.37549743652346,0.143557786941528,1244.43444444444,7.56482986812319
"FR-Fon",2.7801,48.4764,2001,1,2,17,9.89570007324221,5.34981689453127,0.143557786941528,1244.43444444444,7.27699245476693
"FR-Fon",2.7801,48.4764,2001,1,2,18,9.61921081542971,5.37665710449221,0.143557786941528,1244.43444444444,7.17841248446238
"FR-Fon",2.7801,48.4764,2001,1,2,19,8.96662292480471,5.4042907714844,0.147432088851929,1244.43444444444,6.73093595385858
"FR-Fon",2.7801,48.4764,2001,1,2,20,8.51053771972659,5.19284973144534,0.148296356201172,1244.43444444444,6.64985349116676
"FR-Fon",2.7801,48.4764,2001,1,2,21,8.27874145507815,5.0970397949219,0.148296356201172,1244.43444444444,6.68299128784307
"FR-Fon",2.7801,48.4764,2001,1,2,22,8.04224548339846,4.93842468261721,0.14948844909668,1244.43444444444,6.66709520485895
"FR-Fon",2.7801,48.4764,2001,1,2,23,8.18982849121096,4.76433715820315,0.177979469299316,1244.43444444444,6.93634727164166
"FR-Fon",2.7801,48.4764,2001,1,3,0,8.24598083496096,4.72590026855471,0.238031148910522,1244.43444444444,6.65148916728375
"FR-Fon",2.7801,48.4764,2001,1,3,1,8.10062561035159,4.78328857421877,0.295849516987801,0,6.1938878383974
"FR-Fon",2.7801,48.4764,2001,1,3,2,7.88950500488284,5.02346191406252,0.410929322242737,0,5.9850135147377
"FR-Fon",2.7801,48.4764,2001,1,3,3,7.4195495605469,5.10224304199221,0.439010560512543,0,6.00276049566617
"FR-Fon",2.7801,48.4764,2001,1,3,4,6.68442687988284,4.74042663574221,0.481918454170227,0,5.90492585694948
"FR-Fon",2.7801,48.4764,2001,1,3,5,6.36086425781252,4.09430847167971,0.51107257604599,0,5.49197887419094
"FR-Fon",2.7801,48.4764,2001,1,3,6,5.65569458007815,3.33474121093752,0.512778759002686,0,4.84538742714053
"FR-Fon",2.7801,48.4764,2001,1,3,7,5.17786560058596,3.82550964355471,0.512778759002686,0,4.32090683799618
"FR-Fon",2.7801,48.4764,2001,1,3,8,4.74556884765627,3.54020080566409,0.512778759002686,1.28944444444444,4.03674211885511
"FR-Fon",2.7801,48.4764,2001,1,3,9,4.87543640136721,3.67893371582034,0.512778759002686,59.585,3.85553187124182
"FR-Fon",2.7801,48.4764,2001,1,3,10,5.82987365722659,4.10920104980471,0.512778759002686,215.176111111111,4.04748671520761
