"site","LON","LAT","YEAR","MO","DY","HR","T2M","T2MDEW","PRECTOTCORR","ALLSKY_SFC_SW_DWN","WS10M"
"FR-Hes",7.06465,48.6741,2001,1,1,0,-7.16683044433591,-8.56615295410154,0.479704141582715,701.576666666667,2.78608945006553
"FR-Hes",7.06465,48.6741,2001,1,1,1,-6.73815002441404,-8.42085876464841,0,0,2.77879027245139
"FR-Hes",7.06465,48.6741,2001,1,1,2,-4.44278564453123,-6.83576049804685,0,0,2.77603431642387
"FR-Hes",7.06465,48.6741,2001,1,1,3,-2.30931701660154,-5.50026550292966,0,0,2.80207216796316
"FR-Hes",7.06465,48.6741,2001,1,1,4,-0.91094055175779,-4.89948120117185,0,0,2.82724553460483
"FR-Hes",7.06465,48.6741,2001,1,1,5,0.242700195312523,-4.62631835937498,0.000104308128356934,0,2.78489930952637
"FR-Hes",7.06465,48.6741,2001,1,1,6,1.26368103027346,-4.64293518066404,0.000104308128356934,0,3.01148633550733
"FR-Hes",7.06465,48.6741,2001,1,1,7,1.34295043945315,-4.26218261718748,0.113214552300178,0,2.86068860147847
"FR-Hes",7.06465,48.6741,2001,1,1,8,1.90621337890627,-3.9045471191406,0.170817971138604,1.43611111111111,2.86907187888395
"FR-Hes",7.06465,48.6741,2001,1,1,9,2.28640136718752,-3.21869506835935,0.272451341061242,17.7055555555556,2.71761111873193
"FR-Hes",7.06465,48.6741,2001,1,1,10,2.75875244140627,-2.54710998535154,0.415971875099785,60.5088888888889,2.84550047054184
"FR-Hes",7.06465,48.6741,2001,1,1,11,3.54990539550784,-2.49956359863279,0.487865507579954,114.389444444444,3.38714060100288
"FR-Hes",7.06465,48.6741,2001,1,1,12,4.56101379394534,-2.80446472167966,0.493617997790352,192.562222222222,3.74090506277348
"FR-Hes",7.06465,48.6741,2001,1,1,13,4.80231628417971,-3.44481506347654,0.493620336044387,246.798888888889,3.70286548283071
"FR-Hes",7.06465,48.6741,2001,1,1,14,4.90732727050784,-4.06769409179685,0.493615865650554,296.472222222222,3.8087145401431
"FR-Hes",7.06465,48.6741,2001,1,1,15,4.8482604980469,-3.60402526855466,0.493619942858459,345.811111111111,4.02934972189654
