"site","LON","LAT","YEAR","MO","DY","HR","T2M","T2MDEW","PRECTOTCORR","ALLSKY_SFC_SW_DWN","WS10M"
"US-Moz",-92.2,38.7441,2001,1,1,0,-12.1219085693359,-14.9177154541015,0.0847041606562016,1993.93444444444,1.69193490738464
"US-Moz",-92.2,38.7441,2001,1,1,1,-12.706900024414,-15.2528900146484,0.00585801899433136,0,1.76234390607697
"US-Moz",-92.2,38.7441,2001,1,1,2,-13.1771606445312,-15.5994323730469,0.014033168554306,0,1.74255879950908
"US-Moz",-92.2,38.7441,2001,1,1,3,-13.7390045166015,-16.0627655029297,0.0212490558624268,0,1.74029068951132
"US-Moz",-92.2,38.7441,2001,1,1,4,-14.1628936767578,-16.4990905761719,0.0274255871772766,0,1.67824877607086
"US-Moz",-92.2,38.7441,2001,1,1,5,-14.6401123046875,-16.829443359375,0.0322908163070679,0,1.57897869297357
"US-Moz",-92.2,38.7441,2001,1,1,6,-15.3906158447265,-17.4905914306641,0.0358372926712036,0,1.57764015626249
"US-Moz",-92.2,38.7441,2001,1,1,7,-15.3582214355469,-17.3539794921875,0.0410854815413586,0,1.53254539921374
"US-Moz",-92.2,38.7441,2001,1,1,8,-15.6816772460937,-17.6955627441406,0.0462368129774404,0,1.53780486385026
"US-Moz",-92.2,38.7441,2001,1,1,9,-16.4557861328125,-18.4921325683593,0.0505357979818655,0,1.61437181647436
"US-Moz",-92.2,38.7441,2001,1,1,10,-16.7724975585937,-18.8107818603515,0.0537171958967519,0,1.61742265871541
"US-Moz",-92.2,38.7441,2001,1,1,11,-16.8993133544922,-18.9507354736328,0.0578999519120771,0,1.60534467734002
"US-Moz",-92.2,38.7441,2001,1,1,12,-17.0796112060547,-19.1618865966797,0.0629073840627825,0,1.51423615458959
"US-Moz",-92.2,38.7441,2001,1,1,13,-17.3480743408203,-19.4428619384765,0.0673055648690024,0,1.41272081888428
"US-Moz",-92.2,38.7441,2001,1,1,14,-17.3270477294922,-19.4055847167969,0.0711381434825853,7.155,1.24169114354285
