"site","LON","LAT","YEAR","MO","DY","HR","T2M","T2MDEW","PRECTOTCORR","ALLSKY_SFC_SW_DWN","WS10M"
"US-Slt",-74.596,39.9138,2001,1,1,0,-4.57893981933591,-9.78099670410154,0.267899036373365,2503.57777777778,4.23998998979243
"US-Slt",-74.596,39.9138,2001,1,1,1,-5.05065002441404,-9.97554626464841,0,0,4.01959045116788
"US-Slt",-74.596,39.9138,2001,1,1,2,-5.53653564453123,-10.0818542480469,0,0,3.78624886553079
"US-Slt",-74.596,39.9138,2001,1,1,3,-6.02416076660154,-10.1487030029297,0,0,3.61122304003305
"US-Slt",-74.596,39.9138,2001,1,1,4,-6.53984680175779,-10.2588562011719,0,0,3.44030410113609
"US-Slt",-74.596,39.9138,2001,1,1,5,-7.06198730468748,-10.391943359375,0,0,3.29030278944399
"US-Slt",-74.596,39.9138,2001,1,1,6,-7.55077209472654,-10.549185180664,0,0,3.22993376794414
"US-Slt",-74.596,39.9138,2001,1,1,7,-7.07697143554685,-9.64499511718748,0.000405311482154502,0,3.09159279815428
"US-Slt",-74.596,39.9138,2001,1,1,8,-7.41800537109373,-9.8322814941406,0.000907480625755852,0,2.95641878506951
"US-Slt",-74.596,39.9138,2001,1,1,9,-7.87570800781248,-10.2050231933594,0.000907480625755852,0,2.72902778456181
"US-Slt",-74.596,39.9138,2001,1,1,10,-8.39554443359373,-10.6330474853515,0.000907480625755852,0,2.61875990175133
"US-Slt",-74.596,39.9138,2001,1,1,11,-8.85829772949216,-11.0562042236328,0.00133514402023138,0,2.52883117265744
"US-Slt",-74.596,39.9138,2001,1,1,12,-9.33937683105466,-11.5134490966797,0.00176791968442558,0,2.48697385864374
"US-Slt",-74.596,39.9138,2001,1,1,13,-9.50041809082029,-11.6440338134765,0.00177025793846042,18.3477777777778,2.47905422898943
"US-Slt",-74.596,39.9138,2001,1,1,14,-8.21767272949216,-11.1262878417969,0.0017583369640306,167.072777777778,2.24846708944346
"US-Slt",-74.596,39.9138,2001,1,1,15,-6.3822082519531,-10.6450408935547,0.00176241417193523,463.083333333333,2.9370919140108
"US-Slt",-74.596,39.9138,2001,1,1,16,-5.05264892578123,-10.6629241943359,0.00175833690718719,872.818888888889,3.47411968622771
"US-Slt",-74.596,39.9138,2001,1,1,17,-4.07805480957029,-10.3867706298828,0.00177621831198849,1336.77444444444,3.44286972299506
"US-Slt",-74.596,39.9138,2001,1,1,18,-3.29387512207029,-10.0257781982422,0.00176429739440209,1795.06,3.35974707152882
"US-Slt",-74.596,39.9138,2001,1,1,19,-1.12509765624998,-8.58206787109373,0.00176429739440209,2195.98444444444,2.88434059983586
"US-Slt",-74.596,39.9138,2001,1,1,20,-0.902380371093727,-8.19220581054685,0.00176429739440209,2464.19111111111,2.71979938432917
"US-Slt",-74.596,39.9138,2001,1,1,21,-1.43074645996091,-7.02870788574216,0.00176429739440209,2596.39,2.15428407866075
"US-Slt",-74.596,39.9138,2001,1,1,22,-2.58261718749998,-6.3896545410156,0.00176429739440209,2615.89888888889,2.17036680177184
"US-Slt",-74.596,39.9138,2001,1,1,23,-3.27242126464841,-6.46430053710935,0.00176429739440209,2615.89888888889,2.27249432733101
"US-Slt",-74.596,39.9138,2001,1,2,0,-3.85687866210935,-6.82420959472654,0.00176429739440209,2615.89888888889,2.31873417230409
"US-Slt",-74.596,39.9138,2001,1,2,1,-4.58711853027341,-7.32948913574216,0,0,2.31726479219759
"US-Slt",-74.596,39.9138,2001,1,2,2,-5.30113830566404,-7.96126403808591,0,0,2.32459097089833
"US-Slt",-74.596,39.9138,2001,1,2,3,-6.17690124511716,-8.71797790527341,0,0,2.3539836180448
"US-Slt",-74.596,39.9138,2001,1,2,4,-6.88547363281248,-9.43889465332029,0,0,2.40367751652646
"US-Slt",-74.596,39.9138,2001,1,2,5,-7.53285827636716,-10.0946716308594,1.49011611938477e-05,0,2.46369707265915
"US-Slt",-74.596,39.9138,2001,1,2,6,-8.23299255371091,-10.7266296386719,8.19563865661621e-05,0,2.50713620118612
"US-Slt",-74.596,39.9138,2001,1,2,7,-7.81877746582029,-10.4754241943359,8.9406967163086e-05,0,2.38181684766442
"US-Slt",-74.596,39.9138,2001,1,2,8,-8.38756408691404,-10.9715637207031,8.9406967163086e-05,0,2.35132923272475
"US-Slt",-74.596,39.9138,2001,1,2,9,-8.98015441894529,-11.4903167724609,8.9406967163086e-05,0,2.27241268550372
"US-Slt",-74.596,39.9138,2001,1,2,10,-9.58731689453123,-12.0387634277344,8.9406967163086e-05,0,2.21823312561623
"US-Slt",-74.596,39.9138,2001,1,2,11,-10.0974334716797,-12.5009979248047,8.9406967163086e-05,0,2.21290751747399
"US-Slt",-74.596,39.9138,2001,1,2,12,-10.5210479736328,-12.9237884521484,8.9406967163086e-05,0,2.29782986600151
"US-Slt",-74.596,39.9138,2001,1,2,13,-10.7802185058594,-13.2041687011719,8.9406967163086e-05,14.7516666666667,2.38216776118088
"US-Slt",-74.596,39.9138,2001,1,2,14,-9.6558898925781,-12.9240783691406,8.9406967163086e-05,148.791111111111,2.23013676790165
"US-Slt",-74.596,39.9138,2001,1,2,15,-7.96721496582029,-12.5280212402344,8.9406967163086e-05,438.524444444444,3.01540186764499
"US-Slt",-74.596,39.9138,2001,1,2,16,-6.54903259277341,-12.1830963134765,8.9406967163086e-05,860.436666666667,3.78286021318858
"US-Slt",-74.596,39.9138,2001,1,2,17,-5.61211242675779,-12.0134643554687,8.9406967163086e-05,1326.34222222222,4.09006373859822
"US-Slt",-74.596,39.9138,2001,1,2,18,-4.72649230957029,-12.0959991455078,8.9406967163086e-05,1817.69555555556,4.43736400829927
"US-Slt",-74.596,39.9138,2001,1,2,19,-4.19939270019529,-11.1796936035156,0.000149011611938477,2183.31777777778,4.21001831958748
"US-Slt",-74.596,39.9138,2001,1,2,20,-4.39961853027341,-11.1567596435547,0.000149011611938477,2448.75333333333,4.13616493033635
"US-Slt",-74.596,39.9138,2001,1,2,21,-4.89899291992185,-10.7974914550781,0.000149011611938477,2596.77444444444,3.47965904647844
"US-Slt",-74.596,39.9138,2001,1,2,22,-6.22533264160154,-10.7939971923828,0.000149011611938477,2621.64888888889,3.13324968834767
"US-Slt",-74.596,39.9138,2001,1,2,23,-7.35118713378904,-11.2219909667969,0.000149011611938477,2621.64888888889,3.0700642844338
"US-Slt",-74.596,39.9138,2001,1,3,0,-8.21105041503904,-11.6959747314453,0.000149011611938477,2621.64888888889,3.11529452927886
"US-Slt",-74.596,39.9138,2001,1,3,1,-8.82710876464841,-12.1268676757812,0,0,3.11773876314356
"US-Slt",-74.596,39.9138,2001,1,3,2,-9.48354187011716,-12.5722412109375,0,0,2.95496059640922
"US-Slt",-74.596,39.9138,2001,1,3,3,-10.2015441894531,-13.1067413330078,0,0,2.70232841988566
"US-Slt",-74.596,39.9138,2001,1,3,4,-10.9620574951172,-13.7556671142578,0,0,2.56896011857672
"US-Slt",-74.596,39.9138,2001,1,3,5,-11.4867919921875,-14.2299102783203,0,0,2.53379170273313
"US-Slt",-74.596,39.9138,2001,1,3,6,-11.9263366699219,-14.6379150390625,0,0,2.49722196291367
"US-Slt",-74.596,39.9138,2001,1,3,7,-11.410025024414,-14.1549591064453,0,0,2.40942065596254
"US-Slt",-74.596,39.9138,2001,1,3,8,-11.6313842773437,-14.2722991943359,0,0,2.42988806523557
"US-Slt",-74.596,39.9138,2001,1,3,9,-11.7593292236328,-14.2956756591797,0,0,2.4528863747028
"US-Slt",-74.596,39.9138,2001,1,3,10,-11.8166107177734,-14.2833770751953,0,0,2.43068479317634
"US-Slt",-74.596,39.9138,2001,1,3,11,-11.9311737060547,-14.349478149414,0,0,2.37408780562269
"US-Slt",-74.596,39.9138,2001,1,3,12,-12.1451477050781,-14.5083526611328,0,0,2.32776936537616
"US-Slt",-74.596,39.9138,2001,1,3,13,-12.0709899902344,-14.3759674072265,0,17.9833333333333,2.26464293242991
