"site","LON","LAT","YEAR","MO","DY","HR","T2M","T2MDEW","PRECTOTCORR","ALLSKY_SFC_SW_DWN","WS10M"
"US-xSE",-76.56,38.8901,2001,1,1,0,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,1,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,2,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,3,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,4,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,5,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,6,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,7,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,8,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,9,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,10,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,11,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,12,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,13,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,14,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,15,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,16,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,17,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,18,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,19,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,20,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,21,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,22,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,1,23,NA,NA,NA,NA,NA
