ID,koppen,year,doy,hour,lon,lat,ta_f,p_f,rh,sw_in_f,vpd_f,ts_f,swc_f_mds,nee_vut_ref,nee_nt_vut_ref,gpp_nt_vut_ref,lat_lon
JP-Nuf,Cfa,2000,1,0,136.971889,35.152417,6.1,0,64.315,-2.86,3.35797762141273,7.42,NA,2.6292081080000003,2.7067390085,0.077530901,35.152417_136.971889
JP-Nuf,Cfa,2000,1,1,136.971889,35.152417,5.93,0,65.58000000000001,-3.575,3.201265670634217,7.32,NA,2.6292217695,2.679248964,0.050027194500000004,35.152417_136.971889
JP-Nuf,Cfa,2000,1,2,136.971889,35.152417,5.645,0,67.43,-2.86,2.9694189026578193,7.300000000000001,NA,2.582781994,2.6333613235,0.0505793295,35.152417_136.971889
JP-Nuf,Cfa,2000,1,3,136.971889,35.152417,5.645,0,67.67,-2.86,2.9480042296828186,7.475,NA,2.5322698810000004,2.6334062344999998,0.1011363535,35.152417_136.971889
JP-Nuf,Cfa,2000,1,4,136.971889,35.152417,5.29,0,68.18,-2.86,2.830926491863376,7.4399999999999995,NA,2.4749864315,2.5766623475,0.101675916,35.152417_136.971889
JP-Nuf,Cfa,2000,1,5,136.971889,35.152417,4.79,0,71.78,-4.285,2.423994899517638,7.18,NA,2.5304811220000003,2.4975016205,-0.032979502,35.152417_136.971889
JP-Nuf,Cfa,2000,1,6,136.971889,35.152417,4.68,0,73.825,-3.0949999999999998,2.231127942781857,7.12,NA,3.750393678,2.4802269665,-1.2701667110000001,35.152417_136.971889
JP-Nuf,Cfa,2000,1,7,136.971889,35.152417,4.275,0,73.39,51.19,2.2046102430394896,7.1,NA,0.4997394895,2.4169754975,1.917236007,35.152417_136.971889
JP-Nuf,Cfa,2000,1,8,136.971889,35.152417,4.78,0,69.58500000000001,211.43,2.6163213981475204,7.145,NA,-0.9356686345,2.496321892,3.4319905265,35.152417_136.971889
JP-Nuf,Cfa,2000,1,9,136.971889,35.152417,6.95,0,62.474999999999994,350.71,3.7482830599066137,7.42,NA,5.881202357499999,2.845943959,-3.0352583985,35.152417_136.971889
JP-Nuf,Cfa,2000,1,10,136.971889,35.152417,8.965,0,52.61,455.95,5.439845924434007,7.79,NA,-4.4075411925,3.184939011,7.592480203499999,35.152417_136.971889
JP-Nuf,Cfa,2000,1,11,136.971889,35.152417,10.24,0,39.17,514.76,7.586051432357434,8.2,NA,-3.6043904305,3.405383328,7.0097737585,35.152417_136.971889
JP-Nuf,Cfa,2000,1,12,136.971889,35.152417,10.565,0,36.14,544.5250000000001,8.138119592649788,8.57,NA,-2.7993851765,3.462380115,6.2617652915,35.152417_136.971889
JP-Nuf,Cfa,2000,1,13,136.971889,35.152417,10.535,0,36.655,426.19,8.057300373140615,8.64,NA,-2.986249709,3.4571313320000003,6.4433810415,35.152417_136.971889
JP-Nuf,Cfa,2000,1,14,136.971889,35.152417,9.985,0,38.3,296.66499999999996,7.563909336869708,8.325,NA,-1.67537562,3.3608581825000003,5.036233802,35.152417_136.971889
JP-Nuf,Cfa,2000,1,15,136.971889,35.152417,9.335,0,39.57,139.525,7.092543533853314,8.165,NA,0.4646350595,3.248223055,2.7835879955,35.152417_136.971889
JP-Nuf,Cfa,2000,1,16,136.971889,35.152417,8.465,0,42.260000000000005,19.765,6.391053146493801,8.004999999999999,NA,1.3755407505,3.099405106,1.7238643555,35.152417_136.971889
JP-Nuf,Cfa,2000,1,17,136.971889,35.152417,7.515000000000001,0,45.94,-7.14,5.608091299855796,7.765000000000001,NA,3.3498092515,2.9395038639999997,-0.41030538749999995,35.152417_136.971889
JP-Nuf,Cfa,2000,1,18,136.971889,35.152417,6.785,0,47.81,-5.715,5.149052159660556,7.62,NA,2.1091230595,2.8185688095000003,0.7094457504999999,35.152417_136.971889
JP-Nuf,Cfa,2000,1,19,136.971889,35.152417,6.2,0,49.335,-4.285,4.800365754092768,7.5,NA,1.2035946714999999,2.7229608350000003,1.5193661635,35.152417_136.971889
JP-Nuf,Cfa,2000,1,20,136.971889,35.152417,5.67,0,51.785,-5.715,4.405050685693749,7.38,NA,1.2453654935,2.637427544,1.392062051,35.152417_136.971889
JP-Nuf,Cfa,2000,1,21,136.971889,35.152417,5.055,0,55.235,-3.575,3.9173828601841585,7.285,NA,2.8169408495,2.5393367945,-0.27760405450000003,35.152417_136.971889
JP-Nuf,Cfa,2000,1,22,136.971889,35.152417,4.77,0,56.325,-2.86,3.7466498602062126,7.225,NA,2.7114801115000002,2.4943706765,-0.217109435,35.152417_136.971889
JP-Nuf,Cfa,2000,1,23,136.971889,35.152417,4.415,0,57.945,-2.86,3.5193683496336554,7.12,NA,2.1665077415000003,2.438795748,0.272288007,35.152417_136.971889
JP-Nuf,Cfa,2000,2,0,136.971889,35.152417,3.81,0,59.995000000000005,-4.29,3.208734796656289,6.99,NA,2.619498536,2.3452033219999997,-0.274295214,35.152417_136.971889
JP-Nuf,Cfa,2000,2,1,136.971889,35.152417,3.085,0,63.44,-5,2.786750170338891,6.825,NA,3.9730443314999997,2.234894114,-1.7381502185,35.152417_136.971889
JP-Nuf,Cfa,2000,2,2,136.971889,35.152417,2.69,0,64.595,-2.86,2.6224629025671584,6.625,NA,3.214120762,2.17558852,-1.038532242,35.152417_136.971889
JP-Nuf,Cfa,2000,2,3,136.971889,35.152417,2.1149999999999998,0,68.08500000000001,-2.86,2.269707005233791,6.545,NA,2.0688011215,2.090583955,0.021782833499999987,35.152417_136.971889
JP-Nuf,Cfa,2000,2,4,136.971889,35.152417,2.075,0,68.70500000000001,-2.86,2.218525362874657,6.67,NA,2.422209621,2.084660754,-0.337548867,35.152417_136.971889
JP-Nuf,Cfa,2000,2,5,136.971889,35.152417,2.205,0,68.50999999999999,-2.86,2.2533437335332724,6.695,NA,2.791240803,2.1037616915,-0.6874791115,35.152417_136.971889
JP-Nuf,Cfa,2000,2,6,136.971889,35.152417,2.49,0,66.96,-1.9049999999999998,2.4128830121611387,6.654999999999999,NA,3.0678342625,2.1458564985,-0.921977764,35.152417_136.971889
JP-Nuf,Cfa,2000,2,7,136.971889,35.152417,2.8,0,65.08500000000001,20.240000000000002,2.6074080678506544,6.78,NA,-0.9180944394999999,2.1920688784999998,3.1101633179999997,35.152417_136.971889
JP-Nuf,Cfa,2000,2,8,136.971889,35.152417,3.735,0,59.43,66.66499999999999,3.2369890650183937,6.985,NA,1.2996379354999998,2.3336652009999996,1.0340272655000002,35.152417_136.971889
JP-Nuf,Cfa,2000,2,9,136.971889,35.152417,4.45,0,58.47,137.855,3.4837929086843884,7.23,NA,-1.2356631045,2.44430134,3.6799644445,35.152417_136.971889
JP-Nuf,Cfa,2000,2,10,136.971889,35.152417,5.51,0,55.965,180.235,3.980471169909664,7.525,NA,-3.6309671805,2.6119380365,6.2429052175,35.152417_136.971889
JP-Nuf,Cfa,2000,2,11,136.971889,35.152417,6.275,0,53.894999999999996,195,4.391002295639812,7.705,NA,-0.8218671375,2.735172264,3.557039401,35.152417_136.971889
JP-Nuf,Cfa,2000,2,12,136.971889,35.152417,7.355,0,51.445,267.62,4.983533764850845,8.01,NA,-0.773192661,2.91292778,3.6861204405,35.152417_136.971889
JP-Nuf,Cfa,2000,2,13,136.971889,35.152417,8.24,0,50.504999999999995,211.66500000000002,5.393865852670643,8.165,NA,-4.442154332,3.061277754,7.503432086,35.152417_136.971889
JP-Nuf,Cfa,2000,2,14,136.971889,35.152417,9.075,0,50.175,231.665,5.746897011869738,8.2,NA,-1.475961873,3.203625906,4.6795877785,35.152417_136.971889
JP-Nuf,Cfa,2000,2,15,136.971889,35.152417,9.555,0,50.64,77.85499999999999,5.879620942029634,8.335,NA,0.3207092115000001,3.2861863844999997,2.965477173,35.152417_136.971889
JP-Nuf,Cfa,2000,2,16,136.971889,35.152417,9.23,0,51.115,2.14,5.696784298750291,8.23,NA,2.4836617495,3.2301125005,0.746450751,35.152417_136.971889
JP-Nuf,Cfa,2000,2,17,136.971889,35.152417,8.975,0,52.495000000000005,-2.86,5.441027929349556,8.120000000000001,NA,2.404975942,3.186305772,0.78132983,35.152417_136.971889
JP-Nuf,Cfa,2000,2,18,136.971889,35.152417,8.84,9.418225737936e-4,53.89,-2.86,5.233044528777881,8.114999999999998,NA,2.3813604815,3.1631991475000003,0.781838666,35.152417_136.971889
JP-Nuf,Cfa,2000,2,19,136.971889,35.152417,8.55,0.0065927580165608,56.35,-2.86,4.857996905569584,8.05,NA,2.123821672,3.113761715,0.989940043,35.152417_136.971889
JP-Nuf,Cfa,2000,2,20,136.971889,35.152417,8.280000000000001,0.0131855160331234,57.685,-4.29,4.626575211130598,7.92,NA,2.0635252275,3.0680229145,1.0044976865000002,35.152417_136.971889
JP-Nuf,Cfa,2000,2,21,136.971889,35.152417,7.935,0.0197782740496842,60.33,-2.86,4.240762750973625,7.825,NA,2.102964948,3.0099369425,0.9069719945000001,35.152417_136.971889
