ID,koppen,year,doy,hour,lon,lat,ta_f,p_f,rh,sw_in_f,vpd_f,ts_f,swc_f_mds_1,swc_f_mds_2,swc_f_mds_3,swc_f_mds_4,nee_vut_ref,nee_vut_25,nee_vut_75,nee_nt_vut_ref,nee_nt_vut_25,nee_nt_vut_75,gpp_nt_vut_ref,gpp_nt_vut_25,gpp_nt_vut_75,lat_lon
US-xRN,Cfa,2019,1,0,-84.2826,35.9641,13.554,0.25,94.015,0.2,0.9305,12.6815,4.26,3.43,4.994,0.04,2.003065,1.75989,2.003065,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,1,-84.2826,35.9641,12.9775,0.25,93.275,0.0375,1.0035,12.405,4.11,3.37,5.3535,0.04,2.65075,2.65075,2.65075,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,2,-84.2826,35.9641,12.7615,0,91.015,0.175,1.326,12.0165,3.945,3.335,5.672,0.045,1.755,1.755,1.755,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,3,-84.2826,35.9641,12.6195,0,91.605,0.1775,1.227,11.8445,3.825,3.305,5.6195,0.04,1.527,1.527,1.527,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,4,-84.2826,35.9641,12.322,0,92.915,0.1,1.015,11.7035,3.74,3.29,5.481,0.04,-0.1421665,-0.1421665,1.253065,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,5,-84.2826,35.9641,12.179,0,92.895,0.1,1.0085,11.5875,3.665,3.28,5.481,0.04,0.898,0.898,1.5207,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,6,-84.2826,35.9641,12.224,0,91.185,0.01,1.2555,11.4765,3.615,3.265,5.481,0.041,1.12475,-2.331165,1.32125,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,7,-84.2826,35.9641,12.062,0,90.08,0.97,1.3975,11.3055,3.565,3.255,5.481,0.041,1.1025,-6.4325,1.1025,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,8,-84.2826,35.9641,11.477,0,92.47,26.3825,1.0215,11.172,3.525,3.22,5.731,0.0405,-0.8340365,-9.917085,-0.8340365,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,9,-84.2826,35.9641,11.205,0,93.045,89.2625,0.926,11.279,3.49,3.185,5.565,0.04,-15.62525,-15.62525,-15.62525,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,10,-84.2826,35.9641,11.5565,0,89.95,167.9025,1.3715,11.6545,3.4375,3.18,4.851,0.04,-15.29975,-15.29975,-15.29975,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,11,-84.2826,35.9641,12.1715,0,87.655,143.9375,1.752,12.14,3.389,3.165,4.9995,0.04,-14.66085,-14.66085,-14.66085,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,12,-84.2826,35.9641,12.5735,0,83.705,193.8725,2.376,12.5205,3.2485,3.15,4.7585,0.04,-10.0105,-10.0105,-10.0105,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,13,-84.2826,35.9641,13.43,0,77.585,268.37,3.4715,12.9215,3.259,3.125,4.7625,0.04,-4.74575,-4.74575,-4.74575,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,14,-84.2826,35.9641,13.5945,0,76.095,209.7375,3.726,13.2845,3.4095,3.12,4.8235,0.04,-5.83729,-5.83729,-5.7618,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,15,-84.2826,35.9641,13.6395,0,77.92,183.655,3.4515,13.3405,3.326,3.11,4.7655,0.04,-4.339,-4.537665,-4.339,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,16,-84.2826,35.9641,13.67,0,76.42,71.835,3.696,13.259,3.335,3.08,5.1865,0.04,-3.0619,-3.23805,-3.0619,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,17,-84.2826,35.9641,13.048,0,75.52,5.9625,3.674,12.732,3.315,3.07,5.3985,0.041,-2.453125,-2.453125,-2.453125,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,18,-84.2826,35.9641,11.791,0,74.065,0,3.5905,12.009,3.295,3.075,5.481,0.041,0.202585,0.202585,0.202585,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,19,-84.2826,35.9641,10.5965,0,76.8,0,2.969,11.0635,3.4075,3.05,5.481,0.0405,5.392,4.485,5.392,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,20,-84.2826,35.9641,9.5415,0,79.575,0,2.433,10.406,3.394,3.045,6.595,0.04,5.392,4.153,5.392,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,21,-84.2826,35.9641,8.714,0,81.475,0,2.0875,9.8745,3.4205,3.055,6.412,0.04,3.093215,1.344145,3.57425,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
US-xRN,Cfa,2019,1,22,-84.2826,35.9641,8.099,0,83.14,0.1325,1.8225,9.492,3.4135,3.03,6.272,0.04,1.519315,1.519315,1.957285,-9999,-9999,-9999,-9999,-9999,-9999,35.9641_-84.2826
