ID,koppen,year,doy,hour,lon,lat,ta_f,p_f,rh,sw_in_f,vpd_f,ts_f,swc_f_mds,nee_vut_ref,reco_nt_vut_ref,gpp_nt_vut_ref,lat_lon
JP-MBF,Dfb,2003,1,0,142.318611,44.384167,-13.5564456974492,0.0341336035494521,69.56852069089132,0,0.7316335016783314,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,1,142.318611,44.384167,-13.725983586986324,0.0341336035494521,70.73061567164257,0,0.6960806394910912,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,2,142.318611,44.384167,-13.878205255026764,0.0336002659939924,70.50840607142345,0,0.6947150353897583,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,3,142.318611,44.384167,-14.25674591100044,0.0485337175468794,71.73906523051241,0,0.6500369782240419,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,4,142.318611,44.384167,-14.29741889637632,0.051733742879638,73.56186942454153,0,0.6066239816271092,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,5,142.318611,44.384167,-13.509329466865228,0.0522670804351012,74.13523968452857,0,0.6238702452053606,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,6,142.318611,44.384167,-12.827553583287177,0.0469337048804967,74.31854202192338,3.01773382218263,0.6471310631190852,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,7,142.318611,44.384167,-12.659524500692616,0.0432003419922749,73.05512635407821,30.889156973533062,0.6864344096494324,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,8,142.318611,44.384167,-12.174706361229253,0.0397269755232146,70.77724522763195,105.4197646253173,0.7700505688232357,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,9,142.318611,44.384167,-10.38229463047049,0.0361154322938324,67.89306685238246,157.91666989366234,0.9570394712618302,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,10,142.318611,44.384167,-8.803378000183026,0.0334067748717949,60.73633053698845,174.31202999591017,1.3004855759097649,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,11,142.318611,44.384167,-8.635660037705607,0.0401784184268887,56.16939227103444,225.90668705834503,1.4686979047488502,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,12,142.318611,44.384167,-8.844024941677542,0.0365668751975047,57.58609890932995,178.56769857228477,1.400557414617357,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,13,142.318611,44.384167,-9.152625992636,0.031601003257102,60.5553967481458,141.94339157014514,1.275110116729496,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,14,142.318611,44.384167,-9.780088487551549,0.0239264738946635,65.07333107755471,85.14047769676945,1.0810045377512512,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,15,142.318611,44.384167,-10.850326403407514,0.0144461729175322,69.21854624881713,24.709209450270002,0.8875718434143995,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,16,142.318611,44.384167,-12.311643144710816,0.0117375154954947,73.07023487394994,0,0.7018573679156669,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,17,142.318611,44.384167,-12.669178377662707,0.0198634877616073,74.06769222016914,0,0.6616113072022403,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,18,142.318611,44.384167,-13.894506079997782,0.0225721451836448,75.98768966174481,0,0.5649900782784423,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,19,142.318611,44.384167,-13.806108848009654,0.0194120448579349,76.06507879522738,0,0.566329013957179,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,20,142.318611,44.384167,-14.086691133471913,0.0148976158212046,75.18614093347136,0,0.5768005289484047,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,21,142.318611,44.384167,-14.361748591934898,0.0112860725918224,74.81212282360168,0,0.5755915070985939,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,22,142.318611,44.384167,-14.900419224362366,0.0067716435550937,74.31707077885207,0,0.567490397264329,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,1,23,142.318611,44.384167,-14.953694341855215,0.0049658719404009,73.72057077329276,0,0.5787754348959555,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,2,0,142.318611,44.384167,-15.007364089847982,0.0045144290367286,72.71741779420987,0,0.5988175160293878,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,2,1,142.318611,44.384167,-15.403967742294583,0.005417314844075,69.76348233688921,0,0.6479032561419268,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,2,2,142.318611,44.384167,-15.698362095254964,0.0040629861330562,69.36475170818096,0,0.6448427969804739,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,2,3,142.318611,44.384167,-15.606807819267285,0.0121889583991671,69.64141024253766,0,0.642548531494044,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,2,4,142.318611,44.384167,-15.48052605928428,0.0221207022799724,70.12928197364982,0,0.6370852888768258,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,2,5,142.318611,44.384167,-14.587477237904498,0.0361154322938324,71.19766679729254,0,0.650475087564223,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,2,6,142.318611,44.384167,-12.841237275639525,0.0568818058627861,72.08064458968437,3.9846068836119595,0.7028500830320484,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
JP-MBF,Dfb,2003,2,7,142.318611,44.384167,-12.491594652686576,0.0695222071656273,72.6641358170393,28.88355951881587,0.7043469428794141,-9999,-9999,-9999,-9999,-9999,44.384167_142.318611
