ID,koppen,year,doy,hour,lon,lat,ta_f,p_f,rh,sw_in_f,vpd_f,ts_f,swc_f_mds_1,swc_f_mds_2,swc_f_mds_3,swc_f_mds_4,nee_vut_ref,nee_vut_25,nee_vut_75,reco_nt_vut_ref,reco_nt_vut_25,reco_nt_vut_75,gpp_nt_vut_ref,gpp_nt_vut_25,gpp_nt_vut_75,lat_lon
FR-Hes,Cfb,2022,1,0,7.06465,48.6741,9.078,0,-9999,0,5.011,-9999,-9999,-9999,-9999,-9999,,,,3.09819,2.97039,3.19696,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,1,7.06465,48.6741,8.3395,0,-9999,0,4.7275,-9999,-9999,-9999,-9999,-9999,,,,2.978665,2.840115,3.107165,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,2,7.06465,48.6741,7.927,0,-9999,0,4.5395,-9999,-9999,-9999,-9999,-9999,,,,2.912625,2.763245,3.057075,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,3,7.06465,48.6741,7.2635,0,-9999,0,4.222,-9999,-9999,-9999,-9999,-9999,,,,2.80732,2.641385,2.976615,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,4,7.06465,48.6741,6.946,0,-9999,0,4.135,-9999,-9999,-9999,-9999,-9999,,,,2.757385,2.58396,2.93817,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,5,7.06465,48.6741,6.872,0,-9999,0,4.0955,-9999,-9999,-9999,-9999,-9999,,,,2.745795,2.57067,2.92922,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,6,7.06465,48.6741,6.6205,0,-9999,0,4.0165,-9999,-9999,-9999,-9999,-9999,,,,2.70653,2.525735,2.89881,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,7,7.06465,48.6741,6.3395,0,-9999,0,3.9795,-9999,-9999,-9999,-9999,-9999,,,,2.662865,2.475925,2.864855,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,8,7.06465,48.6741,6.2985,0,-9999,0,3.9995,-9999,-9999,-9999,-9999,-9999,,,,2.656515,2.4687,2.859905,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,9,7.06465,48.6741,6.3965,0,-9999,32.1965,4.112,-9999,-9999,-9999,-9999,-9999,,,,2.67174,2.48605,2.871745,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,10,7.06465,48.6741,7.114,0,-9999,134.7165,4.157,-9999,-9999,-9999,-9999,-9999,,,,2.78386,2.61444,2.958525,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,11,7.06465,48.6741,8.327,0,-9999,229.76,4.1345,-9999,-9999,-9999,-9999,-9999,,,,2.976925,2.82718,3.10567,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,12,7.06465,48.6741,10.0315,0,-9999,288.3385,4.723,-9999,-9999,-9999,-9999,-9999,,,,3.254655,3.122085,3.313955,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,13,7.06465,48.6741,11.4905,0,-9999,302.393,5.7375,-9999,-9999,-9999,-9999,-9999,,,,3.498275,3.39323,3.58522,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,14,7.06465,48.6741,12.617,0,-9999,268.951,6.3295,-9999,-9999,-9999,-9999,-9999,,,,3.68953,3.59272,3.88334,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,15,7.06465,48.6741,12.4255,0,-9999,192.7295,5.7595,-9999,-9999,-9999,-9999,-9999,,,,3.65681,3.568665,3.834495,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,16,7.06465,48.6741,11.848,0,-9999,88.4985,5.567,-9999,-9999,-9999,-9999,-9999,,,,3.55862,3.462255,3.68074,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,17,7.06465,48.6741,10.7345,0,-9999,0,4.9225,-9999,-9999,-9999,-9999,-9999,,,,3.371435,3.248695,3.42161,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,18,7.06465,48.6741,9.36,0,-9999,0,4.2305,-9999,-9999,-9999,-9999,-9999,,,,3.144165,3.022725,3.23128,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,19,7.06465,48.6741,8.7415,0,-9999,0,4.174,-9999,-9999,-9999,-9999,-9999,,,,3.043525,2.900565,3.15603,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,20,7.06465,48.6741,8.3505,0,-9999,0,4.1255,-9999,-9999,-9999,-9999,-9999,,,,2.98043,2.84217,3.1085,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,21,7.06465,48.6741,7.95,0,-9999,0,3.9985,-9999,-9999,-9999,-9999,-9999,,,,2.91636,2.767635,3.059875,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,22,7.06465,48.6741,6.881,0,-9999,0,3.7615,-9999,-9999,-9999,-9999,-9999,,,,2.74727,2.57241,2.930315,,,,48.6741_7.06465
FR-Hes,Cfb,2022,1,23,7.06465,48.6741,6.107,0,-9999,0,3.5465,-9999,-9999,-9999,-9999,-9999,,,,2.626955,2.43512,2.8368,,,,48.6741_7.06465
FR-Hes,Cfb,2022,2,0,7.06465,48.6741,5.5755,0,-9999,0,3.38,-9999,-9999,-9999,-9999,-9999,,,,2.54547,2.34296,2.772765,,,,48.6741_7.06465
FR-Hes,Cfb,2022,2,1,7.06465,48.6741,5.0645,0,-9999,0,3.282,-9999,-9999,-9999,-9999,-9999,,,,2.46793,2.255845,2.711335,,,,48.6741_7.06465
FR-Hes,Cfb,2022,2,2,7.06465,48.6741,4.829,0,-9999,0,3.2685,-9999,-9999,-9999,-9999,-9999,,,,2.432525,2.21629,2.683085,,,,48.6741_7.06465
FR-Hes,Cfb,2022,2,3,7.06465,48.6741,4.464,0,-9999,0,3.2285,-9999,-9999,-9999,-9999,-9999,,,,2.37796,2.155565,2.63936,,,,48.6741_7.06465
FR-Hes,Cfb,2022,2,4,7.06465,48.6741,4.3905,0,-9999,0,3.263,-9999,-9999,-9999,-9999,-9999,,,,2.36703,2.143435,2.63057,,,,48.6741_7.06465
FR-Hes,Cfb,2022,2,5,7.06465,48.6741,4.476,0,-9999,0,3.3675,-9999,-9999,-9999,-9999,-9999,,,,2.379745,2.157545,2.640795,,,,48.6741_7.06465
FR-Hes,Cfb,2022,2,6,7.06465,48.6741,4.4465,0,-9999,0,3.36,-9999,-9999,-9999,-9999,-9999,,,,2.37537,2.15269,2.63727,,,,48.6741_7.06465
