site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
BE-Vie,5.998099,50.304962,2001,1,1,1.46,-3.33,-1.53,9.74,1.12,4.98
BE-Vie,5.998099,50.304962,2001,1,2,5.61,1.53,3.33,8.8,3.27,3.69
BE-Vie,5.998099,50.304962,2001,1,3,4.59,0.58,2.2,7.06,2.69,5.08
BE-Vie,5.998099,50.304962,2001,1,4,5.61,0.77,2.28,9.35,1,5.45
BE-Vie,5.998099,50.304962,2001,1,5,8.16,2.99,5.02,10.56,1.16,23.95
BE-Vie,5.998099,50.304962,2001,1,6,8.37,2.75,3.83,6.78,1.91,3.72
BE-Vie,5.998099,50.304962,2001,1,7,3.58,1.89,1.94,5.3,2.24,0.43
BE-Vie,5.998099,50.304962,2001,1,8,3.07,0.14,0.73,4.23,4.25,0.79
BE-Vie,5.998099,50.304962,2001,1,9,2.77,-0.4,0.81,3.59,1.6,0.86
BE-Vie,5.998099,50.304962,2001,1,10,2.39,-1.58,0.1,4.68,0.96,6.02
BE-Vie,5.998099,50.304962,2001,1,11,2.27,-3.74,-0.28,4.74,1.82,2.18
BE-Vie,5.998099,50.304962,2001,1,12,1.18,-4.76,-3.61,5.61,5.41,0
BE-Vie,5.998099,50.304962,2001,1,13,-0.77,-6.33,-5.66,6.37,5.54,0
BE-Vie,5.998099,50.304962,2001,1,14,-0.93,-7.45,-6.72,5.9,5.58,0
BE-Vie,5.998099,50.304962,2001,1,15,-1.5,-8.38,-7.67,5.91,5.51,0.16
BE-Vie,5.998099,50.304962,2001,1,16,-1.44,-8.59,-7.35,3.62,5.29,0
BE-Vie,5.998099,50.304962,2001,1,17,-0.1,-8.65,-5.05,2.86,5.02,0.08
BE-Vie,5.998099,50.304962,2001,1,18,1.33,-3.61,-2.03,4.09,1.89,0.52
BE-Vie,5.998099,50.304962,2001,1,19,1.71,-3.84,-2.56,1.54,3.08,0.2
BE-Vie,5.998099,50.304962,2001,1,20,0.93,-4.42,-2.71,2.23,2.14,0.88
