site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
CA-Cbo,-79.9341,44.3184,2001,1,1,-11.47,-15.14,-13.42,3.97,6.23,0.63
CA-Cbo,-79.9341,44.3184,2001,1,2,-3.58,-16.85,-9.99,4.76,2.92,0.16
CA-Cbo,-79.9341,44.3184,2001,1,3,-4.95,-10.19,-9.38,6.38,2.32,1.51
CA-Cbo,-79.9341,44.3184,2001,1,4,-4.7,-7.09,-7.21,4.64,5.31,0.4
CA-Cbo,-79.9341,44.3184,2001,1,5,0.2,-5.81,-3.58,6.79,3.02,5.36
CA-Cbo,-79.9341,44.3184,2001,1,6,-5.93,-11.02,-9.91,3.65,6.87,0.91
CA-Cbo,-79.9341,44.3184,2001,1,7,-4.94,-12.08,-9.58,2.01,2.29,1.07
CA-Cbo,-79.9341,44.3184,2001,1,8,-9.61,-14.19,-12.07,4.3,6.41,0.52
CA-Cbo,-79.9341,44.3184,2001,1,9,-2,-16.97,-9.75,6.89,2.9,2.63
CA-Cbo,-79.9341,44.3184,2001,1,10,-0.95,-9.02,-5.47,4.89,3.52,0.42
CA-Cbo,-79.9341,44.3184,2001,1,11,0.03,-9.95,-3.93,4.94,6.8,0.09
CA-Cbo,-79.9341,44.3184,2001,1,12,-4.28,-14.37,-9.7,2.52,8.15,0.01
CA-Cbo,-79.9341,44.3184,2001,1,13,0.4,-9.16,-4.57,3.42,1.64,0.1
CA-Cbo,-79.9341,44.3184,2001,1,14,-0.11,-5.49,-3.4,3.39,2.51,0.4
CA-Cbo,-79.9341,44.3184,2001,1,15,0.38,-4.84,-2.5,4.86,2.21,1.98
CA-Cbo,-79.9341,44.3184,2001,1,16,-0.35,-9.13,-5.02,5.18,3.79,1.52
CA-Cbo,-79.9341,44.3184,2001,1,17,-7.76,-11.61,-11.5,2.23,7.4,0.82
CA-Cbo,-79.9341,44.3184,2001,1,18,-1.82,-10.12,-6.82,5,3.27,0.32
CA-Cbo,-79.9341,44.3184,2001,1,19,-3.46,-16.8,-9.64,5.15,6.12,0.14
CA-Cbo,-79.9341,44.3184,2001,1,20,-10.93,-20.08,-16.5,1.85,8.93,0.04
CA-Cbo,-79.9341,44.3184,2001,1,21,-2.94,-14.41,-8.33,4.43,5.4,0.05
CA-Cbo,-79.9341,44.3184,2001,1,22,-3.4,-9.82,-7.64,3.75,3.82,0.08
CA-Cbo,-79.9341,44.3184,2001,1,23,-0.19,-5.21,-4.01,5.22,2.67,0.45
CA-Cbo,-79.9341,44.3184,2001,1,24,-1.44,-6.98,-4.5,4.39,5.24,1.31
CA-Cbo,-79.9341,44.3184,2001,1,25,-6.52,-15.81,-11.01,4.57,8.81,0.3
CA-Cbo,-79.9341,44.3184,2001,1,26,-3.37,-10.68,-7.98,4.94,6.72,0.32
CA-Cbo,-79.9341,44.3184,2001,1,27,-4.23,-8.08,-7.3,4.7,6.14,1.4
CA-Cbo,-79.9341,44.3184,2001,1,28,-2.14,-7.75,-6.73,4.19,5.31,1.15
CA-Cbo,-79.9341,44.3184,2001,1,29,-2.48,-10.63,-7.38,4.13,4.74,0.33
CA-Cbo,-79.9341,44.3184,2001,1,30,-0.11,-3.16,-2.04,3.81,2.94,9.04
CA-Cbo,-79.9341,44.3184,2001,1,31,-1.75,-5.99,-4.56,3.21,5.88,3.81
CA-Cbo,-79.9341,44.3184,2001,2,1,-0.32,-7.41,-5.84,3.78,6.68,0.39
CA-Cbo,-79.9341,44.3184,2001,2,2,-4.8,-13.16,-8.8,6.33,6.91,3.25
CA-Cbo,-79.9341,44.3184,2001,2,3,-8.16,-15.95,-13.34,3.17,7.61,0.28
CA-Cbo,-79.9341,44.3184,2001,2,4,-0.99,-10.67,-5.75,4.52,3.96,1.43
CA-Cbo,-79.9341,44.3184,2001,2,5,0.27,-2.79,-2,3.25,2.63,2.17
CA-Cbo,-79.9341,44.3184,2001,2,6,-0.72,-4.51,-3.92,4.1,4.4,1.27
CA-Cbo,-79.9341,44.3184,2001,2,7,-0.25,-6.81,-5.17,4.87,5.26,0.29
CA-Cbo,-79.9341,44.3184,2001,2,8,-1.12,-6.23,-4.22,5.16,2.89,6.04
CA-Cbo,-79.9341,44.3184,2001,2,9,4.67,-2.05,0.99,9.8,1.59,25.09
CA-Cbo,-79.9341,44.3184,2001,2,10,-0.68,-10.84,-11.06,10.38,6.79,4.42
CA-Cbo,-79.9341,44.3184,2001,2,11,-10.65,-15.38,-15.3,4.35,10.22,1.1
CA-Cbo,-79.9341,44.3184,2001,2,12,-2.75,-15.06,-10.04,4.5,8.65,0.04
CA-Cbo,-79.9341,44.3184,2001,2,13,0.53,-8.09,-5.05,3.01,3.55,0.01
CA-Cbo,-79.9341,44.3184,2001,2,14,0.75,-4.76,-3.31,4.25,4.49,1.62
CA-Cbo,-79.9341,44.3184,2001,2,15,-5.38,-15.28,-11.35,2.69,11.59,0.15
CA-Cbo,-79.9341,44.3184,2001,2,16,-0.95,-11.36,-7.1,4.26,5.35,0.31
CA-Cbo,-79.9341,44.3184,2001,2,17,-6.22,-12.36,-12.49,8.13,9.67,0.75
CA-Cbo,-79.9341,44.3184,2001,2,18,-6.55,-10.29,-10.92,7.56,7.68,0.46
CA-Cbo,-79.9341,44.3184,2001,2,19,0.25,-7.68,-4.76,8.58,4.98,1.27
CA-Cbo,-79.9341,44.3184,2001,2,20,0.59,-6.56,-5.14,6.51,6.52,0.55
CA-Cbo,-79.9341,44.3184,2001,2,21,-7.1,-13.61,-13.98,7.14,11.24,0.74
CA-Cbo,-79.9341,44.3184,2001,2,22,-7.23,-12.86,-11.75,4.17,10.81,0.48
CA-Cbo,-79.9341,44.3184,2001,2,23,-4.74,-13.92,-9.63,7.25,8.18,1.46
CA-Cbo,-79.9341,44.3184,2001,2,24,-4.52,-16.51,-11.35,6.89,6.51,3.3
