site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
CA-Oas,-106.1978,53.6289,2001,1,1,-4.47,-18.31,-11.16,2.57,1.95,1.21
CA-Oas,-106.1978,53.6289,2001,1,2,-5.07,-8.85,-6.96,3.04,3.35,4.46
CA-Oas,-106.1978,53.6289,2001,1,3,-0.85,-7.94,-5.42,2.67,2.42,0.09
CA-Oas,-106.1978,53.6289,2001,1,4,0.56,-5.74,-2.14,5.99,3.46,0.03
CA-Oas,-106.1978,53.6289,2001,1,5,-2.63,-8.2,-7.4,3.04,1.51,4.94
CA-Oas,-106.1978,53.6289,2001,1,6,-1.82,-12.03,-7.56,3.4,2.47,6.62
CA-Oas,-106.1978,53.6289,2001,1,7,-8.67,-16.31,-12.61,2.24,3.25,4.53
CA-Oas,-106.1978,53.6289,2001,1,8,-8.59,-13.61,-12.02,3.59,4.16,0.11
CA-Oas,-106.1978,53.6289,2001,1,9,-2.06,-10.58,-8.38,3.52,3.37,0.03
CA-Oas,-106.1978,53.6289,2001,1,10,-4.14,-14.05,-11.03,2.21,4.23,1.79
CA-Oas,-106.1978,53.6289,2001,1,11,-5.37,-13.34,-10.6,2.43,4,0.17
CA-Oas,-106.1978,53.6289,2001,1,12,-9.89,-19.73,-14.89,2.81,2.72,0.12
CA-Oas,-106.1978,53.6289,2001,1,13,-16.05,-22.18,-19.98,1.48,3.43,0.33
CA-Oas,-106.1978,53.6289,2001,1,14,-13.52,-20.11,-17.47,2.08,2.98,0.14
CA-Oas,-106.1978,53.6289,2001,1,15,-14.04,-19.64,-16.59,2.39,2.81,0.16
CA-Oas,-106.1978,53.6289,2001,1,16,-5.26,-19.3,-14.01,4,3.53,0.07
CA-Oas,-106.1978,53.6289,2001,1,17,-3.77,-15.53,-8.19,5.65,2.96,0.13
CA-Oas,-106.1978,53.6289,2001,1,18,-12.52,-18.85,-16.32,2.27,3.48,0.12
CA-Oas,-106.1978,53.6289,2001,1,19,-9.08,-17.3,-14.33,3.25,4.99,0.07
CA-Oas,-106.1978,53.6289,2001,1,20,-3.16,-12.21,-9.53,3.15,4.4,0.07
CA-Oas,-106.1978,53.6289,2001,1,21,-2.97,-12.65,-8.02,3.01,3.78,0.08
CA-Oas,-106.1978,53.6289,2001,1,22,-2.99,-13.01,-8.75,4.03,5.38,0.02
CA-Oas,-106.1978,53.6289,2001,1,23,-12.6,-21.98,-15.89,2.94,5.72,0.06
CA-Oas,-106.1978,53.6289,2001,1,24,-8.89,-19.94,-15.34,3.89,5.7,0.04
CA-Oas,-106.1978,53.6289,2001,1,25,-6.82,-13.78,-10.82,4.5,5.52,0.06
CA-Oas,-106.1978,53.6289,2001,1,26,-7.86,-17.04,-12.67,3.9,5.79,0.11
CA-Oas,-106.1978,53.6289,2001,1,27,-6.82,-11.73,-9.93,3.27,4.9,0.04
CA-Oas,-106.1978,53.6289,2001,1,28,-2.18,-9.91,-7.35,3.53,3.19,0.03
CA-Oas,-106.1978,53.6289,2001,1,29,-3.99,-9.13,-7.2,2.59,3.04,0.35
CA-Oas,-106.1978,53.6289,2001,1,30,-3.82,-17.03,-8.61,5.04,4.69,0.61
CA-Oas,-106.1978,53.6289,2001,1,31,-17.53,-24.2,-20.2,3.41,6.68,0.36
CA-Oas,-106.1978,53.6289,2001,2,1,-9.65,-24.72,-19.1,4.3,3.4,3.7
CA-Oas,-106.1978,53.6289,2001,2,2,-0.83,-9.14,-5.44,2.73,5.55,0.28
CA-Oas,-106.1978,53.6289,2001,2,3,0.11,-8.24,-5.17,3.41,6.68,0.36
CA-Oas,-106.1978,53.6289,2001,2,4,-1.69,-6.65,-5.35,4.47,6.3,0.07
CA-Oas,-106.1978,53.6289,2001,2,5,-6.46,-14.88,-9.98,3.64,5.27,0.14
CA-Oas,-106.1978,53.6289,2001,2,6,-14.53,-21.68,-17.76,3.17,6.39,0.2
CA-Oas,-106.1978,53.6289,2001,2,7,-19.46,-26.12,-22.98,2.12,7.11,0.24
CA-Oas,-106.1978,53.6289,2001,2,8,-19.19,-30.17,-25.32,2.1,8,0.14
CA-Oas,-106.1978,53.6289,2001,2,9,-22.47,-30.64,-27.49,2.05,7.98,0.08
CA-Oas,-106.1978,53.6289,2001,2,10,-22.77,-35.59,-28.48,2.66,8.46,0.3
CA-Oas,-106.1978,53.6289,2001,2,11,-15.41,-25.02,-20.97,1.41,7.37,0.13
CA-Oas,-106.1978,53.6289,2001,2,12,-14.34,-21.85,-18.85,2.51,6.63,1.81
CA-Oas,-106.1978,53.6289,2001,2,13,-17.64,-24.28,-20.78,2.58,7.6,0.16
CA-Oas,-106.1978,53.6289,2001,2,14,-11.11,-19.67,-16.37,4.89,6.02,3.12
CA-Oas,-106.1978,53.6289,2001,2,15,-17.93,-22.73,-20.07,5.49,8.73,0.3
CA-Oas,-106.1978,53.6289,2001,2,16,-16.78,-25.03,-22.14,3.29,7.36,0.08
CA-Oas,-106.1978,53.6289,2001,2,17,-11.49,-25.84,-20.05,3.96,10.15,0.06
CA-Oas,-106.1978,53.6289,2001,2,18,-11.27,-22.77,-18.09,3.48,8.31,0.11
CA-Oas,-106.1978,53.6289,2001,2,19,-16.47,-23.2,-20.22,5.45,9.93,0.09
CA-Oas,-106.1978,53.6289,2001,2,20,-18.16,-31.51,-24.27,2.82,10.73,0.02
CA-Oas,-106.1978,53.6289,2001,2,21,-12.78,-25.57,-19.32,3.94,9.68,0.07
CA-Oas,-106.1978,53.6289,2001,2,22,-13,-18.82,-16.96,3.11,8.63,0.08
CA-Oas,-106.1978,53.6289,2001,2,23,-10.84,-17.47,-15.54,2.95,7.41,0.89
CA-Oas,-106.1978,53.6289,2001,2,24,-16.02,-19.78,-18.31,3.12,10.61,0.73
CA-Oas,-106.1978,53.6289,2001,2,25,-18.5,-27.73,-23.1,3.49,11.01,0.17
CA-Oas,-106.1978,53.6289,2001,2,26,-17.14,-30.85,-24.2,3.61,12.19,0.04
CA-Oas,-106.1978,53.6289,2001,2,27,-5.23,-26.83,-15.27,3.96,8.92,0.07
CA-Oas,-106.1978,53.6289,2001,2,28,0.18,-6.75,-3.85,3.4,9.46,0.13
CA-Oas,-106.1978,53.6289,2001,3,1,0.48,-8.1,-4.24,4.33,12.28,0.15
CA-Oas,-106.1978,53.6289,2001,3,2,-0.01,-7.95,-4.46,3.44,9.74,0.12
CA-Oas,-106.1978,53.6289,2001,3,3,-2.25,-5.74,-4.46,3.3,8.68,0.65
CA-Oas,-106.1978,53.6289,2001,3,4,-2.5,-9.76,-7.01,1.85,6.11,0.37
CA-Oas,-106.1978,53.6289,2001,3,5,-3.68,-10.37,-7.56,3.09,7.55,1.19
CA-Oas,-106.1978,53.6289,2001,3,6,-0.01,-8.89,-5.22,3.69,12.56,0.13
CA-Oas,-106.1978,53.6289,2001,3,7,0.02,-9.19,-5.51,2.39,13.54,0.05
CA-Oas,-106.1978,53.6289,2001,3,8,0.03,-11.06,-5.69,2.6,12.55,0.09
CA-Oas,-106.1978,53.6289,2001,3,9,-0.58,-12.38,-4.67,5.06,9.44,0.41
CA-Oas,-106.1978,53.6289,2001,3,10,-3.79,-16.34,-10.11,3.11,13.73,0.26
CA-Oas,-106.1978,53.6289,2001,3,11,0.45,-5.88,-2.66,2.82,7.58,0.76
CA-Oas,-106.1978,53.6289,2001,3,12,0.66,-3.08,-1.29,4.73,9.4,2.99
CA-Oas,-106.1978,53.6289,2001,3,13,0.42,-6.45,-3.09,2.8,14.18,0.21
CA-Oas,-106.1978,53.6289,2001,3,14,0.04,-6.6,-4.85,2.3,15.01,0.15
CA-Oas,-106.1978,53.6289,2001,3,15,0.68,-7.3,-4.1,3.05,12.96,0.05
CA-Oas,-106.1978,53.6289,2001,3,16,0.89,-9.39,-4.93,2.48,14.95,0
CA-Oas,-106.1978,53.6289,2001,3,17,0.33,-7.77,-4.28,1.76,13.15,0
CA-Oas,-106.1978,53.6289,2001,3,18,2.46,-7.8,-4.68,2.27,14.49,0
CA-Oas,-106.1978,53.6289,2001,3,19,3.69,-9.16,-3.32,6.18,11.22,1.15
CA-Oas,-106.1978,53.6289,2001,3,20,-6.37,-14.14,-11.83,3.11,13.67,0.32
CA-Oas,-106.1978,53.6289,2001,3,21,-10.57,-17.59,-16.03,2.63,15.27,0.22
CA-Oas,-106.1978,53.6289,2001,3,22,-13.4,-21.72,-18.14,3.72,14.29,0.23
CA-Oas,-106.1978,53.6289,2001,3,23,-15.05,-24.56,-20.95,5.89,16.65,0.05
CA-Oas,-106.1978,53.6289,2001,3,24,-11.02,-22.53,-18.1,3.54,16.18,0.13
CA-Oas,-106.1978,53.6289,2001,3,25,-3.52,-19.04,-13.86,3.6,17.06,0.01
CA-Oas,-106.1978,53.6289,2001,3,26,2.75,-14.46,-8.66,4.99,14.79,0.07
CA-Oas,-106.1978,53.6289,2001,3,27,4.43,-5.47,-3.61,2.71,17.57,0.05
CA-Oas,-106.1978,53.6289,2001,3,28,3.15,-4.38,-2.97,4.38,14.22,1.54
CA-Oas,-106.1978,53.6289,2001,3,29,4.33,-3.11,-3.52,3.94,16.1,0.42
CA-Oas,-106.1978,53.6289,2001,3,30,-0.08,-6.6,-5.36,4.34,13.74,0.24
CA-Oas,-106.1978,53.6289,2001,3,31,0.83,-10.4,-7.65,3.08,19.75,0.04
CA-Oas,-106.1978,53.6289,2001,4,1,2.71,-8.28,-6.13,2.82,17.02,0.02
CA-Oas,-106.1978,53.6289,2001,4,2,2.98,-6.62,-3.66,2.49,12.69,0.16
CA-Oas,-106.1978,53.6289,2001,4,3,2.54,-3.2,-1.72,3.58,11.22,0.33
CA-Oas,-106.1978,53.6289,2001,4,4,2.75,-3.08,-1.68,3.19,4.96,0.93
CA-Oas,-106.1978,53.6289,2001,4,5,6.13,-3.82,-3.04,2.5,17.44,0.05
CA-Oas,-106.1978,53.6289,2001,4,6,6.59,-1.9,-1.45,2.76,10.7,0.67
CA-Oas,-106.1978,53.6289,2001,4,7,8.12,-0.35,0.42,3.54,8.14,2.72
CA-Oas,-106.1978,53.6289,2001,4,8,9.04,-2.96,-2.41,3.56,18.7,0
CA-Oas,-106.1978,53.6289,2001,4,9,6.36,-4.97,-1.69,3.18,13.01,0.17
CA-Oas,-106.1978,53.6289,2001,4,10,5.39,-0.62,0,3.7,8.47,6.58
CA-Oas,-106.1978,53.6289,2001,4,11,2.19,-4.74,-1.87,4.18,7.98,5.34
CA-Oas,-106.1978,53.6289,2001,4,12,4.4,-5.42,-4.84,2.09,9.5,0.21
CA-Oas,-106.1978,53.6289,2001,4,13,5.22,-4.49,-3.06,1.98,7.62,2.9
CA-Oas,-106.1978,53.6289,2001,4,14,0.12,-8.64,-7.66,4.4,10.81,1.54
CA-Oas,-106.1978,53.6289,2001,4,15,0.03,-10.41,-11.65,3.91,18.46,0.03
CA-Oas,-106.1978,53.6289,2001,4,16,5.09,-8.93,-8.84,2.05,20.64,0.01
CA-Oas,-106.1978,53.6289,2001,4,17,7.89,-5.45,-5.41,5.09,18.52,0.05
CA-Oas,-106.1978,53.6289,2001,4,18,15.67,-2.52,-0.43,2.47,22.96,0.03
CA-Oas,-106.1978,53.6289,2001,4,19,14.74,1.97,2.93,3.85,8.22,4.46
CA-Oas,-106.1978,53.6289,2001,4,20,1.5,-7.02,-7.17,6.68,14.33,0.63
CA-Oas,-106.1978,53.6289,2001,4,21,3.86,-6.88,-9.54,2.01,24.12,0.02
CA-Oas,-106.1978,53.6289,2001,4,22,10.06,-5.42,-4.45,2.52,20.76,0.11
CA-Oas,-106.1978,53.6289,2001,4,23,11.99,-2.55,-2.01,1.99,22.16,0.03
CA-Oas,-106.1978,53.6289,2001,4,24,16.74,1.17,2.73,3.85,22.59,0.01
CA-Oas,-106.1978,53.6289,2001,4,25,14.93,2.07,1.37,6.05,24.04,0
CA-Oas,-106.1978,53.6289,2001,4,26,15.44,-1.12,0.79,2.33,23.04,0
CA-Oas,-106.1978,53.6289,2001,4,27,21.9,4.37,5.88,3.83,21.2,0.02
CA-Oas,-106.1978,53.6289,2001,4,28,26.09,7.03,10.61,4.11,20.02,0.02
CA-Oas,-106.1978,53.6289,2001,4,29,15.16,6.02,4.25,4.07,22.1,2.55
CA-Oas,-106.1978,53.6289,2001,4,30,17.06,3.43,1.27,3.72,21.87,0.01
CA-Oas,-106.1978,53.6289,2001,5,1,15.56,3.25,1.41,3.58,21.55,0.12
CA-Oas,-106.1978,53.6289,2001,5,2,10.38,1.58,3.62,2.19,15.9,1.42
CA-Oas,-106.1978,53.6289,2001,5,3,16.75,-0.32,1.78,3.85,22.03,0
CA-Oas,-106.1978,53.6289,2001,5,4,18.91,3.94,3.79,3.73,17.83,0.03
CA-Oas,-106.1978,53.6289,2001,5,5,21.06,7.37,5.64,5.22,18.65,0.16
CA-Oas,-106.1978,53.6289,2001,5,6,12.08,1.85,3.24,4.76,12.14,0.38
CA-Oas,-106.1978,53.6289,2001,5,7,12.5,0,-1.65,6.72,27.59,0.03
CA-Oas,-106.1978,53.6289,2001,5,8,18.9,-1.68,0.53,2.19,23.7,0.03
CA-Oas,-106.1978,53.6289,2001,5,9,12.75,1.85,2.22,2.71,22,6.82
CA-Oas,-106.1978,53.6289,2001,5,10,15.22,0.09,0.87,2.35,22.72,0.69
CA-Oas,-106.1978,53.6289,2001,5,11,17.84,1.93,1.02,2.46,21.7,0.01
CA-Oas,-106.1978,53.6289,2001,5,12,21.57,4.81,3.81,2.11,24.43,0
CA-Oas,-106.1978,53.6289,2001,5,13,25.88,7.93,8.28,4.27,20.1,0.39
CA-Oas,-106.1978,53.6289,2001,5,14,21.57,8.88,6.69,2.35,16.54,0.47
CA-Oas,-106.1978,53.6289,2001,5,15,16.45,7.3,6.58,5.26,15.75,0.78
CA-Oas,-106.1978,53.6289,2001,5,16,16.48,4.86,3.6,4.38,22.39,0.27
CA-Oas,-106.1978,53.6289,2001,5,17,18.69,3.81,2.25,4.86,22.92,0.43
CA-Oas,-106.1978,53.6289,2001,5,18,17.42,5.84,0.23,3.9,25.47,0.55
CA-Oas,-106.1978,53.6289,2001,5,19,14.09,2.11,1.35,4.15,11.89,8.55
CA-Oas,-106.1978,53.6289,2001,5,20,11.53,2.32,1.62,6.9,18.29,6.47
CA-Oas,-106.1978,53.6289,2001,5,21,13.99,-0.51,-0.25,3.79,25.18,0.01
CA-Oas,-106.1978,53.6289,2001,5,22,15.76,-0.2,0.33,3.59,30.16,0
CA-Oas,-106.1978,53.6289,2001,5,23,20.69,2.3,2.13,2.79,28.56,0
CA-Oas,-106.1978,53.6289,2001,5,24,22.49,5.15,3.4,3.94,28.54,0.01
CA-Oas,-106.1978,53.6289,2001,5,25,18.41,7.64,7.2,2.98,11.82,2.61
CA-Oas,-106.1978,53.6289,2001,5,26,16.52,9.27,10.19,2.7,10.84,4.22
CA-Oas,-106.1978,53.6289,2001,5,27,22.3,9.13,9.79,3.5,24.53,0.25
CA-Oas,-106.1978,53.6289,2001,5,28,22.29,11.15,8.85,5.85,24.31,0.04
CA-Oas,-106.1978,53.6289,2001,5,29,23.48,6.92,7.88,6.69,17.69,3.05
CA-Oas,-106.1978,53.6289,2001,5,30,14.52,4.34,4,6.37,14.4,1.77
CA-Oas,-106.1978,53.6289,2001,5,31,14.68,3.91,4.36,5.92,13.07,1.08
CA-Oas,-106.1978,53.6289,2001,6,1,20.04,7.11,7.36,2.54,27.26,0.07
