site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
CA-TPD,-80.5577,42.6353,2001,1,1,-4.86,-10.37,-9.18,4.5,6.83,0.16
CA-TPD,-80.5577,42.6353,2001,1,2,-5.59,-10.62,-9.08,5.63,5.15,0.19
CA-TPD,-80.5577,42.6353,2001,1,3,-4.85,-8.09,-7.69,10.24,5.29,1.76
CA-TPD,-80.5577,42.6353,2001,1,4,-3.31,-5.79,-6.51,6.69,5.95,1.11
CA-TPD,-80.5577,42.6353,2001,1,5,0.67,-3.64,-2,9.8,3.81,7.97
CA-TPD,-80.5577,42.6353,2001,1,6,-2,-8.06,-5.98,4.83,4.29,0.63
CA-TPD,-80.5577,42.6353,2001,1,7,-0.12,-4.8,-3.19,4.62,2.57,0.66
CA-TPD,-80.5577,42.6353,2001,1,8,-2.66,-11.2,-8.84,4.79,6.02,0.36
CA-TPD,-80.5577,42.6353,2001,1,9,-4.32,-14.55,-10.37,8.03,5.56,0.15
CA-TPD,-80.5577,42.6353,2001,1,10,-2.25,-7.66,-5.98,9.33,7.44,0.02
CA-TPD,-80.5577,42.6353,2001,1,11,-0.88,-4.64,-3.84,4.69,4.21,0
CA-TPD,-80.5577,42.6353,2001,1,12,-1.36,-5.02,-4.6,3.26,4.83,0.44
CA-TPD,-80.5577,42.6353,2001,1,13,0.02,-5.08,-3.06,2.44,2.73,0.05
CA-TPD,-80.5577,42.6353,2001,1,14,1.03,-3.4,-1.73,3.27,4.22,0.39
CA-TPD,-80.5577,42.6353,2001,1,15,1.1,-0.1,0.24,6.11,2.29,2.18
CA-TPD,-80.5577,42.6353,2001,1,16,0.23,-1.8,-1.35,7.8,2.74,2.26
CA-TPD,-80.5577,42.6353,2001,1,17,-1.18,-4.11,-4.08,4.34,4.23,1.3
CA-TPD,-80.5577,42.6353,2001,1,18,-1.53,-5.22,-4.57,3.99,6.36,0.47
CA-TPD,-80.5577,42.6353,2001,1,19,-1.48,-11.5,-5.82,4.19,3.82,0.35
CA-TPD,-80.5577,42.6353,2001,1,20,-7.62,-14.07,-12.1,5.37,8.06,0.08
CA-TPD,-80.5577,42.6353,2001,1,21,-5.48,-12.45,-9.59,6.39,5.38,0.04
CA-TPD,-80.5577,42.6353,2001,1,22,-2.27,-7.59,-6.96,4.5,4.38,0.01
CA-TPD,-80.5577,42.6353,2001,1,23,0.34,-5.48,-3.91,6.57,6.51,0.01
CA-TPD,-80.5577,42.6353,2001,1,24,-1.73,-3.61,-4.38,4.59,3.63,0.4
CA-TPD,-80.5577,42.6353,2001,1,25,-4.09,-10.88,-8.63,5.56,6.16,0.75
CA-TPD,-80.5577,42.6353,2001,1,26,-1.87,-7.94,-6.23,5.43,8.09,1.79
CA-TPD,-80.5577,42.6353,2001,1,27,-0.69,-5.01,-4.44,8,5.81,2.49
CA-TPD,-80.5577,42.6353,2001,1,28,-4.17,-8.49,-7.64,6.1,5.62,1.25
CA-TPD,-80.5577,42.6353,2001,1,29,0.68,-6.52,-4.24,3.86,5.61,0.4
CA-TPD,-80.5577,42.6353,2001,1,30,2.24,1.12,0.85,5.36,3.7,9.67
CA-TPD,-80.5577,42.6353,2001,1,31,1.62,-0.47,-0.53,9.44,4.05,2.99
CA-TPD,-80.5577,42.6353,2001,2,1,0.48,-2.82,-2.48,5.27,6.27,0.37
CA-TPD,-80.5577,42.6353,2001,2,2,-1.34,-8.24,-7.53,9.34,7.8,2.05
CA-TPD,-80.5577,42.6353,2001,2,3,-5.57,-10.44,-10.38,4.33,6.71,0.19
CA-TPD,-80.5577,42.6353,2001,2,4,1.71,-6.44,-3.85,4.84,3.65,0.88
CA-TPD,-80.5577,42.6353,2001,2,5,0.45,-1.31,-0.82,4.44,3.19,0.64
CA-TPD,-80.5577,42.6353,2001,2,6,0.2,-3.39,-2.34,5.76,2.51,3.19
CA-TPD,-80.5577,42.6353,2001,2,7,-0.34,-3.71,-4.95,3.68,7.37,0.29
CA-TPD,-80.5577,42.6353,2001,2,8,2.81,-3.97,-1.81,3.53,3.55,1.9
CA-TPD,-80.5577,42.6353,2001,2,9,7.78,1.34,4.05,10.37,4.41,15.19
CA-TPD,-80.5577,42.6353,2001,2,10,0.97,-7.1,-8.71,10.64,8.74,4.01
CA-TPD,-80.5577,42.6353,2001,2,11,-5.89,-9.17,-10.86,4.14,10.98,0.1
CA-TPD,-80.5577,42.6353,2001,2,12,0.55,-7.81,-6.22,4.83,8.96,0.02
CA-TPD,-80.5577,42.6353,2001,2,13,0.27,-4.37,-3.44,2.33,10.6,0.02
CA-TPD,-80.5577,42.6353,2001,2,14,2.3,-1.17,0.1,3.69,3.5,9.32
CA-TPD,-80.5577,42.6353,2001,2,15,-1.52,-4.8,-6.36,3.52,7.21,4.07
CA-TPD,-80.5577,42.6353,2001,2,16,-1.13,-5.37,-4.86,4.05,6.46,0.24
CA-TPD,-80.5577,42.6353,2001,2,17,-3.77,-8.16,-10.43,9.14,9.21,1.84
CA-TPD,-80.5577,42.6353,2001,2,18,-4.2,-10.17,-10.33,7.97,10.57,0.08
CA-TPD,-80.5577,42.6353,2001,2,19,2.62,-6.83,-4.5,9.29,8.63,0.08
CA-TPD,-80.5577,42.6353,2001,2,20,2.06,-3.43,-1.02,5.73,9.49,0.03
CA-TPD,-80.5577,42.6353,2001,2,21,-3.99,-10.05,-12.11,7.15,10.37,0.54
CA-TPD,-80.5577,42.6353,2001,2,22,-5.43,-11.06,-11.22,3.89,8.38,0.89
CA-TPD,-80.5577,42.6353,2001,2,23,-1.81,-6.94,-7,7.61,8.61,1.02
CA-TPD,-80.5577,42.6353,2001,2,24,0.72,-8.1,-6.79,6.4,3.69,4.25
CA-TPD,-80.5577,42.6353,2001,2,25,9.21,0.01,1.72,13.64,8.75,4.87
CA-TPD,-80.5577,42.6353,2001,2,26,0.11,-2.8,-4.27,7.64,10.67,1.55
CA-TPD,-80.5577,42.6353,2001,2,27,-0.58,-5.65,-5.94,6.02,12.77,0.08
CA-TPD,-80.5577,42.6353,2001,2,28,-3.96,-6.84,-9.71,5.16,13.66,0.06
CA-TPD,-80.5577,42.6353,2001,3,1,-1.67,-6.27,-6.28,5.42,6.14,0.15
CA-TPD,-80.5577,42.6353,2001,3,2,1.88,-2.53,-1.22,5.86,5.18,0.14
CA-TPD,-80.5577,42.6353,2001,3,3,0.97,-2.93,-3.74,2.92,8.66,0.06
CA-TPD,-80.5577,42.6353,2001,3,4,0.73,-3.97,-2.72,5.8,5.54,0.91
CA-TPD,-80.5577,42.6353,2001,3,5,-0.89,-5.93,-6.66,6.68,9.73,2.53
CA-TPD,-80.5577,42.6353,2001,3,6,0.12,-5.83,-4.64,9.57,6.34,3.1
CA-TPD,-80.5577,42.6353,2001,3,7,0.55,-4.47,-4,5.7,11.32,0.27
CA-TPD,-80.5577,42.6353,2001,3,8,0.72,-2.84,-3.1,6.38,8.87,0.5
CA-TPD,-80.5577,42.6353,2001,3,9,0.54,-2.82,-3.11,5.64,10.17,1.69
CA-TPD,-80.5577,42.6353,2001,3,10,0.14,-4.2,-4.77,4.95,11.34,0.43
CA-TPD,-80.5577,42.6353,2001,3,11,1.44,-4.43,-3.6,7.76,8.61,6.02
CA-TPD,-80.5577,42.6353,2001,3,12,3.05,-6.32,-3.84,6.68,13.63,3.12
CA-TPD,-80.5577,42.6353,2001,3,13,2.96,0.94,1.02,7.94,6.32,6.37
CA-TPD,-80.5577,42.6353,2001,3,14,3.5,-0.51,-1.23,8.47,13.28,4.41
CA-TPD,-80.5577,42.6353,2001,3,15,6.08,0.26,0.06,3.01,13.11,0.53
CA-TPD,-80.5577,42.6353,2001,3,16,0.82,-1.2,-2.28,11.28,2.94,4.14
