site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
CZ-Lnz,16.946331,48.68155,2001,1,1,-0.63,-10.33,-6.7,4.73,4.02,0
CZ-Lnz,16.946331,48.68155,2001,1,2,-1.07,-5.92,-4.44,5.56,2.42,0.29
CZ-Lnz,16.946331,48.68155,2001,1,3,0.36,-4.05,-2.33,2.31,1.26,2.66
CZ-Lnz,16.946331,48.68155,2001,1,4,1.19,-5.1,-1.68,4.42,2.67,0.4
CZ-Lnz,16.946331,48.68155,2001,1,5,1.66,-1.36,0.24,4.73,2.78,0.39
CZ-Lnz,16.946331,48.68155,2001,1,6,4.06,0.68,1.7,2.49,2.71,0.18
CZ-Lnz,16.946331,48.68155,2001,1,7,3.67,1,1.89,2.08,1.85,1.59
CZ-Lnz,16.946331,48.68155,2001,1,8,1.88,0.05,0.77,3.74,0.88,11.19
CZ-Lnz,16.946331,48.68155,2001,1,9,2.13,-4.34,-1.06,6.46,3.16,1.53
CZ-Lnz,16.946331,48.68155,2001,1,10,1.86,-4.84,-2.53,1.94,4.06,0.07
CZ-Lnz,16.946331,48.68155,2001,1,11,1.72,-4.45,-2.32,2.49,2.67,2.09
CZ-Lnz,16.946331,48.68155,2001,1,12,0.3,-9.55,-7.24,4.25,5.28,0
CZ-Lnz,16.946331,48.68155,2001,1,13,-0.81,-10.57,-8.14,4.06,6.04,0.01
CZ-Lnz,16.946331,48.68155,2001,1,14,-0.08,-9.88,-8.3,2.41,6.26,0
CZ-Lnz,16.946331,48.68155,2001,1,15,-0.96,-9.3,-8.44,2.13,6.34,0
CZ-Lnz,16.946331,48.68155,2001,1,16,-1.48,-9.87,-7.59,3.47,5.38,0.06
CZ-Lnz,16.946331,48.68155,2001,1,17,-0.76,-5.6,-4.73,5.32,2.21,0.21
CZ-Lnz,16.946331,48.68155,2001,1,18,1.01,-4.71,-4.01,5.9,3.42,0.06
CZ-Lnz,16.946331,48.68155,2001,1,19,1.47,-5.83,-3.93,5.71,4.4,0.02
CZ-Lnz,16.946331,48.68155,2001,1,20,-0.1,-4.9,-4.15,4.55,2.63,0.07
CZ-Lnz,16.946331,48.68155,2001,1,21,0.3,-4.72,-4.55,3.24,2.54,0.24
CZ-Lnz,16.946331,48.68155,2001,1,22,-0.82,-6.07,-4.56,6.76,2.6,0.78
CZ-Lnz,16.946331,48.68155,2001,1,23,-1.81,-3.67,-3.57,6.91,1.11,2.31
CZ-Lnz,16.946331,48.68155,2001,1,24,1.09,-3.65,-1.82,8.82,1.05,2.95
