site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
DE-Hai,10.4522,51.0792,2001,1,1,0.25,-6.77,-4.7,6.05,1.91,1.78
DE-Hai,10.4522,51.0792,2001,1,2,1.58,-0.3,0.34,5.82,1.94,1.87
DE-Hai,10.4522,51.0792,2001,1,3,2.63,-0.36,0.95,5.2,2.14,0.99
DE-Hai,10.4522,51.0792,2001,1,4,2.84,-0.71,0.23,5.69,2.73,0.79
DE-Hai,10.4522,51.0792,2001,1,5,5.59,1.38,1.98,7.87,1.21,11.47
DE-Hai,10.4522,51.0792,2001,1,6,6.89,1.89,3.8,6.49,1.83,4.48
DE-Hai,10.4522,51.0792,2001,1,7,4.49,0.98,2.35,3.63,2.68,0.38
DE-Hai,10.4522,51.0792,2001,1,8,3.77,-2.97,-0.27,2.99,4.02,0.08
DE-Hai,10.4522,51.0792,2001,1,9,2.44,-1.62,-0.61,3.91,2.77,0.3
DE-Hai,10.4522,51.0792,2001,1,10,0.78,-1.99,-1.55,2.4,2.64,3.67
DE-Hai,10.4522,51.0792,2001,1,11,0.84,-5.37,-2.93,3.08,3.51,1.63
DE-Hai,10.4522,51.0792,2001,1,12,1.14,-5.36,-3.85,2.44,3.03,0.05
DE-Hai,10.4522,51.0792,2001,1,13,-1.96,-8.16,-7.03,3.55,3.84,0.05
DE-Hai,10.4522,51.0792,2001,1,14,-1.27,-8.16,-7.29,3.28,2.8,0.02
DE-Hai,10.4522,51.0792,2001,1,15,-0.83,-8.98,-7.96,4.18,3.24,0
DE-Hai,10.4522,51.0792,2001,1,16,-1.76,-10.34,-9.26,2.78,4.34,0
DE-Hai,10.4522,51.0792,2001,1,17,-1.53,-10.28,-7.87,3.24,3.65,0.01
DE-Hai,10.4522,51.0792,2001,1,18,-2.11,-8.38,-7.01,2.62,2.63,0.21
