site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
DE-HoH,11.22235,52.08656,2001,1,1,1.01,-7.36,-4.36,6.83,2.85,5.07
DE-HoH,11.22235,52.08656,2001,1,2,2.63,0.33,0.82,5.95,2.95,0.36
DE-HoH,11.22235,52.08656,2001,1,3,4.1,-1.69,1.05,5.39,2.74,0.3
DE-HoH,11.22235,52.08656,2001,1,4,3.36,-1.64,0.36,5.64,3.14,0.42
DE-HoH,11.22235,52.08656,2001,1,5,6.13,0.81,2.07,7.36,1.02,7.2
DE-HoH,11.22235,52.08656,2001,1,6,7.52,1.43,4.06,6.38,2.18,2.23
DE-HoH,11.22235,52.08656,2001,1,7,6.23,0.26,2.07,4.09,3.76,0.03
DE-HoH,11.22235,52.08656,2001,1,8,4.63,-1.72,0.25,3.61,3.48,0.04
DE-HoH,11.22235,52.08656,2001,1,9,4.37,-0.56,1.03,4.84,1.96,0.22
DE-HoH,11.22235,52.08656,2001,1,10,2.2,-2.04,-0.86,2.44,1.84,0.36
DE-HoH,11.22235,52.08656,2001,1,11,1.34,-4.11,-3.68,2.75,4.3,0.22
DE-HoH,11.22235,52.08656,2001,1,12,0.96,-3.22,-2.46,2.05,2.16,0.19
DE-HoH,11.22235,52.08656,2001,1,13,0.39,-4.9,-4.58,1,2.62,0.03
DE-HoH,11.22235,52.08656,2001,1,14,0.11,-5.99,-4.74,2.11,1.87,0.08
DE-HoH,11.22235,52.08656,2001,1,15,0.27,-6.48,-5.25,4.04,1.82,0.08
DE-HoH,11.22235,52.08656,2001,1,16,-0.82,-8,-7.33,3.6,3.91,0.01
DE-HoH,11.22235,52.08656,2001,1,17,-0.95,-8.71,-7.4,3.89,3.74,0
DE-HoH,11.22235,52.08656,2001,1,18,-0.16,-7.22,-6.03,3.14,3.04,0.03
DE-HoH,11.22235,52.08656,2001,1,19,0.22,-6.47,-5.45,2.21,2.36,0.02
DE-HoH,11.22235,52.08656,2001,1,20,1.46,-6.76,-4.48,2.33,1.52,0.08
