site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
DE-Lnf,10.3678,51.3282,2001,1,1,0.27,-7.46,-4.6,5.65,1.91,4.11
DE-Lnf,10.3678,51.3282,2001,1,2,1.14,0.15,0.44,5.61,1.94,0.62
DE-Lnf,10.3678,51.3282,2001,1,3,2.14,-0.36,0.85,5.02,2.14,0.7
DE-Lnf,10.3678,51.3282,2001,1,4,2.47,-0.78,0.12,5.38,2.73,0.58
DE-Lnf,10.3678,51.3282,2001,1,5,5.12,1.4,1.95,7.19,1.21,11.63
DE-Lnf,10.3678,51.3282,2001,1,6,6.12,1.17,3.51,5.99,1.83,3.93
DE-Lnf,10.3678,51.3282,2001,1,7,4.1,0.73,1.91,3.69,2.68,0.17
DE-Lnf,10.3678,51.3282,2001,1,8,3.23,-2.77,-0.26,3.22,4.02,0.1
DE-Lnf,10.3678,51.3282,2001,1,9,2.34,-0.84,-0.03,4.04,2.77,0.5
DE-Lnf,10.3678,51.3282,2001,1,10,0.85,-1.98,-1.41,2.32,2.64,2.84
DE-Lnf,10.3678,51.3282,2001,1,11,0.7,-5.23,-3.5,2.77,3.51,0.74
DE-Lnf,10.3678,51.3282,2001,1,12,1.07,-4.81,-3.49,2.12,3.03,0.06
DE-Lnf,10.3678,51.3282,2001,1,13,-1.6,-7.8,-6.61,2.67,3.84,0.04
DE-Lnf,10.3678,51.3282,2001,1,14,-1.55,-7.51,-6.41,2.81,2.8,0.03
DE-Lnf,10.3678,51.3282,2001,1,15,-1.49,-7.74,-6.75,4.33,3.24,0.05
DE-Lnf,10.3678,51.3282,2001,1,16,-1.82,-9.77,-8.68,3.16,4.34,0
DE-Lnf,10.3678,51.3282,2001,1,17,-2.19,-9.78,-7.66,3.08,3.65,0.01
DE-Lnf,10.3678,51.3282,2001,1,18,-2.07,-8.19,-6.57,2.47,2.63,0.18
DE-Lnf,10.3678,51.3282,2001,1,19,-1.66,-8.6,-6.57,1.95,3.67,0.05
DE-Lnf,10.3678,51.3282,2001,1,20,-0.65,-7.44,-5.15,1.93,2.13,0.49
DE-Lnf,10.3678,51.3282,2001,1,21,0.16,-6.75,-4.38,2.28,1.89,1.84
DE-Lnf,10.3678,51.3282,2001,1,22,0.17,-4.97,-2.42,4.5,1.97,7.23
DE-Lnf,10.3678,51.3282,2001,1,23,1.79,-1.24,0.21,5.42,1.57,3.57
DE-Lnf,10.3678,51.3282,2001,1,24,4,1.34,2.02,6.32,0.68,4.95
DE-Lnf,10.3678,51.3282,2001,1,25,4.07,-0.24,0.92,4.03,4.91,3.02
DE-Lnf,10.3678,51.3282,2001,1,26,4.09,-0.76,0.68,4.59,4.7,0.71
DE-Lnf,10.3678,51.3282,2001,1,27,2.22,-1.52,-0.78,5.87,1.59,5.46
DE-Lnf,10.3678,51.3282,2001,1,28,2.14,-1.2,-0.75,5.62,3.55,1.9
DE-Lnf,10.3678,51.3282,2001,1,29,1.82,-2.27,-1.68,2.02,2.22,0.6
DE-Lnf,10.3678,51.3282,2001,1,30,1.84,-3.27,-2.05,1.5,3.72,0.65
DE-Lnf,10.3678,51.3282,2001,1,31,1.47,-2.74,-2.53,2.09,2.96,0.49
DE-Lnf,10.3678,51.3282,2001,2,1,-0.05,-4.49,-3.04,3.34,2.71,1.87
DE-Lnf,10.3678,51.3282,2001,2,2,-2.15,-6.87,-5.87,2.44,2.35,1.77
DE-Lnf,10.3678,51.3282,2001,2,3,-3.87,-5.92,-5.62,3.61,2.46,7.73
DE-Lnf,10.3678,51.3282,2001,2,4,0.68,-3.88,-2.32,1.98,1.4,9.8
DE-Lnf,10.3678,51.3282,2001,2,5,3.93,0.69,1.96,7.33,2.81,3.32
DE-Lnf,10.3678,51.3282,2001,2,6,8.29,3.78,5.01,6.94,3.3,2.64
DE-Lnf,10.3678,51.3282,2001,2,7,10.98,4.52,6.32,4.8,3.05,2.56
DE-Lnf,10.3678,51.3282,2001,2,8,9.73,2.85,4.15,5.03,6.27,0.34
DE-Lnf,10.3678,51.3282,2001,2,9,4.2,-3.88,0.8,3.88,2.82,0.82
DE-Lnf,10.3678,51.3282,2001,2,10,3.22,-3.74,-3.93,1.82,7.77,0
DE-Lnf,10.3678,51.3282,2001,2,11,5.5,-1.13,0.5,6.55,4.62,0.02
DE-Lnf,10.3678,51.3282,2001,2,12,5.73,2.37,3.15,5.41,4.06,0.67
DE-Lnf,10.3678,51.3282,2001,2,13,4.38,-0.4,1.78,3.47,5.94,1.15
DE-Lnf,10.3678,51.3282,2001,2,14,6.44,-1.22,-0.21,1.2,6.18,0.08
DE-Lnf,10.3678,51.3282,2001,2,15,9.45,-1.68,-1.03,1.43,8.83,0
DE-Lnf,10.3678,51.3282,2001,2,16,10.85,-1.15,0.16,2.21,9.14,0.01
DE-Lnf,10.3678,51.3282,2001,2,17,3.66,-4.54,-1.44,4.07,3.01,1.18
DE-Lnf,10.3678,51.3282,2001,2,18,3.11,-4.41,-0.61,5.16,4.57,0.43
DE-Lnf,10.3678,51.3282,2001,2,19,3.6,0.07,0.52,5.57,3.67,1.25
DE-Lnf,10.3678,51.3282,2001,2,20,4.59,0.84,1.09,7.09,5.63,1.34
DE-Lnf,10.3678,51.3282,2001,2,21,4.01,0.8,1.09,8.48,2.93,1.79
DE-Lnf,10.3678,51.3282,2001,2,22,3,-0.26,-0.13,9.27,5.13,6.06
DE-Lnf,10.3678,51.3282,2001,2,23,-0.05,-6.6,-4.06,5.66,5.23,3.84
DE-Lnf,10.3678,51.3282,2001,2,24,-2.59,-8.03,-8.87,2.32,7.31,0.06
DE-Lnf,10.3678,51.3282,2001,2,25,-0.11,-6.23,-5.5,4.07,6.19,1.34
DE-Lnf,10.3678,51.3282,2001,2,26,0.72,-5.64,-4.33,3.92,5.29,1.33
DE-Lnf,10.3678,51.3282,2001,2,27,1.45,-7.28,-5.68,4.28,10.44,0.02
DE-Lnf,10.3678,51.3282,2001,2,28,3.45,-6.44,-4.88,3.11,8.02,0
DE-Lnf,10.3678,51.3282,2001,3,1,2.79,-5.27,-3.19,3.5,7.24,0.4
DE-Lnf,10.3678,51.3282,2001,3,2,1.84,-2.29,-2.17,3.14,6.08,1.18
DE-Lnf,10.3678,51.3282,2001,3,3,3,-3.48,-3.2,2.98,7.13,0.06
DE-Lnf,10.3678,51.3282,2001,3,4,1.4,-2.53,-2.17,3.47,2.99,5.16
DE-Lnf,10.3678,51.3282,2001,3,5,1.79,-4.95,-3.04,2.94,3.99,1.76
DE-Lnf,10.3678,51.3282,2001,3,6,2.84,-6.01,-4.14,3.67,10.89,0.02
DE-Lnf,10.3678,51.3282,2001,3,7,2.45,-6.46,-2.13,4.06,7.2,1.07
DE-Lnf,10.3678,51.3282,2001,3,8,7.68,1.08,3.39,2.98,10.34,0.73
DE-Lnf,10.3678,51.3282,2001,3,9,9.88,2.53,4.51,4.59,8.62,0.73
DE-Lnf,10.3678,51.3282,2001,3,10,10.5,4.18,5.38,5.05,6.41,1.35
DE-Lnf,10.3678,51.3282,2001,3,11,12.26,5.91,6.84,4.86,7,2.62
DE-Lnf,10.3678,51.3282,2001,3,12,11.91,4.52,7.05,4.15,4.6,5.28
DE-Lnf,10.3678,51.3282,2001,3,13,7.16,2.29,2.64,5.79,10.34,5.99
DE-Lnf,10.3678,51.3282,2001,3,14,5.66,0.51,0.76,7.26,7.79,2.08
DE-Lnf,10.3678,51.3282,2001,3,15,6.81,-0.56,0.07,2.64,8.15,0.83
DE-Lnf,10.3678,51.3282,2001,3,16,9.26,1.25,3.33,2.75,6.36,1.3
DE-Lnf,10.3678,51.3282,2001,3,17,2.07,-0.84,0.57,4.58,3.22,5.57
DE-Lnf,10.3678,51.3282,2001,3,18,8.63,-0.93,2.51,3.22,4.81,8.87
DE-Lnf,10.3678,51.3282,2001,3,19,5.33,-3.31,-0.84,9.28,4.74,4.19
DE-Lnf,10.3678,51.3282,2001,3,20,1.71,-5.08,-5.46,3.65,14.35,0.13
DE-Lnf,10.3678,51.3282,2001,3,21,-0.2,-4.81,-4.37,4.74,5.67,8.29
DE-Lnf,10.3678,51.3282,2001,3,22,5.68,-1.58,1.35,2.74,6.52,2.13
DE-Lnf,10.3678,51.3282,2001,3,23,3.98,0.1,1.63,3.31,3.56,11.25
DE-Lnf,10.3678,51.3282,2001,3,24,7.42,1.09,4.41,4.34,5.63,3.37
DE-Lnf,10.3678,51.3282,2001,3,25,0.76,-2.49,-1.46,5.49,3.42,21.79
DE-Lnf,10.3678,51.3282,2001,3,26,-0.51,-10.21,-4.61,4.14,4.67,1.38
DE-Lnf,10.3678,51.3282,2001,3,27,-0.91,-12.07,-7.44,4.23,8.79,0.09
DE-Lnf,10.3678,51.3282,2001,3,28,2.1,-8.51,-3.19,5.03,10.08,1.35
DE-Lnf,10.3678,51.3282,2001,3,29,8.51,0.52,2.69,4.95,9.8,3.91
DE-Lnf,10.3678,51.3282,2001,3,30,9.64,1.25,3.19,1.88,10.47,1.76
DE-Lnf,10.3678,51.3282,2001,3,31,10.74,0.85,3.1,3.37,15.35,0.63
DE-Lnf,10.3678,51.3282,2001,4,1,13.69,2.03,5.98,2.85,11.58,0.03
DE-Lnf,10.3678,51.3282,2001,4,2,16.64,3.52,6.19,3.18,16.92,0
DE-Lnf,10.3678,51.3282,2001,4,3,13.52,4.15,6.45,4.42,6.69,1.5
DE-Lnf,10.3678,51.3282,2001,4,4,14.37,3.37,6.3,5.57,11.15,3.99
DE-Lnf,10.3678,51.3282,2001,4,5,9.32,1.6,1.92,5.52,14.23,0.26
