site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
DK-Sor,11.644645,55.48587,2001,1,1,0.87,-3.23,-1.4,7.56,0.77,5.16
DK-Sor,11.644645,55.48587,2001,1,2,2.53,0.68,1.41,5.34,0.78,3.49
DK-Sor,11.644645,55.48587,2001,1,3,3.13,0.88,1.92,6.16,1.28,2
DK-Sor,11.644645,55.48587,2001,1,4,2.88,-0.09,1.24,6.86,1.01,1.12
DK-Sor,11.644645,55.48587,2001,1,5,4.05,1.79,2.44,7.53,1.27,7.89
DK-Sor,11.644645,55.48587,2001,1,6,4.65,2.97,3.23,7.1,1.14,1.77
DK-Sor,11.644645,55.48587,2001,1,7,4.11,2.32,2.77,7.56,0.97,0.61
DK-Sor,11.644645,55.48587,2001,1,8,3.89,2.67,2.43,7.43,0.96,0.49
DK-Sor,11.644645,55.48587,2001,1,9,4.54,1.9,2.77,6.17,1.89,0.75
DK-Sor,11.644645,55.48587,2001,1,10,2.63,-1.68,-1.52,4.16,3.06,0.06
DK-Sor,11.644645,55.48587,2001,1,11,2.46,-1.8,-0.2,5.74,2.88,0.04
DK-Sor,11.644645,55.48587,2001,1,12,2.85,-0.44,-0.6,2.59,2.76,0.04
DK-Sor,11.644645,55.48587,2001,1,13,2.29,0,0.52,3.68,2.7,0.32
DK-Sor,11.644645,55.48587,2001,1,14,1.52,-1.51,-0.75,2.31,1.29,0.21
DK-Sor,11.644645,55.48587,2001,1,15,-0.94,-2.83,-2.76,2.45,1.06,0.37
DK-Sor,11.644645,55.48587,2001,1,16,-1.17,-3.39,-3.77,1.47,0.81,0.37
DK-Sor,11.644645,55.48587,2001,1,17,1.48,-2.39,-2.37,4.52,2.58,0.1
DK-Sor,11.644645,55.48587,2001,1,18,0.53,-1.96,-2.37,5.53,1.68,0.11
DK-Sor,11.644645,55.48587,2001,1,19,0.98,-1.73,-1.49,3.89,1.16,1.13
DK-Sor,11.644645,55.48587,2001,1,20,1.01,-1.58,-1.56,2.67,1.38,0.32
DK-Sor,11.644645,55.48587,2001,1,21,1.8,-2.13,-1.27,5.12,1.69,0.21
DK-Sor,11.644645,55.48587,2001,1,22,0.84,-0.37,-1.31,8.31,1.54,0.41
