site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
FR-Fon,2.7801,48.4764,2001,1,1,7.18,0.39,3.22,7.55,0.87,8.63
FR-Fon,2.7801,48.4764,2001,1,2,10.79,6,6.8,9.25,4.29,5.02
FR-Fon,2.7801,48.4764,2001,1,3,8.67,4.61,5,7.62,5.02,2.87
FR-Fon,2.7801,48.4764,2001,1,4,10.13,6.08,6.44,9.45,3.32,4.6
FR-Fon,2.7801,48.4764,2001,1,5,12.68,8.27,8.52,12.1,1.32,11.15
FR-Fon,2.7801,48.4764,2001,1,6,9.15,4.75,4.97,4.97,2.43,0.29
FR-Fon,2.7801,48.4764,2001,1,7,7.34,2.24,3.41,3,2.57,0.38
FR-Fon,2.7801,48.4764,2001,1,8,3.76,1.4,1.88,3.1,3.54,0.23
FR-Fon,2.7801,48.4764,2001,1,9,4.48,0.44,0.63,4.17,3,0.15
FR-Fon,2.7801,48.4764,2001,1,10,9.92,0.53,5.05,6.24,3.44,2.24
FR-Fon,2.7801,48.4764,2001,1,11,9.4,5.03,6.89,4.81,1.73,1.59
FR-Fon,2.7801,48.4764,2001,1,12,6.26,-2.37,1.39,7.14,2.12,0.33
FR-Fon,2.7801,48.4764,2001,1,13,2.55,-4.44,-4.36,6.41,6.4,0
FR-Fon,2.7801,48.4764,2001,1,14,2.58,-4.47,-5.02,6.59,6.51,0
FR-Fon,2.7801,48.4764,2001,1,15,2.32,-4.29,-3.07,4.06,2.56,0.13
FR-Fon,2.7801,48.4764,2001,1,16,4.69,-1.8,-0.43,3.09,4.14,0.04
FR-Fon,2.7801,48.4764,2001,1,17,2.17,-1.75,-0.42,1.82,3.54,0.89
FR-Fon,2.7801,48.4764,2001,1,18,3.85,0.08,1.29,1.79,2.74,0.77
FR-Fon,2.7801,48.4764,2001,1,19,3.31,-1.62,-0.2,1.88,2.05,0.4
FR-Fon,2.7801,48.4764,2001,1,20,2.32,-2.4,-0.88,1.6,3.47,0.73
FR-Fon,2.7801,48.4764,2001,1,21,6.9,-1.56,1.58,6.72,2.28,7.89
FR-Fon,2.7801,48.4764,2001,1,22,8.38,4.41,5.38,7.33,3.98,3.86
FR-Fon,2.7801,48.4764,2001,1,23,10.35,5.75,7.24,9.09,2.62,4.24
FR-Fon,2.7801,48.4764,2001,1,24,11.51,5.48,6.94,8.15,3.64,2.94
FR-Fon,2.7801,48.4764,2001,1,25,7.79,4,4.96,5.84,3.76,3.77
FR-Fon,2.7801,48.4764,2001,1,26,7.6,2.61,3.8,7.25,3.32,5.66
FR-Fon,2.7801,48.4764,2001,1,27,7.31,1.86,2.21,7.14,6.06,0.9
FR-Fon,2.7801,48.4764,2001,1,28,8.76,1.15,3.02,4.5,6.3,0.41
FR-Fon,2.7801,48.4764,2001,1,29,5.01,0.56,1.02,3.76,3.52,0.25
FR-Fon,2.7801,48.4764,2001,1,30,4.39,-1.01,-0.76,2.65,3.85,0.23
FR-Fon,2.7801,48.4764,2001,1,31,5.49,-2.3,-0.58,2.48,3.75,1.32
FR-Fon,2.7801,48.4764,2001,2,1,4.1,-3.09,-3.18,2.4,6.36,0.03
FR-Fon,2.7801,48.4764,2001,2,2,3.4,-2.58,-0.69,5.2,3.47,1.23
FR-Fon,2.7801,48.4764,2001,2,3,8.99,3.22,5.46,6.36,2.46,8.89
FR-Fon,2.7801,48.4764,2001,2,4,11.81,8.48,7.89,9.04,3.84,1.1
FR-Fon,2.7801,48.4764,2001,2,5,11.26,8.2,7.55,10.43,3.19,3.08
FR-Fon,2.7801,48.4764,2001,2,6,10.86,7.65,7.96,8.22,3.2,6.84
FR-Fon,2.7801,48.4764,2001,2,7,10.59,7.86,8.56,5.62,2.29,6.16
FR-Fon,2.7801,48.4764,2001,2,8,10.91,5.08,5.61,6.96,6.01,0.65
FR-Fon,2.7801,48.4764,2001,2,9,5.25,-1.57,1.86,3.18,4.29,3.82
FR-Fon,2.7801,48.4764,2001,2,10,8.09,-3.34,-0.04,3.83,7.35,0.04
FR-Fon,2.7801,48.4764,2001,2,11,13.36,4.12,6.65,4.55,3.62,0.07
FR-Fon,2.7801,48.4764,2001,2,12,12.77,5,6.95,6.76,4.52,0.76
FR-Fon,2.7801,48.4764,2001,2,13,10.23,1.91,3.43,8.26,8.03,0.22
FR-Fon,2.7801,48.4764,2001,2,14,8.98,-0.13,1.38,5.74,10.69,0.04
FR-Fon,2.7801,48.4764,2001,2,15,9.28,-0.94,0.98,1.85,10.62,0.05
FR-Fon,2.7801,48.4764,2001,2,16,8.07,-0.79,1.91,3.14,4.37,0.14
FR-Fon,2.7801,48.4764,2001,2,17,7.57,1.56,1.8,6.15,4.1,0.07
FR-Fon,2.7801,48.4764,2001,2,18,7.03,-0.94,0.08,5.26,8.32,0.06
FR-Fon,2.7801,48.4764,2001,2,19,7.81,-0.92,0.48,3.36,10.1,0.12
