site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
FR-Hes,7.06465,48.6741,2001,1,1,3.55,-5.1,-1.66,5.05,1.42,1.06
FR-Hes,7.06465,48.6741,2001,1,2,7.74,3.55,4.63,5.45,2.71,2.19
FR-Hes,7.06465,48.6741,2001,1,3,5.18,0.43,2.37,5.03,3.63,0.69
FR-Hes,7.06465,48.6741,2001,1,4,6.08,0.6,2.31,6.04,1.35,5.32
FR-Hes,7.06465,48.6741,2001,1,5,8.69,4.72,4.9,9.04,1.11,7.48
FR-Hes,7.06465,48.6741,2001,1,6,8.87,3.02,4.12,5.08,1.76,2.18
FR-Hes,7.06465,48.6741,2001,1,7,5.21,0.58,1.61,2.8,3.02,0.13
FR-Hes,7.06465,48.6741,2001,1,8,3.97,-3.12,0.29,1.75,3.13,0.28
FR-Hes,7.06465,48.6741,2001,1,9,4.41,-1.61,-1.35,2.38,4.41,0.26
FR-Hes,7.06465,48.6741,2001,1,10,6.04,-1.42,1.76,4.16,2.45,3.25
FR-Hes,7.06465,48.6741,2001,1,11,5.96,1.28,3.36,3.04,2.19,2.63
FR-Hes,7.06465,48.6741,2001,1,12,2.75,-4.04,-2.41,4.87,3.26,0.08
FR-Hes,7.06465,48.6741,2001,1,13,-0.08,-5.15,-6.48,6.99,6.49,0
FR-Hes,7.06465,48.6741,2001,1,14,-0.42,-6.83,-7.75,6.19,6.53,0
FR-Hes,7.06465,48.6741,2001,1,15,-1.47,-9.12,-8.22,2.51,6.03,0.01
FR-Hes,7.06465,48.6741,2001,1,16,1.36,-8.1,-5.84,1.79,5.83,0.01
FR-Hes,7.06465,48.6741,2001,1,17,3.86,-6.61,-3.71,1.91,5.52,0.12
FR-Hes,7.06465,48.6741,2001,1,18,3.05,-2.28,-1.19,2.24,2.74,0.64
FR-Hes,7.06465,48.6741,2001,1,19,2.21,-2.99,-2.28,1.08,2.83,0.24
FR-Hes,7.06465,48.6741,2001,1,20,1.9,-3.07,-1.45,1.8,1.94,1.16
FR-Hes,7.06465,48.6741,2001,1,21,2.27,-4.78,-3.06,2.68,4.63,3.83
FR-Hes,7.06465,48.6741,2001,1,22,5.93,0.42,1.49,5.26,5.89,2.49
FR-Hes,7.06465,48.6741,2001,1,23,6.41,1.76,3.85,5.41,3.94,4.07
FR-Hes,7.06465,48.6741,2001,1,24,7.29,3.78,4.95,6.02,1.72,3.8
FR-Hes,7.06465,48.6741,2001,1,25,5.89,-0.39,2.08,3.67,4.21,3.55
FR-Hes,7.06465,48.6741,2001,1,26,5.02,0.15,1.02,4.26,4.52,0.24
FR-Hes,7.06465,48.6741,2001,1,27,3.08,-0.91,0.01,6.83,3.95,6.19
FR-Hes,7.06465,48.6741,2001,1,28,5.35,-1.94,-0.92,2.51,7.01,0.13
FR-Hes,7.06465,48.6741,2001,1,29,3.32,-2.54,-1.46,2.5,5.93,0.18
FR-Hes,7.06465,48.6741,2001,1,30,3.24,-3.97,-2.38,1.95,4.9,0.09
