site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
JP-Api,140.936586,40.001359,2001,1,1,-0.61,-4.75,-3.77,4.82,3.87,4.48
JP-Api,140.936586,40.001359,2001,1,2,-2.4,-4.81,-4.55,3.81,2.49,4.71
JP-Api,140.936586,40.001359,2001,1,3,-5.18,-7.67,-7.67,6.2,4.37,3.29
JP-Api,140.936586,40.001359,2001,1,4,-1.51,-8.02,-6.29,5.02,3.65,5.13
JP-Api,140.936586,40.001359,2001,1,5,-2.37,-6.75,-5.28,2.34,4.29,9.22
JP-Api,140.936586,40.001359,2001,1,6,-5.15,-8.26,-6.97,3.65,3.27,5.39
JP-Api,140.936586,40.001359,2001,1,7,-4.01,-9.36,-7.18,2.12,4.28,0.4
JP-Api,140.936586,40.001359,2001,1,8,-3.61,-11.42,-6.78,3.18,3.91,4.22
JP-Api,140.936586,40.001359,2001,1,9,0.03,-18.56,-8.05,3.6,5.06,1.84
JP-Api,140.936586,40.001359,2001,1,10,0.31,-7.6,-2.84,5.63,3.83,11.8
JP-Api,140.936586,40.001359,2001,1,11,0.08,-18.13,-8.37,4.73,6.04,4.31
JP-Api,140.936586,40.001359,2001,1,12,-9.52,-11.07,-11.48,6.92,3.59,2.33
JP-Api,140.936586,40.001359,2001,1,13,-8.36,-11.53,-10.77,3.91,4.37,2.37
JP-Api,140.936586,40.001359,2001,1,14,-7.58,-11.14,-10.05,2.81,4.28,4.3
JP-Api,140.936586,40.001359,2001,1,15,-6.12,-9.58,-8.71,3.61,2.79,3.66
JP-Api,140.936586,40.001359,2001,1,16,-7.99,-10.75,-10.34,3.09,4.87,2.67
JP-Api,140.936586,40.001359,2001,1,17,-8.02,-10.62,-9.65,3.87,3.93,3.97
JP-Api,140.936586,40.001359,2001,1,18,-6.94,-9.35,-8.84,3.34,3.44,3.54
JP-Api,140.936586,40.001359,2001,1,19,-6.43,-15.77,-9.58,2.3,7.32,1.59
JP-Api,140.936586,40.001359,2001,1,20,-3.34,-16.79,-8.07,2.11,4.18,2.54
JP-Api,140.936586,40.001359,2001,1,21,-2.31,-8.19,-6.78,3.88,3.21,3.81
JP-Api,140.936586,40.001359,2001,1,22,-5.93,-8.98,-8.34,3.49,4.92,1.07
JP-Api,140.936586,40.001359,2001,1,23,-5.41,-8.99,-7.68,3.35,5.61,1.95
JP-Api,140.936586,40.001359,2001,1,24,-4.83,-10.84,-8.17,2.94,5.14,0.23
JP-Api,140.936586,40.001359,2001,1,25,-1.76,-11.44,-7.69,2.31,4.39,0.11
JP-Api,140.936586,40.001359,2001,1,26,-1.51,-10.98,-7.5,3.49,6.32,0.59
JP-Api,140.936586,40.001359,2001,1,27,-3.49,-9.34,-6.1,4.09,4.38,3.05
JP-Api,140.936586,40.001359,2001,1,28,-0.03,-5.26,-3.56,2.75,4.65,10.18
JP-Api,140.936586,40.001359,2001,1,29,-2.82,-7.88,-6.24,4.11,3.61,2.12
JP-Api,140.936586,40.001359,2001,1,30,-1.72,-9.01,-6.5,2.84,4.44,2.43
JP-Api,140.936586,40.001359,2001,1,31,-5.12,-9.96,-8.46,2.56,5.73,0.09
JP-Api,140.936586,40.001359,2001,2,1,0.1,-7.31,-2.95,6.36,5.28,4.25
JP-Api,140.936586,40.001359,2001,2,2,-7.73,-11.22,-10.39,7.04,3.71,1.83
JP-Api,140.936586,40.001359,2001,2,3,-6.11,-12.69,-11.5,8.23,2.86,3.3
JP-Api,140.936586,40.001359,2001,2,4,-7.62,-11.85,-10.59,6.06,4.71,0.69
JP-Api,140.936586,40.001359,2001,2,5,-3.98,-9.17,-7.4,3.01,4.73,1.4
JP-Api,140.936586,40.001359,2001,2,6,-4.14,-10.35,-7.98,2.99,6.19,0.14
JP-Api,140.936586,40.001359,2001,2,7,-5.63,-12.78,-9.97,2.23,6.85,0.39
JP-Api,140.936586,40.001359,2001,2,8,-6.02,-12.16,-10.18,3.12,4.91,1.3
JP-Api,140.936586,40.001359,2001,2,9,-3.99,-12.37,-9.57,2.54,7.54,1.36
JP-Api,140.936586,40.001359,2001,2,10,-3.17,-9.77,-7.42,4.34,3.09,4.11
JP-Api,140.936586,40.001359,2001,2,11,-7.17,-11.48,-10.42,3.67,3.78,2.88
JP-Api,140.936586,40.001359,2001,2,12,-8.59,-11.74,-10.68,5.3,4.52,2.15
JP-Api,140.936586,40.001359,2001,2,13,-7.6,-9.97,-9.83,4.95,5.17,1.45
JP-Api,140.936586,40.001359,2001,2,14,-8.29,-11.63,-10.86,4.08,4.46,1.43
JP-Api,140.936586,40.001359,2001,2,15,-6.44,-11.39,-9.23,3.68,5.81,1.93
JP-Api,140.936586,40.001359,2001,2,16,-7.02,-8.92,-8.74,3.97,6.91,3.83
JP-Api,140.936586,40.001359,2001,2,17,-1.05,-8.29,-6.11,4.91,6.96,1.73
JP-Api,140.936586,40.001359,2001,2,18,0.15,-5.98,-2.02,4.34,7.01,1
JP-Api,140.936586,40.001359,2001,2,19,-3.57,-9.46,-8.49,3.72,4.4,1.06
JP-Api,140.936586,40.001359,2001,2,20,-5.16,-11.45,-8.99,3.91,6.17,0.34
JP-Api,140.936586,40.001359,2001,2,21,0.44,-7.59,-4.44,2.56,8.71,1.04
JP-Api,140.936586,40.001359,2001,2,22,0.57,-8.78,-3.46,3.78,13.01,0.33
JP-Api,140.936586,40.001359,2001,2,23,-0.06,-8.81,-5.39,2.42,12.45,0.24
JP-Api,140.936586,40.001359,2001,2,24,-3.82,-9.91,-7.37,2.44,5.6,2.78
JP-Api,140.936586,40.001359,2001,2,25,-5.97,-9.75,-8.52,3.74,6.07,3.11
JP-Api,140.936586,40.001359,2001,2,26,-5.78,-8.81,-8.21,5.43,7.5,1.11
JP-Api,140.936586,40.001359,2001,2,27,0.14,-8.65,-4.37,3.19,14.44,0.14
JP-Api,140.936586,40.001359,2001,2,28,0.22,-4.86,-0.94,3.84,4.85,9.31
JP-Api,140.936586,40.001359,2001,3,1,-1.29,-8.07,-5.78,2.27,10.18,0.03
JP-Api,140.936586,40.001359,2001,3,2,-0.39,-7.35,-4.93,2.01,10.26,0.48
JP-Api,140.936586,40.001359,2001,3,3,-0.08,-6.79,-4.16,2.48,13.2,0.05
JP-Api,140.936586,40.001359,2001,3,4,0.92,-2.52,-0.33,5.12,6.1,18.07
JP-Api,140.936586,40.001359,2001,3,5,-3.06,-4.77,-4.54,6.21,5,6.06
JP-Api,140.936586,40.001359,2001,3,6,-3.67,-7.74,-6.37,5.05,8.37,1.1
JP-Api,140.936586,40.001359,2001,3,7,0.27,-7.72,-4.46,4.61,6.81,10.73
JP-Api,140.936586,40.001359,2001,3,8,-4.13,-10.51,-7.86,3.09,11.52,1.24
JP-Api,140.936586,40.001359,2001,3,9,-5.49,-14.36,-9.66,2.5,11.2,3.08
JP-Api,140.936586,40.001359,2001,3,10,-4.69,-10.09,-8.11,2.97,10.39,1.62
JP-Api,140.936586,40.001359,2001,3,11,-5.35,-9.01,-8.11,3.17,11.86,2.35
JP-Api,140.936586,40.001359,2001,3,12,-3.34,-11.25,-8.13,2.73,13.56,0.6
JP-Api,140.936586,40.001359,2001,3,13,-1.52,-13.23,-7.13,2.24,13.29,3.58
JP-Api,140.936586,40.001359,2001,3,14,0.31,-14.52,-4.8,3.53,9.71,0.69
JP-Api,140.936586,40.001359,2001,3,15,0.54,-7.62,-2.22,4.13,7.36,11.34
JP-Api,140.936586,40.001359,2001,3,16,-0.8,-12.66,-5.3,3.75,9.86,2.7
JP-Api,140.936586,40.001359,2001,3,17,0.48,-4.58,-1.4,2.01,12.83,1.42
JP-Api,140.936586,40.001359,2001,3,18,0.79,0.11,0.1,3.62,6.93,1.77
JP-Api,140.936586,40.001359,2001,3,19,0.93,-0.5,-0.34,5.16,16.2,0.19
JP-Api,140.936586,40.001359,2001,3,20,7.82,0.07,3.19,4.49,12.12,0
JP-Api,140.936586,40.001359,2001,3,21,4.6,-3.92,-3.55,4.58,17.88,0
JP-Api,140.936586,40.001359,2001,3,22,8.2,-3.33,0.48,3.22,16.58,4.15
JP-Api,140.936586,40.001359,2001,3,23,4.62,-4.16,-3.39,3.6,18.21,0.42
JP-Api,140.936586,40.001359,2001,3,24,9.25,-2.11,-0.16,2.32,18.82,0.46
JP-Api,140.936586,40.001359,2001,3,25,13.38,-2.31,3.73,2.4,18.6,0.4
JP-Api,140.936586,40.001359,2001,3,26,6.64,-1.52,1.72,3.56,7.88,8.69
JP-Api,140.936586,40.001359,2001,3,27,-0.59,-2.86,-4.66,5.09,10.39,1.23
JP-Api,140.936586,40.001359,2001,3,28,3.04,-3.66,-3.92,2.48,14.94,0.92
JP-Api,140.936586,40.001359,2001,3,29,2.01,-3.42,-3.4,1.61,17.09,3.14
JP-Api,140.936586,40.001359,2001,3,30,0.94,-2.42,-2.74,3.29,12.3,3.81
JP-Api,140.936586,40.001359,2001,3,31,2.13,-3.8,-3.12,2.74,13.15,1.65
JP-Api,140.936586,40.001359,2001,4,1,1.78,-3.6,-2.83,2.86,14.87,0.94
JP-Api,140.936586,40.001359,2001,4,2,7.41,0.14,1.52,3.63,10.01,3.44
JP-Api,140.936586,40.001359,2001,4,3,4.34,-1.13,-0.57,3.72,11.36,7.23
JP-Api,140.936586,40.001359,2001,4,4,3.46,-4.15,-3,2.82,13.93,0.02
JP-Api,140.936586,40.001359,2001,4,5,8.68,-3.49,0.81,3.82,16.38,0.92
JP-Api,140.936586,40.001359,2001,4,6,8.83,-1.02,0.06,2.59,21.48,0.23
JP-Api,140.936586,40.001359,2001,4,7,11.69,-1.05,2.19,2,21.15,0
JP-Api,140.936586,40.001359,2001,4,8,15.21,2.68,6.35,2.43,16.54,0
JP-Api,140.936586,40.001359,2001,4,9,17.12,6.54,7.81,1.91,16.02,0
JP-Api,140.936586,40.001359,2001,4,10,20.4,3.86,6.27,1.68,16.53,0
JP-Api,140.936586,40.001359,2001,4,11,18.55,7.3,9.44,2.9,17.04,0
JP-Api,140.936586,40.001359,2001,4,12,17.55,3.37,7.9,3.52,11.07,7.58
JP-Api,140.936586,40.001359,2001,4,13,7.69,1.43,1.36,6.22,17.87,1.56
JP-Api,140.936586,40.001359,2001,4,14,11.21,2.56,2.8,3.79,19.63,2.26
JP-Api,140.936586,40.001359,2001,4,15,10.31,2.64,3.54,3.8,12.44,7.86
JP-Api,140.936586,40.001359,2001,4,16,12.08,0.66,2.36,2.83,21.85,0.55
JP-Api,140.936586,40.001359,2001,4,17,15.66,0.78,3.07,2.84,22.15,0
JP-Api,140.936586,40.001359,2001,4,18,20.93,3.73,6.15,2.48,24.69,0
JP-Api,140.936586,40.001359,2001,4,19,18.84,6.02,9.52,2.23,23.47,0
JP-Api,140.936586,40.001359,2001,4,20,7.91,-5.21,-1.16,4.19,17.38,0.39
JP-Api,140.936586,40.001359,2001,4,21,8.91,-5.49,-4.45,1.82,25.45,0
JP-Api,140.936586,40.001359,2001,4,22,7.94,-3.48,-2.32,2.79,19.83,0
JP-Api,140.936586,40.001359,2001,4,23,8.77,-2.97,-1.31,3.14,17.95,0
JP-Api,140.936586,40.001359,2001,4,24,11.02,1.41,1.77,2.98,19.11,0.15
JP-Api,140.936586,40.001359,2001,4,25,11.79,-0.59,-0.18,1.81,23.21,0
JP-Api,140.936586,40.001359,2001,4,26,9.59,-2.03,1.77,3.08,21.42,0.3
JP-Api,140.936586,40.001359,2001,4,27,13.01,0.87,3.53,3.5,23.55,0.46
JP-Api,140.936586,40.001359,2001,4,28,17.04,-0.47,1.36,2.13,24.97,0
JP-Api,140.936586,40.001359,2001,4,29,19.79,3.61,3.98,1.92,24.39,0
JP-Api,140.936586,40.001359,2001,4,30,17.67,2.13,2.34,2.48,25.53,0
JP-Api,140.936586,40.001359,2001,5,1,16.86,0.96,2.13,2.29,24.69,0
JP-Api,140.936586,40.001359,2001,5,2,9.87,1.15,2.01,2.34,17.33,0
JP-Api,140.936586,40.001359,2001,5,3,13.63,2.73,3.99,1.95,19.1,0.01
JP-Api,140.936586,40.001359,2001,5,4,15.67,2.15,4.9,1.24,23.27,0.3
JP-Api,140.936586,40.001359,2001,5,5,17.38,4.98,6.16,1.51,20.87,0
JP-Api,140.936586,40.001359,2001,5,6,17.65,7.1,8.4,2.02,19.87,0.01
JP-Api,140.936586,40.001359,2001,5,7,14.01,8.23,10.82,1.81,3.62,21.67
JP-Api,140.936586,40.001359,2001,5,8,14.73,8.71,11.36,1.47,4.06,16.78
JP-Api,140.936586,40.001359,2001,5,9,14.89,6.81,8.54,2.9,9.91,11.68
JP-Api,140.936586,40.001359,2001,5,10,13.31,6.73,8.63,2.96,8.62,6.16
JP-Api,140.936586,40.001359,2001,5,11,10.26,5.56,5.51,3.13,6.42,7.46
JP-Api,140.936586,40.001359,2001,5,12,16.27,6.19,7.92,2.97,20.16,0
JP-Api,140.936586,40.001359,2001,5,13,18.16,5.55,6.32,2.33,28.39,0
JP-Api,140.936586,40.001359,2001,5,14,21.56,5.84,7.41,2.33,27.48,0
JP-Api,140.936586,40.001359,2001,5,15,22.64,7.74,9.93,1.99,25.47,0
JP-Api,140.936586,40.001359,2001,5,16,16.06,5.55,10.26,2.26,7.61,8.05
JP-Api,140.936586,40.001359,2001,5,17,16.35,5.63,4.73,2.14,27.17,0
JP-Api,140.936586,40.001359,2001,5,18,21.43,5.96,7.49,2.7,25.49,0
JP-Api,140.936586,40.001359,2001,5,19,17.14,8.56,10.51,2.36,9.56,2.97
JP-Api,140.936586,40.001359,2001,5,20,19.4,8.65,8.53,1.63,27.11,0.01
JP-Api,140.936586,40.001359,2001,5,21,22.96,9.75,12.58,1.46,19.14,0
JP-Api,140.936586,40.001359,2001,5,22,23.46,10.58,13.2,2,20.01,0.01
JP-Api,140.936586,40.001359,2001,5,23,24.94,12.98,14.74,1.49,21.31,0
JP-Api,140.936586,40.001359,2001,5,24,21.28,11.49,12.96,2.04,13.78,0.15
JP-Api,140.936586,40.001359,2001,5,25,18.88,10.23,10.95,1.67,18.29,0.07
JP-Api,140.936586,40.001359,2001,5,26,17.36,10.21,12.52,1.87,4.77,10.34
JP-Api,140.936586,40.001359,2001,5,27,15.79,7.81,9.56,1.96,14.07,1.49
JP-Api,140.936586,40.001359,2001,5,28,18.47,6.64,7.8,1.39,24.17,0.13
JP-Api,140.936586,40.001359,2001,5,29,21.71,6.57,7.33,1.69,29.66,0
JP-Api,140.936586,40.001359,2001,5,30,23.6,11.01,12.75,2.08,24.99,0.39
JP-Api,140.936586,40.001359,2001,5,31,17.89,13.02,13.79,3.01,6.83,16.34
JP-Api,140.936586,40.001359,2001,6,1,16.03,9.67,9.3,4.31,14.92,3.09
JP-Api,140.936586,40.001359,2001,6,2,16.29,10.55,10.14,3.53,17.42,0
JP-Api,140.936586,40.001359,2001,6,3,18.8,11.2,11.6,3.3,9.3,3.17
JP-Api,140.936586,40.001359,2001,6,4,20.42,8.98,10.64,2.25,26.26,0
JP-Api,140.936586,40.001359,2001,6,5,22.89,8.1,12.36,2.33,25.99,0.01
JP-Api,140.936586,40.001359,2001,6,6,20.58,14.74,13.96,2.94,14.37,2.31
JP-Api,140.936586,40.001359,2001,6,7,14.97,9.98,12.1,2.44,5.99,9.72
JP-Api,140.936586,40.001359,2001,6,8,18.02,8.77,9.13,2.94,24.37,0.14
JP-Api,140.936586,40.001359,2001,6,9,22.6,8.43,12.63,1.65,22.93,0.04
JP-Api,140.936586,40.001359,2001,6,10,17.27,11.37,12.68,1.56,6.13,3.13
JP-Api,140.936586,40.001359,2001,6,11,15.33,8.61,9.56,2.58,12.63,0.78
JP-Api,140.936586,40.001359,2001,6,12,13.76,8.31,8.85,2.37,8.76,0.98
JP-Api,140.936586,40.001359,2001,6,13,21.3,9.63,9.83,1.23,24.13,0.5
JP-Api,140.936586,40.001359,2001,6,14,16.96,9.28,10.4,1.29,20.37,0.47
JP-Api,140.936586,40.001359,2001,6,15,17.58,10.22,11.49,1.14,15.56,0.56
JP-Api,140.936586,40.001359,2001,6,16,22.52,10.27,12.09,1.25,24.67,0
JP-Api,140.936586,40.001359,2001,6,17,19.36,10.71,12.09,1.61,23.91,0
JP-Api,140.936586,40.001359,2001,6,18,22.83,9.84,12.27,1.34,16.86,0.36
JP-Api,140.936586,40.001359,2001,6,19,20.27,13.4,16.28,1.32,5.04,26.27
JP-Api,140.936586,40.001359,2001,6,20,15.43,8.8,11.22,2.27,8.02,14.65
JP-Api,140.936586,40.001359,2001,6,21,20.77,8.43,9.86,1.28,22.07,0.11
JP-Api,140.936586,40.001359,2001,6,22,21.39,9.88,10.88,1.15,21.09,0
JP-Api,140.936586,40.001359,2001,6,23,21.14,11.1,12.3,1.64,21.49,0
JP-Api,140.936586,40.001359,2001,6,24,22.81,11.73,14.77,2.02,14.16,0.39
JP-Api,140.936586,40.001359,2001,6,25,22.86,15.43,16.39,1.38,12.88,3.37
JP-Api,140.936586,40.001359,2001,6,26,23.31,16.08,17.51,1.64,17.87,3.78
JP-Api,140.936586,40.001359,2001,6,27,22.48,16.76,18.5,2.01,7.48,14.85
JP-Api,140.936586,40.001359,2001,6,28,23.29,16.64,17.24,2.6,15.19,0.25
JP-Api,140.936586,40.001359,2001,6,29,23.07,14.52,17.46,1.75,16.39,15.11
JP-Api,140.936586,40.001359,2001,6,30,25.27,14.3,17,1.33,20.82,6.58
JP-Api,140.936586,40.001359,2001,7,1,22.77,14.67,16.75,2.24,13.81,23.81
JP-Api,140.936586,40.001359,2001,7,2,23.49,13.48,14.74,1.77,22.44,0
JP-Api,140.936586,40.001359,2001,7,3,25.72,12.76,18.03,2.13,11.51,2.5
