site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
JP-Kwg,139.4869,35.8725,2001,1,1,4.03,-2.96,-3.93,6.37,11.25,0.13
JP-Kwg,139.4869,35.8725,2001,1,2,9.81,-3.14,-2.5,4.67,9.85,0.31
JP-Kwg,139.4869,35.8725,2001,1,3,5.57,-1.54,-5.26,6.33,10.28,0.29
JP-Kwg,139.4869,35.8725,2001,1,4,3.67,-3.27,-6.85,6.16,10.55,0.41
JP-Kwg,139.4869,35.8725,2001,1,5,4.32,-4.14,-5.98,5.42,11.59,0.07
JP-Kwg,139.4869,35.8725,2001,1,6,2.42,-5.08,-7.22,4.66,11.87,0.04
JP-Kwg,139.4869,35.8725,2001,1,7,1.59,-5.03,-4.84,2.07,6.73,5.92
JP-Kwg,139.4869,35.8725,2001,1,8,3.73,-3.56,-1.88,4.88,6.78,21.36
JP-Kwg,139.4869,35.8725,2001,1,9,2.58,-5.01,-2.11,1.84,7.81,5.67
JP-Kwg,139.4869,35.8725,2001,1,10,8.36,-1.49,2.18,4.75,7.04,11.06
JP-Kwg,139.4869,35.8725,2001,1,11,9.36,-2.07,-1.81,2.34,11.35,0.23
JP-Kwg,139.4869,35.8725,2001,1,12,4.86,-3.35,-4.77,4.28,11.98,0.33
JP-Kwg,139.4869,35.8725,2001,1,13,2.24,-3.74,-4.8,1.69,5.45,0.16
JP-Kwg,139.4869,35.8725,2001,1,14,0.7,-6.73,-7.59,4.66,10.09,0.26
JP-Kwg,139.4869,35.8725,2001,1,15,0.73,-6.9,-7.95,3.49,11.96,0.25
JP-Kwg,139.4869,35.8725,2001,1,16,1.54,-6.73,-7.17,3.14,11.92,0.12
JP-Kwg,139.4869,35.8725,2001,1,17,2.34,-6.28,-7.53,4.06,12.89,0.06
JP-Kwg,139.4869,35.8725,2001,1,18,6.06,-7.42,-5.73,3.74,12.3,0.24
JP-Kwg,139.4869,35.8725,2001,1,19,1.98,-5.1,-6.82,3.21,9.05,0.02
JP-Kwg,139.4869,35.8725,2001,1,20,2.13,-6.28,-5.06,1.49,7.55,9.27
JP-Kwg,139.4869,35.8725,2001,1,21,5.31,-4.16,-3.62,4.1,10.68,0.3
JP-Kwg,139.4869,35.8725,2001,1,22,3.52,-5.06,-4.16,2.57,8.06,0.06
JP-Kwg,139.4869,35.8725,2001,1,23,5.27,-4.17,-3.59,2.41,11.6,0.1
JP-Kwg,139.4869,35.8725,2001,1,24,4.62,-5.64,-5.77,2.57,13.58,0
JP-Kwg,139.4869,35.8725,2001,1,25,2.3,-2.6,-2.42,0.95,3.7,10.65
JP-Kwg,139.4869,35.8725,2001,1,26,3.92,-2.52,-0.86,3.31,5.28,11.52
JP-Kwg,139.4869,35.8725,2001,1,27,1.13,-2.01,-1.38,6.65,1.47,37.44
JP-Kwg,139.4869,35.8725,2001,1,28,3.61,-5.04,-2.99,3.17,10.77,0.16
JP-Kwg,139.4869,35.8725,2001,1,29,2.71,-7.24,-5.14,3.43,12.88,0.1
JP-Kwg,139.4869,35.8725,2001,1,30,4.24,-8.08,-5.45,3.04,13.53,0.06
JP-Kwg,139.4869,35.8725,2001,1,31,3.84,-7.18,-4.5,2.27,11.84,0.06
JP-Kwg,139.4869,35.8725,2001,2,1,1.75,-2.96,-1.95,2.27,3.58,3.85
JP-Kwg,139.4869,35.8725,2001,2,2,2.66,-7.03,-6.42,3.63,7.06,0.03
JP-Kwg,139.4869,35.8725,2001,2,3,4.02,-6.86,-6.74,4.67,14.25,0.11
JP-Kwg,139.4869,35.8725,2001,2,4,3.06,-4.99,-5.49,2.5,9.56,0.01
JP-Kwg,139.4869,35.8725,2001,2,5,8.15,-2.41,-1.64,1.13,10.22,0
JP-Kwg,139.4869,35.8725,2001,2,6,7.66,-1.98,-0.21,2.8,11.83,0.04
JP-Kwg,139.4869,35.8725,2001,2,7,3.28,-1.57,-1.29,2.17,1.89,9.51
JP-Kwg,139.4869,35.8725,2001,2,8,4.31,-5.44,-3.67,4.07,15.08,0.66
JP-Kwg,139.4869,35.8725,2001,2,9,5.84,-6.53,-5.28,2.22,12.1,0.01
JP-Kwg,139.4869,35.8725,2001,2,10,7.2,-3.93,-3.39,3.3,13.52,0.11
JP-Kwg,139.4869,35.8725,2001,2,11,5.52,-4.24,-4.52,3.97,15.12,0.12
JP-Kwg,139.4869,35.8725,2001,2,12,1.94,-3.89,-6.63,3.01,11.45,0.01
JP-Kwg,139.4869,35.8725,2001,2,13,4.18,-4.12,-5.23,2.77,9.73,0.11
JP-Kwg,139.4869,35.8725,2001,2,14,2.71,-5.22,-5.53,2.92,8.39,0.47
JP-Kwg,139.4869,35.8725,2001,2,15,2.86,-6.72,-7.29,3.34,13.53,0.31
JP-Kwg,139.4869,35.8725,2001,2,16,6.31,-5.25,-5.44,5.27,15.15,0.58
JP-Kwg,139.4869,35.8725,2001,2,17,5.57,-6.59,-6.4,2.71,17.43,0.01
JP-Kwg,139.4869,35.8725,2001,2,18,8.13,-1.88,-1.58,2.17,13.33,0.02
JP-Kwg,139.4869,35.8725,2001,2,19,9.81,-1.02,-1.07,3.86,16.41,0.1
JP-Kwg,139.4869,35.8725,2001,2,20,8.23,-2.9,-4.15,2.91,15.55,0.04
JP-Kwg,139.4869,35.8725,2001,2,21,12.77,-2.81,1.12,2.39,15.28,0.22
JP-Kwg,139.4869,35.8725,2001,2,22,14.5,0.81,1.31,2.52,17.17,0.06
JP-Kwg,139.4869,35.8725,2001,2,23,15.06,-0.63,-0.18,2.67,16.9,2.22
JP-Kwg,139.4869,35.8725,2001,2,24,6.41,-1.02,1.75,3.21,3.31,10.95
JP-Kwg,139.4869,35.8725,2001,2,25,4.59,-4,-5.24,5.49,13.36,0.22
JP-Kwg,139.4869,35.8725,2001,2,26,4.33,-5.18,-6.31,4.88,18.09,0.01
JP-Kwg,139.4869,35.8725,2001,2,27,11.54,-3.66,-1.67,2.26,18.06,0
JP-Kwg,139.4869,35.8725,2001,2,28,10.84,0.12,2.52,2.12,7.86,0.91
JP-Kwg,139.4869,35.8725,2001,3,1,4.5,0.53,1.91,3.44,2.98,24.12
JP-Kwg,139.4869,35.8725,2001,3,2,4.48,-4.38,-2.64,5.57,15.49,6.2
JP-Kwg,139.4869,35.8725,2001,3,3,6.05,-5,-2.08,2.58,11.72,0.23
JP-Kwg,139.4869,35.8725,2001,3,4,10.87,-0.54,3.15,5.25,5.66,18.83
JP-Kwg,139.4869,35.8725,2001,3,5,7.16,-1.87,-3.85,6.88,19.16,0.78
JP-Kwg,139.4869,35.8725,2001,3,6,12.79,-1.29,-0.55,4.44,16.16,0.15
JP-Kwg,139.4869,35.8725,2001,3,7,12.63,-1.42,-0.05,5.72,13.7,0.09
JP-Kwg,139.4869,35.8725,2001,3,8,5.88,-2.82,-4.44,4.18,15.29,1.26
JP-Kwg,139.4869,35.8725,2001,3,9,3.79,-3.98,-5.8,4.99,17.64,0.14
JP-Kwg,139.4869,35.8725,2001,3,10,6.99,-3.99,-4.29,3.72,19.27,0.29
JP-Kwg,139.4869,35.8725,2001,3,11,4.57,-4.04,-5.8,4,20.63,0.09
JP-Kwg,139.4869,35.8725,2001,3,12,6.23,-4.33,-3.53,2.06,12.58,0.58
JP-Kwg,139.4869,35.8725,2001,3,13,6.29,-4.49,-5.65,5.42,21.71,0.39
JP-Kwg,139.4869,35.8725,2001,3,14,14.39,-3.23,-0.01,2.67,18.21,0
JP-Kwg,139.4869,35.8725,2001,3,15,17.59,-0.72,3.21,5.79,15.6,0.85
JP-Kwg,139.4869,35.8725,2001,3,16,11.93,-2.9,-1.8,2.15,21.1,0
JP-Kwg,139.4869,35.8725,2001,3,17,11.24,0.11,3.58,2.43,6.26,1.57
JP-Kwg,139.4869,35.8725,2001,3,18,13.3,0.83,3.17,5.2,14.42,2.44
JP-Kwg,139.4869,35.8725,2001,3,19,17.22,-0.06,0.98,3.31,19.91,0
JP-Kwg,139.4869,35.8725,2001,3,20,17.93,2.64,3.09,3.35,19.42,0
JP-Kwg,139.4869,35.8725,2001,3,21,17.25,2.41,2.51,3.85,19.48,0.01
JP-Kwg,139.4869,35.8725,2001,3,22,14.66,4.13,4.39,3.06,16.03,0.11
JP-Kwg,139.4869,35.8725,2001,3,23,12.69,3.59,2.13,3.09,13.13,0.07
JP-Kwg,139.4869,35.8725,2001,3,24,16.57,2.14,4.98,2.81,18.94,0.03
JP-Kwg,139.4869,35.8725,2001,3,25,15.71,5.86,8.77,2.74,6.08,4.09
JP-Kwg,139.4869,35.8725,2001,3,26,14.69,0.53,5.23,5.4,11.13,13.85
JP-Kwg,139.4869,35.8725,2001,3,27,13.23,-0.25,-0.46,3.54,20.7,0.08
JP-Kwg,139.4869,35.8725,2001,3,28,16.21,0.89,3.66,2.76,17.12,0.19
JP-Kwg,139.4869,35.8725,2001,3,29,5.24,1,2.08,3.49,2.69,21.31
JP-Kwg,139.4869,35.8725,2001,3,30,8.51,-1.14,-1.4,3.97,15.34,0.55
JP-Kwg,139.4869,35.8725,2001,3,31,2.07,-3.18,-1.88,2.91,5.43,7.71
JP-Kwg,139.4869,35.8725,2001,4,1,8.94,-3.72,-2.85,3.48,22.91,0.07
JP-Kwg,139.4869,35.8725,2001,4,2,15.87,-0.88,1.87,3.3,22.74,0.05
JP-Kwg,139.4869,35.8725,2001,4,3,18.5,3.18,6.33,4.09,20.38,2.31
JP-Kwg,139.4869,35.8725,2001,4,4,11.18,-0.24,-0.78,3.84,24.97,0.67
JP-Kwg,139.4869,35.8725,2001,4,5,18.14,1.03,2.79,2.87,24.13,0
JP-Kwg,139.4869,35.8725,2001,4,6,18.35,2.77,5.17,3.32,23.42,0
JP-Kwg,139.4869,35.8725,2001,4,7,19.1,6.59,8.99,2.34,22.22,0.01
JP-Kwg,139.4869,35.8725,2001,4,8,19.08,9.54,10.12,2.58,17.8,0.03
JP-Kwg,139.4869,35.8725,2001,4,9,19.49,9.5,11.11,2.13,17.65,0
JP-Kwg,139.4869,35.8725,2001,4,10,20.52,9.9,11.42,3.07,20.76,0
JP-Kwg,139.4869,35.8725,2001,4,11,20.16,10.58,12.18,2.57,19.23,0.01
JP-Kwg,139.4869,35.8725,2001,4,12,22.32,5.89,10.74,4.25,12.96,1.5
JP-Kwg,139.4869,35.8725,2001,4,13,18.93,3.48,3.18,3.02,24.89,0.05
JP-Kwg,139.4869,35.8725,2001,4,14,19.52,3.36,4.75,3.31,21.38,0.41
JP-Kwg,139.4869,35.8725,2001,4,15,20.81,3.06,3.47,3.25,25.97,0.02
JP-Kwg,139.4869,35.8725,2001,4,16,21.69,2.17,4.15,2.87,25.85,0
JP-Kwg,139.4869,35.8725,2001,4,17,21.53,6.86,9.2,2.53,22.07,0
JP-Kwg,139.4869,35.8725,2001,4,18,19.14,9.17,10.64,2.73,14.93,0.87
JP-Kwg,139.4869,35.8725,2001,4,19,20.61,9.87,11.08,3.44,15.31,2.12
JP-Kwg,139.4869,35.8725,2001,4,20,19.62,6.85,6.4,4.3,24.49,0.07
JP-Kwg,139.4869,35.8725,2001,4,21,6.67,4.92,3.91,2.79,4.97,0.68
JP-Kwg,139.4869,35.8725,2001,4,22,16.42,1.2,2.42,5.27,22.41,1.07
JP-Kwg,139.4869,35.8725,2001,4,23,19.83,0.17,3,3.84,27.21,0
JP-Kwg,139.4869,35.8725,2001,4,24,20.99,5.88,8.71,2.8,15.44,0.53
JP-Kwg,139.4869,35.8725,2001,4,25,13.26,8.44,8.21,2.95,3.88,6.32
JP-Kwg,139.4869,35.8725,2001,4,26,17.42,5.24,3.02,2.26,20.39,0.1
JP-Kwg,139.4869,35.8725,2001,4,27,19.46,4.28,5.33,2.86,25.47,0
JP-Kwg,139.4869,35.8725,2001,4,28,21.89,6.66,8.52,2.68,24.55,0.01
JP-Kwg,139.4869,35.8725,2001,4,29,20.54,10.58,13.03,2.8,11.67,5.82
JP-Kwg,139.4869,35.8725,2001,4,30,15.92,9.24,12.52,3.29,5.65,11.49
JP-Kwg,139.4869,35.8725,2001,5,1,17.87,5.77,6.98,3.49,17.02,0.07
JP-Kwg,139.4869,35.8725,2001,5,2,11.45,7.31,7.57,3.43,6.84,6.36
JP-Kwg,139.4869,35.8725,2001,5,3,13.26,6.99,8.01,3.73,8.55,21.2
JP-Kwg,139.4869,35.8725,2001,5,4,19.37,5.89,7.78,2.08,22.26,0.01
JP-Kwg,139.4869,35.8725,2001,5,5,19.88,8.88,10.2,2.22,16.74,0
JP-Kwg,139.4869,35.8725,2001,5,6,21.65,10.16,11.87,3.13,23.62,0
JP-Kwg,139.4869,35.8725,2001,5,7,24.18,10.47,12.6,5.35,23.16,0.03
JP-Kwg,139.4869,35.8725,2001,5,8,20.81,12.72,14.91,4.66,7.43,10.71
JP-Kwg,139.4869,35.8725,2001,5,9,24.99,14.29,16.39,2.62,12.6,3.07
JP-Kwg,139.4869,35.8725,2001,5,10,24.48,11.12,12.34,1.59,13.71,0.22
JP-Kwg,139.4869,35.8725,2001,5,11,23.49,7.41,7.12,2.92,22.58,0.53
JP-Kwg,139.4869,35.8725,2001,5,12,23.06,6.65,7.39,3.03,27.98,0
JP-Kwg,139.4869,35.8725,2001,5,13,24.91,9.48,10.73,2.47,27.78,0.01
JP-Kwg,139.4869,35.8725,2001,5,14,25.79,11.04,13.03,2.64,25.82,0
JP-Kwg,139.4869,35.8725,2001,5,15,24.91,12.8,13.79,3.17,26.91,0.01
JP-Kwg,139.4869,35.8725,2001,5,16,23.15,10.76,15.22,2.46,8.25,5.72
JP-Kwg,139.4869,35.8725,2001,5,17,24.21,7.17,6.6,2.53,27.36,0.09
JP-Kwg,139.4869,35.8725,2001,5,18,24.99,9.75,11.73,2.99,24.2,0.06
JP-Kwg,139.4869,35.8725,2001,5,19,25.2,11.36,12.82,2.86,24.85,1.63
JP-Kwg,139.4869,35.8725,2001,5,20,29.56,12.89,13.84,1.92,27.41,0
JP-Kwg,139.4869,35.8725,2001,5,21,26.61,16.74,16.34,1.93,20.22,0
JP-Kwg,139.4869,35.8725,2001,5,22,24.21,16.08,16.5,2.59,7.77,3.41
JP-Kwg,139.4869,35.8725,2001,5,23,20.36,16.36,16.45,4.64,4.53,34.82
JP-Kwg,139.4869,35.8725,2001,5,24,22.41,15.91,16.01,3.78,8.88,20.25
JP-Kwg,139.4869,35.8725,2001,5,25,27.72,14.9,15.95,1.85,23.84,1.23
JP-Kwg,139.4869,35.8725,2001,5,26,29.95,15.42,17.36,1.2,13.67,0.6
JP-Kwg,139.4869,35.8725,2001,5,27,21.1,15.04,14.68,1.6,5.7,5.65
JP-Kwg,139.4869,35.8725,2001,5,28,24.79,13.44,12.23,2.02,25.66,1.95
JP-Kwg,139.4869,35.8725,2001,5,29,22.03,13.67,14.66,3.58,18.44,3.92
JP-Kwg,139.4869,35.8725,2001,5,30,21.28,14.68,15.28,3.41,12.4,9.11
JP-Kwg,139.4869,35.8725,2001,5,31,29.14,15.38,17.62,2.86,10.98,19.69
JP-Kwg,139.4869,35.8725,2001,6,1,24.53,13.48,10.98,3.01,18.18,0.07
JP-Kwg,139.4869,35.8725,2001,6,2,26.07,11.78,10.66,2.56,19.29,0.18
JP-Kwg,139.4869,35.8725,2001,6,3,27.22,10.76,11.44,2.83,28.65,0
JP-Kwg,139.4869,35.8725,2001,6,4,30.77,14.25,13.55,2.36,27.7,0
JP-Kwg,139.4869,35.8725,2001,6,5,25.64,16.35,17.08,3.18,15.87,1.53
JP-Kwg,139.4869,35.8725,2001,6,6,21.5,16.95,17.44,2.31,5.19,10.82
JP-Kwg,139.4869,35.8725,2001,6,7,27.3,16.36,17.64,2.66,21.89,11.4
JP-Kwg,139.4869,35.8725,2001,6,8,26.43,15.76,16.48,2.3,17.4,0.29
