site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
JP-Kzw,138.5725,36.406667,2001,1,1,-1.13,-6.36,-6.61,9.23,7.63,2.17
JP-Kzw,138.5725,36.406667,2001,1,2,1.55,-6.3,-4.38,6.34,5.19,4.98
JP-Kzw,138.5725,36.406667,2001,1,3,-3.24,-6.56,-7.31,8.6,8.21,3.44
JP-Kzw,138.5725,36.406667,2001,1,4,-5.88,-8.44,-9.07,8.75,6.27,3.33
JP-Kzw,138.5725,36.406667,2001,1,5,-4.46,-7.74,-8.11,8.19,6.95,1.4
JP-Kzw,138.5725,36.406667,2001,1,6,-6.86,-9.46,-9.49,7.48,8.35,0.83
JP-Kzw,138.5725,36.406667,2001,1,7,-3.96,-10.48,-8.38,2.99,5.54,8.24
JP-Kzw,138.5725,36.406667,2001,1,8,-1.19,-8.9,-6.19,3.47,4.77,18.15
JP-Kzw,138.5725,36.406667,2001,1,9,-2.72,-11.01,-6.76,3.81,6.27,4.26
JP-Kzw,138.5725,36.406667,2001,1,10,1.13,-7.1,-2.03,5.88,4.57,13.08
JP-Kzw,138.5725,36.406667,2001,1,11,0.6,-10.85,-6.35,3.47,8.9,2.82
JP-Kzw,138.5725,36.406667,2001,1,12,-4.68,-8.66,-8.12,5.54,6.9,5.11
JP-Kzw,138.5725,36.406667,2001,1,13,-4.17,-10.47,-8.8,2.83,7.22,3.69
JP-Kzw,138.5725,36.406667,2001,1,14,-8.65,-12.72,-11.41,4.54,6.9,3.48
JP-Kzw,138.5725,36.406667,2001,1,15,-7.95,-13.95,-12.03,3.24,7.92,4.31
JP-Kzw,138.5725,36.406667,2001,1,16,-6.72,-12.45,-10.95,3.03,9.25,2.86
JP-Kzw,138.5725,36.406667,2001,1,17,-6.89,-12.83,-11.03,5.06,8.16,1.32
JP-Kzw,138.5725,36.406667,2001,1,18,-2.01,-12.52,-8.54,5.22,7.85,3.44
JP-Kzw,138.5725,36.406667,2001,1,19,-7.09,-11.51,-10.48,5.84,8.61,0.14
JP-Kzw,138.5725,36.406667,2001,1,20,-3.89,-12.57,-9.04,1.12,8.32,7.4
JP-Kzw,138.5725,36.406667,2001,1,21,-1.99,-8.69,-6.39,6.43,6.84,0.98
JP-Kzw,138.5725,36.406667,2001,1,22,-4.4,-7.75,-7.26,4.66,7.2,0.82
JP-Kzw,138.5725,36.406667,2001,1,23,-3.91,-10.99,-8.48,3.9,7.56,1.67
JP-Kzw,138.5725,36.406667,2001,1,24,-4.63,-11.86,-9.45,4.24,9.36,0.06
JP-Kzw,138.5725,36.406667,2001,1,25,0.22,-11.55,-4.52,1.28,6.56,7.6
JP-Kzw,138.5725,36.406667,2001,1,26,-1.33,-7.83,-4.8,3.75,4.9,7.95
JP-Kzw,138.5725,36.406667,2001,1,27,-2.99,-7.04,-5.67,5.2,1.62,32.53
JP-Kzw,138.5725,36.406667,2001,1,28,-0.31,-5.19,-4.36,5.04,8.84,1.78
JP-Kzw,138.5725,36.406667,2001,1,29,-4.52,-12.29,-8.54,4.51,7.56,1.62
JP-Kzw,138.5725,36.406667,2001,1,30,-2.63,-12.78,-8.77,2.58,8.92,1.43
JP-Kzw,138.5725,36.406667,2001,1,31,-1.86,-10.38,-7.8,2,10.34,0.39
JP-Kzw,138.5725,36.406667,2001,2,1,0.34,-7.4,-4.87,3.78,3.72,5.16
JP-Kzw,138.5725,36.406667,2001,2,2,-6.62,-11.47,-10.15,6.11,9.31,0.71
JP-Kzw,138.5725,36.406667,2001,2,3,-5.06,-9.87,-8.66,7.51,10.77,1.06
JP-Kzw,138.5725,36.406667,2001,2,4,-5.1,-9.99,-9.15,4.64,10.54,0.12
JP-Kzw,138.5725,36.406667,2001,2,5,0.36,-8.82,-5.6,1.15,11.95,0.01
JP-Kzw,138.5725,36.406667,2001,2,6,-0.21,-7.57,-5,2.75,8.1,0.64
JP-Kzw,138.5725,36.406667,2001,2,7,-0.66,-8.56,-4.77,2.31,2.96,5.11
JP-Kzw,138.5725,36.406667,2001,2,8,-4.32,-10.96,-7.7,5.18,9.17,1.71
JP-Kzw,138.5725,36.406667,2001,2,9,-1.78,-13.81,-9.75,2.38,11.92,0.45
JP-Kzw,138.5725,36.406667,2001,2,10,-0.94,-9.78,-6.99,3.9,11.46,2.37
