site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
JP-MBF,142.318611,44.384167,2001,1,1,0.2,-8.62,-5.44,5.13,3.32,2.31
JP-MBF,142.318611,44.384167,2001,1,2,-5.77,-8.69,-8.15,3.83,4,1.04
JP-MBF,142.318611,44.384167,2001,1,3,-4.45,-8.65,-7.68,6.53,2.21,4.65
JP-MBF,142.318611,44.384167,2001,1,4,-1.81,-10.12,-5.53,4.13,2.53,3.38
JP-MBF,142.318611,44.384167,2001,1,5,-6.62,-13.05,-10.42,3.12,3.48,2.31
JP-MBF,142.318611,44.384167,2001,1,6,-8.78,-13.87,-11.77,2.77,4.02,1.58
JP-MBF,142.318611,44.384167,2001,1,7,-10.66,-16.59,-14.61,1.62,4.64,0.6
JP-MBF,142.318611,44.384167,2001,1,8,-11.76,-18.08,-15.68,2.43,5.05,0.36
JP-MBF,142.318611,44.384167,2001,1,9,-11.33,-21.29,-16.31,1.94,4.64,0.11
JP-MBF,142.318611,44.384167,2001,1,10,0.39,-11.47,-6.18,6.64,3.13,7.38
JP-MBF,142.318611,44.384167,2001,1,11,-8.57,-11.87,-11,4.71,4.38,4.4
JP-MBF,142.318611,44.384167,2001,1,12,-12.12,-15.32,-14.2,6.68,3.37,4.53
JP-MBF,142.318611,44.384167,2001,1,13,-9.64,-14.59,-12.33,3.81,4.74,1.67
JP-MBF,142.318611,44.384167,2001,1,14,-12.21,-21.04,-16.06,2.84,5.72,0.2
JP-MBF,142.318611,44.384167,2001,1,15,-13.07,-20.92,-18.15,0.98,6.4,0.4
JP-MBF,142.318611,44.384167,2001,1,16,-12.56,-20.01,-16.94,1.35,5.15,1.17
JP-MBF,142.318611,44.384167,2001,1,17,-9.62,-15.49,-13.67,2.01,5.63,1.33
JP-MBF,142.318611,44.384167,2001,1,18,-9.75,-17.03,-13.9,1.1,5.73,0.53
JP-MBF,142.318611,44.384167,2001,1,19,-7.12,-14.33,-10.9,3.25,6.4,0.35
