site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
JP-Nuf,136.971889,35.152417,2001,1,1,5.76,0.28,-0.24,7.96,7.74,0.15
JP-Nuf,136.971889,35.152417,2001,1,2,9.69,0.37,2.55,5.79,3.69,0.92
JP-Nuf,136.971889,35.152417,2001,1,3,4.63,1.05,-1.02,9.67,5.28,0.97
JP-Nuf,136.971889,35.152417,2001,1,4,4.16,0.68,-0.9,9.03,4.19,1.59
JP-Nuf,136.971889,35.152417,2001,1,5,5.75,-0.09,0.25,7.12,5.25,1.92
JP-Nuf,136.971889,35.152417,2001,1,6,4.54,-1.4,-2.03,7.24,6.8,0.33
JP-Nuf,136.971889,35.152417,2001,1,7,6.53,-1.69,1.28,4.55,3.2,18.99
JP-Nuf,136.971889,35.152417,2001,1,8,9.52,2.43,4.37,7.43,6.47,14.23
JP-Nuf,136.971889,35.152417,2001,1,9,13.45,2.3,5.64,6.9,3.04,15.7
JP-Nuf,136.971889,35.152417,2001,1,10,14.28,2.06,5.74,7.66,7.35,10.54
JP-Nuf,136.971889,35.152417,2001,1,11,9.56,0.87,1.78,5.26,7.5,0.35
JP-Nuf,136.971889,35.152417,2001,1,12,5.25,0.83,-0.47,7.85,5.9,0.77
JP-Nuf,136.971889,35.152417,2001,1,13,3.37,1,0.45,4.7,4.9,0.99
JP-Nuf,136.971889,35.152417,2001,1,14,2.39,-1.37,-1.94,7.6,6.05,2.1
JP-Nuf,136.971889,35.152417,2001,1,15,1.74,-2.5,-3.45,7.81,5.87,1.02
JP-Nuf,136.971889,35.152417,2001,1,16,2.16,-1.48,-1.9,5,5.66,1.63
JP-Nuf,136.971889,35.152417,2001,1,17,4.18,-2.32,-1.98,6.51,6.91,0.91
JP-Nuf,136.971889,35.152417,2001,1,18,5.73,-2.26,-0.37,5.68,5.02,0.9
