site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
JP-Spp,141.385331,42.986843,2001,1,1,-0.63,-6.49,-5.39,6.34,5.4,4.41
JP-Spp,141.385331,42.986843,2001,1,2,-5.76,-8.62,-8.53,4.56,5.46,2.09
JP-Spp,141.385331,42.986843,2001,1,3,-7.78,-9.3,-9.57,5.68,4.92,3.41
JP-Spp,141.385331,42.986843,2001,1,4,-1.15,-7.61,-5.71,3.89,4.29,1.84
JP-Spp,141.385331,42.986843,2001,1,5,-4.63,-9.98,-8.58,3.71,7.03,3.53
JP-Spp,141.385331,42.986843,2001,1,6,-5.88,-10.98,-9.42,3.36,6.73,2.69
JP-Spp,141.385331,42.986843,2001,1,7,-8.03,-14.03,-11.37,2.18,6.81,1.66
JP-Spp,141.385331,42.986843,2001,1,8,-10.28,-17.18,-14.96,3.45,6.63,0.15
JP-Spp,141.385331,42.986843,2001,1,9,-3.03,-19.08,-13.67,2.71,6.46,0.55
JP-Spp,141.385331,42.986843,2001,1,10,0.82,-10.4,-4.56,7.95,5.77,9.16
JP-Spp,141.385331,42.986843,2001,1,11,-1.93,-12.83,-10.28,5.79,2.96,3.28
JP-Spp,141.385331,42.986843,2001,1,12,-10.95,-15.23,-14.33,7.94,4.78,4.19
JP-Spp,141.385331,42.986843,2001,1,13,-9.45,-14.98,-12.6,4.9,6.63,1.77
JP-Spp,141.385331,42.986843,2001,1,14,-10.11,-17.63,-15.75,2.89,7.5,0.84
JP-Spp,141.385331,42.986843,2001,1,15,-8.76,-17.98,-14.36,1.87,7.16,2.74
JP-Spp,141.385331,42.986843,2001,1,16,-9.19,-11.86,-11.78,4.54,6.52,3.72
JP-Spp,141.385331,42.986843,2001,1,17,-8.02,-11.8,-11.36,3.77,6.84,3.04
JP-Spp,141.385331,42.986843,2001,1,18,-8.16,-13.32,-12.36,2.44,5.52,2.62
JP-Spp,141.385331,42.986843,2001,1,19,-5.68,-14.17,-11.32,3.45,8.79,0.75
JP-Spp,141.385331,42.986843,2001,1,20,-3.79,-10.91,-9,2.86,5.78,1.01
JP-Spp,141.385331,42.986843,2001,1,21,-5.49,-10.16,-9.08,3.94,5.15,2.53
JP-Spp,141.385331,42.986843,2001,1,22,-5.88,-10.85,-9.6,3.35,8.11,2.75
JP-Spp,141.385331,42.986843,2001,1,23,-6.22,-9.85,-9.13,4.34,6.58,2.97
